date,open,high,low,close,adj_close,volume
2021-06-09,199.45,200.2,198.12,198.12,178.03,42925
2021-06-10,198.025,200.08,197.445,200.05,180.62,44988
2021-06-11,200.1,200.33,199.05,199.58,180.19,40524
2021-06-14,199.48,199.63,197.33,199.1,179.76,45277
2021-06-15,199.24,199.49,197.945,198.98,179.65,36687
2021-06-16,197.95,199.51,196.15,197.19,178.03,68659
2021-06-17,196.62,198.53,196.62,197.48,178.3,76220
2021-06-18,195.3,195.95,192.77,192.77,174.04,79659
2021-06-21,193.87,196.85,193.73,196.53,177.44,43560
2021-06-22,195.94,196.95,195.19,196.73,177.62,37353
2021-06-23,195.89,195.89,194.76,195.27,176.3,47173
2021-06-24,195.8,196.61,195.23,196.05,177.01,79302
2021-06-25,195.62,197.985,195.62,197.62,178.42,45905
2021-06-28,197.56,197.83,195.72,196.67,177.56,64391
2021-06-29,197.39,198.505,197.295,197.63,178.43,47762
2021-06-30,197.58,199.17,197.49,198.7,179.4,42007
2021-07-01,198.5,199.81,198.48,199.81,180.4,79712
2021-07-02,201.01,201.94,200.14,201.36,181.8,33018
2021-07-06,202.32,202.5,199.365,201.19,181.65,39800
2021-07-07,201.35,203.52,201.35,203.375,183.62,40763
2021-07-08,201.98,203.025,200.75,201.83,182.22,58786
2021-07-09,201.95,203.89,201.84,203.73,183.94,43590
2021-07-12,202.59,203.91,202.27,203.91,184.1,57420
2021-07-13,204.235,204.61,203.35,203.86,184.06,51368
2021-07-14,204.52,205.4,203.94,204.49,184.63,63402
2021-07-15,204.615,207.27,204.615,207.11,186.99,61493
2021-07-16,207.38,208.58,205.47,205.545,185.58,52947
2021-07-19,204.13,205.19,200.56,201.67,182.08,57573
2021-07-20,202.23,205.68,202.16,203.11,183.38,63618
2021-07-21,203.42,204.49,203.0,204.45,184.59,42876
2021-07-22,204.97,204.97,202.74,203.29,183.54,56366
2021-07-23,203.6,206.5,203.6,206.055,186.04,48417
2021-07-26,206.07,206.46,204.38,206.26,186.22,40562
2021-07-27,206.21,208.48,205.73,208.03,187.82,56733
2021-07-28,207.27,207.415,203.62,206.85,186.76,128953
2021-07-29,207.075,209.755,207.075,208.79,188.51,58619
2021-07-30,209.285,210.255,208.575,209.65,189.28,55209
2021-08-02,210.24,211.18,209.23,209.52,189.17,105591
2021-08-03,209.97,213.69,209.04,213.49,192.75,74398
2021-08-04,212.53,213.54,211.94,212.0,191.41,81983
2021-08-05,213.12,213.57,212.25,213.27,192.55,47004
2021-08-06,213.28,213.82,212.62,213.0,192.31,77145
2021-08-09,213.665,213.94,212.33,213.66,192.9,91300
2021-08-10,213.785,217.085,213.64,216.7,195.65,86090
2021-08-11,215.6,217.025,215.39,216.23,195.22,114593
2021-08-12,216.11,216.56,214.6,214.84,193.97,109352
2021-08-13,214.88,216.0,214.71,215.12,194.22,47914
2021-08-16,214.55,216.62,213.91,216.62,195.58,41069
2021-08-17,215.46,216.12,213.81,214.81,193.94,49259
2021-08-18,213.765,213.765,208.28,208.325,188.09,123378
2021-08-19,208.01,211.75,207.96,211.06,190.56,99091
2021-08-20,210.665,211.93,209.925,211.55,191.0,51297
2021-08-23,211.91,212.58,210.73,211.73,191.16,40649
2021-08-24,211.63,211.63,208.06,208.08,187.87,105173
2021-08-25,208.925,209.11,206.95,208.14,187.92,54252
2021-08-26,207.86,208.25,206.295,206.99,186.88,46860
2021-08-27,207.86,209.605,207.25,208.92,188.62,40792
2021-08-30,209.34,210.675,209.0,209.02,188.72,34245
2021-08-31,209.63,209.63,207.1,208.99,188.69,151463
2021-09-01,207.265,207.43,205.82,206.79,186.7,55177
2021-09-02,206.335,207.27,205.96,206.51,186.45,44550
2021-09-03,204.845,207.76,204.845,207.35,187.21,50732
2021-09-07,206.66,206.66,201.85,202.19,182.55,55184
2021-09-08,202.665,205.2,202.665,205.15,185.22,43524
2021-09-09,204.86,206.48,203.09,203.18,184.28,49282
2021-09-10,204.29,204.38,200.69,200.82,182.14,58807
2021-09-13,202.34,204.13,199.18,199.99,181.38,56817
2021-09-14,201.36,201.365,199.29,199.85,181.26,88138
2021-09-15,199.27,200.87,199.19,200.51,181.86,74883
2021-09-16,200.47,201.5,198.2,198.41,179.95,53231
2021-09-17,198.39,199.19,197.43,198.67,180.19,41856
2021-09-20,197.43,199.16,196.14,198.81,180.31,57898
2021-09-21,199.15,199.15,196.47,197.08,178.75,42433
2021-09-22,198.12,198.79,197.02,198.26,179.82,26113
2021-09-23,198.78,202.39,198.78,201.3,182.57,33578
2021-09-24,200.89,202.655,200.73,202.25,183.43,40563
2021-09-27,201.35,203.11,201.17,201.76,182.99,34912
2021-09-28,200.17,200.225,196.84,197.22,178.87,42578
2021-09-29,198.35,200.67,198.35,199.62,181.05,32739
2021-09-30,200.99,204.23,199.73,199.73,181.15,62617
2021-10-01,200.275,203.2,197.05,201.88,183.1,51082
2021-10-04,201.09,202.62,199.27,200.1,181.48,50909
2021-10-05,200.33,204.645,199.61,203.76,184.8,38781
2021-10-06,202.715,205.2,202.65,205.17,186.08,64321
2021-10-07,206.535,208.74,206.535,207.59,188.28,72822
2021-10-08,207.93,208.025,205.985,206.17,186.99,36449
2021-10-11,204.88,205.74,203.69,203.69,184.74,27942
2021-10-12,203.445,204.6,203.03,203.85,184.89,34156
2021-10-13,205.04,205.325,202.27,205.175,186.09,39065
2021-10-14,206.83,208.92,206.505,208.61,189.2,65539
2021-10-15,209.635,213.045,209.63,213.01,193.19,122206
2021-10-18,211.635,213.56,210.77,212.67,192.89,51567
2021-10-19,213.28,214.06,211.84,214.06,194.15,37019
2021-10-20,214.28,215.23,212.53,212.94,193.13,61710
2021-10-21,213.17,215.0,212.34,214.68,194.71,33913
2021-10-22,215.96,218.75,215.64,217.69,197.44,42218
2021-10-25,217.84,219.21,217.475,218.1,197.81,37972
2021-10-26,218.365,219.83,218.05,219.12,198.74,57994
2021-10-27,222.135,224.65,220.57,222.01,201.36,127824
2021-10-28,222.11,223.69,221.21,222.91,202.17,74571
2021-10-29,222.65,224.87,222.18,224.53,203.64,50697
2021-11-01,224.41,224.415,221.2,222.13,201.47,42646
2021-11-02,222.32,225.175,222.12,225.16,204.21,69133
2021-11-03,222.77,225.93,222.26,225.785,204.78,33217
2021-11-04,225.925,227.25,225.25,226.19,205.15,67021
2021-11-05,228.68,229.96,228.445,229.68,208.31,66022
2021-11-08,229.11,229.2,226.745,227.49,206.33,37286
2021-11-09,227.65,229.51,225.86,229.09,207.78,50054
2021-11-10,229.97,231.39,228.79,229.64,208.28,44263
2021-11-11,229.73,229.73,227.68,228.605,207.34,35461
2021-11-12,229.54,231.845,228.74,230.91,209.43,56026
2021-11-15,231.89,233.24,229.815,233.23,211.53,55827
2021-11-16,234.06,236.94,234.02,235.25,213.36,50871
2021-11-17,234.7,237.075,233.83,236.92,214.88,52900
2021-11-18,236.66,238.25,235.16,237.89,215.76,62849
2021-11-19,238.41,239.2,237.225,237.94,215.8,57238
2021-11-22,237.41,240.98,236.57,236.92,214.88,38081
2021-11-23,236.09,236.23,234.2,236.1,214.14,60961
2021-11-24,235.44,235.62,232.59,234.38,212.58,65175
2021-11-26,232.38,233.88,229.39,229.71,208.34,49061
2021-11-29,231.67,237.115,230.345,235.84,213.9,85117
2021-11-30,236.1,236.205,229.56,231.25,209.74,103666
2021-12-01,230.2,232.19,224.86,226.7,205.61,136493
2021-12-02,229.13,234.1,228.93,232.46,210.83,64429
2021-12-03,232.145,232.785,227.77,230.06,208.66,73664
2021-12-06,231.02,233.09,230.875,232.12,210.53,78488
2021-12-07,234.75,236.07,233.44,235.27,213.38,136733
2021-12-08,233.5,235.58,232.275,234.32,212.52,41398
2021-12-09,232.725,233.81,231.75,232.68,211.97,41703
2021-12-10,234.1,236.75,233.505,236.75,215.68,46476
2021-12-13,236.14,236.89,234.8,235.08,214.16,60253
2021-12-14,233.82,234.4,227.73,229.77,209.32,67013
2021-12-15,229.64,234.04,229.64,233.78,212.98,57946
2021-12-16,234.0,234.535,231.13,231.95,211.31,69011
2021-12-17,230.1,232.76,228.75,229.34,208.93,94136
2021-12-20,226.67,229.55,225.16,229.41,209.0,60658
2021-12-21,229.63,232.13,229.63,231.89,211.25,38888
2021-12-22,232.255,237.74,232.255,237.58,216.44,63759
2021-12-23,237.87,243.57,237.87,241.95,220.42,74674
2021-12-27,243.34,246.63,242.87,246.34,224.42,52979
2021-12-28,246.45,246.86,245.52,246.17,224.26,39568
2021-12-29,247.01,248.87,246.5,248.03,225.96,25147
2021-12-30,247.74,248.29,245.36,245.55,223.7,36566
2021-12-31,245.89,247.63,244.795,246.66,224.71,38116
2022-01-03,245.72,247.0,241.5,244.02,222.31,77890
2022-01-04,243.3,246.86,243.3,245.18,223.36,88083
2022-01-05,244.24,246.38,242.84,242.96,221.34,144956
2022-01-06,242.425,244.55,240.87,241.44,219.95,114266
2022-01-07,240.865,241.16,238.73,238.73,217.49,108148
2022-01-10,236.6,237.51,231.995,233.0,212.27,89210
2022-01-11,233.65,235.33,230.14,235.32,214.38,63537
2022-01-12,234.705,236.09,233.42,234.58,213.71,37656
2022-01-13,234.88,235.92,231.32,232.1,211.45,58116
2022-01-14,231.11,231.255,227.03,228.58,208.24,68404
2022-01-18,225.45,227.68,222.8,226.51,206.35,68609
2022-01-19,226.95,229.305,224.74,224.88,204.87,77272
2022-01-20,225.5,228.31,219.74,220.28,200.68,130061
2022-01-21,220.41,221.52,216.92,217.13,197.81,99963
2022-01-24,216.87,218.895,211.29,218.31,198.88,147701
2022-01-25,213.55,218.59,213.13,216.98,197.67,138676
2022-01-26,206.2,206.555,196.58,197.72,180.13,388254
2022-01-27,198.44,200.58,194.81,196.24,178.78,220881
2022-01-28,196.6,199.28,192.8,199.2,181.47,125874
2022-01-31,198.96,206.68,198.27,206.09,187.75,125407
2022-02-01,206.41,206.87,202.63,205.45,187.17,108465
2022-02-02,206.4,208.245,205.42,207.8,189.31,100446
2022-02-03,204.0,207.55,203.905,205.23,186.97,92445
2022-02-04,203.89,207.26,201.35,206.09,187.75,121479
2022-02-07,206.29,207.895,205.27,206.06,187.72,64043
2022-02-08,205.71,208.8,204.2,208.29,189.75,62174
2022-02-09,209.89,211.315,209.83,211.16,192.37,83698
2022-02-10,207.29,208.31,204.26,205.68,187.38,152094
2022-02-11,206.2,207.145,203.71,203.81,185.67,170549
2022-02-14,204.7,204.7,199.855,201.87,183.91,133155
2022-02-15,204.02,204.73,202.64,204.05,185.89,46735
2022-02-16,203.41,205.14,201.41,204.37,186.18,84717
2022-02-17,203.24,203.73,200.01,200.5,182.66,83206
2022-02-18,200.605,201.84,199.31,200.49,182.65,74008
2022-02-22,199.695,202.45,198.52,199.92,182.13,63599
2022-02-23,201.25,202.08,196.15,196.43,178.95,61076
2022-02-24,193.5,200.64,192.46,200.08,182.28,110163
2022-02-25,200.815,204.535,199.98,204.4,186.21,85828
2022-02-28,204.22,204.69,201.32,204.59,186.38,68847
2022-03-01,203.44,204.5,201.2,202.29,184.29,95961
2022-03-02,203.1,207.25,202.47,206.39,188.02,97735
2022-03-03,208.35,209.37,204.02,204.69,186.48,94270
2022-03-04,204.1,208.57,203.14,208.45,189.9,72568
2022-03-07,207.59,211.77,206.585,208.155,189.63,117456
2022-03-08,207.22,212.92,204.94,205.49,187.2,116212
2022-03-09,209.87,211.0,206.1,209.68,191.02,64522
2022-03-10,205.71,210.09,205.27,209.43,191.74,122777
2022-03-11,211.34,212.225,206.74,207.39,189.88,100590
2022-03-14,208.03,209.58,206.35,207.0,189.52,107372
2022-03-15,209.56,212.88,208.62,212.38,194.45,120011
2022-03-16,213.27,214.555,207.95,212.53,194.58,151575
2022-03-17,212.38,213.94,211.605,213.86,195.8,113931
2022-03-18,213.25,217.45,212.62,214.7,196.57,142970
2022-03-21,214.01,215.28,210.47,212.54,194.59,94550
2022-03-22,212.69,215.55,212.1,215.36,197.17,81751
2022-03-23,214.12,214.68,212.49,212.49,194.55,45217
2022-03-24,213.84,217.04,213.14,216.98,198.66,46516
2022-03-25,216.935,219.07,216.54,219.07,200.57,46586
2022-03-28,219.0,220.5,218.16,220.5,201.88,44821
2022-03-29,222.85,225.28,222.35,224.9,205.91,80651
2022-03-30,223.68,228.5,223.265,227.77,208.54,126759
2022-03-31,229.44,231.95,227.54,227.54,208.33,115108
2022-04-01,227.74,233.88,227.29,233.56,213.84,112301
2022-04-04,233.75,236.06,233.51,235.23,215.37,117948
2022-04-05,235.0,240.62,235.0,238.09,217.98,138402
2022-04-06,236.355,238.86,235.87,237.73,217.65,128693
2022-04-07,237.18,239.27,236.81,238.54,218.4,152993
2022-04-08,238.42,239.54,236.87,237.79,217.71,56443
2022-04-11,238.6,238.6,230.67,230.94,211.44,91262
2022-04-12,234.22,234.595,230.72,231.09,211.58,62977
2022-04-13,232.24,234.09,231.9,233.81,214.07,85474
2022-04-14,233.62,234.5,228.72,229.2,209.84,136062
2022-04-18,228.68,229.59,225.3,227.27,208.08,154713
2022-04-19,227.47,230.46,225.39,229.65,210.26,140772
2022-04-20,232.225,233.05,231.28,232.62,212.98,84561
2022-04-21,233.38,235.23,229.58,230.23,210.79,86478
2022-04-22,230.28,230.28,223.3,223.51,204.64,77993
2022-04-25,223.52,227.37,221.835,227.08,207.9,96396
2022-04-26,224.77,227.05,222.17,222.2,203.44,76133
2022-04-27,226.03,232.67,225.95,228.07,208.81,180140
2022-04-28,229.79,231.56,227.59,229.77,210.37,177185
2022-04-29,228.25,228.25,217.48,218.21,199.78,121229
2022-05-02,218.96,221.95,215.2,219.31,200.79,133547
2022-05-03,220.37,222.59,219.16,221.56,202.85,85433
2022-05-04,221.28,229.3,220.39,228.91,209.58,79649
2022-05-05,228.29,228.29,216.23,218.59,200.13,96685
2022-05-06,217.63,217.995,213.91,216.97,198.65,46638
2022-05-09,214.285,214.885,209.22,209.83,192.11,131635
2022-05-10,214.49,214.68,209.72,212.27,194.34,117030
2022-05-11,210.31,213.94,207.81,208.5,190.89,84828
2022-05-12,208.115,208.14,204.44,207.5,189.98,70259
2022-05-13,209.06,209.91,207.0,208.77,191.14,86206
2022-05-16,208.32,209.77,205.82,208.7,191.08,63097
2022-05-17,211.435,215.53,211.08,215.02,196.86,109886
2022-05-18,213.0,213.58,207.86,208.6,190.98,84811
2022-05-19,207.99,209.48,205.69,206.84,189.37,107901
2022-05-20,209.3,209.8,203.665,208.7,191.08,128330
2022-05-23,211.42,213.07,209.73,212.98,194.99,66891
