date,open,high,low,close,adj_close,volume
2021-06-09,85.05,85.54,84.74,85.37,74.25,50043
2021-06-10,85.39,86.245,85.23,85.84,74.66,44655
2021-06-11,85.52,85.82,85.25,85.82,74.64,41752
2021-06-14,85.7,86.005,85.135,85.82,74.64,74233
2021-06-15,86.12,86.77,85.57,86.15,74.93,61291
2021-06-16,85.47,86.31,83.76,83.91,72.98,98714
2021-06-17,83.69,85.0,83.59,84.46,73.46,55381
2021-06-18,83.915,83.915,81.96,82.09,71.4,84241
2021-06-21,82.59,83.62,82.24,83.32,72.47,41014
2021-06-22,83.38,83.56,82.53,82.53,71.78,47278
2021-06-23,82.58,82.595,81.57,81.69,71.05,122277
2021-06-24,81.69,81.82,80.85,81.23,70.65,83662
2021-06-25,81.3,81.765,81.01,81.75,71.1,77842
2021-06-28,82.0,82.54,81.67,81.88,71.21,62172
2021-06-29,81.67,81.72,79.54,79.93,69.52,76231
2021-06-30,80.16,80.37,79.36,80.02,69.6,54980
2021-07-01,79.96,81.14,79.85,80.69,70.18,40227
2021-07-02,80.495,80.78,80.205,80.655,70.15,22657
2021-07-06,80.57,81.45,80.02,81.4,70.8,39142
2021-07-07,81.375,82.44,80.84,82.38,71.65,38112
2021-07-08,82.19,82.67,81.79,81.99,71.31,31357
2021-07-09,82.005,82.34,81.485,81.935,71.26,45629
2021-07-12,81.74,83.13,81.73,82.92,72.12,43453
2021-07-13,82.8,83.36,82.27,82.61,71.85,25235
2021-07-14,82.5,83.63,82.05,83.21,72.37,34128
2021-07-15,83.4,84.26,83.01,84.07,73.12,47527
2021-07-16,84.05,85.41,84.05,85.07,73.99,31556
2021-07-19,84.94,85.53,83.05,83.95,73.01,45511
2021-07-20,84.145,85.06,83.75,84.01,73.07,39949
2021-07-21,83.96,83.96,82.275,82.275,71.56,53418
2021-07-22,82.605,82.735,81.93,82.46,71.72,36652
2021-07-23,82.35,83.4,82.35,83.385,72.52,34027
2021-07-26,83.45,83.45,82.67,83.23,72.39,47290
2021-07-27,83.09,85.19,82.81,84.95,73.88,31978
2021-07-28,84.81,85.06,83.67,84.23,73.26,56537
2021-07-29,84.19,84.545,83.8,84.29,73.31,52811
2021-07-30,84.31,84.95,83.82,83.91,72.98,40791
2021-08-02,84.22,84.94,83.95,84.82,73.77,43444
2021-08-03,84.75,85.91,84.75,85.65,74.49,38485
2021-08-04,85.245,85.29,84.14,85.29,74.18,32946
2021-08-05,85.25,86.13,84.895,86.12,74.9,26120
2021-08-06,86.2,87.93,85.76,86.87,75.55,60077
2021-08-09,87.22,87.79,87.11,87.735,76.31,43189
2021-08-10,87.67,87.98,87.33,87.69,76.27,30008
2021-08-11,87.79,88.46,87.73,88.165,76.68,49991
2021-08-12,88.15,88.33,87.86,87.92,76.47,33383
2021-08-13,87.915,88.96,87.915,88.85,77.28,47462
2021-08-16,88.98,89.82,88.87,89.63,77.95,25363
2021-08-17,89.21,90.035,89.13,90.0,78.28,18169
2021-08-18,89.53,90.05,88.98,89.29,77.66,27850
2021-08-19,89.545,90.77,89.305,89.53,77.87,54013
2021-08-20,89.165,90.1,89.15,89.62,77.95,61630
2021-08-23,89.33,89.38,87.51,87.55,76.15,45241
2021-08-24,87.57,87.63,86.76,87.12,75.77,43862
2021-08-25,86.76,87.63,86.53,87.36,75.98,33784
2021-08-26,87.25,87.77,86.79,87.67,76.25,23249
2021-08-27,87.6,88.29,87.54,88.02,76.55,53491
2021-08-30,88.01,88.755,88.01,88.49,76.96,33229
2021-08-31,88.25,88.81,87.29,87.715,76.29,91989
2021-09-01,87.69,89.09,87.685,88.76,77.2,95112
2021-09-02,88.85,89.145,88.445,88.98,77.39,46482
2021-09-03,88.8,89.1,88.07,88.09,76.62,44376
2021-09-07,87.19,87.19,85.81,86.14,75.39,55261
2021-09-08,86.42,88.69,86.21,88.425,77.39,67775
2021-09-09,88.22,88.57,87.8,87.87,76.9,39526
2021-09-10,88.0,88.0,86.99,86.995,76.14,71524
2021-09-13,87.725,87.77,85.94,86.07,75.33,54563
2021-09-14,86.365,86.895,85.78,85.92,75.2,37905
2021-09-15,85.45,85.99,85.08,85.35,74.7,28433
2021-09-16,85.845,86.11,84.935,85.04,74.43,40894
2021-09-17,84.61,85.1,83.5,83.58,73.15,36533
2021-09-20,83.38,84.28,82.78,83.435,73.02,33931
2021-09-21,83.62,84.19,82.85,82.94,72.59,33976
2021-09-22,82.85,83.855,82.81,83.585,73.15,48191
2021-09-23,83.29,84.13,83.205,83.32,72.92,73229
2021-09-24,83.58,83.85,83.155,83.55,73.12,38624
2021-09-27,83.53,84.2,82.11,82.23,71.97,37532
2021-09-28,81.83,82.09,80.95,81.43,71.27,42256
2021-09-29,81.66,82.88,81.36,82.3,72.03,41882
2021-09-30,82.13,82.275,80.82,81.03,70.92,90070
2021-10-01,81.385,81.51,80.49,80.54,70.49,40397
2021-10-04,80.45,82.21,80.41,81.9,71.68,58880
2021-10-05,81.87,82.33,81.56,81.56,71.38,123759
2021-10-06,81.36,83.11,81.205,82.975,72.62,32058
2021-10-07,82.77,83.9,82.59,82.75,72.42,24380
2021-10-08,82.28,82.585,82.07,82.14,71.89,34165
2021-10-11,81.855,82.08,81.16,81.28,71.14,27997
2021-10-12,81.25,81.955,81.25,81.63,71.44,40313
2021-10-13,81.95,82.7,81.295,82.62,72.31,32523
2021-10-14,82.845,83.9,82.77,83.89,73.42,81390
2021-10-15,84.08,84.28,83.11,83.2,72.82,62840
2021-10-18,82.41,83.195,82.145,82.685,72.37,28174
2021-10-19,82.985,83.62,82.95,83.495,73.08,31101
2021-10-20,84.09,84.73,83.89,84.345,73.82,22001
2021-10-21,84.45,84.74,84.19,84.495,73.95,24205
2021-10-22,84.72,85.465,84.67,85.25,74.61,11206
2021-10-25,84.88,85.305,84.56,84.74,74.16,14707
2021-10-26,84.61,85.72,84.61,85.33,74.68,22949
2021-10-27,85.36,85.685,84.36,84.45,73.91,28810
2021-10-28,84.29,84.94,84.29,84.83,74.24,14713
2021-10-29,84.67,85.2,83.81,84.31,73.79,23906
2021-11-01,84.58,84.58,83.575,84.28,73.76,27086
2021-11-02,84.54,84.55,83.55,84.33,73.81,33692
2021-11-03,84.62,84.95,83.5,84.15,73.65,25455
2021-11-04,84.03,84.89,83.065,84.36,73.83,73967
2021-11-05,84.71,85.775,84.7,85.5,74.83,42008
2021-11-08,84.75,84.75,82.18,82.99,72.63,57056
2021-11-09,82.99,83.81,82.98,83.09,72.72,33382
2021-11-10,83.545,84.49,83.545,84.45,73.91,78646
2021-11-11,84.33,84.33,83.43,84.09,73.6,26852
2021-11-12,84.11,84.66,83.8,84.54,73.99,33071
2021-11-15,84.925,85.81,84.87,85.8,75.09,19431
2021-11-16,85.96,86.17,85.12,85.15,74.52,32879
2021-11-17,84.845,85.71,84.59,85.5,74.83,21818
2021-11-18,85.275,85.63,84.3,84.41,73.88,46134
2021-11-19,84.95,85.505,84.58,85.39,74.73,55531
2021-11-22,85.25,86.655,85.12,86.28,75.51,29841
2021-11-23,86.25,86.52,85.65,85.95,75.22,41995
2021-11-24,86.145,86.16,85.48,85.76,75.06,16662
2021-11-26,85.62,85.77,84.42,84.6,74.04,29150
2021-11-29,84.35,85.34,84.11,85.07,74.45,45728
2021-11-30,84.26,84.335,81.49,81.59,71.41,100995
2021-12-01,82.005,84.2,81.98,82.22,71.96,39132
2021-12-02,82.54,83.93,82.46,83.21,72.83,33284
2021-12-03,83.73,85.03,83.17,85.03,74.42,37098
2021-12-06,85.845,87.345,85.845,85.915,75.19,42948
2021-12-07,85.47,86.96,85.15,86.52,76.21,45907
2021-12-08,86.73,87.5,86.4,86.79,76.45,28734
2021-12-09,86.5,87.21,86.285,86.67,76.34,25701
2021-12-10,87.21,87.73,86.98,87.24,76.84,28695
2021-12-13,87.5,88.445,87.175,87.945,77.47,50442
2021-12-14,88.325,88.325,87.12,87.19,76.8,119000
2021-12-15,87.57,88.42,87.49,88.42,77.88,51500
2021-12-16,88.56,89.4,88.3,88.68,78.11,90602
