date,open,high,low,close,adj_close,volume
2021-06-09,12.06,12.165,11.985,12.08,47.28,123381
2021-06-10,12.12,12.16,12.0,12.07,47.24,115486
2021-06-11,12.12,12.23,12.075,12.22,47.82,138164
2021-06-14,12.245,12.29,12.115,12.14,47.51,172642
2021-06-15,12.06,12.105,11.94,12.0,46.96,249012
2021-06-16,12.03,12.04,11.81,11.825,46.28,187908
2021-06-17,11.83,11.835,11.46,11.56,45.24,142373
2021-06-18,11.52,11.525,11.305,11.36,44.46,321388
2021-06-21,11.56,11.575,11.44,11.46,44.85,170835
2021-06-22,11.52,11.615,11.435,11.545,45.18,99462
2021-06-23,11.605,11.64,11.49,11.49,44.97,96840
2021-06-24,11.545,11.545,11.405,11.52,45.09,63880
2021-06-25,11.57,11.69,11.54,11.61,45.44,91624
2021-06-28,11.635,11.65,11.48,11.555,45.22,68194
2021-06-29,11.56,11.595,11.44,11.455,44.83,98268
2021-06-30,11.405,11.515,11.335,11.46,44.85,143491
2021-07-01,11.53,11.635,11.505,11.56,45.24,120922
2021-07-02,11.465,11.545,11.41,11.53,45.12,153199
2021-07-06,11.515,11.525,11.26,11.44,44.77,121293
2021-07-07,11.445,11.615,11.435,11.54,45.16,115944
2021-07-08,11.42,11.505,11.365,11.385,44.56,129259
2021-07-09,11.485,11.52,11.405,11.52,45.09,279458
2021-07-12,11.48,11.545,11.345,11.52,45.09,114426
2021-07-13,11.54,11.655,11.53,11.57,45.28,99651
2021-07-14,11.605,11.64,11.48,11.55,45.2,127553
2021-07-15,11.57,11.65,11.505,11.575,45.3,111533
2021-07-16,11.555,11.585,11.41,11.44,44.77,82080
2021-07-19,11.32,11.37,11.155,11.26,44.07,200515
2021-07-20,11.29,11.46,11.215,11.255,44.05,272879
2021-07-21,11.37,11.37,11.255,11.355,44.44,127568
2021-07-22,11.39,11.44,11.265,11.365,44.48,212910
2021-07-23,11.38,11.39,11.175,11.3,44.22,141801
2021-07-26,11.36,11.49,11.35,11.49,44.97,175155
2021-07-27,11.45,11.565,11.33,11.52,45.09,109196
2021-07-28,11.58,11.645,11.505,11.595,45.38,153321
2021-07-29,11.645,11.665,11.585,11.645,45.57,69523
2021-07-30,11.63,11.685,11.535,11.565,45.26,205955
2021-08-02,11.61,11.72,11.515,11.52,45.09,166622
2021-08-03,11.61,11.685,11.45,11.665,45.65,162200
2021-08-04,11.645,11.68,11.53,11.6,45.4,67947
2021-08-05,11.7,11.77,11.67,11.67,45.67,113614
2021-08-06,11.715,11.815,11.705,11.73,45.91,84432
2021-08-09,11.7,11.82,11.685,11.815,46.24,100056
2021-08-10,11.81,12.015,11.785,11.94,46.73,117528
2021-08-11,12.03,12.18,12.01,12.175,47.65,163746
2021-08-12,12.08,12.13,11.975,12.04,47.12,130031
2021-08-13,12.06,12.145,12.025,12.145,47.53,57162
2021-08-16,12.2,12.27,12.04,12.235,47.88,113626
2021-08-17,12.17,12.18,12.025,12.11,47.39,124341
2021-08-18,12.015,12.295,11.995,12.14,47.51,322215
2021-08-19,12.09,12.435,12.09,12.385,48.47,157103
2021-08-20,12.42,12.86,12.255,12.79,50.06,431959
2021-08-23,12.77,12.78,12.505,12.685,49.64,454364
2021-08-24,12.59,12.63,12.45,12.625,49.41,264456
2021-08-25,12.635,12.915,12.57,12.805,50.11,493287
2021-08-26,12.78,12.845,12.61,12.645,49.49,250894
2021-08-27,12.71,12.81,12.71,12.785,50.04,77759
2021-08-30,12.81,12.82,12.735,12.785,50.04,102971
2021-08-31,12.83,12.87,12.745,12.85,50.29,195881
2021-09-01,12.81,12.845,12.645,12.68,49.62,193028
2021-09-02,12.7,12.76,12.605,12.74,49.86,147608
2021-09-03,12.76,12.8,12.66,12.685,49.64,81872
2021-09-07,12.38,12.425,12.215,12.225,48.29,170447
2021-09-08,12.245,12.395,12.245,12.33,48.71,153341
2021-09-09,12.335,12.365,12.125,12.13,47.92,148756
2021-09-10,12.225,12.43,12.225,12.31,48.63,177167
2021-09-13,12.405,12.405,12.245,12.315,48.65,90232
2021-09-14,12.35,12.365,12.265,12.33,48.71,87156
2021-09-15,12.33,12.43,12.3,12.4,48.98,164836
2021-09-16,12.355,12.365,12.135,12.14,47.96,195554
2021-09-17,12.165,12.2,11.83,11.85,46.81,146486
2021-09-20,11.77,11.86,11.66,11.77,46.49,207903
2021-09-21,11.83,11.855,11.675,11.69,46.18,153097
2021-09-22,11.79,11.835,11.73,11.735,46.36,147935
2021-09-23,11.74,11.92,11.74,11.825,46.71,107819
2021-09-24,11.75,11.885,11.75,11.79,46.57,106439
2021-09-27,11.78,11.94,11.76,11.87,46.89,251782
2021-09-28,11.87,11.88,11.655,11.705,46.24,189212
2021-09-29,11.77,11.805,11.72,11.735,46.36,91297
2021-09-30,11.77,11.805,11.575,11.59,45.78,135919
2021-10-01,11.61,11.79,11.49,11.7,46.22,122860
2021-10-04,11.67,11.76,11.57,11.64,45.98,146055
