date,open,high,low,close,adj_close,volume
2021-06-09,237.53,241.155,236.75,239.44,204.56,115839
2021-06-10,239.95,245.32,239.43,244.7,209.05,130847
2021-06-11,245.47,245.49,242.07,242.65,207.3,67545
2021-06-14,242.36,242.49,239.35,241.16,206.03,88160
2021-06-15,241.68,241.98,239.07,239.96,205.0,113219
2021-06-16,240.57,244.505,238.29,239.57,204.67,114686
2021-06-17,239.07,242.395,238.38,240.73,205.66,91582
2021-06-18,239.1,240.25,236.52,238.61,203.85,117892
2021-06-21,239.08,240.87,237.87,240.22,205.22,85117
2021-06-22,239.51,240.72,238.35,239.99,205.03,66798
2021-06-23,239.0,239.58,237.02,238.79,204.0,49409
2021-06-24,240.005,242.955,239.49,240.97,205.87,66269
2021-06-25,240.66,243.57,240.26,242.705,207.35,52009
2021-06-28,243.78,245.44,242.715,242.885,207.5,69671
2021-06-29,242.52,243.76,242.14,242.38,207.07,46367
2021-06-30,242.68,244.23,242.09,243.91,208.38,80190
2021-07-01,244.25,247.08,243.57,246.95,210.97,75486
2021-07-02,247.33,249.73,246.31,248.75,212.51,55264
2021-07-06,247.46,248.055,243.2,243.55,208.07,132194
2021-07-07,244.28,244.28,241.4,243.25,207.81,105721
2021-07-08,243.72,246.49,242.51,244.29,208.7,80468
2021-07-09,243.0,245.87,242.38,245.13,209.42,43567
2021-07-12,244.545,247.71,243.56,244.45,208.84,84100
2021-07-13,245.09,246.68,242.975,244.74,209.09,90953
2021-07-14,244.06,245.315,241.51,244.58,208.95,129326
2021-07-15,243.66,247.57,242.2,246.52,210.61,140437
2021-07-16,248.065,249.48,246.68,247.94,211.82,122240
2021-07-19,247.54,249.93,244.965,246.6,210.67,122439
2021-07-20,247.04,250.255,245.785,247.01,211.03,119506
2021-07-21,246.11,246.255,242.79,244.89,209.21,66213
2021-07-22,243.89,246.2,243.42,244.75,209.09,54994
2021-07-23,245.77,248.53,245.7,247.68,211.6,65148
2021-07-26,246.97,248.27,244.86,245.02,209.33,66916
2021-07-27,244.12,245.61,243.47,244.61,208.97,65812
2021-07-28,244.55,247.64,243.74,244.4,208.8,79301
2021-07-29,244.32,245.1,242.3,242.435,207.12,69739
2021-07-30,242.77,243.095,240.7,241.61,206.41,141326
2021-08-02,242.28,242.28,238.41,239.79,204.86,88614
2021-08-03,240.45,244.35,239.475,244.14,208.57,128876
2021-08-04,238.46,238.96,227.25,228.52,195.23,464368
2021-08-05,228.445,234.01,228.14,233.98,199.89,188725
