date,open,high,low,close,adj_close,volume
2021-06-09,57.43,57.55,57.16,57.2,51.69,82432
2021-06-10,57.65,57.79,56.99,57.37,51.85,49370
2021-06-11,57.41,57.77,57.2,57.77,52.21,86624
2021-06-14,57.85,58.1,57.37,57.455,51.92,43945
2021-06-15,57.46,58.305,57.46,57.99,52.41,49436
2021-06-16,58.225,58.72,57.82,58.59,52.95,50963
2021-06-17,58.88,58.95,57.23,58.42,52.8,124383
2021-06-18,57.54,58.035,57.13,57.35,51.83,139190
2021-06-21,57.31,58.56,57.29,58.465,52.84,35591
2021-06-22,58.15,58.42,57.82,58.27,52.66,45926
2021-06-23,58.29,58.59,58.19,58.24,52.63,69999
2021-06-24,58.38,59.34,58.255,59.06,53.38,52888
2021-06-25,59.47,61.67,59.24,61.62,55.69,233596
2021-06-28,61.65,61.65,60.71,61.49,55.57,235771
2021-06-29,61.95,62.55,61.54,62.4,56.39,120872
2021-06-30,62.25,62.57,61.31,62.19,56.2,187945
2021-07-01,60.72,62.99,60.56,62.99,56.93,112360
2021-07-02,62.75,64.22,62.43,64.22,58.04,134272
2021-07-06,64.365,64.365,63.13,63.685,57.55,156072
2021-07-07,63.41,63.53,61.78,63.34,57.24,85032
2021-07-08,61.85,61.93,60.21,60.52,54.69,141721
2021-07-09,61.205,61.5,60.545,61.17,55.28,75724
2021-07-12,61.09,61.79,60.92,61.33,55.43,42705
2021-07-13,60.4,60.43,58.81,59.865,54.1,205550
2021-07-14,59.78,60.48,59.6,59.98,54.21,59898
2021-07-15,59.5,60.0,58.99,59.47,53.75,107802
2021-07-16,59.55,59.55,56.54,56.73,51.27,156847
2021-07-19,55.73,56.39,54.92,56.095,50.7,127585
2021-07-20,56.27,58.085,56.235,57.42,51.89,82159
2021-07-21,58.08,59.29,58.08,58.14,52.54,84441
2021-07-22,58.15,58.72,57.77,58.54,52.91,68815
2021-07-23,59.16,59.715,59.06,59.43,53.71,95934
2021-07-26,59.62,59.92,59.04,59.3,53.59,41198
2021-07-27,58.65,59.39,58.34,59.23,53.53,68719
