date,open,high,low,close,adj_close,volume
2021-06-09,100.42,101.21,99.85,101.12,89.33,19134
2021-06-10,101.27,101.68,100.98,101.24,89.43,75804
2021-06-11,101.36,101.77,100.88,101.77,89.9,12574
2021-06-14,101.645,101.84,100.73,101.13,89.34,30855
2021-06-15,100.72,101.52,100.72,100.91,89.14,26210
2021-06-16,101.4,101.47,100.205,100.59,88.86,41014
2021-06-17,100.49,101.35,100.13,100.31,88.61,31648
2021-06-18,99.52,99.52,97.71,97.85,86.44,215329
2021-06-21,98.8,99.38,98.26,99.075,87.52,24236
2021-06-22,98.545,99.155,98.27,98.42,86.94,108635
2021-06-23,98.26,98.26,97.275,97.36,86.0,76066
2021-06-24,97.1,97.56,97.04,97.495,86.12,21736
2021-06-25,97.21,98.89,97.21,98.89,87.36,22294
2021-06-28,99.06,99.06,98.39,98.73,87.22,15352
2021-06-29,98.605,98.605,96.215,96.425,85.18,32577
2021-06-30,96.32,96.79,95.7,96.13,84.92,69016
2021-07-01,95.95,97.46,95.6,96.98,85.67,27410
2021-07-02,96.77,97.255,96.44,97.13,85.8,23299
2021-07-06,96.76,97.11,95.24,97.06,85.74,23238
2021-07-07,96.92,98.0,96.66,98.0,86.57,16837
2021-07-08,97.49,98.26,97.3,97.62,86.23,24004
2021-07-09,98.115,98.61,97.17,98.57,87.07,58566
2021-07-12,98.17,99.505,98.12,99.505,87.9,24923
2021-07-13,99.5,99.79,98.69,98.84,87.31,17562
2021-07-14,98.84,99.61,98.28,99.46,87.86,11753
2021-07-15,99.51,100.95,99.37,100.92,89.15,23564
2021-07-16,101.43,101.74,100.88,101.33,89.51,36484
2021-07-19,101.0,101.23,97.6,98.93,87.39,51278
2021-07-20,99.09,100.24,98.72,99.44,87.84,56314
2021-07-21,99.72,100.14,98.19,98.19,86.74,28956
2021-07-22,97.875,98.615,97.525,97.61,86.23,19867
2021-07-23,97.93,99.495,97.93,99.465,87.86,17303
2021-07-26,99.59,99.705,99.09,99.49,87.89,11601
2021-07-27,99.635,101.395,99.34,101.11,89.32,27017
2021-07-28,101.1,101.18,99.48,100.33,88.63,14683
2021-07-29,100.34,100.39,99.26,100.19,88.5,11350
2021-07-30,100.85,100.85,98.23,98.56,87.06,38536
2021-08-02,98.98,99.975,98.85,99.5,87.9,21184
2021-08-03,99.5,100.16,99.26,99.69,88.06,29971
2021-08-04,98.85,99.46,98.1,99.31,87.73,24569
2021-08-05,99.56,101.25,99.56,101.25,89.44,25060
2021-08-06,101.17,101.85,100.81,100.98,89.2,17636
2021-08-09,100.985,101.185,100.17,101.105,89.31,33319
2021-08-10,101.01,101.43,100.57,100.9,89.13,19748
2021-08-11,101.135,101.4,100.75,101.07,89.28,12121
2021-08-12,101.0,101.115,100.22,100.33,88.63,17812
2021-08-13,100.76,101.725,100.19,101.445,89.61,23378
2021-08-16,101.37,102.28,100.77,101.05,89.26,22083
2021-08-17,100.8,101.35,100.27,100.82,89.06,40236
2021-08-18,101.33,101.33,98.585,98.925,87.39,39587
2021-08-19,99.13,99.68,98.47,98.69,87.18,28113
2021-08-20,97.655,99.02,97.635,98.74,87.78,36689
2021-08-23,99.11,99.11,97.67,97.81,86.95,14052
2021-08-24,98.08,98.52,97.045,98.14,87.25,43154
2021-08-25,98.0,98.06,97.23,97.47,86.65,23943
2021-08-26,97.28,97.28,96.55,96.64,85.91,14130
2021-08-27,96.92,97.525,96.9,97.37,86.56,12203
2021-08-30,97.3,97.77,97.275,97.49,86.67,23620
2021-08-31,97.0,97.66,97.0,97.51,86.69,27712
2021-09-01,97.64,98.57,97.59,98.17,87.27,46997
2021-09-02,98.31,98.54,97.61,98.29,87.38,40686
2021-09-03,98.01,98.015,97.48,97.48,86.66,21969
2021-09-07,97.275,97.275,95.86,96.11,85.44,23466
2021-09-08,95.84,98.15,95.84,97.65,86.81,36316
2021-09-09,97.12,97.2,96.19,96.19,85.51,72761
2021-09-10,95.74,95.74,93.04,93.04,82.71,24583
2021-09-13,93.805,93.845,91.96,92.21,81.97,30551
2021-09-14,92.51,92.685,90.97,91.3,81.17,63973
2021-09-15,91.21,91.57,89.32,89.58,79.64,34322
2021-09-16,90.155,90.36,89.21,89.73,79.77,18554
2021-09-17,89.54,89.98,89.09,89.09,79.2,26656
2021-09-20,88.92,89.75,88.27,89.08,79.19,42970
2021-09-21,89.59,90.24,88.79,88.81,78.95,32424
2021-09-22,89.13,89.57,88.63,88.74,78.89,22273
2021-09-23,89.39,89.39,88.04,88.15,78.37,16855
2021-09-24,89.1,89.27,88.22,88.24,78.45,15467
2021-09-27,88.48,89.62,87.52,87.59,77.87,31404
2021-09-28,88.16,88.16,85.84,86.645,77.03,34142
2021-09-29,86.93,88.93,86.77,88.9,79.03,107759
2021-09-30,88.93,89.08,87.99,88.18,78.39,77179
2021-10-01,88.455,89.23,87.92,88.74,78.89,30845
2021-10-04,89.995,91.115,89.59,90.52,80.47,48113
2021-10-05,90.245,90.76,89.8,90.01,80.02,33053
2021-10-06,89.5,90.165,88.47,90.155,80.15,62436
2021-10-07,89.17,90.38,89.17,89.8,79.83,62369
2021-10-08,89.84,90.165,89.66,89.96,79.97,22383
2021-10-11,90.015,90.27,89.1,89.11,79.22,10365
2021-10-12,89.22,89.52,88.67,88.99,79.11,7005
2021-10-13,88.67,92.63,88.22,92.2,81.97,62563
2021-10-14,92.6,93.98,92.465,93.97,83.54,28917
2021-10-15,94.35,94.65,93.0,93.0,82.68,18753
2021-10-18,92.18,92.76,90.73,91.11,81.0,35263
2021-10-19,91.355,92.88,91.22,92.88,82.57,18651
2021-10-20,93.2,94.81,93.11,94.49,84.0,25871
2021-10-21,94.82,94.82,93.17,93.46,83.09,16588
2021-10-22,93.82,94.2,93.72,94.02,83.58,14673
2021-10-26,94.17,94.63,93.435,94.03,83.59,21568
2021-10-27,94.05,94.05,91.72,91.76,81.57,31800
2021-10-28,91.8,92.96,91.8,92.91,82.6,10723
2021-10-29,92.77,93.47,91.76,92.11,81.89,15805
2021-11-01,92.16,93.17,91.71,93.04,82.71,11512
2021-11-02,93.58,93.77,92.3,93.73,83.33,17690
2021-11-03,93.75,94.495,92.81,93.39,83.02,19644
2021-11-04,93.35,93.99,92.74,93.63,83.24,31233
2021-11-05,94.575,95.065,93.86,93.95,83.52,9676
2021-11-08,93.375,93.375,92.105,92.955,82.64,21014
2021-11-09,93.13,93.6,92.95,93.14,82.8,25204
2021-11-10,93.915,94.65,93.31,94.19,83.74,42104
2021-11-11,95.75,95.92,94.165,94.75,84.23,57280
2021-11-12,95.15,95.76,94.72,95.5,84.9,28321
2021-11-15,95.53,96.26,95.14,96.23,85.55,39445
2021-11-16,95.86,95.86,94.46,94.56,84.06,38376
2021-11-17,94.27,94.27,93.06,93.85,83.43,40374
2021-11-18,93.19,93.19,92.075,92.62,82.34,30117
2021-11-19,92.835,95.39,92.69,94.91,84.38,156799
2021-11-22,94.7,95.755,94.21,95.63,85.02,38523
2021-11-23,95.7,95.9,94.81,95.32,84.74,21933
2021-11-24,95.46,95.77,94.6,94.99,84.45,20351
2021-11-26,93.72,93.93,92.9,93.43,83.66,19460
2021-11-29,93.82,94.205,92.91,93.79,83.98,39622
2021-11-30,92.655,92.805,90.24,90.29,80.85,40036
2021-12-01,91.06,92.315,89.47,89.47,80.11,53817
2021-12-02,89.71,91.44,89.02,90.66,81.18,42340
2021-12-03,91.12,93.27,90.7,92.72,83.02,74667
2021-12-06,93.99,95.14,93.99,94.59,84.7,128594
2021-12-07,93.8,95.44,93.8,94.91,84.98,190042
2021-12-08,94.745,94.94,93.43,94.37,84.5,132356
2021-12-09,94.47,95.51,93.75,95.06,85.12,131568
2021-12-10,95.57,96.11,95.01,95.785,85.77,101897
2021-12-13,96.68,98.25,96.64,97.41,87.22,97310
2021-12-14,97.49,98.3,96.925,97.08,86.93,50446
2021-12-15,98.32,98.715,97.145,98.54,88.23,44801
2021-12-16,98.16,100.56,98.16,100.33,89.84,56750
2021-12-17,100.105,100.105,98.75,98.84,88.5,29800
2021-12-20,98.07,99.36,97.45,99.34,88.95,23862
2021-12-21,99.785,100.26,98.71,99.45,89.05,52263
2021-12-22,99.3,102.17,99.085,102.1,91.42,40259
2021-12-23,101.94,103.5,101.92,102.75,92.0,30781
2021-12-27,102.93,104.22,102.83,104.05,93.17,43341
2021-12-28,104.125,104.66,103.24,103.44,92.62,20169
2021-12-29,103.54,104.98,103.19,104.83,93.87,41905
2021-12-30,105.225,105.225,104.39,104.5,93.57,26106
2021-12-31,104.305,105.07,103.595,104.78,93.82,20694
2022-01-03,104.7,104.99,103.57,104.97,93.99,32881
2022-01-04,104.86,107.28,104.86,106.28,95.16,40667
2022-01-05,106.84,107.62,106.33,106.59,95.44,51534
2022-01-06,106.98,107.14,105.63,105.835,94.77,44122
2022-01-07,105.51,105.845,104.94,105.31,94.3,80935
2022-01-10,105.405,105.78,104.69,105.17,94.17,48155
2022-01-11,105.525,105.525,103.32,104.61,93.67,69905
2022-01-12,104.415,104.63,103.58,104.09,93.2,37202
2022-01-13,104.32,106.34,104.18,105.95,94.87,105291
2022-01-14,106.11,106.19,104.74,106.05,94.96,31241
2022-01-18,105.32,105.78,103.61,105.39,94.37,39100
2022-01-19,105.88,107.49,105.31,105.31,94.3,31695
2022-01-20,105.52,105.595,104.42,105.06,94.07,46396
2022-01-21,105.26,106.03,104.56,104.61,93.67,107173
2022-01-24,104.46,104.565,102.96,103.51,92.68,10567
2022-01-25,101.7,104.42,101.285,103.87,93.01,64236
2022-01-26,103.95,105.26,102.78,103.68,92.84,51728
2022-01-27,104.19,106.42,104.19,104.83,93.87,45049
2022-01-28,103.83,106.15,103.69,106.12,95.02,61904
2022-01-31,105.17,107.52,104.82,107.21,96.0,60416
2022-02-01,106.9,107.295,105.38,106.31,95.19,47870
2022-02-02,106.09,107.415,105.73,106.88,95.7,48210
2022-02-03,107.1,107.1,105.63,106.85,95.67,42987
2022-02-04,106.0,106.685,104.84,105.74,94.68,38156
2022-02-07,105.37,106.32,104.89,105.965,94.88,39611
2022-02-08,106.51,106.98,105.91,106.49,95.35,36615
2022-02-09,107.67,109.13,106.76,108.79,97.41,57885
2022-02-10,107.93,108.22,105.45,105.97,94.89,39772
2022-02-11,106.07,107.66,105.695,106.65,95.5,53363
2022-02-14,107.01,107.01,104.62,105.95,94.87,48674
2022-02-15,106.25,106.78,105.07,105.57,94.53,47861
2022-02-16,105.85,106.48,104.86,106.085,94.99,37415
2022-02-17,105.525,107.2,104.81,106.63,96.09,34741
2022-02-18,105.94,107.05,105.76,106.03,95.55,67812
2022-02-22,105.995,107.315,105.8,106.22,95.72,113163
2022-02-23,106.28,106.61,105.205,105.41,94.99,69336
2022-02-24,105.095,105.095,102.31,104.775,94.42,119775
2022-02-25,106.115,109.34,105.71,109.09,98.31,48012
2022-02-28,108.705,110.33,108.64,109.87,99.01,80901
2022-03-01,109.675,110.64,109.17,109.96,99.09,92524
2022-03-02,109.63,111.7,109.54,111.14,100.16,43441
2022-03-03,112.03,113.75,111.985,113.72,102.48,70184
2022-03-04,113.195,116.25,112.57,116.25,104.76,59394
2022-03-07,115.85,116.76,114.65,116.0,104.54,95983
2022-03-09,113.86,114.6,112.15,112.15,101.07,55857
2022-03-10,111.915,113.635,111.915,113.27,102.08,56195
2022-03-11,113.34,114.35,112.415,113.69,102.46,46942
2022-03-14,114.195,114.395,111.24,112.85,101.7,63073
2022-03-15,114.29,114.64,113.11,114.12,102.84,88580
2022-03-16,114.14,114.39,111.81,114.39,103.09,78202
2022-03-17,114.57,115.455,114.18,114.41,103.1,34389
2022-03-18,115.11,115.195,112.5,112.7,101.56,61737
2022-03-21,112.92,115.26,112.92,115.24,103.85,48666
2022-03-22,115.6,115.6,113.76,114.15,102.87,31381
2022-03-23,114.495,115.02,112.665,114.35,103.05,36847
2022-03-24,114.625,115.79,114.41,115.78,104.34,38363
2022-03-25,115.945,118.58,115.945,118.58,106.86,75745
2022-03-28,118.235,118.28,117.13,117.69,106.06,63993
2022-03-29,117.86,119.19,117.16,119.19,107.41,30206
2022-03-30,118.77,120.35,118.26,120.35,108.46,34382
2022-03-31,120.04,120.85,119.49,119.55,107.74,39255
2022-04-01,119.355,121.43,118.83,121.38,109.39,40682
2022-04-04,120.825,120.825,118.22,119.19,107.41,36099
2022-04-05,119.77,120.91,119.38,120.18,108.3,43105
2022-04-06,120.41,122.1,119.73,122.06,110.0,54336
2022-04-07,121.84,121.84,119.34,120.86,108.92,54474
2022-04-08,121.115,121.8,119.81,121.72,109.69,57796
2022-04-11,122.1,122.21,120.17,120.515,108.61,49580
2022-04-12,119.57,121.29,119.15,120.2,108.32,43449
2022-04-13,120.51,120.51,118.65,119.85,108.01,46356
2022-04-14,120.65,120.9,119.76,119.76,107.93,39442
2022-04-18,120.81,121.36,119.03,119.59,107.77,31557
2022-04-19,120.14,120.8,119.87,120.65,108.73,22061
2022-04-20,121.12,122.95,121.12,122.74,110.61,26367
2022-04-21,122.175,122.54,121.04,121.13,109.16,29421
2022-04-22,120.42,120.64,118.63,118.655,106.93,26635
2022-04-25,118.55,118.55,116.19,117.67,106.04,48209
2022-04-26,117.62,118.705,116.95,117.04,105.47,38332
2022-04-27,115.55,118.225,115.55,116.1,104.63,21525
2022-04-28,116.05,117.57,116.02,116.79,105.25,46668
2022-04-29,116.115,116.115,113.015,113.405,102.2,113515
2022-05-02,113.905,114.27,110.73,111.64,100.61,49381
2022-05-03,112.525,114.56,111.96,112.6,101.47,40433
2022-05-04,113.43,115.26,113.095,115.19,103.81,62582
2022-05-05,115.57,116.99,113.97,115.09,103.72,59328
2022-05-06,114.49,115.27,113.38,114.9,103.55,108126
2022-05-09,114.21,114.51,113.02,113.64,102.41,87137
2022-05-10,113.945,115.15,111.72,113.11,101.93,65062
2022-05-11,113.32,115.465,112.21,112.57,101.45,58499
2022-05-12,113.12,113.26,111.11,112.045,100.97,71061
2022-05-13,112.205,113.44,111.54,112.91,101.75,72755
2022-05-16,112.95,114.14,112.82,113.19,102.01,58528
2022-05-17,113.18,113.84,111.9,113.74,102.5,44169
2022-05-18,113.75,114.02,111.64,111.73,100.69,51257
2022-05-19,111.03,111.85,110.0,111.41,100.4,53010
2022-05-20,110.395,112.09,110.01,111.7,101.28,44245
2022-05-23,112.635,114.13,112.12,113.65,103.05,50762
2022-05-24,114.44,116.395,113.61,115.91,105.1,57583
2022-05-25,115.83,116.79,115.44,115.9,105.09,43746
2022-05-26,116.47,117.46,116.22,116.765,105.87,46149
2022-05-27,116.34,117.64,115.985,117.62,106.65,67175
2022-05-31,116.32,116.47,115.15,116.3,105.45,55740
2022-06-01,116.17,117.015,114.82,116.42,105.56,48648
2022-06-02,116.38,116.66,113.8,116.6,105.72,21397
2022-06-03,116.19,116.72,115.58,116.11,105.28,28711
2022-06-06,116.925,117.3,116.53,116.74,105.85,35803
2022-06-07,117.155,117.47,116.01,117.41,106.46,29269
2022-06-08,117.1,117.28,115.08,115.23,104.48,21539
2022-06-09,115.31,115.64,112.92,112.97,102.43,33087
2022-06-10,111.895,112.855,111.56,111.93,101.49,29810
2022-06-13,110.86,110.9,106.52,107.0,97.02,28493
2022-06-14,107.05,108.33,104.45,105.54,95.7,52400
2022-06-15,106.46,108.0,105.36,106.11,96.21,46458
2022-06-16,104.58,105.11,103.7,104.54,94.79,32175
2022-06-17,105.05,105.315,102.12,103.535,93.88,39859
2022-06-21,104.14,105.92,103.74,105.485,95.65,32126
2022-06-22,104.99,106.34,104.705,105.75,95.89,28722
2022-06-23,106.88,107.19,106.39,107.05,97.06,33810
2022-06-24,107.69,109.63,107.69,109.23,99.04,17558
2022-06-27,109.385,110.89,109.33,110.75,100.42,23914
2022-06-28,111.52,112.14,110.47,110.62,100.3,21443
2022-06-29,110.83,111.22,110.12,110.91,100.56,26698
2022-06-30,110.41,112.645,110.41,112.165,101.7,26897
2022-07-01,112.23,115.35,112.23,115.17,104.43,30349
2022-07-05,114.305,114.305,108.97,110.62,100.3,40593
2022-07-06,110.91,113.535,110.56,113.0,102.46,27709
2022-07-07,113.49,113.75,112.3,112.44,101.95,44135
2022-07-08,112.41,112.41,111.715,112.02,101.57,25318
2022-07-11,111.82,112.89,111.365,112.11,101.65,35494
2022-07-12,111.37,112.6,111.15,111.9,101.46,26645
2022-07-13,110.75,111.96,110.32,111.265,100.89,36196
2022-07-14,109.88,111.31,109.665,111.25,100.87,21428
2022-07-15,111.58,112.29,110.55,111.9,101.46,59778
2022-07-18,111.78,112.49,111.41,111.9,101.46,96583
2022-07-19,112.32,113.54,112.32,113.48,102.89,98229
2022-07-20,113.31,113.965,111.55,111.75,101.33,79230
2022-07-21,111.38,112.93,111.28,112.575,102.07,20080
2022-07-22,113.04,113.73,112.48,113.38,102.8,24278
2022-07-25,113.575,114.91,113.3,114.76,104.06,45388
2022-07-26,115.26,116.415,115.14,116.29,105.44,27736
2022-07-27,116.39,116.78,115.335,116.48,105.62,62200
2022-07-28,117.255,120.14,116.475,119.92,108.73,47858
2022-07-29,119.89,121.92,119.89,121.4,110.08,57996
2022-08-01,120.78,121.34,120.0,121.16,109.86,62690
2022-08-02,121.18,121.645,120.09,120.1,108.9,40741
2022-08-03,119.25,119.52,116.99,119.3,108.17,56628
2022-08-04,118.365,119.17,115.52,115.78,104.98,47905
2022-08-05,115.33,115.615,113.13,113.9,103.28,68027
2022-08-08,114.31,114.97,113.63,114.56,103.87,103161
2022-08-09,115.25,115.77,114.77,115.24,104.49,95923
2022-08-10,115.8,115.94,114.28,114.49,103.81,135094
2022-08-11,114.4,115.845,114.33,115.24,104.49,99127
2022-08-12,115.4,116.985,115.4,116.985,106.07,56520
2022-08-15,117.01,117.74,116.265,117.38,106.43,61219
2022-08-16,117.56,117.82,116.73,117.54,106.58,19950
2022-08-17,117.07,118.17,116.79,117.675,106.7,49559
2022-08-18,117.47,118.28,117.47,118.04,107.03,16598
2022-08-19,117.74,118.36,117.185,118.015,107.63,32280
2022-08-22,117.39,117.52,116.03,116.16,105.94,18419
2022-08-23,115.86,116.5,115.355,116.185,105.96,39601
2022-08-24,116.26,116.87,115.925,116.73,106.45,19792
2022-08-25,116.69,117.68,116.52,117.57,107.22,19555
2022-08-26,117.42,117.42,115.88,116.0,105.79,31053
2022-08-29,115.72,117.14,115.19,116.4,106.15,21375
2022-08-30,116.11,116.42,114.13,114.52,104.44,21880
2022-08-31,114.53,114.57,113.41,113.45,103.46,25413
2022-09-01,113.82,115.005,112.96,114.79,104.69,26620
2022-09-02,115.15,116.385,114.23,114.52,104.44,31722
2022-09-06,115.02,116.16,113.92,114.245,104.19,18726
2022-09-07,115.08,117.635,115.08,117.635,107.28,22541
2022-09-08,117.275,117.97,116.72,117.96,107.58,31974
2022-09-09,118.35,118.675,117.45,118.14,107.74,11921
2022-09-12,118.19,119.75,118.015,119.44,108.93,14208
2022-09-13,118.355,118.74,116.03,116.45,106.2,42613
2022-09-14,116.72,117.675,116.47,117.12,106.81,61744
2022-09-15,116.6,116.6,114.0,114.15,104.1,54667
2022-09-16,114.095,114.335,113.27,114.105,104.06,31942
2022-09-19,113.33,115.23,113.295,115.23,105.09,45062
2022-09-20,114.02,114.02,112.525,113.4,103.42,17030
2022-09-21,114.105,115.25,112.63,112.63,102.72,43652
2022-09-22,112.62,114.07,111.44,113.34,103.36,44561
2022-09-23,111.96,112.125,110.385,111.55,101.73,56315
2022-09-26,111.38,112.19,108.72,109.15,99.54,37227
2022-09-27,109.24,109.6,107.19,107.585,98.11,19623
2022-09-28,107.66,109.6,107.44,109.05,99.45,19268
