date,open,high,low,close,adj_close,volume
2021-06-09,2305.75,2327.56,2294.76,2314.145,90.64,17597
2021-06-10,2310.6,2328.04,2282.87,2323.57,91.01,29533
2021-06-11,2319.69,2323.005,2293.42,2306.27,90.33,29665
2021-06-14,2306.905,2313.14,2291.33,2304.01,90.24,14748
2021-06-15,2302.43,2332.0,2287.14,2301.26,90.14,22189
2021-06-16,2311.88,2317.79,2285.935,2302.07,90.17,19128
2021-06-17,2298.01,2318.295,2288.56,2295.42,89.91,23377
2021-06-18,2287.4,2292.1,2232.85,2247.02,88.01,30300
2021-06-21,2241.5,2275.25,2235.6,2265.88,88.75,19846
2021-06-22,2271.37,2271.37,2241.645,2252.26,88.22,18845
2021-06-23,2254.91,2259.99,2233.23,2246.33,87.98,24273
2021-06-24,2255.04,2259.4,2235.03,2248.73,88.08,23792
2021-06-25,2248.025,2298.65,2248.025,2281.65,89.37,25585
2021-06-28,2252.63,2254.275,2171.605,2206.78,86.44,66087
2021-06-29,2183.06,2196.5,2168.33,2170.94,85.03,40998
2021-06-30,2179.26,2218.115,2176.53,2186.805,85.65,34676
2021-07-01,2201.4,2220.3,2201.235,2210.1,86.57,24724
2021-07-02,2218.66,2243.99,2215.3,2239.25,87.71,24510
2021-07-06,2238.12,2242.35,2220.48,2222.645,87.06,34656
2021-07-07,2222.55,2224.76,2154.585,2166.9,84.87,24806
2021-07-08,2148.22,2180.82,2129.65,2163.17,84.73,27311
2021-07-09,2170.845,2204.805,2164.135,2193.78,85.93,42121
2021-07-12,2176.82,2204.845,2175.16,2204.825,86.36,19996
2021-07-13,2201.29,2228.12,2187.025,2188.92,85.74,44128
2021-07-14,2212.555,2212.555,2177.315,2178.81,85.34,21974
2021-07-15,2169.315,2176.45,2148.835,2169.16,84.96,26609
2021-07-16,2177.25,2179.44,2141.37,2141.745,83.89,18755
2021-07-19,2097.05,2118.96,2059.04,2070.25,81.09,46605
2021-07-20,2056.96,2138.73,2056.96,2131.05,83.47,26301
2021-07-21,2148.4,2196.81,2148.4,2194.0,85.93,16698
2021-07-22,2180.02,2204.625,2170.0,2192.075,85.86,16999
2021-07-23,2191.69,2213.37,2186.17,2203.23,86.3,21667
2021-07-26,2203.45,2232.32,2199.86,2227.86,87.26,25325
2021-07-27,2232.73,2248.79,2214.195,2246.995,88.01,23470
2021-07-28,2252.78,2255.69,2217.27,2230.34,87.36,20130
2021-07-29,2244.4,2244.93,2215.365,2215.79,86.79,22931
