date,open,high,low,close,adj_close,volume
2021-06-09,51.07,51.07,50.57,50.63,34.84,72432
2021-06-10,50.88,51.19,49.835,49.845,34.3,152609
2021-06-11,49.97,50.445,49.97,50.41,34.69,184541
2021-06-14,50.26,50.37,48.875,49.645,34.29,199398
2021-06-15,49.945,50.57,49.66,50.415,34.83,123335
2021-06-16,50.34,51.94,49.64,51.25,35.4,259247
2021-06-17,51.81,51.83,49.18,49.485,34.18,224195
2021-06-18,48.75,48.925,48.055,48.26,33.34,197077
2021-06-21,48.69,49.725,48.67,49.67,34.31,87546
2021-06-22,49.46,49.73,49.05,49.43,34.14,72785
2021-06-23,49.45,49.84,49.36,49.36,34.1,114871
2021-06-24,49.54,50.42,49.41,50.22,34.69,64099
2021-06-25,50.44,51.135,50.32,51.01,35.24,67490
2021-06-28,50.74,50.9,50.165,50.86,35.13,89097
2021-06-29,51.17,51.6,50.885,51.01,35.24,150063
2021-06-30,50.755,51.37,50.57,51.26,35.41,111373
2021-07-01,51.485,51.73,51.16,51.38,35.49,89060
2021-07-02,51.21,51.37,50.99,51.25,35.4,92962
2021-07-06,51.1,51.1,49.23,49.48,34.18,203210
2021-07-07,49.23,49.68,48.93,49.44,34.15,59087
2021-07-08,48.8,48.89,48.04,48.3,33.36,143697
2021-07-09,49.27,50.09,49.11,49.93,34.49,85762
2021-07-12,49.68,50.54,49.3,50.25,34.71,73190
2021-07-13,50.2,50.48,49.655,49.95,34.5,95154
2021-07-14,50.155,50.37,49.01,49.29,34.17,141473
2021-07-15,48.27,49.66,47.61,48.67,33.74,357577
2021-07-16,48.815,49.57,48.51,49.38,34.24,302784
2021-07-19,48.3,48.54,47.32,47.57,32.98,217411
2021-07-20,47.61,49.94,47.37,49.435,34.27,285103
2021-07-21,49.78,50.48,49.605,50.04,34.69,173404
2021-07-22,49.905,50.045,49.525,49.795,34.52,155358
2021-07-23,50.155,50.54,49.69,49.945,34.63,161217
2021-07-26,49.6,50.465,49.6,50.215,35.05,128803
2021-07-27,49.53,50.825,49.49,50.185,35.03,136107
2021-07-28,50.43,50.865,49.925,50.355,35.15,174731
2021-07-29,50.785,51.75,50.61,51.29,35.8,163479
2021-07-30,51.095,51.68,50.99,51.345,35.84,134361
2021-08-02,51.64,52.55,51.215,51.24,35.77,316272
2021-08-03,51.52,52.3,50.81,52.0,36.3,166196
2021-08-04,51.315,52.05,51.25,51.505,35.95,143962
2021-08-05,51.91,52.24,51.59,51.8,36.16,157154
2021-08-06,52.45,53.51,52.45,53.17,37.12,231157
2021-08-09,52.9,53.71,52.74,53.36,37.25,131251
2021-08-10,53.18,54.015,53.18,53.83,37.58,141896
2021-08-11,54.03,54.86,53.83,54.75,38.22,203347
2021-08-12,54.715,55.02,54.43,54.88,38.31,138765
2021-08-13,54.83,54.99,53.775,53.87,37.74,240216
2021-08-16,53.49,54.35,53.2,54.28,38.03,127502
2021-08-17,53.8,54.325,53.45,53.795,37.69,136549
2021-08-18,53.35,54.53,53.35,53.51,37.49,151319
2021-08-19,52.95,53.27,52.54,52.735,36.95,201802
2021-08-20,52.45,53.5,52.45,53.32,37.36,146652
2021-08-23,53.65,54.39,53.65,54.03,37.86,123992
2021-08-24,54.285,54.86,54.285,54.525,38.2,119451
2021-08-25,54.53,55.96,54.53,55.57,38.94,170459
2021-08-26,55.55,55.87,55.42,55.475,38.87,142104
2021-08-27,55.5,56.5,55.5,56.42,39.53,158085
2021-08-30,56.24,56.265,55.155,55.18,38.66,63637
2021-08-31,55.375,55.52,54.89,55.21,38.68,79165
2021-09-01,55.29,55.29,54.195,54.4,38.12,129246
2021-09-02,54.52,54.64,54.07,54.3,38.05,114776
2021-09-03,54.445,54.48,53.715,53.92,37.78,115524
2021-09-07,53.925,53.925,53.01,53.13,37.23,190779
2021-09-08,52.985,53.08,52.535,52.97,37.11,144325
2021-09-09,52.88,53.65,52.8,52.89,37.06,189565
2021-09-10,53.16,53.22,51.86,51.93,36.39,196166
2021-09-13,52.37,52.59,51.82,52.235,36.6,99544
2021-09-14,52.25,52.3,50.88,51.13,35.96,138822
2021-09-15,51.24,52.165,51.05,52.06,36.61,152349
2021-09-16,52.23,52.43,50.98,51.36,36.12,221843
2021-09-17,51.4,51.42,50.47,51.15,35.97,186328
2021-09-20,49.79,49.925,48.75,49.6,34.88,174569
2021-09-21,49.795,49.88,49.14,49.305,34.68,69107
2021-09-22,49.96,50.38,49.81,49.93,35.11,96007
2021-09-23,50.49,51.985,50.485,51.49,36.21,120735
2021-09-24,51.395,52.12,51.395,51.54,36.25,114692
2021-09-27,52.04,53.77,52.04,53.39,37.55,153736
2021-09-28,53.505,54.28,52.815,52.905,37.21,200481
2021-09-29,52.86,52.97,52.385,52.635,37.02,73832
2021-09-30,52.765,53.17,51.845,51.845,36.46,95056
2021-10-01,51.93,53.34,51.85,52.94,37.23,74544
2021-10-04,52.81,53.865,52.685,52.85,37.17,120817
2021-10-05,53.13,54.72,53.1,54.41,38.27,95546
2021-10-06,53.91,54.77,53.55,54.545,38.36,108571
2021-10-07,55.075,55.41,54.405,54.53,38.35,205101
2021-10-08,54.81,56.13,54.68,55.825,39.26,106856
2021-10-11,56.17,56.635,55.5,55.54,39.06,120196
2021-10-12,55.535,56.04,55.325,55.515,39.04,117507
2021-10-13,55.48,55.61,54.51,55.24,38.85,156701
2021-10-14,55.93,56.61,55.51,56.57,39.93,263375
2021-10-15,57.2,57.69,56.76,57.18,40.36,99904
2021-10-18,57.08,57.985,57.08,57.42,40.53,129081
2021-10-19,55.99,57.675,55.53,57.675,40.71,214394
2021-10-20,57.76,59.65,57.76,59.3,41.86,143044
2021-10-21,59.18,60.06,59.16,59.745,42.17,108901
2021-10-22,60.06,60.45,59.53,59.71,42.15,186873
2021-10-26,59.59,59.59,58.945,59.095,41.72,174240
2021-10-27,58.665,59.45,58.38,58.445,41.26,101299
2021-10-28,58.67,59.51,58.67,59.45,41.97,108560
