date,open,high,low,close,adj_close,volume
2021-06-09,85.26,85.97,84.43,84.61,79.71,73288
2021-06-10,84.655,85.32,84.55,84.785,79.88,80079
2021-06-11,84.53,84.73,84.055,84.67,79.77,37812
2021-06-14,84.85,85.07,83.96,84.49,79.6,58302
2021-06-15,84.9,85.65,84.53,85.15,80.22,87762
2021-06-16,85.83,85.9,83.96,84.3,79.42,83388
2021-06-17,84.02,85.47,83.6,85.47,80.53,107411
2021-06-18,84.815,84.86,83.62,83.71,78.87,147554
2021-06-21,84.05,84.26,83.68,83.96,79.1,34324
2021-06-22,84.01,84.45,83.77,83.96,79.1,54867
2021-06-23,83.94,84.03,83.03,83.04,78.24,37672
2021-06-24,82.97,83.31,82.4,83.15,78.34,47434
2021-06-25,83.13,84.61,82.74,84.28,79.4,60780
2021-06-28,84.31,85.49,84.31,85.06,80.14,45394
2021-06-29,85.32,85.56,84.57,84.93,80.02,43905
2021-06-30,85.33,85.83,85.06,85.25,80.32,41420
2021-07-01,85.71,85.86,84.74,84.885,79.97,42474
2021-07-02,85.57,85.72,85.01,85.23,80.3,42853
2021-07-06,85.12,85.92,84.98,85.54,80.59,60975
2021-07-07,85.74,87.81,85.5,86.6,81.59,69445
2021-07-08,86.51,87.66,85.885,86.51,81.51,48830
2021-07-09,86.6,87.16,86.56,86.99,81.96,81890
2021-07-12,86.9,86.9,86.2,86.51,81.51,39229
2021-07-13,86.52,86.76,85.78,86.01,81.03,31306
2021-07-14,85.12,86.1,84.835,85.95,80.98,78388
2021-07-15,86.135,86.46,85.055,86.44,81.44,66601
2021-07-16,86.8,87.63,86.47,87.32,82.27,45693
2021-07-19,87.175,88.805,86.62,87.5,82.44,93188
2021-07-20,87.87,88.63,86.96,87.0,81.97,39067
2021-07-21,86.94,86.94,84.93,84.94,80.03,56755
2021-07-22,84.59,85.47,84.06,85.165,80.24,41712
2021-07-23,84.66,86.575,84.315,86.49,81.49,32212
2021-07-26,86.32,86.94,86.055,86.44,81.44,44596
2021-07-27,86.67,88.21,86.535,87.04,82.0,59041
2021-07-28,86.64,87.03,85.875,86.33,81.34,31288
2021-07-29,86.62,87.18,86.32,86.935,81.91,57581
2021-07-30,85.89,88.21,85.5,86.58,81.57,105557
2021-08-02,86.31,86.7,84.4,85.66,80.7,105191
2021-08-03,84.945,85.93,84.49,85.15,80.22,93501
2021-08-04,84.64,85.25,82.97,83.75,78.9,59103
2021-08-05,84.25,84.46,83.28,83.71,78.87,59689
2021-08-06,83.755,83.915,82.98,83.47,78.64,70169
2021-08-09,83.74,84.28,83.405,84.11,79.24,35177
2021-08-10,83.835,84.215,83.32,84.14,79.27,32461
2021-08-11,84.51,84.66,84.15,84.3,79.42,21174
2021-08-12,84.32,84.51,84.07,84.31,79.43,31675
2021-08-13,84.405,85.26,84.22,85.09,80.41,28315
2021-08-16,85.44,86.36,85.4,86.2,81.46,23468
2021-08-17,86.22,86.82,86.06,86.6,81.83,36404
2021-08-18,86.22,86.25,84.72,84.745,80.08,56061
2021-08-19,85.07,86.61,85.07,86.39,81.64,27617
2021-08-20,86.46,86.98,85.92,86.02,81.29,20113
2021-08-23,85.9,85.9,84.935,84.935,80.26,21734
2021-08-24,84.19,84.32,83.165,83.165,78.59,27078
2021-08-25,82.775,82.98,82.29,82.38,77.85,23369
2021-08-26,82.64,82.68,81.9,82.35,77.82,61074
2021-08-27,82.51,82.965,82.14,82.74,78.19,28546
2021-08-30,83.005,83.61,83.005,83.57,78.97,42563
2021-08-31,83.505,83.86,83.2,83.69,79.08,33986
2021-09-01,83.835,84.385,83.72,84.3,79.66,24518
2021-09-02,84.52,84.63,84.02,84.33,79.69,34011
2021-09-03,84.17,84.745,83.92,84.41,79.77,22030
2021-09-07,84.43,84.43,83.4,84.01,79.39,54753
2021-09-08,84.04,86.205,84.04,84.6,79.94,135552
2021-09-09,84.47,84.47,82.98,83.46,78.87,181468
2021-09-10,83.17,83.175,82.425,82.72,78.17,99887
2021-09-13,82.95,84.14,82.95,83.39,78.8,39577
2021-09-14,83.46,83.78,82.935,83.76,79.15,68762
2021-09-15,83.59,83.85,83.29,83.635,79.03,99148
