date,open,high,low,close,adj_close,volume
2021-06-09,45.0,47.07,44.735,45.925,38.02,434896
2021-06-10,45.75,46.435,45.43,45.75,37.87,162813
2021-06-11,45.77,46.15,45.74,46.135,38.19,154562
2021-06-14,46.0,46.025,45.41,45.81,37.92,127947
2021-06-15,45.87,46.01,45.18,45.38,37.57,125749
2021-06-16,45.44,45.6,45.2,45.55,37.71,94115
2021-06-17,45.51,45.95,45.16,45.75,37.87,194785
2021-06-18,45.5,45.6,45.18,45.27,37.47,80992
2021-06-21,45.46,45.64,45.19,45.55,37.71,72425
2021-06-22,45.61,46.0,45.35,45.59,37.74,75907
2021-06-23,45.35,45.58,45.2,45.2,37.42,66439
2021-06-24,45.2,45.515,44.81,45.21,37.43,95213
2021-06-25,45.26,45.865,45.22,45.75,37.87,44562
2021-06-28,45.63,45.96,45.63,45.855,37.96,92395
2021-06-29,45.86,46.02,45.61,45.62,37.76,75080
2021-06-30,45.69,45.91,45.4,45.58,37.73,128928
2021-07-01,45.52,45.95,45.48,45.705,37.84,86343
2021-07-02,45.87,45.945,45.56,45.65,37.79,73265
2021-07-06,45.55,45.645,45.29,45.53,37.69,71870
2021-07-07,45.525,46.185,45.47,46.06,38.13,70621
2021-07-08,45.945,46.65,45.67,45.845,37.95,151560
2021-07-09,45.885,46.03,45.53,45.6,37.75,38098
2021-07-12,45.65,45.695,45.37,45.57,37.72,42928
2021-07-13,45.08,45.32,44.54,44.72,37.32,84974
2021-07-14,44.51,44.55,43.88,44.365,37.03,85139
2021-07-15,44.355,45.11,44.355,45.07,37.61,46575
2021-07-16,45.27,45.58,45.145,45.54,38.01,48858
2021-07-19,45.52,46.13,45.14,45.91,38.32,78398
2021-07-20,46.12,46.49,45.22,45.245,37.76,85003
2021-07-21,45.34,45.34,44.54,44.6,37.22,96728
2021-07-22,44.3,44.515,43.99,44.28,36.96,59844
2021-07-23,44.265,44.68,44.18,44.585,37.21,45846
2021-07-26,44.675,44.77,44.41,44.51,37.15,64999
2021-07-27,44.525,45.07,44.51,44.715,37.32,73302
2021-07-28,44.62,44.63,43.87,44.095,36.8,30843
2021-07-29,44.21,44.4,43.91,43.935,36.67,40561
2021-07-30,44.055,44.3,43.715,43.72,36.49,60818
2021-08-02,43.73,43.73,43.26,43.31,36.15,79467
2021-08-03,43.34,43.75,43.03,43.35,36.18,80507
2021-08-04,43.25,43.25,42.37,42.44,35.42,72423
2021-08-05,42.48,42.565,42.19,42.24,35.25,52797
2021-08-06,42.35,42.55,42.12,42.3,35.3,79138
2021-08-09,42.41,42.595,42.25,42.59,35.55,48226
2021-08-10,42.49,42.62,42.36,42.51,35.48,59473
2021-08-11,42.61,43.13,42.47,42.815,35.73,90506
2021-08-12,42.87,42.97,42.5,42.53,35.5,73846
2021-08-13,42.73,43.235,42.73,43.16,36.02,46642
2021-08-16,43.25,43.99,43.25,43.46,36.27,39816
2021-08-17,43.5,44.195,43.5,44.025,36.74,67375
2021-08-18,43.62,43.685,42.75,42.75,35.68,38526
2021-08-19,42.865,43.41,42.85,43.195,36.05,38035
2021-08-20,43.08,43.785,43.06,43.275,36.12,60034
2021-08-23,43.05,43.07,42.475,42.515,35.48,123218
2021-08-24,42.605,42.605,41.935,42.03,35.08,76341
2021-08-25,41.355,41.64,40.98,41.1,34.3,156308
2021-08-26,40.82,41.01,40.315,40.43,33.74,262196
2021-08-27,40.1,41.505,40.1,41.41,34.56,107518
2021-08-30,41.17,41.475,40.9,40.975,34.2,96107
2021-08-31,40.89,41.85,40.6,41.755,34.85,279249
2021-09-01,42.44,43.37,42.095,42.57,35.53,224910
2021-09-02,42.635,43.22,42.58,42.81,35.73,167961
2021-09-03,42.81,43.43,42.75,43.055,35.93,77128
2021-09-07,42.83,43.365,42.69,42.87,35.78,96752
2021-09-08,42.89,43.7,42.89,43.02,35.9,66200
2021-09-09,43.015,43.16,42.675,42.805,35.72,111406
2021-09-10,42.8,43.235,42.47,43.15,36.01,56635
2021-09-13,43.42,44.3,43.42,43.83,36.58,92544
2021-09-14,43.835,43.94,43.07,43.36,36.19,101842
2021-09-15,43.52,44.14,43.51,44.03,36.75,86415
2021-09-16,44.065,44.275,43.26,43.515,36.32,128096
2021-09-17,43.23,43.7,43.09,43.11,35.98,125606
2021-09-20,42.7,43.085,42.375,42.58,35.54,130349
2021-09-21,42.425,42.83,42.03,42.21,35.23,53780
2021-09-22,42.42,42.585,41.77,42.365,35.36,85208
2021-09-23,42.4,42.69,42.245,42.29,35.29,66262
2021-09-24,42.53,42.71,42.37,42.43,35.41,29354
2021-09-27,42.33,42.89,42.145,42.27,35.28,41637
2021-09-28,42.39,42.48,41.805,42.07,35.11,43609
2021-09-29,42.07,42.99,42.07,42.84,35.75,37541
2021-09-30,42.82,42.82,41.8,41.8,34.89,105084
2021-10-01,41.87,41.88,41.42,41.54,34.67,55195
2021-10-04,41.5,42.175,41.49,42.12,35.15,71573
2021-10-05,42.12,42.71,41.88,42.56,35.52,91436
2021-10-06,42.21,42.52,41.745,42.51,35.79,42429
2021-10-07,42.59,42.73,42.095,42.175,35.51,62568
2021-10-08,42.2,42.56,42.18,42.2,35.53,62741
2021-10-11,42.425,42.48,41.815,41.87,35.25,28957
2021-10-12,41.83,42.155,41.6,41.77,35.17,35074
2021-10-13,41.71,41.78,41.11,41.51,34.95,71218
2021-10-14,41.42,41.67,41.255,41.47,34.91,54633
2021-10-15,41.5,41.64,40.96,41.155,34.65,41690
2021-10-18,41.01,41.295,40.59,40.85,34.39,44657
2021-10-19,40.98,40.98,40.32,40.82,34.37,38258
2021-10-20,40.82,41.465,40.8,41.28,34.75,35341
2021-10-21,41.35,41.35,40.415,40.62,34.2,38324
2021-10-22,40.63,40.84,40.51,40.69,34.26,38834
2021-10-26,40.11,40.855,40.11,40.765,34.32,44625
2021-10-27,41.01,41.07,39.835,39.9,33.59,75646
2021-10-28,39.925,40.215,39.77,40.19,33.84,58709
2021-10-29,40.24,40.45,39.95,39.96,33.64,44852
2021-11-01,39.96,40.42,39.96,40.4,34.01,68143
2021-11-02,40.5,40.5,39.91,40.37,33.99,25711
2021-11-03,40.53,41.62,40.45,41.57,35.0,54023
2021-11-04,41.56,41.83,40.825,40.945,34.47,23020
2021-11-05,40.88,41.25,40.665,40.72,34.28,39624
2021-11-08,40.67,40.87,40.45,40.815,34.36,16437
2021-11-09,41.2,41.48,40.91,41.27,34.75,38681
