date,open,high,low,close,adj_close,volume
2021-06-09,176.28,177.325,175.93,176.02,171.97,170499
2021-06-10,176.44,177.6,175.63,176.57,172.51,134783
2021-06-11,177.53,178.49,176.82,177.35,173.27,129277
2021-06-14,177.6,178.63,176.92,178.03,173.93,206573
2021-06-15,178.18,178.63,175.645,175.75,171.71,204535
2021-06-16,176.01,176.26,173.59,174.57,170.55,167795
2021-06-17,174.42,176.24,173.89,174.65,170.63,218528
2021-06-18,173.17,173.74,172.12,172.5,168.53,199786
2021-06-21,172.0,174.22,171.38,174.03,170.03,183970
2021-06-22,174.7,174.7,172.39,173.54,169.55,170697
2021-06-23,173.61,175.44,172.97,175.42,171.38,218467
2021-06-24,176.0,178.22,175.87,177.9,173.81,206830
2021-06-25,178.91,179.09,177.49,178.31,174.21,179021
2021-06-28,178.49,178.61,175.02,176.57,172.51,208498
2021-06-29,176.58,176.975,173.82,173.9,169.9,240187
2021-06-30,173.88,175.89,173.39,175.86,171.81,173470
2021-07-01,175.095,177.6,174.655,177.23,173.15,187364
2021-07-02,177.79,178.31,174.69,177.16,173.08,458906
2021-07-06,176.92,176.965,172.26,173.71,169.71,372468
2021-07-07,173.23,174.27,172.005,172.8,168.82,253188
2021-07-08,170.18,173.725,169.81,172.58,168.61,290473
2021-07-09,174.79,177.48,173.93,176.95,172.88,234888
2021-07-12,177.52,184.98,177.38,184.435,180.19,511716
2021-07-13,183.99,185.67,181.855,183.59,179.37,383395
2021-07-14,185.32,186.26,182.16,183.26,179.04,254836
2021-07-15,183.1,185.39,183.05,184.16,179.92,288310
2021-07-16,185.21,185.25,178.94,179.285,175.16,300391
2021-07-19,175.615,176.41,172.18,172.7,168.73,498361
2021-07-20,173.57,177.44,172.95,176.74,172.67,222430
2021-07-21,176.545,177.89,175.38,176.84,172.77,214235
2021-07-22,176.3,176.33,173.905,175.175,171.14,201043
2021-07-23,175.46,176.5,174.055,176.16,172.11,175105
2021-07-26,175.54,178.76,175.355,178.76,174.65,240986
2021-07-27,178.25,179.535,176.61,179.53,175.4,248533
2021-07-28,179.69,180.34,177.58,179.1,174.98,169699
2021-07-29,179.91,181.41,178.3,178.35,174.25,155816
2021-07-30,177.57,178.97,175.15,176.07,172.02,187659
2021-08-02,177.21,178.71,175.34,175.5,171.46,165717
2021-08-03,175.95,176.035,170.95,172.98,169.0,205229
2021-08-04,172.49,173.215,171.345,172.67,168.7,155806
2021-08-05,172.61,177.065,172.61,176.72,172.65,284832
2021-08-06,177.54,178.605,176.63,177.18,173.1,121145
2021-08-09,176.99,177.21,175.08,176.72,172.65,158676
2021-08-10,176.31,177.39,175.59,177.11,173.04,135671
2021-08-11,177.39,178.485,176.53,178.06,173.96,151784
2021-08-12,177.925,179.68,176.475,179.41,175.28,318870
2021-08-13,186.01,187.57,180.895,181.1,176.93,947528
2021-08-16,180.55,180.55,176.51,179.04,174.92,231452
2021-08-17,176.81,178.41,174.93,175.76,171.72,168397
2021-08-18,175.75,176.75,174.51,174.74,170.72,168670
2021-08-19,173.82,174.62,172.605,173.3,169.31,194910
2021-08-20,172.97,175.2,172.67,175.16,171.13,119551
2021-08-23,176.69,178.28,175.97,177.68,173.59,148142
2021-08-24,178.15,180.06,178.12,178.45,174.34,98940
2021-08-25,178.15,178.56,176.945,178.33,174.23,128545
2021-08-26,178.03,178.865,176.365,176.6,172.54,157675
2021-08-27,176.61,180.5,176.6,180.14,176.0,329711
2021-08-30,180.33,181.39,178.915,180.03,175.89,158814
2021-08-31,179.39,182.97,178.58,181.32,177.15,173599
2021-09-01,182.02,184.2,181.84,183.49,179.27,215965
2021-09-02,184.69,185.29,181.56,181.82,177.64,193248
2021-09-03,180.88,181.64,179.14,181.19,177.02,154319
2021-09-07,181.0,185.51,180.155,184.34,180.1,365638
2021-09-08,184.34,187.405,183.95,185.135,180.88,308009
2021-09-09,185.32,187.54,184.635,185.84,181.56,178373
2021-09-10,186.79,187.01,184.025,184.09,179.85,156568
2021-09-13,185.145,185.79,183.62,184.96,180.7,115869
2021-09-14,184.96,185.09,182.2,182.36,178.16,221559
2021-09-15,182.64,184.61,181.13,184.435,180.19,172346
2021-09-16,184.09,184.56,182.13,183.3,179.08,138131
2021-09-17,183.34,185.89,182.74,183.51,179.29,181728
2021-09-20,180.15,180.88,176.565,178.655,174.54,178939
2021-09-21,180.32,182.13,169.03,171.15,167.21,922065
2021-09-22,173.04,175.32,171.685,173.57,169.58,1171550
2021-09-23,174.57,177.15,174.57,176.21,172.16,264243
2021-09-24,175.45,176.67,175.12,176.01,171.96,169859
2021-09-27,176.45,179.45,175.98,178.19,174.09,187385
2021-09-28,177.82,177.95,173.94,174.61,170.59,313726
2021-09-29,174.1,174.87,172.63,172.635,168.66,173225
2021-09-30,173.155,173.65,169.1,169.1,165.21,377535
2021-10-01,172.44,177.305,172.42,175.83,171.78,332600
2021-10-04,175.04,175.94,172.67,173.405,169.42,240309
2021-10-05,173.75,176.22,173.75,174.58,170.56,138763
2021-10-06,172.81,175.66,171.61,175.44,171.4,120151
2021-10-07,177.72,179.61,177.34,177.71,173.62,207808
2021-10-08,177.37,178.54,176.52,176.71,172.64,127667
2021-10-11,176.02,176.42,173.49,173.5,169.51,146714
2021-10-12,173.62,174.41,172.61,173.05,169.07,101624
2021-10-13,173.7,173.7,170.98,172.97,168.99,219563
2021-10-14,174.2,176.0,174.14,174.42,170.41,163969
2021-10-15,175.69,178.83,174.115,176.42,172.36,421263
2021-10-18,172.36,173.27,169.81,171.14,167.2,496401
2021-10-19,171.39,171.53,170.19,171.18,167.24,184167
2021-10-20,170.48,171.02,169.9,170.59,166.67,314292
2021-10-21,170.265,172.48,170.14,171.34,167.4,292798
2021-10-22,170.57,170.75,168.62,169.42,165.52,209231
2021-10-26,172.95,173.1,170.74,172.03,168.07,197585
2021-10-27,171.94,171.94,169.45,169.56,165.66,161880
2021-10-28,168.99,170.34,168.65,169.71,165.81,153124
2021-10-29,169.09,170.42,168.19,169.09,165.2,193453
2021-11-01,169.33,171.24,169.11,170.21,166.29,452498
2021-11-02,170.03,170.815,169.0,169.82,165.91,171834
2021-11-03,169.775,170.18,168.38,170.09,166.18,183488
2021-11-04,169.96,170.36,168.69,170.345,166.43,178244
2021-11-05,173.4,176.97,172.37,175.7,171.66,313961
2021-11-08,178.43,179.23,176.11,176.88,172.81,261840
2021-11-09,176.84,176.84,173.27,175.05,171.02,152061
2021-11-10,174.62,176.81,173.95,174.3,170.29,326632
2021-11-11,162.89,163.95,158.43,162.05,158.32,1883212
2021-11-12,163.44,163.44,158.935,159.66,155.99,642526
2021-11-15,160.1,160.69,157.675,158.37,154.73,375015
2021-11-16,158.97,160.225,158.57,158.79,155.14,423068
2021-11-17,158.89,158.89,156.75,157.26,153.64,390988
2021-11-18,157.05,157.19,153.77,155.55,151.97,321505
2021-11-19,155.01,155.185,152.795,153.97,150.43,496280
2021-11-22,153.56,155.78,152.58,154.15,150.6,281571
2021-11-23,153.92,154.2,150.21,151.055,147.58,520677
2021-11-24,150.46,151.36,149.38,151.34,147.86,226846
2021-11-26,146.84,148.795,145.89,148.135,144.73,384637
2021-11-29,148.84,149.25,144.26,147.84,144.44,460958
2021-11-30,146.53,147.12,143.13,144.94,141.61,572603
2021-12-01,146.51,148.34,142.13,142.14,138.87,363636
2021-12-02,142.8,147.65,142.795,147.26,143.87,721745
2021-12-03,148.315,148.315,144.435,146.24,142.88,499824
2021-12-06,147.24,150.71,146.72,150.41,146.95,453684
2021-12-07,151.8,152.745,149.73,150.77,147.3,657751
2021-12-08,150.91,153.65,150.705,153.325,149.8,380158
2021-12-09,152.35,154.28,151.81,152.99,149.47,397415
2021-12-10,153.24,154.62,151.49,152.78,149.26,204297
2021-12-13,152.24,152.49,149.29,150.42,146.96,241680
2021-12-14,149.22,151.57,148.54,149.16,145.73,361188
2021-12-15,148.62,150.9,147.36,150.4,146.94,255700
2021-12-16,151.31,151.875,148.6,148.74,145.32,419895
2021-12-17,148.67,149.82,146.57,148.76,145.34,241927
2021-12-20,146.98,147.69,145.085,146.47,143.1,414035
2021-12-21,147.45,151.39,147.45,151.03,147.56,340694
2021-12-22,150.455,152.2,149.9,151.89,148.4,195489
2021-12-23,152.33,154.155,152.04,153.64,150.11,223197
2021-12-27,152.94,153.98,151.44,152.78,149.26,193208
2021-12-28,152.5,156.49,152.445,155.12,151.55,297994
2021-12-29,154.56,155.9,154.345,154.86,151.3,132477
2021-12-30,155.85,157.07,155.81,155.94,152.35,189864
2021-12-31,155.82,156.505,154.74,154.93,151.37,111613
2022-01-03,155.99,157.53,155.39,156.73,153.12,211320
2022-01-04,158.59,160.21,155.56,155.725,152.14,521127
2022-01-05,156.52,159.22,155.12,155.21,151.64,337496
2022-01-06,156.445,157.76,153.84,156.87,153.26,210000
2022-01-07,156.82,159.25,156.37,157.83,154.2,261355
2022-01-10,157.9,158.14,154.665,156.55,152.95,274102
2022-01-11,156.88,158.22,155.96,157.9,154.27,186387
2022-01-12,158.43,158.95,156.33,157.73,154.1,191390
2022-01-13,157.7,158.53,155.19,155.54,151.96,412219
2022-01-14,152.01,152.33,148.45,151.93,148.43,965924
2022-01-18,151.15,153.12,149.865,152.32,148.82,332399
2022-01-19,150.83,152.83,149.965,150.13,146.68,372976
2022-01-20,151.84,152.64,147.175,147.64,144.24,373154
2022-01-21,141.22,141.58,136.73,137.43,134.27,1204551
2022-01-24,134.82,134.82,130.49,132.08,129.04,308207
2022-01-25,135.28,137.73,132.42,136.52,133.38,473070
2022-01-26,137.52,138.18,132.33,133.61,130.54,426578
2022-01-27,134.8,137.87,134.09,135.39,132.28,295791
