date,open,high,low,close,adj_close,volume
2021-06-09,161.145,162.09,160.19,160.84,135.53,57981
2021-06-10,160.07,164.03,159.49,163.95,138.15,63914
2021-06-11,162.77,163.21,161.49,162.21,136.68,35559
2021-06-14,161.25,162.37,160.37,162.29,137.74,55563
2021-06-15,162.41,162.44,159.31,159.365,135.25,55272
2021-06-16,160.54,161.93,157.6,157.6,133.76,232027
2021-06-17,157.01,157.75,155.065,156.64,132.94,144937
2021-06-18,156.585,157.445,154.15,154.15,130.83,71113
2021-06-21,154.67,156.22,153.33,155.72,132.16,65451
2021-06-22,155.95,155.95,154.92,154.92,131.48,75896
2021-06-23,153.82,154.06,150.0,151.97,128.98,81338
2021-06-24,152.305,152.81,149.7,149.99,127.3,70506
2021-06-25,150.62,152.39,149.91,152.21,129.18,41398
2021-06-28,152.82,153.27,151.86,152.65,129.55,39391
2021-06-29,152.17,153.89,152.03,152.42,129.36,55317
2021-06-30,152.17,153.45,150.29,150.47,127.7,46662
2021-07-01,150.47,151.525,149.76,149.76,127.1,68188
2021-07-02,151.3,151.31,149.77,150.26,127.53,37289
2021-07-06,150.51,152.43,150.22,152.275,129.24,59386
2021-07-07,152.15,154.51,151.14,153.93,130.64,59149
2021-07-08,153.6,155.26,153.59,154.605,131.21,39567
2021-07-09,154.93,155.78,154.71,155.76,132.19,46549
2021-07-12,155.97,158.0,155.63,157.67,133.82,49908
2021-07-13,157.06,157.79,154.985,155.46,131.94,39904
2021-07-14,155.4,157.69,155.29,157.39,133.58,27596
2021-07-15,158.07,158.13,156.15,157.02,133.26,34381
2021-07-16,156.79,158.73,156.79,157.33,133.53,27864
2021-07-19,157.64,158.56,155.15,156.29,132.64,48890
2021-07-20,156.855,157.8,156.25,157.06,133.3,53099
2021-07-21,156.49,156.49,154.45,154.57,131.18,46053
2021-07-22,154.465,154.79,153.385,153.97,130.68,25745
2021-07-23,153.84,155.05,152.8,154.94,131.5,37752
2021-07-26,154.445,154.445,152.95,153.8,130.53,40104
2021-07-27,153.46,155.68,153.46,155.21,131.73,39545
2021-07-28,155.3,155.32,153.42,154.235,130.9,32200
2021-07-29,154.0,154.7,149.825,150.28,127.54,78619
2021-07-30,154.75,157.255,153.42,154.16,130.84,143136
2021-08-02,154.38,156.61,153.02,154.76,131.35,61663
2021-08-03,154.92,156.55,154.72,155.03,131.57,43156
2021-08-04,155.675,157.06,154.38,155.97,132.37,77050
2021-08-05,156.53,156.615,154.09,156.035,132.43,59994
2021-08-06,155.735,157.95,155.65,157.19,133.41,53071
2021-08-09,156.74,158.03,156.27,157.67,133.82,117924
2021-08-10,157.285,157.62,154.37,154.39,131.03,27433
2021-08-11,155.06,156.85,154.76,156.48,132.81,39639
2021-08-12,155.46,158.0,155.46,157.53,133.7,45966
2021-08-13,158.04,159.12,157.69,159.12,135.05,25197
2021-08-16,158.755,161.61,158.755,161.46,137.03,56691
2021-08-17,161.03,162.335,160.59,161.6,137.15,51440
2021-08-18,161.335,161.77,158.96,159.56,135.42,87917
2021-08-19,160.13,163.55,160.13,162.73,138.11,51433
2021-08-20,161.945,164.2,161.87,162.71,138.09,55377
2021-08-23,162.24,163.29,161.45,162.04,137.52,83805
2021-08-24,161.85,161.895,160.05,161.58,137.13,53380
2021-08-25,160.45,160.81,157.12,158.55,134.56,33691
2021-08-26,158.205,159.51,157.565,158.91,134.87,30615
2021-08-27,159.04,160.335,158.78,160.09,135.87,64022
2021-08-30,159.34,162.41,159.34,162.395,137.83,72523
2021-08-31,162.44,164.12,161.34,163.885,139.09,108041
2021-09-01,164.21,166.74,163.615,166.55,141.35,62036
2021-09-02,166.02,168.06,164.82,168.0,142.58,70758
2021-09-03,166.845,168.3,166.08,167.465,142.13,68813
2021-09-07,165.91,166.63,164.36,166.43,141.25,85801
2021-09-08,166.385,168.27,165.54,166.11,140.98,78675
2021-09-09,159.15,160.39,157.79,157.9,134.01,234307
2021-09-10,158.01,158.01,155.19,155.35,131.85,151220
2021-09-13,156.06,156.49,153.64,154.745,131.33,68732
