date,open,high,low,close,adj_close,volume
2021-06-09,106.12,107.87,106.12,107.615,45.05,70718
2021-06-10,107.475,108.9,107.475,108.65,45.48,31453
2021-06-11,108.09,108.99,107.75,108.95,45.61,23863
2021-06-14,108.94,108.98,108.2,108.88,45.58,50472
2021-06-15,109.0,109.69,108.755,109.26,45.73,36384
2021-06-16,109.87,110.12,107.26,107.43,44.97,53127
2021-06-17,107.17,108.29,106.72,107.63,45.05,38465
2021-06-18,106.86,106.93,102.94,103.36,43.27,80175
2021-06-21,103.74,104.995,103.64,104.42,43.71,53129
2021-06-22,104.145,104.3,103.26,103.26,43.22,23962
2021-06-23,102.68,102.68,101.29,101.37,42.43,45231
2021-06-24,101.64,101.78,100.58,101.02,42.29,61339
2021-06-25,100.69,101.6,100.48,101.53,42.5,86823
2021-06-28,101.79,102.53,101.49,102.315,42.83,25127
2021-06-29,102.21,102.485,100.21,100.46,42.05,29770
2021-06-30,100.555,100.76,99.31,99.69,41.73,30661
2021-07-01,99.645,102.06,99.53,101.53,42.5,32754
2021-07-02,101.49,102.07,101.18,101.76,42.6,21831
2021-07-06,101.48,102.37,100.585,102.23,42.79,22374
2021-07-07,101.76,102.79,101.63,102.79,43.03,42967
2021-07-08,102.5,102.72,102.02,102.24,42.8,26128
2021-07-09,102.69,103.135,102.01,102.93,43.09,20090
2021-07-12,102.32,103.225,102.29,103.01,43.12,21132
2021-07-13,102.99,102.99,101.31,101.67,42.56,29089
2021-07-14,101.725,103.08,101.505,102.49,42.9,15808
2021-07-15,102.39,103.72,102.34,103.67,43.4,42853
2021-07-16,103.57,105.34,103.555,104.64,43.8,28728
2021-07-19,104.15,104.3,100.31,101.65,42.55,66356
2021-07-20,102.89,103.15,102.15,102.36,42.85,25399
2021-07-21,102.16,102.47,101.08,101.11,42.32,17040
2021-07-22,101.36,101.54,100.5,100.835,42.21,25652
2021-07-23,101.26,102.75,101.06,102.7,42.99,36387
2021-07-26,103.1,103.97,102.53,103.825,43.46,58784
2021-07-27,103.205,105.88,103.205,105.34,44.09,26038
2021-07-28,104.205,104.53,103.63,104.35,43.68,19699
2021-07-29,104.465,104.76,103.85,104.35,43.68,21117
2021-07-30,105.14,105.22,102.66,102.9,43.07,47458
2021-08-02,103.35,104.13,103.03,103.61,43.37,73822
2021-08-03,103.34,104.625,103.34,104.035,43.55,31393
2021-08-04,102.53,103.9,102.16,103.68,43.4,60306
2021-08-05,103.64,106.59,103.64,106.5,44.58,63304
2021-08-06,106.66,106.705,105.655,106.1,44.41,62450
2021-08-09,106.22,106.92,105.855,106.84,44.72,60220
2021-08-10,106.62,108.89,106.62,108.67,45.49,100160
2021-08-11,108.0,109.26,107.615,109.02,46.04,32484
2021-08-12,109.03,109.45,108.45,108.8,45.94,35270
2021-08-13,108.45,109.975,108.45,109.9,46.41,64567
2021-08-16,109.09,111.71,109.09,110.29,46.57,127363
2021-08-17,110.565,110.565,108.86,110.11,46.5,43394
2021-08-18,109.9,110.57,109.43,110.15,46.51,37100
2021-08-19,110.45,112.07,110.45,111.82,47.22,74114
2021-08-20,111.35,114.67,111.35,114.625,48.4,96582
2021-08-23,114.42,114.83,113.37,114.0,48.14,232874
2021-08-24,114.03,114.09,112.76,113.69,48.01,251049
2021-08-25,113.61,114.34,113.0,113.79,48.05,49543
2021-08-26,113.565,114.26,112.975,113.66,48.0,260001
2021-08-27,113.66,113.82,111.39,111.69,47.16,354007
2021-08-30,109.54,110.03,107.6,109.35,46.18,243642
2021-08-31,109.06,110.71,109.06,110.62,46.71,279870
2021-09-01,110.825,112.79,110.64,112.54,47.52,171582
2021-09-02,112.845,113.65,112.365,113.63,47.98,86785
2021-09-03,112.97,113.38,112.28,112.555,47.53,63011
2021-09-07,112.145,112.61,111.13,112.45,47.49,85297
2021-09-08,112.12,115.0,112.12,114.83,48.49,88891
2021-09-09,114.395,114.955,112.875,112.92,47.68,71128
2021-09-10,112.455,112.82,111.84,111.84,47.23,44192
2021-09-13,113.08,113.92,112.5,113.32,47.85,67253
2021-09-14,113.815,115.015,113.53,114.34,48.28,162844
2021-09-15,114.03,114.03,111.91,112.85,47.65,482446
2021-09-16,112.54,113.26,111.9,112.41,47.47,83818
2021-09-17,112.2,112.48,110.88,111.05,46.89,95782
2021-09-20,110.575,111.26,108.41,109.55,46.26,96562
2021-09-21,109.675,110.52,108.01,108.01,45.61,106018
2021-09-22,107.94,107.94,105.7,105.975,44.75,76279
2021-09-23,105.53,105.88,102.53,102.61,43.33,136449
2021-09-24,102.54,102.83,100.465,100.82,42.57,137096
2021-09-27,100.53,101.65,99.95,100.01,42.23,73379
2021-09-28,99.54,100.9,98.51,99.27,41.92,128428
2021-09-29,99.69,101.57,99.135,100.75,42.54,85595
2021-09-30,100.96,101.1,99.26,99.26,41.92,85567
2021-10-01,99.375,100.56,99.1,99.295,41.93,115850
2021-10-04,99.455,101.75,99.34,101.36,42.8,170551
2021-10-05,101.625,102.14,101.07,101.47,42.85,89801
2021-10-06,100.97,103.22,100.435,103.18,43.57,91957
2021-10-07,103.26,104.545,103.26,103.42,43.67,67214
2021-10-08,103.25,103.87,102.77,103.2,43.58,51794
2021-10-11,102.91,103.3,101.91,102.72,43.38,110169
2021-10-12,102.885,103.73,102.43,102.83,43.42,27519
2021-10-13,102.63,102.99,101.68,102.555,43.31,53271
2021-10-14,102.75,103.755,102.75,103.48,43.7,31681
2021-10-15,103.89,104.18,102.24,102.26,43.18,84072
2021-10-18,101.39,102.07,100.41,101.79,42.98,93018
2021-10-19,102.18,102.28,101.64,102.04,43.09,31654
2021-10-20,102.53,104.675,102.53,104.01,43.92,47570
2021-10-21,103.87,104.585,103.85,103.93,43.89,27051
2021-10-22,104.27,105.14,104.27,104.59,44.17,30841
2021-10-26,103.91,104.885,103.83,103.93,43.89,28337
2021-10-27,104.255,104.515,102.95,103.11,43.54,86870
2021-10-28,103.56,103.66,102.14,102.77,43.4,57129
2021-10-29,103.16,103.83,102.215,103.01,43.5,131723
2021-11-01,103.01,104.51,102.77,103.46,43.69,108132
2021-11-02,103.5,103.84,101.94,103.84,43.85,156402
2021-11-03,104.62,106.185,102.545,103.33,43.63,129438
2021-11-04,103.7,103.99,101.88,102.88,43.44,173411
2021-11-05,103.49,104.56,103.405,104.29,44.04,82925
2021-11-08,103.95,103.95,100.3,101.12,42.7,35284
2021-11-09,101.385,102.49,101.27,102.35,43.22,49777
2021-11-10,102.96,103.49,102.45,103.48,43.7,44401
2021-11-11,103.54,104.46,102.49,103.13,43.55,50966
2021-11-12,102.36,102.36,100.32,101.61,43.33,59395
2021-11-15,102.5,105.07,102.4,105.07,44.81,67354
2021-11-16,105.08,106.02,105.08,105.28,44.9,122058
2021-11-17,104.79,105.955,104.32,105.79,45.11,74398
2021-11-18,105.97,106.03,104.98,105.45,44.97,42852
2021-11-19,105.905,106.18,105.465,105.96,45.19,70520
2021-11-22,105.74,107.59,105.47,107.295,45.76,55616
2021-11-23,107.17,107.18,105.94,106.29,45.33,129737
2021-11-24,106.44,106.7,105.18,106.39,45.37,69928
2021-11-26,105.265,106.24,102.715,103.36,44.08,57463
2021-11-29,103.57,105.58,103.36,105.11,44.82,73806
2021-11-30,104.03,104.05,100.34,100.34,42.79,70266
2021-12-01,101.2,102.845,100.34,100.34,42.79,58039
2021-12-02,101.08,103.22,100.965,101.97,43.49,61602
2021-12-03,102.52,103.32,101.21,103.25,44.03,41512
2021-12-06,104.11,106.93,104.11,104.97,44.77,110452
2021-12-07,105.09,105.425,104.49,104.82,44.7,30801
2021-12-08,105.0,106.19,104.55,105.6,45.03,44837
2021-12-09,105.18,107.16,105.01,106.265,45.32,84638
2021-12-10,106.39,107.87,106.37,107.465,45.83,76520
2021-12-13,107.325,108.47,106.465,107.83,45.98,93374
2021-12-14,107.865,108.8,107.05,107.27,45.75,94224
2021-12-15,107.24,109.95,107.24,109.855,46.85,136488
2021-12-16,109.91,112.1,109.74,110.61,47.17,65798
2021-12-17,109.66,110.92,109.22,109.44,46.67,41355
2021-12-20,108.47,109.66,106.86,109.44,46.67,53232
2021-12-21,110.29,110.96,108.59,109.25,46.59,46411
2021-12-22,109.17,109.97,108.71,109.97,46.9,24283
2021-12-23,110.12,110.395,109.96,110.1,46.95,21222
2021-12-27,110.09,110.87,109.91,110.83,47.26,19337
2021-12-28,111.22,111.92,111.22,111.9,47.72,16464
2021-12-29,111.57,112.53,111.46,112.5,47.98,16810
2021-12-30,112.68,112.68,111.18,111.59,47.59,48681
2021-12-31,110.82,113.05,110.82,112.65,48.04,16432
2022-01-03,112.5,112.5,110.45,111.4,47.51,33773
2022-01-04,111.78,112.285,111.01,111.31,47.47,45603
2022-01-05,111.205,112.505,111.205,111.58,47.58,40557
2022-01-06,110.76,111.0,109.23,109.64,46.76,61112
2022-01-07,109.43,112.75,109.36,112.11,47.81,95531
2022-01-10,111.77,113.08,111.51,111.69,47.63,41744
2022-01-11,111.64,111.64,108.27,108.72,46.36,64766
2022-01-12,108.06,109.4,107.29,109.25,46.59,69412
2022-01-13,109.0,111.51,109.0,110.64,47.18,49474
2022-01-14,110.42,111.37,110.19,111.12,47.39,40454
2022-01-18,110.85,111.085,108.2,109.82,46.83,101193
2022-01-19,110.21,111.15,109.4,110.38,47.07,73339
2022-01-20,110.44,111.275,109.93,110.04,46.93,37660
2022-01-21,110.345,110.62,109.36,109.43,46.67,82339
2022-01-24,109.45,109.45,105.85,108.23,46.16,145244
2022-01-25,107.355,108.75,106.605,107.7,45.93,80382
2022-01-26,107.98,108.69,106.815,107.25,45.74,57950
2022-01-27,108.15,110.575,107.93,109.61,46.74,107125
2022-01-28,108.99,111.25,108.61,111.2,47.42,52998
2022-01-31,110.29,112.22,109.91,111.82,47.69,51701
2022-02-01,110.74,111.69,109.1,110.01,46.91,57649
2022-02-02,110.05,112.24,109.78,112.08,47.8,67691
2022-02-03,111.89,112.22,111.4,111.88,47.71,37381
2022-02-04,111.04,111.84,109.85,110.9,47.29,42771
2022-02-07,110.22,110.89,109.42,109.69,46.78,64271
2022-02-08,110.295,110.54,109.615,109.94,46.88,50269
2022-02-09,110.86,111.7,110.27,111.42,47.52,45794
2022-02-10,109.73,109.73,106.38,106.45,45.81,40467
2022-02-11,107.085,107.78,105.305,105.91,45.58,98898
2022-02-14,106.01,106.36,103.41,104.58,45.01,82622
2022-02-15,105.06,105.54,102.89,103.425,44.51,48954
2022-02-16,103.46,104.55,102.99,103.9,44.71,38590
2022-02-17,103.82,105.54,103.31,104.96,45.17,78836
2022-02-18,104.29,105.535,104.15,104.67,45.05,42277
2022-02-22,104.38,105.255,103.8,104.55,44.99,43691
2022-02-23,104.94,106.73,104.54,104.7,45.06,72091
2022-02-24,103.29,103.29,100.28,102.455,44.09,74953
2022-02-25,103.745,106.03,103.67,105.62,45.45,62772
2022-02-28,104.63,105.72,104.33,105.21,45.28,86986
2022-03-01,105.19,105.69,103.01,103.895,44.71,108294
2022-03-02,103.87,107.095,103.87,106.6,45.88,142707
2022-03-03,107.1,109.98,107.1,109.4,47.08,181804
2022-03-04,108.81,112.275,108.475,112.27,48.32,125863
2022-03-07,112.3,112.395,110.56,111.89,48.15,102414
2022-03-09,110.22,110.63,107.88,107.93,46.45,136272
2022-03-10,107.57,109.24,107.44,109.03,46.92,123982
2022-03-11,108.66,109.33,108.26,108.745,46.8,104140
2022-03-14,109.57,110.67,109.07,110.3,47.47,88631
2022-03-15,111.285,112.0,110.74,111.31,47.9,136331
2022-03-16,111.53,111.53,109.25,110.56,47.58,93618
2022-03-17,110.18,111.005,109.75,110.33,47.48,136817
2022-03-18,110.44,110.66,108.6,109.45,47.1,64620
2022-03-21,110.33,110.94,109.69,110.72,47.65,76072
2022-03-22,111.58,111.58,109.38,109.62,47.18,47722
2022-03-23,110.06,111.38,109.54,110.83,47.7,48016
2022-03-24,111.545,112.84,111.535,112.74,48.52,54429
2022-03-25,113.625,115.045,113.57,114.87,49.43,49764
2022-03-28,114.01,115.31,114.01,115.31,49.62,24577
2022-03-29,115.03,116.38,114.585,116.38,50.08,40461
2022-03-30,116.27,117.12,115.82,117.055,50.38,30411
2022-03-31,116.81,118.48,116.75,116.82,50.27,47439
