date,open,high,low,close,adj_close,volume
2021-06-09,55.12,55.66,54.51,55.43,44.21,54704
2021-06-10,55.41,55.8,54.76,55.56,44.31,59327
2021-06-11,56.05,56.49,55.55,56.2,44.82,93137
2021-06-14,56.595,56.595,55.5,55.835,44.53,152016
2021-06-15,55.965,56.12,55.43,55.9,44.58,173062
2021-06-16,55.97,55.97,53.86,54.055,43.11,49297
2021-06-17,53.56,54.05,52.03,53.755,42.87,111667
2021-06-18,53.065,53.725,52.755,53.06,42.32,127786
2021-06-21,53.54,55.18,53.475,55.04,43.9,83959
2021-06-22,55.025,55.105,52.87,53.58,42.73,96504
2021-06-23,53.77,54.235,52.655,52.93,42.22,76885
2021-06-24,52.62,54.095,52.54,53.16,42.4,160693
2021-06-25,53.275,53.55,52.72,53.125,42.37,95569
2021-06-28,53.06,53.385,50.995,50.995,40.67,88979
2021-06-29,51.73,52.28,49.46,49.51,39.49,90232
2021-06-30,50.165,52.0,49.605,51.93,41.42,53028
2021-07-01,52.82,54.14,52.53,53.965,43.04,73929
2021-07-02,53.58,54.9,53.58,54.54,43.5,41700
2021-07-06,54.545,54.545,52.71,53.86,42.96,25888
2021-07-07,54.02,54.6,52.68,54.28,43.29,50439
2021-07-08,53.59,54.73,53.4,54.55,43.51,56633
2021-07-09,54.73,54.88,54.22,54.76,43.67,24094
2021-07-12,54.2,54.84,53.86,54.73,43.65,33480
2021-07-13,54.64,54.67,53.78,53.85,42.95,28391
2021-07-14,54.195,54.195,50.83,50.84,40.55,33543
2021-07-15,50.98,51.27,50.04,50.67,40.41,60483
2021-07-16,50.98,51.305,49.01,50.2,40.04,40941
2021-07-19,49.54,49.65,48.19,48.92,39.02,46501
2021-07-20,49.15,51.08,48.68,50.8,40.52,34595
2021-07-21,51.3,53.24,50.86,52.93,42.22,46195
2021-07-22,52.475,54.56,52.45,53.95,43.03,38535
2021-07-23,54.06,54.785,53.45,54.75,43.67,43653
2021-07-26,54.97,55.89,54.535,55.13,43.97,68541
2021-07-27,54.52,55.31,54.5,55.02,43.88,45716
2021-07-28,55.08,55.85,54.73,55.45,44.22,70460
2021-07-29,55.365,55.86,54.895,55.44,44.22,43663
2021-07-30,54.875,55.17,53.75,54.05,43.11,26602
2021-08-02,54.095,55.09,53.3,53.32,42.53,57948
2021-08-03,53.155,54.77,53.06,54.57,43.52,56385
2021-08-04,54.1,54.56,53.25,54.48,43.45,40653
2021-08-05,54.765,55.08,53.96,54.23,43.25,24791
2021-08-06,54.875,55.245,54.575,55.06,43.91,16339
2021-08-09,54.57,54.66,53.88,54.07,43.12,41396
2021-08-10,54.03,55.79,53.81,55.47,44.24,37615
2021-08-11,56.75,57.635,55.46,57.0,45.46,178382
2021-08-12,57.09,59.3,56.82,58.81,46.9,78624
2021-08-13,58.475,58.475,56.625,56.8,45.3,43087
2021-08-16,56.07,56.74,54.45,55.88,44.57,51017
2021-08-17,55.53,56.76,54.32,54.79,43.7,14752
2021-08-18,54.57,54.57,52.4,52.48,41.86,11932
2021-08-19,51.46,52.015,50.85,51.915,41.41,68552
2021-08-20,51.615,53.05,51.615,52.69,42.02,48610
2021-08-23,52.77,53.13,51.93,52.245,41.94,44472
2021-08-24,52.525,52.96,51.73,52.7,42.31,65932
2021-08-25,52.05,53.33,52.05,53.02,42.56,28593
2021-08-26,52.71,53.25,52.37,53.07,42.6,42471
2021-08-27,53.69,56.385,53.69,55.32,44.41,89317
2021-08-30,55.62,55.62,54.67,54.82,44.01,15294
2021-08-31,54.75,55.915,54.75,55.77,44.77,60909
2021-09-01,56.0,56.68,55.49,56.62,45.45,93884
2021-09-02,57.22,58.74,56.91,58.32,46.82,82646
2021-09-03,58.28,59.14,57.84,58.98,47.35,55064
2021-09-07,59.24,60.68,59.19,59.82,48.02,122876
2021-09-08,60.28,61.3,59.905,60.87,48.87,73760
2021-09-09,60.89,62.1,60.6,60.6,48.65,84769
2021-09-10,60.97,61.405,59.54,59.54,47.8,41401
2021-09-13,60.745,62.66,60.7,62.65,50.3,170010
2021-09-14,62.605,63.25,61.32,61.69,49.52,42657
2021-09-15,62.92,65.29,62.79,63.0,50.58,95048
2021-09-16,62.54,62.575,61.11,61.185,49.12,80953
