date,open,high,low,close,adj_close,volume
2021-06-09,85.81,86.405,85.06,85.39,83.58,6329
2021-06-10,84.205,84.285,83.12,83.38,81.61,12312
2021-06-11,83.72,84.1,83.395,84.0,82.22,5312
2021-06-14,84.29,85.64,84.2,84.82,83.02,11963
2021-06-15,84.16,84.16,82.77,83.4,81.63,9201
2021-06-16,83.84,83.86,82.645,83.09,81.33,14319
2021-06-17,83.31,83.31,80.975,81.14,79.42,10611
2021-06-18,79.36,80.115,77.24,77.38,75.74,16933
2021-06-21,78.76,79.75,78.67,79.27,77.59,10795
2021-06-22,78.23,79.55,78.23,79.33,77.65,6811
2021-06-23,79.38,79.66,78.67,78.67,77.0,11292
2021-06-24,78.555,79.37,78.205,79.27,77.59,9679
2021-06-25,80.15,80.78,79.425,79.48,77.8,14463
2021-06-28,78.67,78.67,77.55,78.13,76.48,9707
2021-06-29,78.055,78.72,78.0,78.41,76.75,5830
2021-06-30,78.76,79.025,77.68,78.9,77.23,9381
2021-07-01,79.615,80.375,79.08,79.11,77.43,8498
2021-07-02,79.3,79.3,77.28,77.66,76.02,5998
2021-07-06,77.23,77.23,75.03,76.42,74.8,6530
2021-07-07,76.9,77.105,76.05,76.65,75.03,20831
2021-07-08,74.99,77.3,74.99,75.895,74.29,8364
2021-07-09,77.135,78.5,77.135,77.83,76.18,3735
2021-07-12,77.7,77.955,77.02,77.865,76.22,2283
2021-07-13,77.85,77.85,76.55,77.115,75.48,3982
2021-07-14,76.395,76.49,76.28,76.28,74.66,2180
2021-07-15,75.745,76.075,74.9,75.365,73.77,7699
2021-07-16,76.04,76.21,73.325,73.385,71.83,11875
2021-07-19,71.68,73.35,71.67,72.315,70.78,7100
2021-07-20,73.98,75.995,73.98,75.04,73.45,13051
2021-07-21,76.02,76.44,76.02,76.29,74.67,4477
2021-07-22,75.63,75.73,74.05,74.155,72.58,4391
2021-07-23,75.075,75.52,74.95,75.315,73.72,2007
2021-07-26,75.95,75.95,74.69,74.69,73.11,2322
2021-07-27,73.67,74.1,73.6,74.1,72.53,1799
2021-07-28,74.18,75.32,74.18,74.53,72.95,2338
2021-07-29,73.205,75.1,71.12,74.97,73.38,20077
2021-07-30,75.11,75.29,74.41,74.815,73.23,10120
2021-08-02,74.92,75.82,72.98,73.05,71.5,9094
2021-08-03,72.49,74.85,71.83,74.85,73.26,4813
2021-08-04,74.24,75.4,74.02,74.02,72.45,8884
2021-08-05,74.59,75.53,74.59,75.53,73.93,6193
2021-08-06,76.47,77.03,75.87,76.3,74.68,5778
2021-08-09,75.91,77.52,75.91,76.465,74.85,4011
2021-08-10,76.345,77.39,76.33,77.11,75.48,4425
2021-08-11,77.64,78.61,77.41,77.73,76.08,17233
2021-08-12,77.6,77.6,76.19,76.96,75.45,2660
2021-08-13,76.12,76.46,76.12,76.25,74.75,1129
2021-08-16,75.75,76.86,75.29,76.45,74.95,7285
2021-08-17,74.945,75.125,74.01,74.97,73.5,7524
2021-08-18,74.94,75.25,74.04,74.04,72.58,9542
2021-08-19,73.36,73.99,72.725,73.24,71.8,5199
2021-08-20,74.12,74.35,73.19,74.19,72.73,3637
2021-08-23,74.505,76.06,74.505,75.83,74.34,2802
2021-08-24,75.77,76.09,75.545,75.625,74.14,5179
2021-08-25,75.83,76.62,75.31,75.34,73.86,4331
2021-08-26,74.67,74.67,73.51,74.09,72.63,5489
2021-08-27,74.93,76.64,74.93,76.0,74.51,8917
2021-08-30,76.65,76.65,75.64,75.81,74.32,2668
2021-08-31,75.68,76.31,75.05,76.0,74.51,7785
2021-09-01,74.48,75.26,73.89,74.75,73.28,5656
2021-09-02,75.23,76.36,75.09,76.34,74.84,3238
2021-09-03,75.67,76.48,75.475,76.38,74.88,3878
2021-09-07,75.685,76.2,74.58,74.58,73.11,11180
2021-09-08,74.525,74.88,73.39,73.485,72.04,11501
2021-09-09,72.97,73.55,72.785,72.85,71.42,5911
2021-09-10,73.01,73.14,71.685,71.685,70.28,11911
2021-09-13,72.415,72.69,70.775,71.8,70.39,9142
