date,open,high,low,close,adj_close,volume
2021-06-09,57.35,57.475,56.97,56.99,52.15,318609
2021-06-10,57.15,58.02,56.93,57.365,52.5,631068
2021-06-11,57.46,57.94,56.95,57.835,52.93,663174
2021-06-14,58.015,58.19,57.24,58.18,53.24,468983
2021-06-15,58.2,58.41,57.81,58.0,53.08,610659
2021-06-16,58.18,58.36,56.775,57.18,52.33,641328
2021-06-17,57.03,57.9,56.7,57.16,52.31,781196
2021-06-18,56.69,56.74,55.105,55.725,51.0,1079478
2021-06-21,55.78,56.035,55.375,55.905,51.16,526547
2021-06-22,55.83,56.27,55.54,55.865,51.12,555389
2021-06-23,55.91,55.91,55.24,55.26,50.57,887693
2021-06-24,55.54,56.1,55.345,56.08,51.32,507898
2021-06-25,56.11,56.4,55.75,55.945,51.2,575038
2021-06-28,56.39,57.725,56.355,57.48,52.6,1476303
2021-06-29,57.53,57.83,55.89,56.76,51.94,691970
2021-06-30,56.33,56.33,55.395,56.15,51.38,851620
2021-07-01,56.15,56.62,55.88,56.02,51.27,911053
2021-07-02,56.61,56.98,56.32,56.75,51.93,496991
2021-07-06,56.97,56.97,55.7,56.1,51.34,504377
2021-07-07,56.375,56.45,55.715,55.94,51.19,613972
2021-07-08,55.27,55.715,54.805,55.43,50.73,862091
2021-07-09,55.47,56.1,55.32,55.975,51.22,569537
2021-07-12,56.21,56.74,56.115,56.74,51.92,391886
2021-07-13,56.59,57.29,56.375,56.855,52.03,489443
2021-07-14,57.16,57.43,56.35,56.49,51.7,458480
2021-07-15,56.4,56.4,55.585,55.815,51.08,624071
2021-07-16,56.12,56.915,54.91,54.98,50.31,797525
2021-07-19,54.385,54.795,53.98,54.63,49.99,818679
2021-07-20,54.875,55.56,54.28,55.235,50.55,494809
2021-07-21,55.22,56.275,55.01,56.235,51.46,563649
2021-07-22,56.06,56.54,55.71,55.97,51.22,832351
2021-07-23,54.635,54.635,52.33,53.06,48.56,2619642
2021-07-26,52.76,54.535,52.76,54.35,49.74,1273213
2021-07-27,53.02,53.19,52.31,53.18,48.67,953880
2021-07-28,53.03,53.915,52.945,53.07,48.57,623639
2021-07-29,53.47,54.085,53.33,53.685,49.13,465805
2021-07-30,53.65,53.87,53.26,53.74,49.18,402985
2021-08-02,54.01,54.46,53.535,53.68,49.12,500840
2021-08-03,53.87,54.16,53.265,54.07,49.48,315422
2021-08-04,54.25,54.44,53.7,53.89,49.32,486433
2021-08-05,53.92,54.02,53.62,53.9,49.65,392368
2021-08-06,53.85,54.125,53.74,53.97,49.71,381590
2021-08-09,54.08,54.405,53.84,54.065,49.8,270885
2021-08-10,54.21,54.385,53.52,53.95,49.69,490807
2021-08-11,54.33,54.335,53.84,54.12,49.85,476299
2021-08-12,54.17,54.18,53.26,53.525,49.3,486239
2021-08-13,53.5,53.515,53.055,53.5,49.28,427120
2021-08-16,53.26,53.49,53.0,53.47,49.25,394546
2021-08-17,53.17,53.17,52.23,52.72,48.56,683823
2021-08-18,52.59,53.015,52.12,52.135,48.02,366301
2021-08-19,52.025,52.66,51.58,52.44,48.3,427211
2021-08-20,52.125,52.36,51.435,52.02,47.91,435350
2021-08-23,52.58,53.535,52.51,53.215,49.01,527881
2021-08-24,53.565,53.965,53.335,53.83,49.58,549760
2021-08-25,54.07,54.23,53.735,53.8,49.55,337865
2021-08-26,53.71,53.725,52.975,53.16,48.96,464905
2021-08-27,53.21,53.94,52.925,53.89,49.64,502460
2021-08-30,54.245,54.87,53.76,53.94,49.68,306250
2021-08-31,54.4,54.4,53.67,54.05,49.78,425984
2021-09-01,54.115,54.15,53.54,53.68,49.44,395443
2021-09-02,53.885,53.885,53.35,53.74,49.5,385016
2021-09-03,53.44,54.065,53.33,53.51,49.29,263006
2021-09-07,53.56,53.945,53.45,53.66,49.42,272949
2021-09-08,53.73,53.87,52.995,53.58,49.35,934144
2021-09-09,53.65,53.88,53.34,53.42,49.2,341873
2021-09-10,53.85,54.98,53.82,53.83,49.58,412179
2021-09-13,54.66,55.485,54.415,55.03,50.69,437704
2021-09-14,55.355,55.42,54.285,54.55,50.24,641140
2021-09-15,54.6,55.14,54.45,55.14,50.79,365718
2021-09-16,54.89,54.94,54.25,54.86,50.53,464086
2021-09-17,54.5,54.51,53.67,54.28,50.0,491496
2021-09-20,53.21,53.495,52.325,53.02,48.84,537020
2021-09-21,53.2,53.445,52.85,52.9,48.72,364783
2021-09-22,53.32,53.86,53.13,53.53,49.3,519654
2021-09-23,53.75,54.3,53.68,54.095,49.83,641207
2021-09-24,53.76,54.4,53.76,54.23,49.95,343384
2021-09-27,53.93,54.86,53.89,54.675,50.36,357660
2021-09-28,54.065,54.58,53.97,54.01,49.75,741101
2021-09-29,53.86,54.035,53.18,53.49,49.27,564876
2021-09-30,53.74,53.98,53.305,53.305,49.1,457286
2021-10-01,53.69,54.1,53.05,53.82,49.57,361170
2021-10-04,53.92,54.31,53.21,53.51,49.29,558315
2021-10-05,53.72,54.34,53.48,53.945,49.69,400377
2021-10-06,53.42,54.05,53.075,53.99,49.73,479512
2021-10-07,54.29,54.985,54.13,54.13,49.86,462449
2021-10-08,54.54,54.58,53.705,53.81,49.56,333700
2021-10-11,53.83,54.41,53.42,53.43,49.21,231307
2021-10-12,53.545,53.68,52.01,52.2,48.08,556985
2021-10-13,52.52,52.565,51.87,52.29,48.16,411869
2021-10-14,52.85,53.995,52.735,53.9,49.65,622273
2021-10-15,54.2,54.48,53.82,54.46,50.16,678802
2021-10-18,54.17,54.555,53.75,54.46,50.16,377586
2021-10-19,54.575,55.22,54.4,55.205,50.85,494010
2021-10-20,55.18,55.485,55.09,55.38,51.01,539776
2021-10-21,54.92,56.06,54.855,56.06,51.64,732171
2021-10-22,50.34,50.53,49.14,49.455,45.55,3175376
2021-10-25,49.82,50.06,49.31,49.41,45.51,1229611
2021-10-26,49.405,49.41,47.93,48.27,44.46,1519152
2021-10-27,48.52,48.79,47.875,47.875,44.1,961729
2021-10-28,48.17,48.34,47.88,48.1,44.3,943209
2021-10-29,48.08,49.265,47.95,49.01,45.14,1239664
2021-11-01,49.345,49.595,49.01,49.56,45.65,885312
2021-11-02,49.61,49.89,49.24,49.88,45.94,555579
2021-11-03,49.96,50.445,49.71,50.39,46.41,399670
2021-11-04,50.19,50.34,49.735,50.34,46.69,868900
2021-11-05,50.63,51.575,50.6,50.92,47.23,712779
2021-11-08,51.46,51.985,51.07,51.57,47.83,700900
2021-11-09,51.65,51.74,50.78,51.215,47.5,512540
2021-11-10,50.84,51.375,50.715,50.75,47.07,662554
2021-11-11,51.05,51.06,50.41,50.535,46.87,786261
2021-11-12,50.595,50.9,50.19,50.33,46.68,540336
2021-11-15,50.45,50.62,50.125,50.285,46.64,554904
2021-11-16,50.37,51.145,50.36,50.595,46.93,554255
2021-11-17,50.6,50.93,49.985,50.22,46.58,1027982
2021-11-18,50.23,50.235,48.97,49.67,46.07,555634
2021-11-19,49.62,49.67,49.245,49.51,45.92,668117
2021-11-22,49.56,50.845,49.41,49.81,46.2,900600
2021-11-23,50.16,50.45,48.93,49.13,45.57,751946
2021-11-24,48.77,49.77,48.65,49.77,46.16,511915
2021-11-26,48.88,49.17,48.12,48.93,45.38,496793
2021-11-29,49.3,50.125,48.72,50.02,46.39,728576
2021-11-30,49.5,50.36,48.7,49.22,45.65,744076
2021-12-01,49.85,50.3,48.545,48.545,45.02,843736
2021-12-02,48.57,49.785,48.33,49.53,45.94,598070
2021-12-03,49.72,50.05,48.765,49.25,45.68,982595
2021-12-06,49.475,51.205,49.195,50.99,47.29,806866
2021-12-07,54.65,55.0,52.215,52.57,48.76,2269269
2021-12-08,52.58,52.865,51.385,51.78,48.02,653354
2021-12-09,51.25,51.565,50.45,50.48,46.82,732917
2021-12-10,50.86,51.05,50.055,50.64,46.97,433102
2021-12-13,50.85,51.0,49.95,50.0,46.37,539375
2021-12-14,49.805,50.26,49.325,49.75,46.14,912254
2021-12-15,49.87,50.78,49.34,50.75,47.07,779018
2021-12-16,50.8,51.38,50.59,50.79,47.11,1020406
2021-12-17,50.6,51.0,50.01,50.57,46.9,567232
2021-12-20,49.9,50.1,48.98,49.61,46.01,666308
2021-12-21,49.99,50.84,49.95,50.795,47.11,609823
2021-12-22,50.64,51.005,50.21,50.97,47.27,440867
2021-12-23,51.08,51.725,51.05,51.29,47.57,409002
2021-12-27,51.38,52.05,51.32,51.93,48.16,426212
2021-12-28,51.92,52.105,51.64,51.77,48.01,482117
2021-12-29,51.76,52.11,51.66,51.82,48.06,279772
2021-12-30,51.93,52.13,51.65,51.76,48.01,308659
2021-12-31,51.88,52.14,51.475,51.51,47.77,299564
2022-01-03,51.65,53.225,51.63,53.2,49.34,687109
2022-01-04,53.62,53.93,52.67,53.09,49.24,1142598
2022-01-05,54.16,56.145,53.835,53.85,49.94,1236205
2022-01-06,54.57,54.655,53.42,54.045,50.12,732715
2022-01-07,54.19,54.36,53.33,53.42,49.55,599669
2022-01-10,53.86,55.305,53.34,55.24,51.23,1857313
2022-01-11,55.51,56.075,54.735,55.945,51.89,1285587
2022-01-12,56.15,56.28,54.82,55.75,51.71,646187
2022-01-13,56.0,56.2,54.77,54.96,50.97,1041917
2022-01-14,54.88,55.77,54.54,55.7,51.66,746599
2022-01-18,55.25,55.64,54.68,54.79,50.82,609580
2022-01-19,54.67,54.85,53.57,53.6,49.71,624789
2022-01-20,53.87,54.07,51.945,52.05,48.27,806908
