date,open,high,low,close,adj_close,volume
2021-06-09,37.42,37.635,37.2,37.445,32.06,110456
2021-06-10,37.435,38.0,37.39,37.95,32.49,56515
2021-06-11,37.97,37.97,37.575,37.67,32.25,59145
2021-06-14,37.765,37.785,37.545,37.76,32.33,52497
2021-06-15,37.87,37.87,37.425,37.44,32.05,41367
2021-06-16,37.39,37.7,37.145,37.145,31.8,124992
2021-06-17,37.265,37.51,37.11,37.43,32.04,157769
2021-06-18,37.14,37.285,36.51,36.57,31.31,120133
2021-06-21,36.66,37.64,36.66,37.54,32.14,56104
2021-06-22,37.61,37.63,37.245,37.38,32.0,97773
2021-06-23,37.32,37.86,37.275,37.61,32.2,97079
2021-06-24,37.41,37.64,37.41,37.53,32.13,107483
2021-06-25,37.54,37.985,37.445,37.96,32.5,90465
2021-06-28,37.875,37.875,37.4,37.725,32.3,89257
2021-06-29,37.49,37.81,37.43,37.53,32.13,93256
2021-06-30,37.59,37.84,37.275,37.34,31.97,158709
2021-07-01,37.235,37.68,37.1,37.59,32.18,148071
2021-07-02,37.73,37.925,37.68,37.87,32.42,62384
2021-07-06,38.06,38.86,37.85,38.76,33.18,127644
2021-07-07,38.62,39.385,38.5,38.985,33.38,126236
2021-07-08,38.68,39.59,38.46,39.38,33.71,109722
2021-07-09,39.52,39.9,39.29,39.9,34.16,173615
2021-07-12,39.89,40.19,39.745,40.12,34.35,89380
2021-07-13,40.06,40.15,39.595,39.64,33.94,75324
2021-07-14,39.6,40.075,39.6,39.855,34.12,87795
2021-07-15,39.715,39.89,39.63,39.835,34.1,111873
2021-07-16,39.895,40.21,39.895,39.97,34.22,61149
2021-07-19,39.7,39.7,38.87,39.22,33.58,86404
2021-07-20,39.3,40.52,39.26,40.28,34.48,71380
2021-07-21,40.28,40.39,39.85,39.9,34.16,99549
2021-07-22,39.915,39.99,39.705,39.82,34.09,53535
2021-07-23,39.925,40.585,39.91,40.53,34.7,53987
2021-07-26,40.5,40.55,40.085,40.24,34.45,66040
2021-07-27,40.32,40.8,40.205,40.725,34.87,170068
2021-07-28,40.63,40.7,40.285,40.53,34.7,184869
2021-07-29,40.49,41.09,40.08,40.65,34.8,232915
2021-07-30,40.92,41.19,40.69,40.7,34.84,181647
2021-08-02,40.925,41.16,40.53,40.61,34.77,97558
2021-08-03,40.715,40.79,40.12,40.4,34.59,83148
2021-08-04,40.45,40.58,40.17,40.425,34.61,85539
2021-08-05,40.62,40.75,40.11,40.44,34.62,75885
2021-08-06,40.44,40.515,40.135,40.135,34.36,57664
2021-08-09,40.01,40.01,39.66,39.78,34.2,64461
2021-08-10,39.905,39.905,38.89,38.91,33.45,84494
2021-08-11,39.1,39.205,38.905,39.12,33.63,81232
2021-08-12,39.17,39.37,39.1,39.23,33.73,64008
2021-08-13,39.54,39.625,39.185,39.615,34.06,95385
2021-08-16,39.5,39.695,39.32,39.655,34.09,132166
2021-08-17,39.53,40.23,39.45,39.605,34.05,188208
2021-08-18,39.47,40.28,39.24,40.145,34.51,202732
2021-08-19,39.79,40.42,39.78,40.22,34.58,90676
2021-08-20,40.245,40.66,40.16,40.475,34.8,87321
2021-08-23,40.535,40.82,40.28,40.35,34.69,86269
2021-08-24,40.47,40.47,39.88,40.115,34.49,123988
2021-08-25,39.96,40.5,39.96,40.1,34.48,121961
2021-08-26,40.19,40.56,40.125,40.3,34.65,101356
2021-08-27,40.32,40.53,40.17,40.51,34.83,74918
2021-08-30,40.69,41.33,40.36,41.31,35.52,123385
2021-08-31,41.08,41.24,40.87,41.185,35.41,66778
2021-09-01,41.51,42.08,41.295,41.93,36.05,150208
2021-09-02,42.11,42.435,41.625,42.435,36.48,107025
2021-09-03,42.06,42.12,41.13,41.95,36.07,98550
2021-09-07,41.81,41.81,41.08,41.32,35.53,143043
2021-09-08,41.215,41.945,41.17,41.695,35.85,78372
2021-09-09,41.65,41.65,41.06,41.125,35.36,115940
2021-09-10,41.22,41.22,40.24,40.285,34.64,141152
2021-09-13,40.49,40.935,40.4,40.57,34.88,142848
2021-09-14,40.63,40.76,40.37,40.58,34.89,111068
2021-09-15,40.525,40.77,40.335,40.375,34.71,121651
2021-09-16,40.18,40.77,39.935,40.475,34.8,208014
2021-09-17,40.26,40.525,39.8,39.895,34.3,227365
2021-09-20,39.58,40.03,39.305,39.87,34.28,191286
2021-09-21,40.16,40.465,40.0,40.0,34.39,127668
2021-09-22,40.1,40.785,40.055,40.53,34.85,208464
2021-09-23,40.86,41.17,40.48,40.48,34.8,199053
2021-09-24,39.86,40.04,39.54,39.625,34.07,271608
2021-09-27,39.56,39.56,38.52,38.56,33.15,219804
2021-09-28,38.17,38.79,38.15,38.575,33.17,98117
2021-09-29,38.76,39.2,38.76,38.96,33.5,135416
2021-09-30,39.16,39.16,38.3,38.32,32.95,79289
2021-10-01,38.57,39.06,38.25,38.81,33.37,71275
2021-10-04,38.59,38.96,38.56,38.78,33.34,61300
2021-10-05,38.85,38.85,38.34,38.42,33.03,78378
2021-10-06,38.32,38.67,37.77,38.65,33.23,145398
2021-10-07,38.78,38.98,38.35,38.54,33.14,96186
2021-10-08,38.605,38.775,38.35,38.52,33.12,130465
2021-10-11,38.39,38.675,38.39,38.625,33.21,109314
2021-10-12,38.67,39.16,38.56,38.975,33.51,162664
2021-10-13,38.905,39.885,38.81,39.87,34.28,173456
2021-10-14,40.03,40.32,39.98,40.265,34.62,55137
2021-10-15,40.44,40.495,40.035,40.19,34.55,119769
2021-10-18,39.8,40.38,39.8,40.25,34.61,88431
2021-10-19,40.33,40.49,40.14,40.185,34.55,92361
2021-10-20,40.12,40.52,40.11,40.48,34.8,68804
2021-10-21,40.44,40.45,40.19,40.305,34.65,89420
2021-10-22,40.56,41.21,40.5,40.885,35.15,102864
2021-10-26,41.12,41.2,40.95,40.95,35.21,101323
2021-10-27,41.205,41.205,40.35,40.475,34.8,121874
2021-10-28,40.4,41.48,40.36,41.375,35.57,209491
2021-10-29,41.33,41.77,41.065,41.245,35.46,108732
2021-11-01,41.13,41.25,40.25,41.11,35.34,90454
2021-11-02,41.36,41.83,41.16,41.54,35.71,49134
2021-11-03,41.57,41.76,41.1,41.5,35.68,49520
2021-11-04,41.35,41.685,40.59,40.71,35.0,87040
2021-11-05,41.01,41.32,40.73,40.82,35.1,96340
2021-11-08,40.61,40.67,40.06,40.45,34.92,96453
2021-11-09,40.44,40.6,40.23,40.535,35.0,132570
2021-11-10,40.39,40.71,40.39,40.57,35.03,77513
2021-11-11,40.5,40.55,40.17,40.54,35.0,78138
2021-11-12,40.6,40.76,40.455,40.555,35.01,58913
2021-11-15,40.5,40.91,40.41,40.89,35.3,86764
2021-11-16,40.89,40.94,40.33,40.505,34.97,106444
2021-11-17,40.38,40.505,39.705,40.5,34.97,166727
2021-11-18,40.67,41.06,40.495,41.06,35.45,236719
