date,open,high,low,close,adj_close,volume
2021-06-09,46.955,47.33,46.625,47.03,38.45,40666
2021-06-10,47.04,47.18,46.03,46.4,37.94,62256
2021-06-11,46.21,46.46,45.8,46.3,37.85,52040
2021-06-14,45.74,46.15,45.535,45.94,38.07,48492
2021-06-15,45.79,46.04,45.69,45.95,38.08,50855
2021-06-16,45.77,45.79,45.195,45.37,37.6,64589
2021-06-17,45.29,45.715,45.09,45.58,37.77,73025
2021-06-18,45.42,45.445,44.23,44.25,36.67,47302
2021-06-21,44.53,45.43,44.52,45.37,37.6,35987
2021-06-22,45.1,45.175,43.675,43.755,36.26,75159
2021-06-23,43.7,43.7,43.23,43.5,36.05,109311
2021-06-24,43.76,43.8,43.25,43.37,35.94,58628
2021-06-25,43.21,43.39,43.1,43.17,35.77,41950
2021-06-28,43.1,43.31,42.835,42.96,35.6,48140
2021-06-29,42.87,42.965,42.2,42.325,35.07,179247
2021-06-30,42.29,42.87,42.215,42.335,35.08,163714
2021-07-01,42.565,42.93,42.24,42.605,35.3,70868
2021-07-02,42.59,42.82,42.26,42.76,35.43,59507
2021-07-06,42.64,42.64,42.095,42.39,35.13,68291
2021-07-07,42.17,42.94,41.995,42.73,35.41,42778
2021-07-08,42.43,42.89,42.275,42.6,35.3,22519
2021-07-09,43.01,44.12,42.97,43.72,36.23,61919
2021-07-12,43.47,44.61,43.4,44.52,36.89,57491
2021-07-13,44.72,45.03,44.0,44.2,36.63,69070
2021-07-14,44.17,44.555,44.05,44.23,36.65,61107
2021-07-15,44.255,44.67,43.81,44.03,36.49,39378
2021-07-16,44.14,44.17,43.26,43.32,35.9,40113
2021-07-19,42.7,43.03,42.21,42.77,35.44,111002
2021-07-20,43.07,44.03,43.07,43.79,36.29,39401
2021-07-21,43.97,44.38,43.755,43.895,36.37,35582
2021-07-22,44.0,44.0,43.46,43.55,36.09,37265
2021-07-23,43.6,43.6,43.205,43.41,35.97,24196
2021-07-26,43.43,43.61,43.13,43.6,36.13,44040
2021-07-27,43.29,43.98,43.18,43.96,36.43,32957
2021-07-28,43.86,43.95,43.13,43.42,35.98,46572
2021-07-29,43.545,44.115,43.395,43.46,36.01,45825
2021-07-30,43.51,44.05,43.49,43.75,36.25,82735
2021-08-02,44.04,44.4,43.68,43.75,36.25,27365
2021-08-03,43.74,43.955,43.5,43.89,36.37,23936
2021-08-04,43.82,43.91,43.16,43.33,35.91,39314
