date,open,high,low,close,adj_close,volume
2021-06-09,57.43,57.67,57.25,57.29,56.38,23118
2021-06-10,57.595,57.625,57.03,57.34,56.43,15228
2021-06-11,57.85,58.0,57.36,57.89,56.97,33168
2021-06-14,58.14,58.49,57.32,57.44,56.52,42472
2021-06-15,57.3,57.39,56.52,56.67,55.77,61947
2021-06-16,56.69,57.05,56.19,56.58,55.68,56544
2021-06-17,58.04,58.88,56.23,57.855,56.93,142022
2021-06-18,57.2,57.51,55.33,55.695,54.81,119233
2021-06-21,56.19,56.93,55.7,56.745,55.84,56573
2021-06-22,56.72,57.15,56.2,56.97,56.06,38302
2021-06-23,56.95,56.98,56.56,56.57,55.67,22691
2021-06-24,56.95,57.7,56.74,57.56,56.64,22059
2021-06-25,57.69,58.03,57.28,57.44,56.52,46491
2021-06-28,57.73,58.45,57.68,58.195,57.27,26677
2021-06-29,58.07,58.57,57.93,58.34,57.41,26516
2021-06-30,58.11,58.34,57.6,58.14,57.21,29401
2021-07-01,58.295,58.295,57.67,58.04,57.12,20654
2021-07-02,58.165,58.44,57.99,58.34,57.41,14907
2021-07-06,58.29,58.29,56.44,57.08,56.17,25786
2021-07-07,57.46,57.68,56.44,57.48,56.56,21155
2021-07-08,56.24,57.13,55.625,56.34,55.44,44205
2021-07-09,56.75,58.175,56.75,57.88,56.96,28745
2021-07-12,57.88,58.17,57.7,57.94,57.02,32541
2021-07-13,57.585,57.68,56.91,57.02,56.11,24348
2021-07-14,57.89,58.595,57.005,57.02,56.11,35839
2021-07-15,56.37,56.84,55.87,56.19,55.29,28486
2021-07-16,56.71,56.71,54.72,54.83,53.96,34114
2021-07-19,53.8,54.085,53.25,53.56,52.71,46087
2021-07-20,54.03,55.61,53.91,55.15,54.27,36520
2021-07-21,55.815,56.69,55.74,56.455,55.56,25123
2021-07-22,56.26,56.28,55.51,55.62,54.73,28413
2021-07-23,56.61,56.945,56.43,56.945,56.04,23790
2021-07-26,57.02,57.645,56.8,57.46,56.54,29227
2021-07-27,56.835,56.945,55.61,56.945,56.04,34554
2021-07-28,57.35,58.16,56.89,57.89,56.97,33097
2021-07-29,58.7,59.53,58.46,58.96,58.02,30095
2021-07-30,58.82,59.9,58.82,59.57,58.62,31121
2021-08-02,60.0,61.23,59.12,59.12,58.18,44901
2021-08-03,59.36,60.195,58.83,60.02,59.06,40748
2021-08-04,59.91,59.97,58.9,58.95,58.01,56550
