date,open,high,low,close,adj_close,volume
2021-06-09,22.49,22.5,22.2,22.265,17.46,93249
2021-06-10,22.56,22.65,21.76,21.775,17.08,127716
2021-06-11,21.88,22.08,21.78,21.95,17.22,81083
2021-06-14,21.89,21.96,21.325,21.545,16.9,175818
2021-06-15,21.56,21.885,21.435,21.675,17.0,214825
2021-06-16,21.53,21.96,21.255,21.87,17.15,314606
2021-06-17,22.05,22.13,20.46,20.51,16.09,231150
2021-06-18,20.03,20.26,19.795,19.905,15.61,246302
2021-06-21,20.15,20.605,20.1,20.58,16.14,140000
2021-06-22,20.46,20.71,20.295,20.56,16.13,174414
2021-06-23,20.71,20.815,20.59,20.61,16.17,188418
2021-06-24,20.695,21.02,20.535,20.94,16.42,162440
2021-06-25,21.055,21.31,20.895,21.26,16.68,204289
2021-06-28,21.07,21.07,20.545,20.67,16.21,327508
2021-06-29,20.82,20.97,20.41,20.515,16.09,316673
2021-06-30,20.455,20.75,20.44,20.65,16.2,117224
2021-07-01,20.83,20.96,20.66,20.865,16.37,246423
2021-07-02,20.9,20.905,20.61,20.73,16.26,168201
2021-07-06,20.65,20.65,20.025,20.07,15.74,228981
2021-07-07,19.8,20.17,19.79,19.91,15.62,160976
2021-07-08,19.46,19.725,19.265,19.41,15.22,368753
2021-07-09,19.86,20.21,19.705,20.17,15.82,136101
2021-07-12,19.87,20.48,19.73,20.42,16.02,115931
2021-07-13,20.4,20.4,19.92,20.07,15.74,147683
2021-07-14,20.13,20.39,19.68,19.995,15.68,190220
2021-07-15,19.8,20.315,19.73,20.16,15.81,169963
2021-07-16,20.32,20.32,19.3,19.35,15.18,219477
2021-07-19,18.85,19.005,18.35,18.5,14.51,432939
2021-07-20,17.99,19.39,17.95,19.1,14.98,332545
2021-07-21,19.32,19.65,19.31,19.405,15.22,331101
2021-07-22,19.285,19.34,18.88,19.0,14.9,195143
2021-07-23,19.255,19.5,19.02,19.095,14.98,197762
2021-07-26,19.21,19.52,19.185,19.34,15.17,184302
2021-07-27,19.09,19.54,18.995,19.36,15.19,230998
2021-07-28,19.475,19.805,19.225,19.585,15.36,237712
2021-07-29,19.86,20.045,19.64,19.855,15.57,371135
2021-07-30,19.78,20.06,19.56,19.665,15.42,286348
2021-08-02,19.82,20.29,19.53,19.53,15.32,253117
2021-08-03,19.71,20.065,19.3,20.005,15.69,173194
2021-08-04,19.69,20.095,19.6,19.65,15.41,136303
2021-08-05,19.825,19.985,19.76,19.895,15.6,169285
2021-08-06,20.21,20.555,20.17,20.335,15.95,198856
2021-08-09,20.17,20.455,20.015,20.2,15.84,140805
2021-08-10,20.165,20.675,20.165,20.59,16.15,241012
2021-08-11,20.63,20.915,20.385,20.885,16.38,152597
2021-08-12,20.82,20.93,20.625,20.82,16.33,134429
2021-08-13,20.95,20.97,20.585,20.68,16.22,225328
2021-08-16,20.42,20.625,20.235,20.52,16.09,143478
2021-08-17,20.31,20.45,19.915,20.205,15.85,126867
2021-08-18,20.06,20.41,19.99,20.015,15.7,98976
2021-08-19,19.72,19.965,19.575,19.725,15.47,198735
2021-08-20,19.61,19.91,19.6,19.905,15.61,105823
2021-08-23,20.105,20.265,20.035,20.145,15.8,103367
2021-08-24,20.26,20.475,20.23,20.415,16.01,94802
2021-08-25,20.5,20.975,20.405,20.84,16.35,131581
2021-08-26,20.93,20.93,20.415,20.52,16.09,122654
2021-08-27,20.58,20.93,20.48,20.885,16.38,139897
2021-08-30,20.73,20.73,20.16,20.175,15.97,86775
2021-08-31,20.24,20.455,20.12,20.31,16.07,180784
2021-09-01,20.31,20.31,19.935,20.01,15.84,275897
2021-09-02,20.03,20.32,19.935,20.13,15.93,179371
2021-09-03,20.17,20.225,19.905,20.07,15.88,204753
2021-09-07,20.12,20.39,20.035,20.045,15.86,131898
2021-09-08,19.97,20.045,19.71,19.74,15.62,101668
2021-09-09,19.66,20.155,19.65,19.97,15.8,109787
2021-09-10,20.12,20.15,19.87,19.87,15.72,165405
2021-09-13,20.24,20.755,20.12,20.72,16.4,485074
2021-09-14,20.77,20.935,20.465,20.605,16.31,967142
2021-09-15,20.725,21.14,20.725,20.98,16.6,258908
2021-09-16,21.12,21.21,20.855,20.89,16.53,291299
2021-09-17,20.97,21.14,20.69,20.75,16.42,317172
2021-09-20,20.07,20.115,19.69,20.06,15.87,337539
2021-09-21,20.21,20.25,19.805,19.95,15.79,323179
2021-09-22,20.24,20.53,20.175,20.31,16.07,199390
2021-09-23,20.535,21.14,20.5,20.985,16.61,316121
2021-09-24,21.01,21.34,20.98,21.13,16.72,233172
2021-09-27,21.46,21.925,21.46,21.83,17.28,176881
2021-09-28,22.01,22.095,21.7,21.755,17.22,224098
2021-09-29,21.85,22.065,21.665,21.98,17.39,216246
2021-09-30,22.09,22.14,21.62,21.62,17.11,235752
2021-10-01,21.78,22.495,21.78,22.32,17.66,268441
2021-10-04,22.375,22.825,22.29,22.4,17.73,289914
2021-10-05,22.59,22.875,22.375,22.7,17.96,271023
2021-10-06,22.48,22.645,22.13,22.62,17.9,251540
2021-10-07,22.82,22.97,22.515,22.68,17.95,565061
