date,open,high,low,close,adj_close,volume
2021-06-09,387.37,389.18,385.28,386.81,338.03,24794
2021-06-10,388.84,389.6,386.4,387.62,338.74,21402
2021-06-11,389.15,389.15,385.34,387.78,338.88,31626
2021-06-14,387.4,389.415,385.96,389.17,340.09,38055
2021-06-15,390.07,392.0,389.22,389.92,340.75,42332
2021-06-16,390.15,390.61,383.23,383.4,335.05,101664
2021-06-17,384.42,385.51,379.74,382.94,334.65,62156
2021-06-18,380.48,382.1,379.08,379.1,331.29,70860
2021-06-21,381.35,385.1,381.35,382.485,334.25,86236
2021-06-22,381.67,383.73,379.83,382.52,334.28,33712
2021-06-23,382.35,382.35,377.27,377.28,329.7,71901
2021-06-24,379.99,379.99,377.0,377.735,330.1,46770
2021-06-25,377.99,383.31,377.74,381.93,333.77,43910
2021-06-28,381.04,381.04,379.0,380.07,332.14,32936
2021-06-29,379.945,380.22,373.29,373.37,326.29,62351
2021-06-30,374.055,379.31,373.65,378.515,330.78,61363
2021-07-01,378.69,381.115,377.225,380.15,332.21,41963
2021-07-02,381.48,383.14,379.03,381.46,333.36,26428
2021-07-06,380.325,380.34,373.79,378.84,331.07,55799
2021-07-07,378.43,384.595,378.43,383.39,335.04,36003
2021-07-08,379.74,381.61,377.965,380.07,332.14,33311
2021-07-09,383.475,384.22,380.88,383.12,334.81,23381
2021-07-12,380.6,383.315,376.31,378.71,330.95,58108
2021-07-13,379.27,380.51,377.645,377.645,330.02,24559
2021-07-14,377.74,378.32,375.345,377.06,329.51,34363
2021-07-15,375.72,378.59,375.17,378.23,330.53,38768
2021-07-16,376.14,379.695,375.28,377.26,329.69,37741
2021-07-19,375.43,376.4,367.59,371.78,324.9,58634
2021-07-20,373.35,380.58,373.35,379.99,332.07,52249
2021-07-21,380.26,384.42,379.52,380.87,332.84,32559
2021-07-22,380.225,381.47,378.365,379.76,331.87,36602
2021-07-23,381.75,382.415,380.36,380.87,332.84,33228
2021-07-26,373.85,373.85,366.57,368.02,321.61,109184
2021-07-27,368.97,375.44,368.83,374.65,327.4,53940
2021-07-28,375.35,375.87,370.705,372.925,325.9,39462
2021-07-29,375.56,375.56,371.8,372.5,325.53,39700
2021-07-30,372.49,373.64,370.11,371.55,324.7,30948
2021-08-02,372.44,374.635,368.12,368.18,321.75,40459
2021-08-03,369.45,369.68,366.06,369.38,322.8,51387
2021-08-04,363.77,364.975,359.68,361.78,316.16,74878
2021-08-05,363.02,363.02,360.03,360.72,315.23,50861
2021-08-06,362.57,363.26,360.62,362.0,316.35,28021
2021-08-09,360.38,362.18,359.85,360.81,315.31,29356
2021-08-10,360.49,362.95,360.15,362.395,316.7,28239
2021-08-11,362.02,364.08,361.0,363.385,317.56,35259
2021-08-12,363.42,364.19,359.12,359.705,314.34,42948
2021-08-13,360.305,360.72,357.62,357.84,312.71,69316
2021-08-16,358.37,360.44,356.06,360.26,314.83,161163
2021-08-17,359.27,362.425,358.86,361.6,316.0,46153
2021-08-18,360.32,360.32,356.63,356.65,311.67,32272
2021-08-19,355.015,359.805,353.65,353.655,309.06,37909
2021-08-20,354.71,358.625,354.52,357.43,312.36,27678
2021-08-23,357.84,358.95,356.63,357.55,312.46,22510
2021-08-24,358.52,360.155,358.155,358.99,313.72,29032
2021-08-25,359.04,360.46,358.14,358.77,313.53,25988
2021-08-26,358.74,361.91,357.51,361.62,316.02,50938
2021-08-27,363.4,364.26,361.235,362.02,316.37,31799
2021-08-30,362.665,363.82,361.91,362.09,316.43,27048
2021-08-31,359.435,360.77,358.83,359.87,316.76,38760
2021-09-01,359.24,359.24,356.57,356.82,314.08,50173
2021-09-02,356.965,358.72,355.52,358.135,315.24,89595
2021-09-03,357.82,358.27,355.76,356.015,313.37,45130
2021-09-07,354.56,354.56,349.17,349.19,307.36,83923
2021-09-08,349.71,353.535,349.63,351.45,309.35,75950
2021-09-09,350.35,351.525,348.015,348.985,307.18,65801
2021-09-10,349.395,350.06,345.865,345.94,304.5,71199
2021-09-13,347.915,349.06,342.76,346.37,304.88,85188
2021-09-14,348.14,348.14,342.71,344.35,303.1,79354
2021-09-15,344.765,346.805,343.98,345.02,303.69,42816
2021-09-16,345.485,345.78,340.81,341.38,300.49,64456
2021-09-17,341.07,342.755,339.42,340.84,300.01,63762
2021-09-20,337.4,340.65,335.89,338.46,297.92,47836
2021-09-21,339.2,340.01,335.17,336.3,296.02,39214
2021-09-22,339.44,342.95,339.44,341.88,300.93,58925
2021-09-23,340.43,344.75,340.28,344.07,302.86,61345
2021-09-24,348.61,352.83,347.63,349.61,307.73,56189
2021-09-27,351.89,357.21,351.71,353.26,310.95,73587
2021-09-28,353.86,354.56,350.01,352.16,309.98,50374
2021-09-29,348.22,352.2,345.005,350.455,308.48,75210
2021-09-30,351.62,352.3,344.92,344.92,303.6,68629
2021-10-01,347.05,349.66,342.86,347.74,306.09,31378
2021-10-04,349.595,349.94,344.01,346.03,304.58,49335
2021-10-05,345.27,350.3,345.27,347.73,306.08,25381
2021-10-06,346.58,350.14,344.39,350.14,308.2,52011
2021-10-07,351.75,354.22,351.495,351.75,309.62,32395
2021-10-08,352.43,355.05,350.88,353.8,311.42,26523
2021-10-11,354.7,359.21,354.335,357.0,314.24,57788
2021-10-12,356.645,360.065,356.58,358.34,315.42,23435
2021-10-13,358.89,362.37,353.68,361.84,318.5,57408
2021-10-14,362.61,364.03,360.51,362.09,318.72,31575
2021-10-15,364.245,366.17,364.09,365.51,321.73,26170
2021-10-18,363.73,367.75,361.875,364.97,321.25,40717
2021-10-19,365.77,371.075,363.67,371.075,326.63,40267
2021-10-20,371.75,372.505,369.94,371.04,326.6,33868
2021-10-21,369.57,373.23,367.41,373.13,328.43,27948
2021-10-22,373.35,376.915,372.9,374.77,329.88,57722
2021-10-26,348.75,351.0,326.075,332.115,292.33,304167
2021-10-27,332.98,336.16,330.76,330.98,291.33,72946
2021-10-28,329.67,334.58,325.16,331.35,291.66,114882
2021-10-29,330.58,334.33,328.85,332.29,292.49,61469
2021-11-01,330.94,334.14,330.1,330.89,291.25,106841
2021-11-02,331.43,331.92,325.33,326.24,287.16,124406
2021-11-03,325.37,332.99,324.715,331.33,291.64,79319
2021-11-04,331.33,335.7,331.3,335.46,295.28,198111
2021-11-05,337.55,340.485,336.51,339.71,299.02,55713
2021-11-08,341.625,342.9,337.62,341.76,300.82,41863
2021-11-09,341.59,341.59,337.175,338.12,297.62,66652
2021-11-10,339.47,340.48,337.55,337.55,297.12,53386
2021-11-11,335.05,336.91,334.71,335.86,295.63,47584
2021-11-12,336.2,340.27,336.13,339.155,298.53,48841
2021-11-15,340.87,341.59,339.55,340.89,300.06,36352
2021-11-16,342.1,343.57,339.81,340.42,299.64,36311
2021-11-17,340.705,343.32,340.6,341.995,301.03,69204
2021-11-18,342.17,343.06,340.38,341.985,301.02,69567
2021-11-19,340.95,342.99,339.56,341.48,300.58,60073
2021-11-22,341.77,347.52,341.58,345.03,303.7,64204
2021-11-23,345.53,348.04,344.755,345.23,303.88,35259
2021-11-24,346.51,346.71,343.1,343.57,302.42,38833
2021-11-26,339.06,343.21,338.57,342.63,301.59,50159
2021-11-29,344.01,344.01,339.26,341.17,300.3,76951
2021-11-30,336.79,338.23,333.05,333.16,295.68,88759
2021-12-01,335.27,335.78,328.325,328.41,291.46,115197
2021-12-02,331.08,333.89,328.44,330.46,293.28,147516
2021-12-03,332.14,334.35,330.38,333.72,296.18,84876
2021-12-06,337.53,342.36,337.53,339.92,301.68,77902
2021-12-07,340.195,341.76,338.8,339.175,301.02,70995
2021-12-08,341.39,342.36,339.13,341.18,302.8,105476
2021-12-09,340.07,345.06,338.47,343.66,305.0,75603
2021-12-10,345.65,346.96,344.68,344.97,306.16,45239
2021-12-13,344.505,346.48,341.84,345.8,306.9,95914
2021-12-14,343.75,348.4,343.75,345.68,306.79,51412
2021-12-15,345.62,345.62,340.01,344.33,305.59,53285
2021-12-16,345.89,347.96,343.79,344.84,306.04,45314
2021-12-17,345.94,347.155,343.42,343.93,305.24,56552
2021-12-20,340.815,341.14,333.54,337.47,299.5,166576
2021-12-21,339.035,343.24,339.035,340.8,302.46,137591
2021-12-22,342.65,344.31,342.37,343.0,304.41,75368
2021-12-23,344.99,348.24,344.99,347.03,307.99,42622
2021-12-27,347.16,350.76,347.16,350.28,310.87,33748
2021-12-28,350.11,355.12,349.98,353.76,313.96,54468
2021-12-29,354.37,355.3,353.12,354.27,314.41,24393
2021-12-30,355.38,357.7,353.59,353.77,313.97,31252
2021-12-31,353.07,357.0,352.1,355.49,315.5,28601
2022-01-03,355.0,356.19,353.14,354.41,314.54,43168
2022-01-04,355.69,363.52,355.69,362.04,321.31,48527
2022-01-05,362.42,363.3,357.91,358.14,317.85,78285
2022-01-06,360.59,361.01,357.59,358.045,317.76,78688
2022-01-07,360.0,362.91,358.425,360.23,319.7,66933
2022-01-10,362.3,369.41,362.3,363.18,322.32,104772
2022-01-11,363.695,365.0,361.52,364.23,323.25,53815
2022-01-12,364.085,365.97,359.73,361.32,320.67,93569
2022-01-13,360.22,367.3,360.22,365.29,324.19,55446
2022-01-14,364.94,372.99,363.995,372.66,330.74,113012
2022-01-18,370.3,377.31,369.05,376.64,334.27,194117
2022-01-19,374.44,381.33,374.44,377.45,334.99,294364
2022-01-20,376.92,381.065,374.01,375.21,333.0,109613
2022-01-21,373.77,377.09,370.065,371.26,329.49,97611
2022-01-24,370.68,374.48,368.09,372.285,330.4,56298
2022-01-25,378.44,388.0,372.12,387.17,343.61,169879
2022-01-26,388.0,393.48,383.78,391.095,347.1,120246
2022-01-27,388.64,395.565,384.83,389.02,345.25,113883
2022-01-28,386.68,393.25,384.97,393.25,349.01,78486
2022-01-31,390.51,390.96,384.83,389.46,345.65,110548
2022-02-01,389.425,390.12,386.38,386.93,343.4,96598
2022-02-02,387.72,387.95,385.62,387.14,343.59,96286
2022-02-03,388.19,392.065,386.66,389.59,345.76,139784
2022-02-04,387.77,392.795,385.71,389.42,345.61,135233
2022-02-07,391.2,395.48,388.33,392.27,348.14,125934
2022-02-08,394.7,396.75,390.6,396.04,351.48,97274
2022-02-09,396.19,397.46,393.78,394.47,350.09,121247
2022-02-10,392.755,395.645,384.0,385.455,342.09,216526
2022-02-11,386.595,398.85,385.75,396.3,351.72,266704
2022-02-14,394.89,395.42,383.89,386.9,343.37,286095
2022-02-15,382.42,387.04,378.44,382.11,339.12,128703
2022-02-16,382.27,388.44,382.27,386.96,343.43,89669
2022-02-17,386.35,391.54,386.35,388.63,344.91,86514
2022-02-18,388.97,390.91,385.86,386.53,343.04,87281
2022-02-22,391.595,393.38,385.22,386.2,342.75,93439
2022-02-23,388.62,390.27,384.56,388.79,345.05,120559
2022-02-24,398.0,398.27,387.66,395.62,351.11,312575
2022-02-25,395.66,414.37,395.66,409.48,363.41,198968
2022-02-28,413.81,433.86,413.5,433.82,387.67,357664
2022-03-01,435.74,458.17,435.74,457.52,408.84,266824
2022-03-02,446.555,451.45,429.94,449.76,401.91,228923
2022-03-03,446.02,455.36,437.805,447.78,400.14,232683
2022-03-04,449.43,462.425,443.29,458.02,409.29,210732
2022-03-07,463.55,479.84,463.55,465.8,416.24,277205
2022-03-09,436.005,455.6,433.43,448.88,401.12,146043
2022-03-10,450.65,456.235,442.59,444.26,396.99,208265
2022-03-11,441.61,448.43,438.68,438.68,392.01,143557
2022-03-14,449.43,449.69,439.25,444.59,397.29,133750
2022-03-15,444.24,450.32,440.82,448.64,400.91,155556
2022-03-16,433.0,435.08,411.685,421.29,376.47,454798
2022-03-17,427.84,431.72,424.81,428.65,383.05,236591
2022-03-18,435.285,437.49,422.13,426.31,380.95,178011
2022-03-21,432.705,447.7,432.44,440.055,393.24,149307
2022-03-22,439.54,443.8,434.31,440.76,393.87,162720
2022-03-23,446.2,447.14,442.44,445.25,397.88,112872
2022-03-24,445.1,451.37,443.84,449.775,401.92,90657
2022-03-25,450.67,457.53,450.67,453.63,405.37,131162
2022-03-28,449.32,450.41,443.67,444.965,397.62,121520
2022-03-29,432.765,438.12,429.53,437.13,390.62,221052
2022-03-30,439.305,446.71,439.305,445.98,398.53,149984
2022-03-31,442.26,448.815,441.24,441.24,394.3,151784
2022-04-01,442.065,446.215,439.435,445.97,398.52,92606
2022-04-04,447.55,447.55,439.665,444.03,396.79,93370
2022-04-05,447.38,454.64,443.72,447.24,399.66,128932
2022-04-06,447.25,457.47,447.25,454.59,406.23,114296
2022-04-07,453.49,466.84,450.975,465.63,416.09,115186
2022-04-08,467.91,471.59,459.645,461.27,412.19,143018
2022-04-11,464.17,474.45,463.59,464.25,414.86,171372
2022-04-12,466.38,471.605,462.08,467.82,418.05,118934
2022-04-13,471.15,474.58,466.47,469.17,419.25,127543
2022-04-14,471.845,473.5,466.09,467.215,417.51,120754
2022-04-18,467.87,471.75,459.46,467.22,417.51,77513
2022-04-19,462.05,475.075,458.56,460.03,411.09,123788
2022-04-20,459.97,460.56,453.09,453.85,405.56,92331
2022-04-21,453.46,453.46,438.86,439.53,392.77,96779
2022-04-22,440.28,450.17,439.47,445.8,398.37,83857
2022-04-25,442.61,444.73,433.71,443.07,395.93,70929
2022-04-26,445.02,452.3,443.54,446.62,399.1,65276
2022-04-27,446.77,451.96,440.76,444.97,397.63,84302
2022-04-28,445.0,445.0,437.705,441.76,394.76,103691
2022-04-29,443.39,443.39,430.48,431.78,385.84,91493
2022-05-02,431.54,437.43,426.275,430.74,384.91,114534
2022-05-03,434.9,437.43,431.69,434.92,388.65,88847
2022-05-04,437.98,445.94,435.11,445.74,398.32,99930
2022-05-05,445.775,446.91,438.62,442.94,395.82,101774
2022-05-06,442.59,449.37,440.285,449.23,401.44,74319
2022-05-09,447.73,447.945,437.17,438.83,392.14,64904
2022-05-10,439.755,445.57,437.82,439.07,392.36,57163
2022-05-11,440.885,444.78,436.89,439.81,393.02,52836
2022-05-12,438.9,440.58,428.49,434.34,388.13,96743
2022-05-13,434.38,437.14,429.2,435.28,388.97,79772
2022-05-16,439.04,440.365,432.45,437.45,390.91,40433
2022-05-17,439.5,442.22,431.4,441.1,394.17,56593
2022-05-18,441.105,441.94,433.2,434.66,388.42,52454
2022-05-19,431.13,431.61,419.51,425.64,380.36,83063
2022-05-20,425.82,426.75,417.29,424.48,379.32,82534
2022-05-23,428.23,435.35,427.99,432.98,386.91,57544
2022-05-24,434.995,443.17,433.65,442.32,395.26,55954
2022-05-25,442.2,448.62,441.94,447.46,399.85,65152
2022-05-26,448.885,453.955,447.765,447.82,400.18,43803
2022-05-27,448.61,451.41,444.48,450.54,402.61,79040
2022-05-31,443.505,443.88,438.595,439.84,395.5,116724
2022-06-01,442.085,443.0,436.49,438.73,394.5,98437
2022-06-02,441.44,442.14,430.82,440.455,396.06,102556
2022-06-03,439.16,446.33,439.16,442.71,398.08,36313
2022-06-06,443.51,445.75,442.01,443.0,398.34,27364
2022-06-07,442.5,456.65,441.82,456.11,410.13,60252
2022-06-08,452.53,453.96,442.99,443.15,398.48,93489
2022-06-09,442.96,443.09,432.605,432.69,389.07,55255
2022-06-10,430.495,434.14,425.875,430.3,386.92,52841
2022-06-13,423.575,428.195,421.9,424.34,381.57,74359
2022-06-14,424.16,424.16,411.185,416.16,374.21,101013
2022-06-15,418.79,418.79,408.87,413.71,372.01,71436
2022-06-16,410.12,412.49,403.1,404.47,363.7,147989
2022-06-17,403.51,404.97,394.665,403.94,363.22,105252
2022-06-21,411.605,420.445,409.13,419.03,376.79,80300
2022-06-22,414.655,420.27,411.88,416.21,374.25,78875
2022-06-23,415.78,416.095,407.455,410.3,368.94,57134
2022-06-24,414.24,419.29,411.01,418.65,376.45,158445
2022-06-27,418.02,422.83,417.63,418.99,376.75,43462
2022-06-28,422.75,427.19,419.48,420.75,378.34,97757
2022-06-29,423.42,423.875,416.53,418.53,376.34,50659
2022-06-30,418.34,430.16,418.0,430.16,386.8,63160
2022-07-01,429.65,434.94,424.69,433.21,389.54,85131
2022-07-05,425.77,425.77,407.83,415.02,373.18,88335
2022-07-06,416.51,427.86,415.85,425.85,382.92,83934
2022-07-07,425.08,427.96,419.77,422.28,379.71,80843
2022-07-08,425.56,426.81,420.2,420.24,377.88,26077
2022-07-11,418.145,422.88,415.775,419.1,376.85,25106
2022-07-12,416.86,419.52,412.61,413.95,372.22,31948
2022-07-13,410.14,417.58,407.84,407.95,366.83,57871
2022-07-14,402.875,404.27,397.79,400.23,359.89,57754
2022-07-15,402.18,402.18,397.83,398.37,358.21,70560
2022-07-18,399.47,399.47,387.12,387.13,348.11,161102
2022-07-19,378.82,390.46,374.08,390.38,351.03,178426
2022-07-20,391.3,397.45,385.685,395.24,355.4,97861
2022-07-21,393.31,395.42,390.07,395.11,355.28,56085
2022-07-22,398.72,401.97,393.65,394.53,354.76,26999
2022-07-25,394.82,403.69,394.03,399.81,359.51,50284
2022-07-26,400.08,402.5,396.63,396.68,356.69,49853
2022-07-27,398.74,399.15,394.605,398.45,358.28,43742
2022-07-28,399.73,406.66,396.32,405.96,365.04,38036
2022-07-29,408.08,414.1,402.27,413.82,372.11,63864
2022-08-01,418.28,427.8,417.02,419.22,376.96,99246
2022-08-02,423.845,432.8,419.62,428.53,385.33,127112
2022-08-03,426.0,431.725,420.08,429.32,386.04,59977
2022-08-04,431.205,434.46,427.03,428.15,384.99,65640
2022-08-05,425.27,426.65,419.77,426.48,383.49,40410
2022-08-08,428.95,428.95,421.85,423.99,381.25,38266
2022-08-09,428.53,431.73,426.68,428.38,385.2,32729
2022-08-10,429.42,432.07,426.74,429.56,386.26,59401
2022-08-11,429.0,432.28,427.4,428.57,385.37,48419
2022-08-12,429.445,434.2,427.21,434.2,390.43,30150
2022-08-15,430.13,439.73,430.13,438.23,394.05,34164
2022-08-16,437.49,442.655,437.49,440.3,395.92,43250
2022-08-17,436.62,445.46,436.62,441.56,397.05,41909
2022-08-18,443.93,444.23,437.08,439.21,394.94,39308
2022-08-19,439.07,440.37,436.46,439.94,395.59,52197
2022-08-22,438.01,441.57,431.91,432.56,388.96,52265
2022-08-23,432.35,434.68,430.4,433.0,389.35,40660
2022-08-24,433.16,435.28,431.01,433.68,389.96,32344
2022-08-25,434.23,438.76,432.705,438.76,394.53,35829
2022-08-26,440.95,441.94,431.02,431.18,387.72,41354
2022-08-29,428.86,433.69,426.48,430.12,386.76,44428
2022-08-30,427.96,430.24,424.15,425.4,382.52,40788
2022-08-31,422.55,424.59,420.03,420.145,380.3,29108
2022-09-01,419.47,423.32,418.39,422.4,382.34,31255
2022-09-02,424.03,425.44,417.72,418.28,378.61,33194
2022-09-06,419.335,423.27,415.87,417.51,377.91,61621
2022-09-07,412.95,420.7,412.55,420.07,380.23,68257
2022-09-08,419.66,420.67,415.02,419.5,379.71,45200
2022-09-09,419.015,423.545,419.015,421.2,381.25,59515
2022-09-12,420.29,421.43,417.94,418.515,378.82,57337
2022-09-13,417.56,420.8,407.36,408.91,370.13,80804
2022-09-14,410.31,418.35,408.69,416.63,377.12,60014
2022-09-15,413.08,414.24,411.07,413.48,374.26,58869
2022-09-16,410.28,415.565,410.28,414.27,374.98,40019
2022-09-19,413.555,417.55,413.045,416.06,376.6,31000
2022-09-20,414.76,421.375,412.58,420.455,380.58,53021
2022-09-21,428.94,433.69,420.11,420.19,380.34,87110
2022-09-22,419.46,424.51,413.15,422.14,382.1,70210
2022-09-23,418.48,418.48,407.63,412.9,373.74,75712
2022-09-26,411.39,412.04,406.845,407.65,368.99,54568
2022-09-27,409.275,410.12,398.38,399.59,361.69,55236
2022-09-28,396.69,401.88,391.68,399.75,361.84,50407
2022-09-29,398.26,398.26,385.885,389.87,352.89,61720
2022-09-30,385.27,389.74,383.81,386.65,349.98,42597
2022-10-03,390.21,402.54,389.14,399.74,361.83,81957
2022-10-04,401.285,406.54,400.58,406.23,367.7,66304
2022-10-05,405.64,407.01,400.97,402.56,364.38,38011
2022-10-06,400.87,403.45,398.13,399.52,361.63,66273
2022-10-07,399.155,404.37,396.38,404.26,365.92,58041
2022-10-10,409.46,418.43,406.265,410.29,371.38,54632
2022-10-11,408.115,416.155,407.27,410.92,371.95,65716
2022-10-12,406.985,408.71,397.2,397.28,359.6,42821
2022-10-13,393.26,406.93,393.26,405.98,367.48,59341
2022-10-14,402.545,402.545,388.23,389.68,352.72,70949
2022-10-17,393.29,400.22,392.58,397.4,359.71,108030
2022-10-18,403.15,435.42,401.54,432.34,391.34,301853
2022-10-19,433.5,447.22,430.515,440.09,398.35,164751
2022-10-20,438.73,445.28,438.11,444.19,402.06,89852
2022-10-21,443.97,454.64,441.01,454.6,411.49,89031
2022-10-24,458.485,466.11,455.81,457.56,414.16,111249
2022-10-25,453.29,463.475,452.82,460.01,416.38,83292
2022-10-26,463.25,470.43,461.48,462.35,418.5,95322
2022-10-27,466.075,474.06,466.075,471.71,426.97,108380
