date,open,high,low,close,adj_close,volume
2021-06-09,191.91,192.41,190.38,190.61,173.36,97757
2021-06-10,190.79,191.44,187.4,188.75,171.67,147972
2021-06-11,189.565,191.58,189.31,190.83,173.56,78941
2021-06-14,190.33,190.41,188.23,189.64,172.48,125372
2021-06-15,189.11,189.385,186.78,187.81,170.82,198172
2021-06-16,187.87,187.87,184.6,186.16,169.32,180154
2021-06-17,186.16,188.12,184.505,186.82,169.92,234215
2021-06-18,184.73,187.79,184.67,186.96,170.04,240936
2021-06-21,187.72,190.49,187.72,188.78,171.7,135403
2021-06-22,189.78,192.615,189.7,191.79,174.44,93558
2021-06-23,191.35,192.115,190.89,191.2,173.9,190497
2021-06-24,192.39,192.95,190.96,191.685,174.34,109454
2021-06-25,192.21,192.82,191.2,192.69,175.26,95809
2021-06-28,192.88,194.17,191.42,193.215,175.73,140474
2021-06-29,193.54,195.73,193.54,194.19,176.62,110922
2021-06-30,194.255,195.03,193.88,194.02,176.47,77734
2021-07-01,194.475,196.08,193.9,195.77,178.06,91752
2021-07-02,196.39,196.48,195.24,195.725,178.02,100351
2021-07-06,196.19,196.19,192.83,194.78,177.16,88567
2021-07-07,193.95,196.45,193.53,195.85,178.13,238033
2021-07-08,193.5,194.095,191.185,192.7,175.26,191972
2021-07-09,194.55,196.69,194.38,195.24,177.57,91480
2021-07-12,194.98,196.36,194.35,195.59,177.89,94771
2021-07-13,195.715,196.13,193.74,194.25,176.67,232749
2021-07-14,195.12,195.29,192.63,192.75,175.31,76985
2021-07-15,191.88,195.86,191.87,195.73,178.02,127842
2021-07-16,196.85,198.77,195.84,196.14,178.39,145573
2021-07-19,192.06,193.64,190.35,192.87,175.42,272367
2021-07-20,191.89,195.39,191.37,194.15,177.32,124862
2021-07-21,194.705,195.41,193.98,195.15,178.23,97841
2021-07-22,195.81,196.94,194.95,196.78,179.72,79806
2021-07-23,198.0,201.38,197.67,200.895,183.48,105606
2021-07-26,196.05,197.9,193.84,197.76,180.62,130315
2021-07-27,197.64,197.72,191.55,193.55,176.77,171061
2021-07-28,193.73,195.32,192.08,192.37,175.69,82985
2021-07-29,193.01,194.25,192.02,193.61,176.83,125902
2021-07-30,192.85,195.22,192.435,192.63,175.93,146554
2021-08-02,193.86,193.86,190.87,190.88,174.33,120105
2021-08-03,191.76,194.58,191.57,193.93,177.12,104032
2021-08-04,193.49,193.77,189.82,189.82,173.36,171174
2021-08-05,190.79,192.55,190.015,190.69,174.16,121037
2021-08-06,191.43,192.54,189.835,190.13,173.65,134212
