date,open,high,low,close,adj_close,volume
2021-06-09,369.24,372.86,368.88,372.6,343.64,21320
2021-06-10,374.32,375.28,371.06,372.5,343.55,29487
2021-06-11,372.99,375.36,370.26,375.06,345.91,15448
2021-06-14,373.09,373.09,369.55,372.3,343.36,40787
2021-06-15,374.305,377.37,373.92,375.02,345.87,42813
2021-06-16,376.875,377.775,371.735,372.34,343.4,48007
2021-06-17,372.915,372.92,366.23,368.58,339.93,36373
2021-06-18,366.06,370.14,365.24,367.39,338.84,53253
2021-06-21,372.79,374.39,371.975,373.3,344.29,35928
2021-06-22,372.41,373.675,371.085,372.81,343.83,16500
2021-06-23,372.39,372.44,368.58,370.67,341.86,24353
2021-06-24,369.855,371.07,367.66,369.6,340.87,54361
2021-06-25,369.16,375.33,369.07,373.24,344.23,54058
2021-06-28,371.36,372.34,368.41,370.09,341.33,25363
2021-06-29,370.625,370.88,360.11,360.11,332.12,45026
2021-06-30,362.73,364.91,361.59,363.81,335.53,24947
2021-07-01,364.14,367.895,363.96,367.65,339.08,24081
2021-07-02,368.12,370.935,365.925,369.02,340.34,13842
2021-07-06,366.43,368.355,362.895,368.17,339.55,24288
2021-07-07,367.43,371.835,366.835,371.38,342.52,33389
2021-07-08,369.065,371.86,367.94,369.88,341.13,17844
2021-07-09,372.645,373.18,369.56,371.89,342.99,21134
2021-07-12,369.8,372.27,368.325,370.46,341.67,18666
2021-07-13,371.85,373.895,367.405,367.405,338.85,32502
2021-07-14,366.05,368.315,363.85,364.11,335.81,93452
2021-07-15,362.805,365.4,362.75,364.08,335.78,26805
2021-07-16,363.69,365.47,361.585,363.07,334.85,39647
2021-07-19,360.9,362.15,350.755,355.05,327.45,74715
2021-07-20,359.125,362.73,358.86,359.91,331.94,65131
2021-07-21,360.95,363.045,359.89,361.255,333.18,46896
2021-07-22,360.81,360.81,358.36,359.22,331.3,36252
2021-07-23,360.47,361.61,359.1,361.27,333.19,58619
2021-07-26,358.41,359.355,355.38,358.25,330.41,45184
2021-07-27,358.83,364.88,358.83,362.31,334.15,31110
2021-07-28,362.285,362.33,360.05,360.05,332.07,28224
2021-07-29,363.54,369.76,363.54,365.66,337.24,54009
2021-07-30,364.1,366.38,362.28,363.29,335.05,36062
2021-08-02,364.98,367.23,361.86,362.015,333.88,22623
2021-08-03,361.49,365.615,358.7,364.34,336.02,38329
2021-08-04,362.2,363.78,356.66,357.43,329.65,56695
2021-08-05,358.34,359.335,357.29,358.63,330.76,35794
2021-08-06,361.91,362.77,360.88,362.13,333.98,31606
2021-08-09,361.21,361.21,359.745,361.02,332.96,20890
2021-08-10,360.22,363.01,359.0,362.91,334.7,42300
2021-08-11,362.245,367.065,362.245,366.14,337.68,24379
2021-08-12,366.835,367.21,361.085,363.97,335.68,57253
2021-08-13,363.865,365.19,362.91,362.99,334.78,16478
2021-08-16,361.39,368.75,360.27,368.75,340.09,40864
2021-08-17,368.05,371.73,366.04,368.45,339.81,32070
2021-08-18,367.11,367.5,363.3,363.3,335.06,28352
2021-08-19,361.89,364.63,359.9,360.72,332.68,25990
2021-08-20,361.92,364.61,360.3,363.14,334.92,37222
2021-08-23,364.19,364.95,362.67,362.95,334.74,42043
2021-08-24,363.925,364.075,362.28,362.745,334.55,33334
2021-08-25,363.13,363.945,361.66,362.635,334.45,33786
2021-08-26,362.19,366.985,360.81,366.84,338.33,41035
2021-08-27,367.39,367.565,363.63,364.69,337.79,42830
2021-08-30,365.695,369.255,363.94,367.54,340.43,38739
2021-08-31,366.675,367.8,365.1,367.8,340.67,46084
2021-09-01,367.645,367.77,364.63,364.81,337.9,31313
2021-09-02,365.335,368.32,365.125,368.01,340.87,21172
2021-09-03,368.08,368.26,365.43,366.025,339.03,27074
2021-09-07,363.83,364.175,358.71,358.975,332.5,75158
2021-09-08,358.44,362.19,358.44,360.37,333.79,57490
2021-09-09,359.47,361.59,356.8,356.8,330.48,86315
2021-09-10,358.08,358.08,353.0,354.28,328.15,42888
2021-09-13,355.45,357.41,349.855,353.73,327.64,40310
2021-09-14,354.88,354.88,349.4,352.0,326.04,91853
2021-09-15,352.62,357.165,351.45,355.64,329.41,25382
2021-09-16,356.065,357.0,349.37,349.375,323.61,46516
2021-09-17,350.88,353.94,347.21,350.095,324.27,70841
2021-09-20,346.91,351.52,345.26,348.86,323.13,40455
2021-09-21,348.93,349.78,345.06,345.42,319.94,22013
2021-09-22,345.82,350.315,345.82,348.42,322.72,43896
2021-09-23,350.09,352.76,348.25,350.57,324.71,65628
2021-09-24,352.15,356.925,352.06,355.74,329.5,55321
2021-09-27,357.95,361.17,357.11,357.47,331.1,40753
2021-09-28,357.39,361.0,356.55,358.36,331.93,60055
2021-09-29,358.5,365.565,356.04,362.98,336.21,44128
2021-09-30,363.24,363.87,360.21,360.21,333.64,77285
2021-10-01,361.69,362.89,356.515,360.58,333.98,39482
2021-10-04,363.2,366.99,362.285,365.8,338.82,62567
2021-10-05,364.8,371.265,364.065,370.3,342.99,48519
2021-10-06,368.805,377.34,366.565,377.27,349.44,66839
2021-10-07,378.21,383.83,378.21,382.565,354.35,60400
2021-10-08,382.655,390.8,382.125,389.865,361.11,51797
2021-10-11,391.495,396.505,388.06,393.16,364.16,66429
2021-10-12,393.35,394.12,389.13,389.81,361.06,44058
2021-10-13,388.69,389.85,383.59,388.715,360.04,36512
2021-10-14,390.29,392.73,388.975,389.87,361.11,35335
2021-10-15,392.29,396.58,392.16,395.3,366.14,33341
2021-10-18,393.18,396.65,393.06,393.93,364.87,27226
2021-10-19,395.36,399.09,393.0,399.085,369.65,31121
2021-10-20,398.69,402.005,398.115,401.09,371.51,19403
2021-10-21,399.54,403.22,397.11,402.53,372.84,35139
2021-10-22,403.09,406.24,400.44,406.22,376.26,35177
2021-10-26,393.13,398.395,393.03,396.46,367.22,92488
2021-10-27,393.45,395.855,387.55,388.16,359.53,68659
