date,open,high,low,close,adj_close,volume
2021-06-09,61.12,61.47,60.92,61.12,52.18,46434
2021-06-10,61.31,61.79,61.22,61.62,52.61,28346
2021-06-11,61.42,61.84,61.39,61.795,52.76,24231
2021-06-14,61.91,62.26,61.47,61.85,52.81,40128
2021-06-15,62.0,62.645,61.83,62.31,53.2,79948
2021-06-16,62.65,62.85,61.23,61.27,52.31,70369
2021-06-17,61.06,61.415,60.87,61.21,52.26,66198
2021-06-18,60.55,60.62,59.34,59.345,50.67,87080
2021-06-21,59.645,60.25,59.33,60.01,51.23,80928
2021-06-22,59.99,60.29,59.475,59.61,50.89,106510
2021-06-23,59.61,59.61,59.06,59.18,50.53,114524
2021-06-24,59.46,59.48,59.015,59.36,50.68,72681
2021-06-25,59.365,59.9,59.255,59.9,51.14,71139
2021-06-28,59.88,60.585,59.86,60.25,51.44,33716
2021-06-29,60.18,60.56,59.175,59.49,50.79,90393
2021-06-30,59.405,59.99,59.325,59.73,51.0,53929
2021-07-01,59.94,60.49,59.77,60.24,51.43,35777
2021-07-02,60.15,60.2,59.88,60.075,51.29,33522
2021-07-06,59.97,60.35,59.44,60.305,51.49,29397
2021-07-07,59.99,60.91,59.975,60.865,51.96,58641
2021-07-08,60.79,60.95,60.37,60.54,51.69,59080
2021-07-09,60.75,60.98,60.075,60.5,51.65,124565
2021-07-12,60.32,60.72,60.01,60.695,51.82,43703
2021-07-13,60.61,60.67,59.6,59.81,51.06,88225
2021-07-14,59.895,60.64,59.77,60.395,51.56,47829
2021-07-15,60.09,61.26,60.09,61.23,52.28,78244
2021-07-16,61.255,62.05,61.18,61.73,52.7,60518
2021-07-19,61.4,61.82,59.38,60.22,51.41,77426
2021-07-20,60.25,60.95,60.15,60.69,51.82,36379
2021-07-21,60.845,60.88,60.0,60.06,51.28,27544
2021-07-22,60.05,60.39,59.96,60.21,51.41,42576
2021-07-23,60.505,61.29,60.505,61.23,52.28,44450
2021-07-26,61.32,61.66,60.935,61.54,52.54,81184
2021-07-27,61.35,63.07,61.18,62.87,53.68,87662
2021-07-28,62.63,62.91,61.98,62.505,53.37,37909
2021-07-29,62.86,63.27,62.63,63.08,53.86,49518
2021-07-30,63.2,63.53,62.0,62.21,53.11,99387
2021-08-02,62.495,63.105,62.41,63.0,53.79,52492
2021-08-03,62.87,64.39,62.85,63.48,54.2,98732
2021-08-04,62.93,63.36,62.57,63.3,54.04,69305
2021-08-05,63.28,63.93,63.04,63.92,54.57,70409
2021-08-06,63.905,64.35,63.735,63.865,54.53,82264
2021-08-09,64.0,64.085,63.52,63.85,54.51,48332
2021-08-10,63.65,63.65,62.84,62.9,53.7,129122
2021-08-11,62.99,63.69,62.94,63.54,54.25,39604
2021-08-12,63.81,64.305,63.575,63.85,54.51,63924
2021-08-13,63.91,64.93,63.91,64.7,55.24,101278
2021-08-16,64.75,65.31,64.37,64.82,55.34,65916
2021-08-17,64.52,64.785,64.065,64.72,55.26,46212
2021-08-18,64.7,64.7,63.84,64.01,54.65,49233
2021-08-19,63.87,64.9,63.87,64.26,54.86,30379
2021-08-20,64.25,65.005,64.15,64.99,55.49,86229
2021-08-23,64.77,64.875,64.3,64.35,54.94,73001
2021-08-24,64.56,64.56,63.57,63.81,54.48,56254
2021-08-25,63.675,64.32,63.5,64.11,54.74,41216
2021-08-26,64.17,64.27,63.79,63.79,54.46,39287
2021-08-27,63.85,64.345,63.83,64.2,54.81,35661
2021-08-30,64.07,64.36,64.07,64.26,54.86,32866
2021-08-31,63.9,64.315,63.745,63.93,54.58,93291
2021-09-01,64.0,64.96,63.93,64.725,55.26,137808
2021-09-02,65.0,65.03,64.365,64.69,55.23,99816
2021-09-03,64.48,64.77,64.16,64.16,54.78,73411
2021-09-07,63.6,63.81,62.85,62.98,54.2,39246
2021-09-08,62.86,64.185,62.86,64.085,55.15,104771
2021-09-09,64.125,64.125,63.26,63.34,54.51,56320
2021-09-10,63.33,63.33,62.11,62.14,53.48,72465
2021-09-13,62.78,63.12,62.005,62.32,53.63,56277
2021-09-14,62.66,62.81,62.09,62.555,53.84,49261
2021-09-15,62.46,63.44,62.37,62.78,54.03,87071
