date,open,high,low,close,adj_close,volume
2021-06-09,439.03,440.5,432.41,433.39,404.82,15162
2021-06-10,433.21,435.92,428.17,428.885,400.61,15637
2021-06-11,428.01,431.8,426.34,431.28,402.85,14154
2021-06-14,430.61,431.28,427.425,431.01,402.6,17344
2021-06-15,429.52,434.455,427.12,433.88,405.28,15466
2021-06-16,434.84,436.21,430.54,433.24,404.68,22770
2021-06-17,432.26,438.0,428.28,436.35,407.59,22704
2021-06-18,432.3,442.75,430.44,442.01,412.87,20421
2021-06-21,442.55,461.975,442.55,453.09,423.22,28048
2021-06-22,456.04,462.7,451.07,460.0,429.68,20838
2021-06-23,461.39,462.39,454.39,454.75,424.77,13656
2021-06-24,457.38,459.41,453.835,459.02,428.76,16056
2021-06-25,462.1,462.1,455.02,455.87,425.82,16947
2021-06-28,456.265,458.57,455.11,456.405,426.32,13265
2021-06-29,458.465,470.12,456.77,465.34,434.67,25122
2021-06-30,466.45,467.55,452.995,458.94,428.69,24529
2021-07-01,460.47,462.2,457.18,462.2,431.73,15827
2021-07-02,464.33,467.98,463.56,466.86,436.09,10640
2021-07-06,466.925,466.925,455.64,464.535,433.91,12616
2021-07-07,466.85,471.87,466.31,470.07,439.08,14603
2021-07-08,464.54,473.36,464.54,468.76,437.86,21099
2021-07-09,472.78,476.245,472.12,475.99,444.61,21581
2021-07-12,475.275,478.51,472.4,475.9,444.53,23588
2021-07-13,472.055,476.41,469.89,470.49,439.48,24987
2021-07-14,472.18,472.78,465.665,469.01,438.09,15413
2021-07-15,465.46,468.0,458.17,459.46,429.17,18055
2021-07-16,460.37,464.555,458.3,458.61,428.38,9200
2021-07-19,449.79,456.2,444.89,453.185,423.31,29800
2021-07-20,451.8,457.625,451.71,451.96,422.17,23688
2021-07-21,452.925,457.02,452.89,457.02,426.9,16136
2021-07-22,449.8,455.61,444.55,450.045,420.38,50919
2021-07-23,453.64,462.575,448.585,461.8,431.36,24595
2021-07-26,465.45,475.3,463.02,467.15,436.36,17637
2021-07-27,467.18,472.755,462.23,472.25,441.12,27106
2021-07-28,471.94,472.495,465.335,468.155,437.3,11459
2021-07-29,472.22,478.19,468.64,477.63,446.15,10467
2021-07-30,472.19,484.06,472.19,477.8,446.31,18224
2021-08-02,480.07,480.07,472.37,476.395,444.99,12212
2021-08-03,480.53,485.15,479.77,480.325,448.66,16331
2021-08-04,481.32,489.01,480.48,486.86,454.77,15413
2021-08-05,488.9,494.59,484.795,487.09,454.98,11397
2021-08-06,485.85,485.85,480.38,480.38,448.72,16435
2021-08-09,479.18,486.13,479.18,485.42,453.42,10384
2021-08-10,484.0,490.215,483.48,484.17,452.26,10370
2021-08-11,485.58,485.58,479.38,483.36,452.25,9020
2021-08-12,482.56,486.6,482.3,484.68,453.48,12272
2021-08-13,484.06,486.475,482.86,485.005,453.79,6886
2021-08-16,483.09,493.76,479.95,493.76,461.98,15764
2021-08-17,487.03,488.53,478.42,480.095,449.19,39199
2021-08-18,477.94,483.885,475.0,476.4,445.73,13595
2021-08-19,476.285,486.445,475.97,483.415,452.3,19067
2021-08-20,484.5,491.69,484.23,486.44,455.13,18667
2021-08-23,485.475,486.19,474.95,475.04,444.46,11445
2021-08-24,475.31,477.785,473.1,477.58,446.84,24879
2021-08-25,478.385,486.34,478.385,485.05,453.83,8155
2021-08-26,483.76,483.76,476.6,477.42,446.69,11068
2021-08-27,476.105,482.05,474.815,481.3,450.32,10810
2021-08-30,482.04,492.785,482.04,491.47,459.83,9403
2021-08-31,488.61,495.215,488.5,494.41,462.58,27299
2021-09-01,492.51,492.51,481.285,491.665,460.02,10304
2021-09-02,491.905,498.62,491.905,496.51,464.55,15425
2021-09-03,496.025,498.165,489.365,496.98,464.99,14762
2021-09-07,490.14,493.91,490.12,490.97,459.37,9429
2021-09-08,488.68,500.44,488.68,497.39,465.37,15977
2021-09-09,494.65,494.65,485.87,491.87,460.21,20171
2021-09-10,494.38,498.42,491.32,493.63,461.85,15988
2021-09-13,495.2,495.2,476.66,479.095,448.26,22739
2021-09-14,478.765,483.59,471.48,474.9,444.33,11188
2021-09-15,472.91,480.62,471.37,477.14,446.43,10219
2021-09-16,477.28,477.28,464.34,470.36,440.08,12847
2021-09-17,469.16,470.62,462.6,463.59,433.75,12295
2021-09-20,456.99,464.94,456.3,463.14,433.33,9108
2021-09-21,464.21,465.83,457.03,459.53,429.95,20935
2021-09-22,458.16,465.04,455.03,455.96,426.61,23758
2021-09-23,456.845,468.73,455.81,466.56,436.53,17299
2021-09-24,463.605,466.59,463.29,465.67,435.69,9721
