date,open,high,low,close,adj_close,volume
2021-06-09,93.295,93.98,92.445,92.445,76.54,70189
2021-06-10,93.76,94.33,90.69,91.6,75.84,60493
2021-06-11,92.43,92.48,90.935,90.97,75.32,63831
2021-06-14,91.415,91.975,90.52,91.45,75.71,87758
2021-06-15,92.56,93.33,91.25,92.12,76.27,71403
2021-06-16,91.45,91.84,89.83,90.75,75.13,99274
2021-06-17,90.35,90.84,86.06,86.66,71.75,121822
2021-06-18,85.28,86.3,84.1,84.145,69.67,78965
2021-06-21,85.065,87.51,85.065,87.325,72.3,93707
2021-06-22,86.73,88.43,86.26,88.0,72.86,54284
2021-06-23,88.42,89.98,88.19,88.23,73.05,126277
2021-06-24,88.81,89.965,88.08,89.67,74.24,115910
2021-06-25,89.74,90.41,88.56,90.08,74.58,113121
2021-06-28,89.08,89.1,84.99,85.43,70.73,145607
2021-06-29,86.16,86.4,84.72,85.105,70.46,158345
2021-06-30,85.225,85.91,85.09,85.85,71.08,128996
2021-07-01,87.53,87.82,86.14,87.08,72.1,101818
2021-07-02,86.72,88.635,86.43,87.9,72.77,73170
2021-07-06,87.74,87.74,84.04,84.44,69.91,299824
2021-07-07,83.595,84.27,81.15,82.47,68.28,194312
2021-07-08,80.3,82.13,79.755,80.73,66.84,90315
2021-07-09,80.955,82.8,80.955,82.68,68.45,54966
2021-07-12,81.3,83.15,81.09,82.36,68.19,108763
2021-07-13,81.83,82.32,81.12,81.6,67.56,90666
2021-07-14,81.58,82.28,78.325,78.52,65.01,96363
2021-07-15,77.56,78.57,76.835,77.17,63.89,106986
2021-07-16,77.83,77.83,74.235,74.49,61.67,75379
2021-07-19,72.0,72.65,70.08,70.55,58.41,154630
2021-07-20,70.485,72.47,69.87,71.11,58.87,178237
2021-07-21,72.5,74.29,72.39,73.71,61.03,108533
2021-07-22,72.87,73.1,71.41,72.3,59.86,85062
2021-07-23,72.02,72.605,71.43,72.17,59.75,84490
2021-07-26,72.43,74.31,72.43,74.31,61.52,49647
2021-07-27,73.2,74.64,72.87,74.55,61.72,58584
2021-07-28,74.84,75.87,73.79,75.2,62.26,73101
2021-07-29,76.195,76.395,74.665,74.77,61.9,105805
2021-07-30,74.23,74.71,73.035,73.34,60.72,100432
2021-08-02,73.62,76.15,73.26,73.51,60.86,301667
2021-08-03,73.75,76.08,73.17,76.08,62.99,172780
2021-08-04,73.6,73.8,71.61,71.62,59.3,106978
2021-08-05,72.4,74.28,72.17,73.395,60.77,75003
2021-08-06,74.59,74.59,73.46,73.96,61.23,30691
2021-08-09,72.95,73.89,72.685,72.98,60.42,81950
2021-08-10,73.53,74.49,73.19,74.2,61.43,60219
2021-08-11,73.98,74.53,73.46,74.395,61.59,54378
2021-08-12,74.36,74.62,73.41,74.46,61.65,52014
2021-08-13,74.58,74.96,73.795,73.87,61.16,64322
2021-08-16,72.92,72.92,71.51,71.85,59.49,114569
2021-08-17,70.25,71.26,69.45,69.91,58.61,47305
2021-08-18,69.93,70.65,68.045,68.135,57.13,100780
2021-08-19,66.855,67.12,65.37,66.23,55.53,86676
2021-08-20,65.26,66.485,64.47,65.94,55.29,94345
2021-08-23,67.61,68.985,67.61,68.81,57.69,85126
2021-08-24,69.59,71.21,69.23,70.94,59.48,84949
2021-08-25,70.93,72.64,70.93,72.22,60.55,78797
2021-08-26,70.91,71.715,70.5,70.69,59.27,75351
2021-08-27,71.265,73.16,71.265,72.62,60.89,52959
2021-08-30,73.45,73.45,71.585,71.59,60.02,52824
2021-08-31,71.01,72.18,70.69,71.105,59.62,74986
2021-09-01,71.285,71.42,68.94,69.155,57.98,101538
2021-09-02,69.86,71.145,69.68,69.87,58.58,85741
2021-09-03,69.825,70.38,69.07,69.6,58.35,62419
2021-09-07,69.37,70.37,68.725,68.73,57.63,61793
2021-09-08,69.2,69.49,66.955,66.965,56.15,57947
2021-09-09,66.26,68.17,66.26,66.73,55.95,70687
2021-09-10,67.69,67.69,66.15,66.37,55.65,92007
2021-09-13,67.15,67.92,66.71,67.26,56.39,79466
2021-09-14,67.76,67.76,64.975,65.235,54.69,76294
2021-09-15,65.895,66.885,65.52,66.02,55.35,126468
2021-09-16,65.805,66.445,65.2,65.72,55.1,97098
2021-09-17,66.06,66.57,65.29,66.05,55.38,85660
2021-09-20,64.4,65.3,63.23,64.25,53.87,64268
2021-09-21,65.0,65.145,63.61,64.34,53.94,52602
2021-09-22,65.75,67.97,65.75,67.0,56.17,100817
2021-09-23,67.24,68.85,67.24,68.64,57.55,80777
2021-09-24,67.95,68.435,67.49,68.02,57.03,116583
2021-09-27,69.46,71.5,69.46,71.13,59.64,86136
2021-09-28,72.27,72.8,70.79,70.895,59.44,103630
2021-09-29,70.57,70.81,69.76,69.98,58.67,81917
2021-09-30,70.28,70.84,69.09,70.01,58.7,100548
2021-10-01,70.305,72.77,70.18,72.53,60.81,70755
2021-10-04,72.95,75.93,72.315,75.73,63.49,234574
2021-10-05,77.2,78.91,75.75,77.36,64.86,179260
2021-10-06,76.94,78.665,76.32,78.38,65.72,214640
2021-10-07,78.7,79.95,78.56,79.3,66.49,106139
2021-10-08,80.015,82.635,79.73,82.11,68.84,146808
2021-10-11,82.93,84.51,82.02,82.02,68.77,122082
2021-10-12,81.97,83.29,81.97,82.63,69.28,61108
2021-10-13,81.9,82.39,80.595,81.88,68.65,120075
2021-10-14,83.24,83.46,81.74,82.19,68.91,117302
2021-10-15,82.8,83.1,81.19,81.19,68.07,86882
2021-10-18,82.08,82.58,80.4,80.86,67.8,53752
2021-10-19,81.535,82.875,81.28,82.8,69.42,100389
2021-10-20,82.12,83.33,81.9,83.33,69.87,76687
2021-10-21,82.97,84.21,81.86,82.78,69.41,61845
2021-10-22,83.07,83.73,81.57,82.84,69.46,63056
2021-10-26,83.605,83.69,81.975,82.345,69.04,64796
2021-10-27,80.68,80.81,77.145,77.34,64.84,247294
2021-10-28,76.63,77.955,76.03,76.81,64.4,155746
2021-10-29,77.17,77.53,74.08,74.76,62.68,143195
2021-11-01,75.41,78.15,75.41,78.14,65.51,268489
2021-11-02,78.46,79.95,77.565,77.565,65.03,156223
2021-11-03,77.315,79.51,77.17,78.96,66.2,114004
2021-11-04,79.57,79.57,76.34,76.91,64.48,140876
2021-11-05,77.865,78.38,76.635,77.79,65.22,134599
2021-11-08,78.59,79.02,77.43,78.0,65.4,39803
2021-11-09,78.11,79.22,77.3,79.2,66.4,52413
2021-11-10,79.0,79.76,77.155,77.55,65.02,84567
2021-11-11,77.61,78.7,77.18,77.89,65.31,52047
2021-11-12,77.075,78.06,76.585,77.48,64.96,74604
2021-11-15,77.98,79.545,77.285,78.92,66.17,175059
2021-11-16,78.05,78.5,76.65,76.98,65.3,101787
2021-11-17,75.91,76.53,74.48,74.7,63.37,88872
2021-11-18,74.49,74.84,73.03,73.72,62.54,83170
2021-11-19,72.12,72.25,69.52,69.63,59.07,166317
2021-11-22,69.79,73.395,69.715,72.2,61.25,148851
2021-11-23,73.26,74.045,72.9,73.855,62.65,178447
2021-11-24,73.27,74.72,73.22,73.88,62.67,76654
2021-11-26,69.765,69.95,67.1,69.23,58.73,147655
2021-11-29,71.05,71.835,69.02,69.84,59.25,117081
2021-11-30,68.35,69.725,68.125,69.15,58.66,190586
2021-12-01,71.095,71.82,68.63,68.63,58.22,160624
2021-12-02,68.89,71.71,67.94,71.41,60.58,123623
2021-12-03,72.31,72.71,69.47,69.98,59.37,120746
2021-12-06,71.09,72.29,69.635,71.09,60.31,126728
2021-12-07,72.11,74.09,72.09,72.5,61.5,89419
2021-12-08,72.77,72.985,71.72,71.85,60.95,76852
2021-12-09,71.96,72.715,71.285,72.31,61.34,102546
2021-12-10,73.0,73.16,71.365,72.52,61.52,61073
2021-12-13,71.625,71.65,69.53,69.67,59.1,58404
2021-12-14,69.61,72.42,69.525,70.71,59.98,191573
2021-12-15,70.675,71.0,69.26,70.5,59.81,60613
2021-12-16,71.25,72.4,70.85,70.95,60.19,80835
2021-12-17,70.93,71.84,69.56,71.82,60.93,133756
2021-12-20,69.81,70.96,68.69,69.375,58.85,283185
2021-12-21,70.24,72.765,70.24,72.2,61.25,162085
2021-12-22,72.17,72.95,71.595,71.62,60.76,76056
2021-12-23,72.26,73.15,71.85,71.9,60.99,61260
2021-12-27,71.245,72.815,70.82,72.8,61.76,62625
2021-12-28,73.15,74.17,73.06,73.93,62.72,92392
2021-12-29,73.06,73.87,72.8,72.85,61.8,58038
2021-12-30,72.99,73.95,72.385,72.46,61.47,66027
2021-12-31,72.67,73.04,72.18,72.47,61.48,106910
2022-01-03,73.39,75.8,73.39,75.72,64.23,61544
2022-01-04,76.46,78.75,76.46,78.63,66.7,155279
2022-01-05,79.29,80.22,77.87,78.33,66.45,176484
2022-01-06,80.21,80.69,78.48,80.475,68.27,106267
2022-01-07,80.545,82.09,79.96,81.96,69.53,137822
2022-01-10,82.59,84.3,82.02,83.87,71.15,195653
2022-01-11,84.585,86.71,84.085,86.18,73.11,123172
2022-01-12,86.52,86.96,85.535,86.3,73.21,95082
2022-01-13,86.53,87.98,86.25,86.8,73.63,124379
2022-01-14,86.67,88.64,86.635,88.6,75.16,123933
2022-01-18,89.73,89.85,87.18,88.68,75.23,107452
2022-01-19,89.44,89.44,86.51,87.24,74.01,86567
2022-01-20,86.5,88.28,85.48,85.5,72.53,103286
2022-01-21,84.51,84.685,82.32,83.47,70.81,169971
2022-01-24,81.09,82.585,79.68,81.64,69.26,50838
2022-01-25,82.28,86.25,81.32,85.96,72.92,139415
2022-01-26,86.77,87.95,84.41,85.1,72.19,186630
2022-01-27,86.92,87.7,84.02,85.82,72.8,160385
2022-01-28,86.57,89.12,82.0,84.26,71.48,427059
2022-01-31,84.04,85.74,83.24,84.78,71.92,151529
2022-02-01,84.23,87.79,83.57,87.65,74.36,137086
2022-02-02,87.17,87.94,84.79,87.74,74.43,152231
2022-02-03,87.69,87.89,86.32,87.185,73.96,118848
2022-02-04,88.275,89.48,87.95,88.89,75.41,109485
2022-02-07,88.49,91.18,88.0,90.29,76.59,153655
2022-02-08,89.66,90.05,87.94,88.82,75.35,70897
2022-02-09,89.01,90.06,89.01,89.42,75.86,62837
2022-02-10,89.56,91.18,88.92,89.46,75.89,79383
2022-02-11,90.39,93.53,90.05,93.18,79.05,194548
2022-02-14,91.64,91.64,89.42,90.49,76.76,124354
2022-02-15,88.51,89.53,87.8,88.41,75.0,144736
2022-02-16,89.33,90.71,87.78,88.3,74.91,93400
2022-02-17,88.02,88.43,86.59,87.02,73.82,87054
2022-02-18,85.88,86.6,84.57,85.07,72.94,80250
2022-02-22,87.02,87.16,83.04,84.11,72.11,116829
2022-02-23,84.47,84.82,83.45,83.98,72.0,124561
2022-02-24,84.995,84.995,81.73,83.51,71.6,186078
2022-02-25,83.94,85.36,83.64,84.695,72.62,171332
2022-02-28,83.47,84.68,83.01,84.16,72.16,134233
2022-03-01,85.24,86.19,81.13,82.18,70.46,300416
2022-03-02,83.09,85.16,82.61,84.31,72.29,179776
2022-03-03,84.11,85.31,82.41,83.0,71.16,141636
2022-03-04,82.56,84.45,82.34,84.32,72.29,193785
2022-03-07,85.625,85.91,82.37,82.61,70.83,234974
2022-03-09,79.58,80.34,78.15,79.35,68.03,575522
2022-03-10,80.325,81.32,78.35,81.22,69.64,304531
2022-03-11,80.79,82.08,79.815,80.79,69.27,283544
2022-03-14,79.935,80.79,77.27,78.28,67.12,211965
