date,open,high,low,close,adj_close,volume
2021-06-09,134.895,135.32,132.8,132.835,119.24,284903
2021-06-10,133.21,135.05,132.74,134.15,120.42,217312
2021-06-11,133.65,134.595,133.65,134.59,120.82,179917
2021-06-14,135.195,137.3,134.79,137.285,123.24,317035
2021-06-15,137.07,137.355,135.24,135.58,121.71,268736
2021-06-16,136.22,137.05,133.67,134.94,121.13,569602
2021-06-17,134.31,136.6,134.11,135.35,121.5,220372
2021-06-18,134.35,134.54,132.26,133.02,119.41,221005
2021-06-21,133.045,135.07,132.71,134.05,120.33,153674
2021-06-22,134.04,135.29,133.29,135.1,121.28,184465
2021-06-23,134.85,136.22,134.81,135.51,121.64,176378
2021-06-24,136.78,138.51,136.45,137.88,123.77,197324
2021-06-25,138.525,139.42,137.34,137.67,123.58,177878
2021-06-28,138.24,140.135,138.0,139.73,125.43,157454
2021-06-29,139.68,142.95,139.27,142.535,127.95,378927
2021-06-30,142.35,143.48,141.88,142.97,128.34,193615
2021-07-01,142.98,142.98,140.37,140.84,126.43,195683
2021-07-02,141.87,142.66,141.33,142.505,127.92,155811
2021-07-06,143.0,143.07,139.69,141.2,126.75,151084
2021-07-07,142.205,142.28,139.11,139.99,125.67,163170
2021-07-08,137.48,138.835,135.66,138.37,124.21,307587
2021-07-09,138.17,141.72,137.85,141.33,126.87,226791
2021-07-12,141.36,142.99,141.24,142.53,127.95,387239
2021-07-13,142.44,142.545,140.45,141.21,126.76,196478
2021-07-14,143.51,146.33,142.56,143.66,128.96,330591
2021-07-15,143.9,144.01,140.72,141.47,126.99,211764
2021-07-16,141.94,142.415,139.53,139.73,125.43,165890
2021-07-19,138.39,138.87,136.84,138.81,124.61,222454
2021-07-20,138.96,140.4,137.215,139.52,125.24,188887
2021-07-21,139.87,142.22,139.72,142.15,127.61,233264
2021-07-22,142.0,142.79,141.57,142.47,127.89,119334
2021-07-23,143.21,144.98,142.1,144.865,130.04,236819
2021-07-26,144.05,144.33,142.26,143.51,128.83,152656
2021-07-27,142.87,142.96,138.23,140.985,126.56,226738
2021-07-28,141.49,142.88,140.16,142.36,127.79,292357
2021-07-29,146.615,151.51,146.615,150.91,135.47,890834
2021-07-30,149.385,150.38,148.45,149.81,134.48,314128
2021-08-02,150.21,152.26,148.29,148.84,133.61,319134
2021-08-03,148.85,149.56,146.615,147.98,132.84,148806
2021-08-04,148.005,149.14,147.47,148.34,133.16,158676
2021-08-05,147.24,147.465,144.61,146.87,131.84,241999
2021-08-06,146.175,148.22,145.94,146.3,131.33,161683
2021-08-09,146.795,147.68,145.77,146.95,131.91,225376
2021-08-10,147.29,147.48,144.9,145.83,130.91,180622
2021-08-11,146.06,146.74,144.43,146.63,131.63,188520
2021-08-12,147.375,148.0,146.43,147.12,132.07,259365
2021-08-13,147.01,149.29,146.97,148.65,133.44,242323
2021-08-16,148.4,149.06,146.74,148.15,132.99,148243
2021-08-17,146.99,146.99,143.59,144.47,129.69,220932
2021-08-18,143.8,144.64,142.0,142.04,127.51,246599
2021-08-19,140.56,141.43,139.05,140.72,126.32,311851
2021-08-20,140.815,142.255,140.46,142.16,127.61,102812
2021-08-23,142.7,144.61,142.385,144.11,129.36,171013
2021-08-24,144.52,145.57,143.87,144.44,129.66,158985
2021-08-25,144.65,145.43,143.465,143.925,129.2,134471
2021-08-26,143.23,143.68,141.65,142.39,127.82,206291
2021-08-27,142.43,144.935,142.03,144.9,130.07,176795
2021-08-30,145.555,147.86,145.555,145.9,130.97,180271
2021-08-31,146.66,147.53,144.59,146.67,131.66,297300
2021-09-01,146.81,148.1,146.235,146.48,132.1,358087
2021-09-02,146.64,146.76,144.52,145.1,130.86,186150
2021-09-03,144.92,145.83,144.28,144.65,130.45,156538
2021-09-07,144.675,144.71,143.15,143.73,129.62,160546
2021-09-08,143.54,143.54,141.49,142.53,128.54,242396
2021-09-09,142.49,143.54,141.45,141.49,127.6,125495
2021-09-10,143.11,145.98,142.545,142.69,128.69,138392
2021-09-13,144.215,144.67,142.07,143.41,129.34,121413
2021-09-14,144.45,144.69,140.65,141.18,127.32,184283
2021-09-15,140.735,140.735,137.565,138.27,124.7,372972
2021-09-16,137.58,138.96,137.53,138.4,124.82,364216
2021-09-17,137.89,137.89,133.155,133.61,120.5,488803
2021-09-20,131.48,133.05,130.63,132.86,119.82,244731
2021-09-21,133.78,133.82,131.35,131.81,118.87,190193
2021-09-22,132.725,133.465,131.995,133.05,119.99,143289
2021-09-23,133.77,135.14,133.25,133.92,120.78,112168
2021-09-24,133.19,134.54,132.89,133.86,120.72,116028
2021-09-27,132.625,134.03,132.1,133.51,120.41,115109
2021-09-28,131.8,132.65,129.74,129.91,117.16,230157
2021-09-29,130.72,131.42,128.905,129.29,116.6,170472
2021-09-30,130.36,131.05,128.705,129.06,116.39,209527
2021-10-01,129.795,130.005,126.505,128.67,116.04,162614
2021-10-04,128.98,129.68,125.93,126.69,114.26,233860
2021-10-05,126.1,128.75,125.71,127.48,114.97,305526
2021-10-06,126.35,128.24,126.085,128.08,115.51,281243
2021-10-07,129.58,130.655,127.63,127.84,115.29,235079
2021-10-08,128.15,128.18,126.255,126.53,114.11,151330
2021-10-11,126.1,127.19,124.91,124.92,112.66,217034
2021-10-12,125.4,125.42,122.205,123.075,111.0,316747
2021-10-13,125.255,126.255,123.55,125.01,112.74,267185
2021-10-14,126.205,129.3,125.99,128.64,116.02,341196
2021-10-15,129.02,130.46,128.87,130.26,117.48,187927
2021-10-18,129.14,130.24,128.36,130.1,117.33,157223
2021-10-19,131.04,132.8,130.32,132.52,119.51,187855
2021-10-20,132.49,133.005,131.275,132.24,119.26,253404
2021-10-21,131.895,133.26,131.45,133.26,120.18,168966
2021-10-22,132.75,133.68,131.5,131.62,118.7,145545
2021-10-25,131.69,133.145,131.33,131.88,118.94,118598
2021-10-26,132.87,133.71,131.145,131.95,119.0,175530
2021-10-27,131.62,132.35,130.57,131.18,118.31,127276
2021-10-28,131.95,133.83,131.87,133.73,120.61,151191
2021-10-29,132.7,133.67,132.49,133.04,119.98,158396
2021-11-01,132.64,134.86,132.56,134.85,121.62,221898
2021-11-02,134.45,135.71,134.29,135.22,121.95,254881
2021-11-03,135.74,138.83,135.04,138.55,124.95,553170
2021-11-04,156.42,159.5,153.38,156.16,140.83,1588451
2021-11-05,157.075,168.505,155.94,163.12,147.11,1203472
2021-11-08,163.335,167.63,161.46,165.84,149.56,459397
2021-11-09,166.6,169.5,164.51,166.72,150.36,482482
2021-11-10,164.77,166.1,159.045,159.765,144.09,394858
2021-11-11,161.78,165.54,161.39,164.42,148.28,306143
2021-11-12,165.12,166.01,164.33,164.84,148.66,250999
2021-11-15,166.52,169.91,165.88,168.52,151.98,470961
2021-11-16,168.11,183.58,167.095,181.84,163.99,1130246
2021-11-17,180.495,186.3,178.66,183.57,165.55,738739
2021-11-18,185.22,188.63,182.78,186.26,167.98,615957
2021-11-19,184.775,186.55,182.34,185.03,166.87,371299
2021-11-22,181.0,188.66,180.98,181.4,163.6,494178
2021-11-23,180.16,181.33,177.1,181.11,163.34,417566
2021-11-24,179.59,180.77,177.39,180.73,162.99,238660
2021-11-26,175.69,180.16,175.12,175.85,158.59,307566
2021-11-29,179.48,184.04,179.08,183.75,165.72,400871
2021-11-30,183.1,186.72,180.37,180.485,162.77,368062
2021-12-01,181.26,183.04,175.32,175.44,158.82,490590
2021-12-02,171.96,177.82,171.265,176.93,160.17,454108
2021-12-03,177.9,180.02,173.71,176.71,159.97,603863
2021-12-06,176.71,176.77,172.295,175.43,158.81,280161
2021-12-07,179.05,184.72,178.58,183.84,166.42,304688
2021-12-08,182.54,183.655,180.92,182.64,165.34,152691
2021-12-09,182.1,187.83,181.94,182.26,164.99,354519
2021-12-10,185.46,185.51,181.24,183.88,166.46,184607
2021-12-13,186.76,191.25,183.16,183.3,165.94,472008
2021-12-14,181.54,183.885,179.42,182.05,164.8,274569
2021-12-15,183.85,189.78,179.98,189.59,171.63,308482
2021-12-16,190.14,192.46,176.185,178.11,161.24,778181
2021-12-17,175.6,180.105,175.03,176.79,160.04,414699
2021-12-20,174.11,177.04,173.57,176.73,159.99,208414
2021-12-21,179.355,180.15,174.22,179.88,162.84,256423
2021-12-22,179.15,181.52,177.66,181.45,164.26,178199
2021-12-23,181.52,183.69,181.44,182.7,165.39,96043
2021-12-27,183.19,186.38,183.19,186.34,168.69,157966
2021-12-28,186.52,186.52,183.58,184.84,167.33,129611
2021-12-29,184.82,187.38,184.69,186.21,168.57,98706
2021-12-30,186.09,186.45,182.33,182.78,165.47,131867
2021-12-31,183.1,184.77,182.6,182.79,165.47,125370
2022-01-03,183.245,186.55,182.26,186.21,168.57,150596
2022-01-04,187.14,188.84,181.13,187.23,169.49,220969
2022-01-05,186.65,193.53,184.84,186.38,168.72,518855
2022-01-06,185.0,188.41,183.06,186.16,168.52,369943
2022-01-07,186.76,188.14,180.3,180.3,163.22,226925
2022-01-10,178.17,179.995,173.84,179.88,162.84,382691
2022-01-11,178.8,185.65,177.22,185.39,167.83,491089
2022-01-12,186.965,189.43,185.25,186.25,168.61,282942
2022-01-13,188.615,191.5,183.31,183.57,166.18,570286
2022-01-14,182.8,190.05,182.2,188.75,170.87,330978
2022-01-18,185.69,185.9,178.31,178.67,161.74,428222
2022-01-19,180.68,181.06,172.3,172.4,156.07,407983
2022-01-20,174.35,174.985,166.38,166.49,150.72,403858
2022-01-21,166.14,172.005,164.58,164.94,149.32,485279
2022-01-24,162.29,170.72,158.65,170.03,153.92,814706
2022-01-25,166.32,170.19,164.08,165.24,149.59,510596
