date,open,high,low,close,adj_close,volume
2021-06-09,85.38,85.625,84.5,84.52,72.05,79738
2021-06-10,85.445,85.83,83.61,83.61,71.27,84658
2021-06-11,83.83,84.47,83.51,83.75,71.39,92176
2021-06-14,83.45,85.55,83.04,84.79,72.28,150011
2021-06-15,84.97,86.0,84.97,85.75,73.09,114765
2021-06-16,85.5,88.68,84.93,87.19,74.32,191201
2021-06-17,87.75,88.14,82.46,82.78,70.56,263100
2021-06-18,81.2,81.61,78.65,78.87,67.23,209439
2021-06-21,79.84,81.64,79.72,81.63,69.58,96688
2021-06-22,80.88,81.54,80.29,80.69,68.78,52080
2021-06-23,81.3,81.7,80.85,80.97,69.02,126145
2021-06-24,81.15,82.22,80.715,81.86,69.78,103493
2021-06-25,82.33,83.85,81.81,83.19,70.91,86373
2021-06-28,82.97,82.97,81.64,82.11,69.99,94361
2021-06-29,82.45,83.35,81.915,82.21,70.08,114606
2021-06-30,81.28,82.41,80.99,82.3,70.6,72585
2021-07-01,83.25,84.1,82.43,83.81,71.89,110705
2021-07-02,83.835,84.4,83.65,84.29,72.31,83147
2021-07-06,84.315,84.315,81.68,81.86,70.22,137431
2021-07-07,81.31,81.96,80.45,81.39,69.82,44998
2021-07-08,80.23,80.74,79.22,79.56,68.25,102183
2021-07-09,82.15,84.28,81.53,84.06,72.11,128987
2021-07-12,83.705,84.86,83.105,84.25,72.27,63803
2021-07-13,84.03,84.72,83.12,83.57,71.69,44635
2021-07-14,83.67,84.395,81.91,82.44,70.72,86282
2021-07-15,81.42,82.97,81.11,81.91,70.26,134413
2021-07-16,83.41,85.28,82.52,84.34,72.35,265721
2021-07-19,82.38,82.8,79.4,79.61,68.29,190919
2021-07-20,79.425,83.23,79.32,82.8,71.03,129232
2021-07-21,83.78,85.45,83.78,85.1,73.0,91548
2021-07-22,84.85,84.99,84.18,84.88,72.81,98464
2021-07-23,85.82,86.51,84.76,85.37,73.23,91479
2021-07-26,85.33,86.165,85.33,86.12,73.88,78722
2021-07-27,85.1,86.63,84.99,85.685,73.5,48059
2021-07-28,86.13,87.025,85.11,86.27,74.01,80669
2021-07-29,86.99,88.365,86.38,87.99,75.48,68506
2021-07-30,87.86,88.28,86.64,87.11,74.73,50538
2021-08-02,87.87,89.205,86.74,87.01,74.64,58087
2021-08-03,87.22,88.33,85.82,88.01,75.5,41517
2021-08-04,86.8,87.61,86.56,86.57,74.26,48367
2021-08-05,87.53,87.54,86.735,87.505,75.06,80929
2021-08-06,88.82,90.51,88.82,90.06,77.26,85951
2021-08-09,89.59,91.31,88.99,90.54,77.67,46377
2021-08-10,90.47,91.72,90.27,91.29,78.31,59167
2021-08-11,91.75,92.565,91.09,92.0,78.92,57482
2021-08-12,91.9,91.98,90.86,91.46,78.46,45481
2021-08-13,91.39,91.58,90.76,90.795,77.89,38227
2021-08-16,89.825,90.51,89.07,90.05,77.25,53447
2021-08-17,89.23,89.38,87.56,88.145,75.61,56037
2021-08-18,87.49,88.98,87.28,87.35,74.93,41428
2021-08-19,86.03,86.28,84.76,85.5,73.34,52870
2021-08-20,85.35,86.21,85.05,86.11,73.87,52884
2021-08-23,87.23,88.35,87.21,88.1,75.57,51272
2021-08-24,88.3,89.96,88.3,89.575,76.84,43008
2021-08-25,90.03,92.36,89.76,92.0,78.92,121189
2021-08-26,92.07,92.75,91.59,92.505,79.35,129872
2021-08-27,92.66,94.51,92.35,94.25,80.85,61316
2021-08-30,94.56,94.56,92.235,92.51,79.36,47595
2021-08-31,92.59,93.29,92.32,92.93,79.72,78720
2021-09-01,93.01,93.01,91.645,91.84,78.78,89156
