date,open,high,low,close,adj_close,volume
2021-06-09,50.7,50.7,49.855,50.07,44.79,139322
2021-06-10,50.73,50.73,48.945,48.965,43.8,107051
2021-06-11,49.16,49.385,48.88,49.36,44.16,347018
2021-06-14,49.235,49.36,48.335,48.615,43.49,133306
2021-06-15,48.57,50.24,48.57,49.99,44.72,246214
2021-06-16,49.745,50.035,48.985,49.51,44.29,165812
2021-06-17,49.735,49.94,47.0,47.52,42.51,327808
2021-06-18,46.35,46.66,45.6,46.15,41.28,417331
2021-06-21,46.56,48.01,46.56,48.01,42.95,236897
2021-06-22,47.715,48.32,47.38,47.905,42.85,242095
2021-06-23,48.325,48.465,47.94,48.32,43.22,160684
2021-06-24,48.62,49.18,48.31,49.035,43.86,158642
2021-06-25,49.43,50.105,49.43,49.79,44.54,284207
2021-06-28,49.56,49.6,48.385,48.495,43.38,266520
2021-06-29,48.845,49.28,47.695,47.995,42.93,253952
2021-06-30,47.895,48.66,47.82,48.52,43.4,148853
2021-07-01,48.895,49.39,48.69,48.86,43.71,136712
2021-07-02,49.09,49.385,48.935,49.05,43.88,99995
2021-07-06,49.06,49.06,47.53,47.88,42.83,169443
2021-07-07,47.39,48.345,47.32,47.93,42.88,155317
2021-07-08,46.8,47.56,45.72,46.705,41.78,258085
2021-07-09,48.02,48.845,47.96,48.725,43.59,153447
2021-07-12,48.22,49.835,48.01,49.49,44.27,108629
2021-07-13,49.49,49.87,48.51,48.63,43.5,290916
2021-07-14,49.14,49.65,47.38,47.5,42.49,174038
2021-07-15,46.885,47.84,46.73,47.715,42.68,151488
2021-07-16,48.215,48.215,46.56,46.71,41.78,199150
2021-07-19,45.46,45.57,44.39,44.82,40.09,245163
2021-07-20,43.77,46.095,43.57,46.02,41.17,389726
2021-07-21,46.46,47.71,46.46,47.14,42.17,164688
2021-07-22,47.05,47.31,45.48,45.91,41.07,183104
2021-07-23,46.29,47.19,46.29,46.525,41.62,170057
2021-07-26,46.54,47.46,46.51,47.14,42.17,183381
2021-07-27,46.38,47.63,46.225,47.22,42.24,96564
2021-07-28,47.44,47.53,46.355,47.215,42.24,177942
2021-07-29,48.01,48.375,47.515,48.335,43.24,159575
2021-07-30,47.92,48.74,46.815,47.01,42.25,239789
2021-08-02,47.545,48.49,46.715,46.85,42.1,111268
2021-08-03,47.0,47.21,45.19,47.095,42.32,137351
2021-08-04,46.49,47.81,46.41,47.17,42.39,53773
2021-08-05,47.5,48.39,47.5,48.27,43.38,103379
2021-08-06,48.96,49.89,48.96,49.385,44.38,168803
2021-08-09,49.11,49.39,48.41,48.945,43.98,125680
2021-08-10,49.105,50.195,48.875,50.12,45.04,137011
2021-08-11,50.4,51.26,49.685,51.21,46.02,99771
2021-08-12,51.135,51.785,50.77,51.62,46.39,81010
2021-08-13,51.85,51.97,51.475,51.8,46.55,122489
2021-08-16,51.15,51.535,50.73,51.455,46.24,70854
2021-08-17,51.04,51.16,50.03,50.68,45.54,194391
2021-08-18,50.09,51.02,49.91,49.93,44.87,121019
2021-08-19,49.205,49.76,48.4,49.0,44.03,142500
2021-08-20,48.88,49.45,48.595,49.225,44.24,89803
2021-08-23,49.68,50.065,49.61,49.695,44.66,73652
2021-08-24,49.945,50.56,49.945,50.19,45.1,61621
2021-08-25,50.27,51.685,50.27,51.41,46.2,103525
2021-08-26,51.59,51.64,50.65,50.76,45.62,68412
2021-08-27,51.11,52.1,51.11,51.94,46.68,86419
2021-08-30,52.04,52.04,49.345,49.395,44.39,184101
2021-08-31,49.245,50.08,49.03,49.755,44.71,199068
2021-09-01,49.19,49.455,48.55,48.6,43.67,150080
2021-09-02,48.75,48.96,48.035,48.32,43.42,82013
2021-09-03,48.205,48.205,47.08,47.39,42.59,161966
2021-09-07,47.355,47.94,46.64,46.68,41.95,162427
2021-09-08,46.41,46.41,45.255,45.7,41.07,146397
2021-09-09,45.6,47.94,45.525,46.58,41.86,350598
2021-09-10,46.86,47.965,46.86,47.31,42.51,183048
2021-09-13,47.62,48.705,47.58,48.705,43.77,121758
2021-09-14,48.785,49.31,47.4,47.68,42.85,124365
2021-09-15,47.76,48.64,47.695,48.24,43.35,102148
2021-09-16,48.43,49.535,48.43,48.685,43.75,146391
2021-09-17,48.815,49.42,48.16,48.435,43.53,138878
2021-09-20,46.8,47.48,46.33,47.27,42.48,152290
2021-09-21,47.82,47.98,47.2,47.54,42.72,125471
2021-09-22,48.515,48.86,48.17,48.33,43.43,104508
2021-09-23,49.23,50.355,49.19,49.83,44.78,118240
2021-09-24,49.7,50.67,49.7,50.23,45.14,108600
2021-09-27,50.67,51.95,50.67,51.72,46.48,186268
2021-09-28,51.6,52.16,50.57,50.66,45.53,117862
2021-09-29,51.05,51.07,50.335,50.535,45.41,61285
2021-09-30,50.71,50.71,48.79,48.9,43.94,147217
2021-10-01,49.07,50.2,48.76,49.91,44.85,141919
2021-10-04,49.95,50.81,49.59,49.63,44.6,178037
2021-10-05,50.2,50.46,49.55,50.135,45.05,183165
2021-10-06,49.82,50.45,48.77,49.855,44.8,127650
2021-10-07,50.4,50.755,49.55,49.63,44.6,184357
2021-10-08,49.82,50.45,49.32,49.95,44.89,96777
2021-10-11,50.37,50.76,49.02,49.04,44.07,113363
2021-10-12,49.08,50.02,49.01,49.695,44.66,111275
2021-10-13,49.595,49.625,47.445,48.41,43.5,128645
2021-10-14,49.205,49.605,48.48,49.6,44.57,134583
2021-10-15,50.47,50.815,50.15,50.18,45.09,134458
2021-10-18,50.085,51.26,50.06,51.05,45.88,146065
2021-10-19,51.38,52.31,51.04,52.29,46.99,244525
2021-10-20,50.89,52.09,50.01,51.94,46.68,193977
2021-10-21,51.69,52.07,48.85,49.09,44.11,244191
2021-10-22,49.48,49.895,48.73,49.19,44.2,259238
2021-10-26,49.295,49.36,48.05,48.94,43.98,184933
2021-10-27,48.715,48.715,46.65,46.66,41.93,408879
2021-10-28,46.94,47.155,45.865,46.86,42.11,110437
2021-10-29,47.37,47.43,46.35,46.44,41.93,92529
2021-11-01,46.93,47.44,46.825,47.375,42.77,157794
2021-11-02,47.46,47.61,46.87,47.4,42.8,78844
2021-11-03,47.27,48.69,47.16,48.195,43.51,189114
2021-11-04,48.13,48.535,47.595,47.99,43.33,123991
2021-11-05,48.58,49.365,48.58,49.175,44.4,104062
2021-11-08,49.9,50.245,49.185,49.205,44.43,127669
