date,open,high,low,close,adj_close,volume
2021-06-09,59.14,59.33,58.415,58.455,46.03,130063
2021-06-10,59.19,59.32,57.795,57.825,45.53,164126
2021-06-11,57.88,58.33,57.79,57.995,45.67,67029
2021-06-14,57.84,57.98,56.32,56.685,44.63,191117
2021-06-15,56.97,57.54,56.39,57.145,45.0,206808
2021-06-16,56.9,58.295,56.18,57.76,45.48,316020
2021-06-17,58.16,58.16,54.28,54.325,42.78,329190
2021-06-18,53.295,53.61,52.62,52.805,41.58,552873
2021-06-21,53.31,54.535,53.31,54.52,42.93,137694
2021-06-22,54.36,54.805,53.93,54.415,42.85,88861
2021-06-23,54.79,54.955,54.35,54.64,43.02,111520
2021-06-24,54.89,55.6,54.44,55.3,43.54,72064
2021-06-25,55.67,56.315,55.43,56.115,44.18,86541
2021-06-28,55.93,55.93,54.955,55.215,43.48,119340
2021-06-29,55.84,56.255,55.02,55.36,43.59,153660
2021-06-30,55.2,55.84,55.2,55.515,43.71,117704
2021-07-01,55.98,56.325,55.57,56.3,44.33,94767
2021-07-02,56.125,56.18,55.625,56.02,44.11,60123
2021-07-06,55.69,55.73,54.355,54.405,42.84,137999
2021-07-07,53.6,54.35,53.5,53.645,42.24,92144
2021-07-08,52.8,53.555,52.25,52.96,41.7,210624
2021-07-09,54.02,55.275,53.72,55.185,43.45,180573
2021-07-12,54.34,55.725,54.06,55.515,43.71,108302
2021-07-13,55.26,55.54,54.525,54.69,43.06,77580
2021-07-14,54.79,55.43,53.81,54.475,42.89,131792
2021-07-15,53.88,56.21,53.88,55.87,43.99,188524
2021-07-16,56.145,56.155,54.225,54.4,42.83,107751
2021-07-19,53.38,53.76,51.885,52.16,41.07,182399
2021-07-20,52.13,54.92,51.97,54.055,42.56,130687
2021-07-21,54.635,55.725,54.635,55.255,43.51,88337
2021-07-22,54.78,55.0,54.07,54.325,42.78,63596
2021-07-23,54.95,55.2,54.16,54.47,42.89,87871
2021-07-26,54.565,55.18,54.52,54.89,43.22,113676
2021-07-27,54.115,55.31,53.97,54.95,43.27,117011
2021-07-28,55.53,55.6,54.27,55.135,43.41,81487
2021-07-29,55.63,55.79,54.86,55.315,43.55,69431
2021-07-30,55.07,55.84,54.33,54.425,42.85,163254
2021-08-02,55.14,55.945,54.115,54.13,42.62,249771
2021-08-03,54.51,55.475,53.255,55.32,43.56,146887
2021-08-04,54.4,55.405,54.39,54.59,42.98,63019
2021-08-05,55.235,55.575,55.04,55.565,43.75,144284
2021-08-06,56.4,57.12,56.14,56.615,44.58,96615
2021-08-09,56.4,57.19,55.9,56.73,44.67,88048
2021-08-10,56.52,57.97,56.52,57.965,45.64,276672
2021-08-11,58.08,58.88,57.32,58.83,46.32,381562
2021-08-12,58.27,58.81,57.995,58.505,46.45,108365
2021-08-13,58.73,58.82,57.29,57.38,45.55,135705
2021-08-16,56.86,57.085,56.09,57.075,45.31,50892
2021-08-17,56.59,56.895,55.495,56.19,44.61,61514
2021-08-18,55.705,56.61,55.505,55.505,44.06,46825
2021-08-19,55.1,55.45,54.495,55.03,43.69,132831
2021-08-20,54.91,55.59,54.68,55.59,44.13,44872
2021-08-23,56.17,56.35,55.95,56.055,44.5,52629
2021-08-24,56.08,56.81,56.05,56.705,45.02,60447
2021-08-25,56.99,58.04,56.735,57.56,45.7,58335
2021-08-26,57.64,57.82,56.925,56.99,45.24,62242
2021-08-27,57.21,58.09,57.14,57.96,46.01,69354
2021-08-30,57.95,57.95,56.72,56.805,45.1,68529
2021-08-31,57.04,57.3,56.44,57.05,45.29,235997
2021-09-01,57.24,57.24,55.965,56.23,44.64,365809
2021-09-02,56.31,56.925,56.155,56.59,44.93,174211
2021-09-03,56.595,56.77,56.12,56.46,44.82,44321
2021-09-07,56.48,57.105,55.98,56.02,44.47,106141
2021-09-08,55.72,56.17,55.325,55.635,44.17,59173
2021-09-09,55.59,56.565,55.42,55.74,44.25,109138
2021-09-10,56.07,56.07,55.14,55.21,43.83,86942
2021-09-13,55.77,56.32,55.545,56.22,44.63,109191
2021-09-14,56.06,56.34,54.375,54.59,43.34,103744
2021-09-15,54.86,55.85,54.785,55.59,44.13,119844
2021-09-16,55.895,56.25,55.19,55.26,43.87,113937
2021-09-17,55.54,56.01,55.165,55.33,43.92,299728
2021-09-20,53.7,53.77,52.66,53.68,42.61,209300
2021-09-21,53.99,54.235,53.44,53.65,42.59,139137
2021-09-22,54.62,55.275,54.395,54.74,43.46,129803
2021-09-23,55.5,57.325,55.5,57.1,45.33,150417
2021-09-24,57.05,58.31,57.05,57.995,46.04,188564
2021-09-27,58.77,60.51,58.68,60.16,47.76,148565
2021-09-28,60.48,60.715,58.99,59.21,47.01,180642
2021-09-29,59.36,59.68,58.97,59.42,47.17,106701
2021-09-30,59.785,60.06,58.64,58.65,46.56,181732
2021-10-01,59.06,60.605,58.61,60.21,47.8,112954
2021-10-04,60.07,61.135,59.87,60.04,47.66,89455
2021-10-05,59.8,60.75,59.74,60.28,47.85,123431
2021-10-06,59.75,60.18,58.8,60.12,47.73,100594
2021-10-07,60.81,61.02,60.265,60.53,48.05,75494
2021-10-08,60.66,61.11,60.21,60.815,48.28,58620
2021-10-11,61.23,61.34,60.21,60.25,47.83,49740
2021-10-12,59.99,60.46,59.78,60.29,47.86,62196
2021-10-13,59.88,60.19,58.53,59.915,47.56,144177
2021-10-14,60.575,60.64,59.66,60.64,48.14,154228
2021-10-15,61.31,61.96,60.455,61.36,48.71,244475
2021-10-18,61.26,62.465,61.26,61.77,49.04,145019
2021-10-19,61.97,62.685,61.895,62.57,49.67,87601
2021-10-20,62.32,63.875,62.22,63.87,50.7,90259
2021-10-21,63.885,64.28,63.25,63.57,50.47,78920
2021-10-22,64.105,64.77,63.97,64.435,51.15,83606
2021-10-26,64.7,64.9,64.23,64.42,51.14,59038
2021-10-27,64.08,64.48,63.01,63.03,50.04,83272
2021-10-28,63.62,63.99,63.33,63.88,50.71,97901
2021-10-29,63.94,64.17,63.445,63.46,50.38,89156
2021-11-01,64.0,64.57,63.87,64.445,51.16,113707
2021-11-02,64.2,64.81,64.05,64.28,51.03,112899
2021-11-03,63.92,65.42,63.92,65.125,51.7,163918
2021-11-04,64.74,64.77,63.19,63.77,50.63,76826
2021-11-05,64.56,64.91,63.94,64.29,51.04,94396
2021-11-08,64.47,64.955,64.44,64.755,51.41,92543
2021-11-09,64.47,65.145,64.35,64.73,51.39,117550
2021-11-10,64.72,64.86,63.85,63.895,51.1,114004
2021-11-11,63.74,64.03,63.39,63.425,50.73,69402
2021-11-12,63.23,63.42,62.31,62.7,50.15,95491
2021-11-15,62.81,63.375,62.765,63.29,50.62,99772
2021-11-16,63.44,63.85,63.05,63.56,50.84,96217
2021-11-17,63.26,63.42,62.27,62.42,49.92,72821
2021-11-18,62.36,62.605,61.49,61.86,49.48,188279
2021-11-19,61.08,61.1,59.97,60.66,48.52,100255
2021-11-22,61.475,62.81,61.28,62.11,49.68,78288
2021-11-23,62.525,62.975,62.48,62.9,50.31,84117
2021-11-24,62.75,63.355,62.495,62.885,50.3,102824
2021-11-26,60.53,60.53,58.84,60.11,48.08,90880
2021-11-29,61.815,62.26,60.18,61.06,48.84,135826
2021-11-30,59.77,60.35,59.08,59.33,47.45,119383
2021-12-01,60.7,61.405,58.3,58.3,46.63,141133
2021-12-02,58.98,60.915,58.78,60.42,48.32,125729
2021-12-03,60.41,60.5,58.16,58.47,46.76,152733
2021-12-06,59.51,60.2,58.99,59.5,47.59,179547
2021-12-07,60.15,60.99,59.79,60.57,48.44,79476
2021-12-08,60.76,60.76,59.73,59.77,47.8,79685
2021-12-09,59.58,59.99,58.915,59.63,47.69,157951
2021-12-10,60.14,60.14,58.905,59.415,47.52,70560
2021-12-13,59.14,59.14,57.83,58.01,46.4,157076
2021-12-14,58.39,59.335,58.39,58.64,46.9,191359
2021-12-15,58.99,59.24,57.835,58.56,46.84,118070
2021-12-16,59.43,60.37,59.015,59.18,47.33,107862
2021-12-17,59.04,59.04,56.76,57.1,45.67,174414
2021-12-20,56.245,56.245,54.81,55.655,44.51,140600
2021-12-21,56.44,57.33,56.44,57.13,45.69,71193
2021-12-22,56.76,57.435,56.76,57.34,45.86,65898
2021-12-23,57.76,58.37,57.7,57.78,46.21,74180
2021-12-27,57.81,58.46,57.39,58.46,46.76,55658
2021-12-28,58.395,58.91,58.395,58.68,46.93,114296
2021-12-29,58.75,59.05,58.55,58.79,47.02,46290
2021-12-30,58.98,59.31,58.44,58.51,46.8,70038
2021-12-31,58.75,58.865,58.32,58.54,46.82,45099
2022-01-03,59.31,60.465,59.31,60.39,48.3,117872
2022-01-04,61.18,62.845,61.18,62.35,49.87,182595
2022-01-05,62.795,63.1,61.625,61.65,49.31,99496
2022-01-06,63.02,63.99,62.27,63.99,51.18,147752
2022-01-07,63.75,65.18,63.47,65.01,52.0,169370
2022-01-10,65.78,65.94,64.41,65.29,52.22,101763
2022-01-11,65.5,65.745,64.78,65.66,52.51,131074
2022-01-12,65.87,66.35,65.59,66.34,53.06,160375
2022-01-13,66.76,67.46,66.44,66.8,53.43,202799
2022-01-14,65.765,67.605,65.17,67.41,53.91,213017
2022-01-18,67.34,68.93,66.77,67.17,53.72,329829
2022-01-19,67.77,67.81,64.485,64.6,51.67,338243
2022-01-20,64.2,64.935,63.03,63.1,50.47,168330
2022-01-21,62.71,62.835,61.145,61.46,49.16,161794
2022-01-24,60.48,60.92,59.41,60.36,48.28,42387
2022-01-25,61.75,63.6,60.635,63.02,50.4,310359
2022-01-26,63.645,64.16,62.6,62.85,50.27,194788
2022-01-27,63.79,64.51,61.535,61.9,49.51,545195
2022-01-28,61.59,62.625,60.92,62.58,50.05,200648
2022-01-31,61.88,63.235,61.07,62.85,50.27,149238
2022-02-01,62.73,64.155,62.385,64.02,51.2,104898
2022-02-02,63.57,64.65,63.4,64.57,51.64,104086
2022-02-03,64.69,64.8,63.18,63.31,50.64,140603
2022-02-04,63.41,64.44,63.35,63.97,51.16,236413
2022-02-07,64.225,64.7,63.555,64.21,51.36,137333
2022-02-08,65.14,66.07,65.12,65.81,52.63,131404
2022-02-09,65.53,66.03,65.35,65.49,52.38,104147
2022-02-10,65.07,65.84,64.335,64.62,52.06,144227
2022-02-11,63.74,65.19,63.13,63.58,51.23,136692
2022-02-14,63.91,64.31,62.28,63.0,50.76,109054
2022-02-15,63.85,64.87,63.58,64.79,52.2,184856
2022-02-16,64.16,65.34,64.14,64.72,52.15,144154
2022-02-17,63.98,64.17,62.43,62.565,50.41,120889
2022-02-18,62.6,63.17,62.12,62.3,50.2,76487
2022-02-22,62.74,62.75,61.62,62.17,50.09,87415
2022-02-23,62.39,62.76,60.42,60.61,48.83,157140
2022-02-24,58.52,59.43,57.175,59.215,47.71,385204
2022-02-25,60.11,63.07,60.045,62.96,50.73,246452
2022-02-28,60.62,62.51,60.62,62.21,50.12,187925
2022-03-01,61.37,61.39,57.485,58.12,46.83,320629
2022-03-02,58.85,61.22,58.85,60.67,48.88,198172
2022-03-03,60.81,61.24,59.72,60.55,48.79,170461
2022-03-04,58.85,59.22,58.36,58.98,47.52,278634
2022-03-07,58.45,58.75,56.19,56.24,45.31,248679
2022-03-09,58.92,59.59,58.13,58.52,47.15,149350
2022-03-10,57.78,58.31,56.96,57.66,46.46,145182
2022-03-11,58.11,58.755,57.1,57.11,46.01,154318
2022-03-14,58.12,58.94,57.515,57.9,46.65,178583
2022-03-15,58.35,58.83,57.25,58.04,46.76,156665
2022-03-16,59.085,59.955,58.84,59.72,48.12,260033
2022-03-17,58.73,58.84,57.58,58.84,47.41,441110
2022-03-18,58.71,58.86,57.01,58.55,47.17,506002
2022-03-21,59.22,59.54,58.005,58.63,47.24,172905
2022-03-22,59.49,60.28,59.15,59.7,48.1,201358
2022-03-23,59.295,59.5,57.99,58.17,46.87,124521
2022-03-24,58.29,58.79,57.89,58.79,47.37,269642
2022-03-25,58.81,60.185,58.67,60.11,48.43,229317
2022-03-28,59.3,59.585,58.085,59.56,47.99,1150823
2022-03-29,60.59,61.06,60.06,60.57,48.8,970498
2022-03-30,60.51,60.58,58.39,58.74,47.33,203460
2022-03-31,58.5,59.01,56.72,56.72,45.7,219323
2022-04-01,57.19,57.47,55.05,55.32,44.57,322759
2022-04-04,54.99,55.62,54.07,55.28,44.54,139040
2022-04-05,55.11,55.96,54.88,55.35,44.6,256316
2022-04-06,55.04,55.24,54.45,54.74,44.1,168182
2022-04-07,54.95,55.04,53.175,53.87,43.4,211770
2022-04-08,54.04,54.47,53.44,53.87,43.4,113159
2022-04-11,53.41,54.66,53.17,53.64,43.22,138473
2022-04-12,53.51,54.11,52.41,52.68,42.44,145190
2022-04-13,52.28,52.63,51.66,52.0,41.9,610902
2022-04-14,51.83,52.78,51.7,52.13,42.0,455441
2022-04-18,52.1,52.89,51.905,52.67,42.44,374911
2022-04-19,52.3,52.36,50.46,52.0,41.9,406643
2022-04-20,52.11,53.485,52.11,52.57,42.36,393895
2022-04-21,53.25,53.615,51.91,52.11,41.99,252441
2022-04-22,52.03,52.19,50.8,50.86,40.98,307539
2022-04-25,50.255,50.9,48.915,50.86,40.98,566657
2022-04-26,50.085,51.25,49.92,50.54,40.72,486571
2022-04-27,50.325,51.04,50.235,50.52,40.7,195411
2022-04-28,50.4,50.58,49.52,50.24,40.48,466320
2022-04-29,50.4,50.6,48.22,48.38,38.98,286539
2022-05-02,49.2,49.2,47.99,48.96,39.45,499682
2022-05-03,49.55,50.2,49.28,49.61,39.97,401245
2022-05-04,49.505,50.77,49.17,50.75,40.89,746954
2022-05-05,50.03,50.105,48.58,49.47,39.86,426130
2022-05-06,49.3,49.39,48.19,49.06,39.53,262524
2022-05-09,48.74,49.17,48.15,48.58,39.14,258567
2022-05-10,49.16,49.21,46.88,47.45,38.23,301363
2022-05-11,47.72,48.79,46.785,46.85,37.75,430473
2022-05-12,46.28,46.73,45.52,46.51,37.86,375601
2022-05-13,46.79,46.93,45.865,46.31,37.7,391281
2022-05-16,46.58,46.58,45.55,46.12,37.54,491276
2022-05-17,47.22,48.01,46.89,47.885,38.98,260078
2022-05-18,47.48,47.48,46.23,46.43,37.8,280266
2022-05-19,45.92,46.59,45.75,46.12,37.54,312625
2022-05-20,46.42,46.7,44.855,45.715,37.21,315968
2022-05-23,46.605,47.76,46.39,47.27,38.48,191689
2022-05-24,47.27,47.29,45.76,46.84,38.13,273745
2022-05-25,46.71,47.92,46.71,47.61,38.76,487679
2022-05-26,47.95,48.78,47.95,48.41,39.41,169515
2022-05-27,48.495,49.135,48.345,49.13,39.99,177359
2022-05-31,48.52,50.065,48.34,49.76,40.51,252884
2022-06-01,49.8,49.96,48.32,48.905,39.81,226549
2022-06-02,49.02,49.775,48.58,49.75,40.5,187041
2022-06-03,49.45,49.79,49.02,49.095,39.97,157274
2022-06-06,49.75,50.4,49.42,49.46,40.26,97744
2022-06-07,49.0,49.86,48.75,49.75,40.5,104008
2022-06-08,49.21,49.44,48.605,49.03,39.91,178083
2022-06-09,49.01,49.01,47.68,47.69,38.82,187882
2022-06-10,46.76,47.07,45.77,45.94,37.4,283213
2022-06-13,44.95,47.265,44.77,46.645,37.97,657340
2022-06-14,46.92,47.63,45.76,46.27,37.67,350668
2022-06-15,46.835,47.27,46.03,46.59,37.93,259305
2022-06-16,45.84,46.1,45.135,45.85,37.32,476429
2022-06-17,46.0,46.87,45.74,46.285,37.68,295122
2022-06-21,47.28,47.62,46.64,47.06,38.31,482343
2022-06-22,46.44,47.37,46.41,47.19,38.41,285432
2022-06-23,46.88,47.28,46.105,46.875,38.16,342403
2022-06-24,47.16,49.265,47.115,49.25,40.09,208433
2022-06-27,49.4,49.4,48.1,48.58,39.55,243773
2022-06-28,48.94,49.67,48.185,48.365,39.37,163114
2022-06-29,48.59,48.59,47.355,47.37,38.56,257790
2022-06-30,46.51,47.78,45.87,47.47,38.64,226668
2022-07-01,47.265,48.37,46.77,48.2,39.24,166766
2022-07-05,47.19,48.64,46.75,48.64,39.6,162707
2022-07-06,48.28,48.66,47.445,47.625,38.77,260211
2022-07-07,48.125,48.44,47.88,47.99,39.07,230523
2022-07-08,48.21,48.39,47.55,47.69,38.82,132965
2022-07-11,47.33,47.77,47.06,47.4,38.59,215350
2022-07-12,46.89,48.055,46.85,47.21,38.43,195509
2022-07-13,46.7,46.7,45.665,46.1,37.53,207266
2022-07-14,45.12,45.4,44.73,45.2,36.79,239275
2022-07-15,45.97,47.555,45.69,47.41,38.59,153112
2022-07-18,48.1,48.54,46.86,47.09,38.33,216634
2022-07-19,48.55,48.55,47.11,48.28,39.3,293353
2022-07-20,47.84,48.28,47.52,48.03,39.1,163686
2022-07-21,48.11,48.425,47.415,48.36,39.37,101462
2022-07-22,48.49,48.7,47.74,48.17,39.21,227610
2022-07-25,48.46,49.52,48.22,49.1,39.97,190764
2022-07-26,48.725,49.41,48.33,48.47,39.46,98649
2022-07-27,48.73,49.925,48.5,49.52,40.31,246011
2022-07-28,49.37,49.71,48.71,49.55,40.34,192880
2022-07-29,49.95,50.575,49.87,50.5,41.11,195239
