date,open,high,low,close,adj_close,volume
2021-06-09,183.2,183.395,181.41,182.29,172.62,101641
2021-06-10,183.74,184.91,182.45,183.61,173.87,70334
2021-06-11,184.245,185.24,183.505,185.24,175.41,67042
2021-06-14,185.03,185.03,181.48,182.59,172.9,83960
2021-06-15,183.3,184.99,183.03,184.2,174.42,102179
2021-06-16,183.47,183.885,181.22,182.39,172.71,87944
2021-06-17,182.675,183.21,176.89,179.98,170.43,108460
2021-06-18,177.14,178.46,172.54,173.29,164.09,188016
2021-06-21,175.045,179.89,175.045,179.55,170.02,114947
2021-06-22,180.24,181.16,179.05,180.235,170.67,73965
2021-06-23,180.43,180.78,179.47,179.75,170.21,71909
2021-06-24,180.625,180.635,179.1,179.77,170.23,79671
2021-06-25,180.35,182.62,179.99,180.01,170.46,213622
2021-06-28,181.33,183.11,180.22,182.885,173.18,64481
2021-06-29,184.885,186.7,182.72,182.77,173.07,65737
2021-06-30,182.45,184.575,181.83,184.19,174.42,74490
2021-07-01,185.78,186.37,184.63,186.18,176.3,106345
2021-07-02,185.91,187.72,185.91,187.39,177.45,76015
2021-07-06,188.005,188.005,183.13,185.02,175.2,112882
2021-07-07,185.11,189.745,185.11,189.67,179.6,81454
2021-07-08,186.49,188.585,185.8,187.18,177.25,126373
2021-07-09,189.15,190.97,189.15,190.24,180.14,137299
2021-07-12,190.27,193.21,189.285,192.76,182.53,76921
2021-07-13,192.23,192.68,190.75,191.16,181.02,72405
2021-07-14,191.89,193.21,190.555,190.89,180.76,74261
2021-07-15,190.215,192.45,190.215,192.35,182.14,71920
2021-07-16,193.4,193.5,191.77,192.23,182.03,85942
2021-07-19,189.55,190.53,188.13,189.53,179.47,90951
2021-07-20,189.83,197.42,189.71,196.46,186.03,82901
2021-07-21,197.715,198.91,197.4,198.67,188.13,67598
2021-07-22,199.395,199.56,197.54,198.73,188.18,72288
2021-07-23,200.81,202.185,200.315,201.32,190.64,72147
2021-07-26,200.875,201.38,198.68,199.61,189.02,67973
2021-07-27,198.5,201.92,198.38,200.65,190.0,73902
2021-07-28,201.175,201.69,198.21,198.21,187.69,124001
2021-07-29,199.595,202.905,199.145,202.61,191.86,104915
2021-07-30,201.545,203.7,201.21,203.59,192.79,93487
2021-08-02,204.485,205.655,201.075,201.2,190.52,105014
2021-08-03,202.43,207.04,201.33,206.68,195.71,56346
2021-08-04,199.59,202.11,197.77,200.35,189.72,94435
2021-08-05,200.705,201.35,195.115,195.38,185.01,106332
2021-08-06,195.98,197.84,194.79,196.98,186.53,50884
2021-08-09,193.16,195.005,192.27,193.87,183.58,94501
2021-08-10,193.615,193.76,191.13,192.26,182.06,107921
2021-08-11,192.97,193.675,191.99,193.32,183.06,95669
2021-08-12,193.62,194.13,191.04,191.82,181.64,55299
2021-08-13,192.11,192.11,190.075,191.23,181.08,36537
2021-08-16,190.54,195.17,189.88,195.16,184.8,32234
2021-08-17,193.51,193.945,191.17,193.66,183.38,65769
2021-08-18,193.13,194.66,192.32,192.33,182.12,44509
2021-08-19,190.385,195.21,190.385,193.99,183.7,51778
2021-08-20,194.04,194.675,192.68,193.4,183.14,51974
2021-08-23,194.805,195.23,192.97,194.53,184.21,23429
2021-08-24,195.155,196.88,194.645,196.61,186.18,47129
2021-08-25,197.35,201.7,197.35,199.4,188.82,96512
2021-08-26,198.715,200.09,197.955,199.3,188.72,35026
2021-08-27,200.395,201.055,198.74,198.77,188.22,70597
2021-08-30,199.335,200.91,198.565,200.07,189.45,33975
2021-08-31,200.075,200.075,198.185,198.5,187.97,49025
2021-09-01,198.41,198.675,196.725,197.775,187.28,48601
2021-09-02,198.11,201.04,198.11,201.02,190.92,51547
2021-09-03,201.005,201.28,199.495,199.9,189.86,30959
2021-09-07,198.475,198.475,193.27,193.41,183.69,58757
