date,open,high,low,close,adj_close,volume
2021-06-09,158.075,158.67,157.5,158.16,151.65,33290
2021-06-10,158.595,159.77,158.595,159.23,152.68,23512
2021-06-11,158.86,158.86,157.39,158.26,151.75,87775
2021-06-14,158.58,158.58,156.71,157.52,151.04,80556
2021-06-15,157.935,159.225,157.2,158.21,151.7,107574
2021-06-16,158.97,159.11,156.65,157.99,151.49,95375
2021-06-17,157.99,160.89,157.99,160.53,153.92,98447
2021-06-18,159.21,159.665,158.085,158.52,151.99,98735
2021-06-21,159.44,164.01,158.91,163.47,156.74,100747
2021-06-22,163.82,167.1,162.845,166.39,159.54,87474
2021-06-23,165.89,166.655,164.51,164.54,157.77,57107
2021-06-24,165.02,165.06,163.64,164.34,157.58,57436
2021-06-25,164.92,167.59,164.76,165.88,159.28,62551
2021-06-28,165.79,165.79,161.925,163.73,157.22,65339
2021-06-29,163.595,163.595,161.06,161.1,154.69,78513
2021-06-30,161.08,161.725,160.07,160.86,154.46,58165
2021-07-01,161.37,163.16,160.77,163.16,156.67,106665
2021-07-02,162.59,163.82,162.14,163.49,156.99,57831
2021-07-06,162.725,163.3,162.025,162.75,156.28,69302
2021-07-07,163.46,163.46,160.395,161.11,154.7,84546
2021-07-08,159.135,160.22,157.99,159.085,152.76,76610
2021-07-09,159.78,160.18,158.31,159.15,152.82,49292
2021-07-12,158.48,160.39,158.48,159.69,153.34,42612
2021-07-13,159.21,159.73,156.71,156.98,150.74,59952
2021-07-14,157.39,157.53,155.33,155.55,149.37,63628
2021-07-15,154.83,155.27,152.49,153.085,147.0,94459
2021-07-16,153.18,153.87,151.27,153.425,147.32,144769
2021-07-19,151.61,151.89,149.36,150.05,144.08,63234
2021-07-20,150.92,156.01,150.91,155.66,149.47,77380
2021-07-21,156.95,159.79,156.59,159.53,153.19,121507
2021-07-22,159.34,159.34,156.97,158.63,152.32,42959
2021-07-23,159.585,160.76,159.27,159.9,153.54,48417
2021-07-26,159.45,159.71,157.99,159.61,153.26,27175
2021-07-27,159.08,163.26,159.08,162.865,156.39,68426
2021-07-28,163.065,163.54,162.03,162.58,156.12,48444
2021-07-29,163.22,163.415,160.81,162.69,156.22,40493
2021-07-30,162.435,164.92,162.41,163.435,156.94,48935
2021-08-02,164.0,165.37,162.865,163.01,156.53,150066
2021-08-03,153.91,155.09,150.225,153.69,147.58,262363
2021-08-04,152.52,153.42,147.48,148.25,142.36,186829
2021-08-05,148.19,150.23,147.31,150.23,144.26,208798
2021-08-06,150.545,150.625,147.5,149.0,143.08,149646
2021-08-09,148.46,148.875,146.84,147.49,141.63,97502
2021-08-10,146.43,146.575,143.67,145.82,140.02,134117
2021-08-11,145.835,146.695,145.66,145.66,139.87,59649
2021-08-12,146.265,147.01,145.4,146.39,140.57,106874
2021-08-13,145.825,146.63,144.96,146.045,140.24,77850
2021-08-16,145.7,147.07,144.8,146.61,140.78,85834
2021-08-17,145.62,148.18,144.57,147.92,142.04,113826
2021-08-18,148.06,148.32,144.365,144.365,138.62,68503
2021-08-19,143.63,144.65,143.19,144.06,138.33,58658
2021-08-20,143.63,146.04,143.17,145.48,139.7,65005
2021-08-23,146.0,146.265,144.185,145.34,139.56,63502
2021-08-24,145.79,149.355,145.37,148.735,142.82,145454
2021-08-25,148.8,151.67,148.47,150.4,144.42,65370
2021-08-26,149.925,150.96,149.01,149.62,143.67,66566
2021-08-27,149.75,150.98,149.355,150.09,144.12,46240
2021-08-30,150.0,150.83,149.48,149.82,143.86,38359
2021-08-31,149.82,150.795,149.82,150.52,144.54,47408
2021-09-01,150.69,151.105,149.595,150.89,144.89,76557
2021-09-02,151.58,152.06,148.57,149.055,143.13,83915
2021-09-03,149.0,149.25,146.03,146.66,140.83,162850
2021-09-07,146.42,147.295,144.93,146.59,140.76,92638
2021-09-08,146.71,148.31,145.43,147.33,141.47,85300
2021-09-09,148.1,149.64,144.31,144.31,138.57,60372
2021-09-10,144.26,144.615,140.38,140.41,134.83,81355
