ticker,asof_date,volatility_60d,ret_60d
A,2023-12-29,0.315277,0.245386
AAPL,2023-12-29,0.156366,0.108603
ABBV,2023-12-29,0.172123,0.050556
ABNB,2023-12-29,0.376485,0.069068
ABT,2023-12-29,0.199041,0.151553
ACGL,2023-12-29,0.277416,-0.076282
ACN,2023-12-29,0.161519,0.135181
ADBE,2023-12-29,0.278709,0.151266
ADI,2023-12-29,0.244903,0.142906
ADM,2023-12-29,0.225954,-0.017014
ADP,2023-12-29,0.25634,-0.045235
ADSK,2023-12-29,0.282031,0.176027
AEE,2023-12-29,0.268935,-0.006729
AEP,2023-12-29,0.223455,0.107898
AES,2023-12-29,0.406076,0.457608
AFL,2023-12-29,0.170805,0.084922
AIG,2023-12-29,0.184157,0.141918
AIZ,2023-12-29,0.30928,0.166459
AJG,2023-12-29,0.226293,-0.018682
AKAM,2023-12-29,0.141029,0.111132
ALB,2023-12-29,0.604616,-0.087552
ALGN,2023-12-29,0.669944,-0.060346
ALL,2023-12-29,0.222382,0.256281
ALLE,2023-12-29,0.263352,0.216302
AMAT,2023-12-29,0.301754,0.163704
AMCR,2023-12-29,0.215883,0.065746
AMD,2023-12-29,0.421558,0.417051
AME,2023-12-29,0.168433,0.0989
AMGN,2023-12-29,0.220698,0.085371
AMP,2023-12-29,0.210193,0.195288
AMT,2023-12-29,0.298401,0.369973
AMZN,2023-12-29,0.284055,0.197494
ANET,2023-12-29,0.421056,0.266064
AON,2023-12-29,0.243308,-0.104361
AOS,2023-12-29,0.246329,0.245468
APA,2023-12-29,0.288915,-0.056038
APD,2023-12-29,0.320055,-0.038227
APH,2023-12-29,0.167966,0.190373
APO,2023-12-29,0.284938,0.059225
APP,2023-12-29,0.453522,-0.012147
APTV,2023-12-29,0.413833,-0.069874
ARE,2023-12-29,0.462368,0.296849
ARES,2023-12-29,0.297904,0.162138
ATO,2023-12-29,0.166631,0.090815
AVB,2023-12-29,0.255891,0.112484
AVGO,2023-12-29,0.339335,0.357157
AVY,2023-12-29,0.194289,0.102641
AWK,2023-12-29,0.256239,0.105898
AXON,2023-12-29,0.288397,0.327817
AXP,2023-12-29,0.221252,0.278142
AZO,2023-12-29,0.211216,0.034405
BA,2023-12-29,0.233775,0.396668
BAC,2023-12-29,0.286949,0.298361
BALL,2023-12-29,0.327002,0.167445
BAX,2023-12-29,0.343812,0.046137
BBY,2023-12-29,0.294786,0.141982
BDX,2023-12-29,0.232846,-0.060926
BEN,2023-12-29,0.317465,0.255902
BF.B,2023-12-29,0.332147,-0.010745
BG,2023-12-29,0.198516,-0.034156
BIIB,2023-12-29,0.265078,0.006416
BK,2023-12-29,0.187008,0.261639
BKNG,2023-12-29,0.230019,0.16395
BKR,2023-12-29,0.220098,0.031684
BLDR,2023-12-29,0.466902,0.390725
BLK,2023-12-29,0.222559,0.276452
BMY,2023-12-29,0.252192,-0.095717
BR,2023-12-29,0.170903,0.147374
BRK.B,2023-12-29,0.115922,0.039521
BRO,2023-12-29,0.218912,0.011087
BSX,2023-12-29,0.235982,0.12198
BX,2023-12-29,0.375279,0.256742
BXP,2023-12-29,0.516288,0.277444
C,2023-12-29,0.226155,0.292965
CAG,2023-12-29,0.228248,0.081479
CAH,2023-12-29,0.23411,0.134001
CARR,2023-12-29,0.295361,0.052391
CASY,2023-12-29,0.184687,0.008733
CAT,2023-12-29,0.300454,0.116606
CB,2023-12-29,0.176453,0.08889
CBOE,2023-12-29,0.174191,0.115547
CBRE,2023-12-29,0.297009,0.308547
CCI,2023-12-29,0.309218,0.290131
CCL,2023-12-29,0.454459,0.416031
CDNS,2023-12-29,0.227064,0.159552
CDW,2023-12-29,0.174651,0.10747
CEG,2023-12-29,0.319378,0.10146
CF,2023-12-29,0.293455,-0.03061
CFG,2023-12-29,0.424396,0.293016
CHD,2023-12-29,0.23892,0.027485
CHRW,2023-12-29,0.216041,0.01088
CHTR,2023-12-29,0.362408,-0.102125
CI,2023-12-29,0.43788,0.050947
CIEN,2023-12-29,0.296696,-0.010554
CINF,2023-12-29,0.196036,0.025724
CL,2023-12-29,0.17142,0.129748
CLX,2023-12-29,0.26294,0.081885
CMCSA,2023-12-29,0.262204,0.010129
CME,2023-12-29,0.188651,0.036656
CMG,2023-12-29,0.193104,0.230679
CMI,2023-12-29,0.210427,0.052962
CMS,2023-12-29,0.18582,0.110771
CNC,2023-12-29,0.222419,0.075975
CNP,2023-12-29,0.201374,0.076894
COF,2023-12-29,0.310053,0.416703
COHR,2023-12-29,0.430871,0.409326
COIN,2023-12-29,0.621653,1.366766
COO,2023-12-29,0.251441,0.202955
COP,2023-12-29,0.244586,0.024451
COR,2023-12-29,0.14215,0.124446
COST,2023-12-29,0.208475,0.155052
CPAY,2023-12-29,0.249682,0.125035
CPB,2023-12-29,0.253264,0.082916
CPRT,2023-12-29,0.222336,0.120512
CPT,2023-12-29,0.290994,0.060331
CRH,2023-12-29,0.267563,0.26909
CRL,2023-12-29,0.360992,0.238445
CRM,2023-12-29,0.286227,0.304932
CRWD,2023-12-29,0.337698,0.556301
CSCO,2023-12-29,0.243468,-0.054188
CSGP,2023-12-29,0.285967,0.143268
CSX,2023-12-29,0.185636,0.124696
