date,open,high,low,close,adj_close,volume
2021-06-09,83.08,84.72,83.08,84.45,70.5,140164
2021-06-10,84.71,85.01,84.3,84.755,70.75,101063
2021-06-11,84.8,85.12,84.4,84.78,70.77,103679
2021-06-14,84.73,85.15,84.66,85.1,71.04,83100
2021-06-15,85.46,85.545,84.89,85.24,71.16,121991
2021-06-16,85.75,85.935,84.28,84.39,70.45,111135
2021-06-17,84.315,85.175,84.0,84.38,70.44,77619
2021-06-18,84.27,84.27,82.19,82.33,68.73,94889
2021-06-21,82.56,83.45,82.14,83.19,69.45,72776
2021-06-22,83.29,83.89,83.18,83.275,69.52,102541
2021-06-23,83.48,83.48,82.37,82.64,68.99,75603
2021-06-24,82.44,83.19,82.23,82.89,69.2,124869
2021-06-25,82.73,84.88,82.73,84.88,70.86,166628
2021-06-28,84.95,85.495,84.63,84.94,70.91,183004
2021-06-29,84.56,85.46,83.67,83.92,70.05,90843
2021-06-30,84.23,84.71,83.82,84.66,70.67,92276
2021-07-01,84.73,85.61,84.51,85.205,71.13,72710
2021-07-02,85.45,85.45,84.85,85.21,71.13,96684
2021-07-06,85.32,85.36,84.03,85.26,71.17,95099
2021-07-07,85.32,85.65,84.84,85.63,71.48,72287
2021-07-08,85.72,86.075,85.1,85.3,71.21,59037
2021-07-09,85.15,85.455,84.47,85.4,71.29,91116
2021-07-12,85.41,85.455,84.815,85.36,71.26,48392
2021-07-13,85.34,85.69,84.84,85.25,71.17,60175
2021-07-14,85.28,86.54,84.88,86.16,71.92,138762
2021-07-15,85.905,87.26,85.905,87.13,72.73,136474
2021-07-16,87.17,88.125,87.0,87.44,72.99,97973
2021-07-19,87.635,88.03,85.015,85.74,71.57,125172
2021-07-20,86.14,86.74,85.685,85.755,71.59,115651
2021-07-21,85.58,86.04,84.615,84.7,70.71,147021
2021-07-22,85.27,87.06,84.64,84.88,70.86,136889
2021-07-23,84.83,86.085,84.8,85.99,71.78,122021
2021-07-26,85.78,87.81,85.41,87.76,73.26,205897
2021-07-27,87.71,89.75,87.365,89.4,74.63,221138
2021-07-28,89.375,89.8,88.26,89.03,74.32,167687
2021-07-29,89.09,89.48,88.83,89.17,74.44,85152
2021-07-30,89.33,89.91,87.97,88.07,73.52,82764
2021-08-02,88.26,88.86,87.67,88.35,73.75,58574
2021-08-03,88.585,89.59,88.27,89.12,74.4,84770
2021-08-04,88.79,88.95,87.97,88.91,74.22,99843
2021-08-05,88.925,89.765,88.4,89.65,74.84,97763
