date,open,high,low,close,adj_close,volume
2021-06-09,244.71,246.36,243.64,245.65,237.65,51108
2021-06-10,246.57,251.04,246.26,249.4,241.27,57440
2021-06-11,249.585,251.8,248.72,250.07,241.92,55850
2021-06-14,249.39,250.09,247.85,250.09,241.94,67244
2021-06-15,249.975,252.82,249.3,251.87,243.66,99214
2021-06-16,251.635,252.24,242.67,244.06,236.11,392376
2021-06-17,243.625,244.15,232.74,232.93,225.34,587748
2021-06-18,231.53,233.97,229.265,230.23,222.73,220167
2021-06-21,230.98,234.47,230.66,234.06,226.43,114303
2021-06-22,233.245,235.62,232.45,233.65,226.04,81560
2021-06-23,233.56,236.3,233.2,235.45,227.78,64060
2021-06-24,236.165,238.92,235.29,238.54,230.77,93724
2021-06-25,238.665,244.585,238.655,244.12,236.17,208258
2021-06-28,243.27,244.25,240.01,240.95,233.1,63503
2021-06-29,241.23,243.28,241.23,243.25,235.33,38928
2021-06-30,242.77,242.77,237.905,238.61,230.84,139159
2021-07-01,239.5,239.84,238.09,238.5,230.73,45475
2021-07-02,238.91,241.31,238.91,239.63,231.82,33668
2021-07-06,239.04,239.04,236.67,237.75,230.0,46260
2021-07-07,237.32,239.61,237.22,239.04,231.25,74445
2021-07-08,236.79,238.015,234.4,235.21,227.55,50823
2021-07-09,236.855,237.7,235.075,236.19,228.5,88173
2021-07-12,235.845,235.845,231.67,232.69,225.11,65377
2021-07-13,232.75,233.12,231.04,231.63,224.08,55590
2021-07-14,231.65,232.14,228.35,230.48,222.97,56901
2021-07-15,229.69,232.73,229.69,231.22,223.69,64670
2021-07-16,232.19,232.74,230.38,231.75,224.2,90027
2021-07-19,229.81,230.01,223.19,226.825,219.44,106670
2021-07-20,227.67,230.32,227.38,228.61,221.16,48450
2021-07-21,229.67,236.35,229.67,229.99,222.5,170524
2021-07-22,230.89,233.195,230.405,232.51,224.94,105186
2021-07-23,233.19,234.0,232.285,232.45,224.88,71277
2021-07-26,246.56,257.18,245.5,251.55,243.35,1061434
2021-07-27,250.625,260.11,250.3,259.58,251.12,451496
2021-07-28,261.06,265.135,257.985,262.285,253.74,319248
2021-07-29,264.1,264.98,262.23,263.59,255.0,241319
2021-07-30,264.72,264.72,257.55,260.1,252.11,252223
2021-08-02,262.175,262.55,259.5,259.945,251.96,91160
2021-08-03,260.85,267.09,260.515,264.13,256.02,283986
2021-08-04,263.005,264.34,259.31,259.42,251.45,173374
2021-08-05,260.56,262.245,259.56,262.245,254.19,268306
2021-08-06,263.685,263.685,260.79,261.52,253.49,111644
2021-08-09,261.075,264.25,260.68,263.76,255.66,94639
2021-08-10,265.0,268.455,264.51,267.49,259.28,59901
2021-08-11,269.46,273.36,269.37,273.3,264.91,107678
2021-08-12,272.93,275.31,271.765,274.99,266.55,89566
2021-08-13,275.89,277.8,275.89,277.18,268.67,83545
2021-08-16,277.235,279.73,276.695,279.65,271.06,109507
2021-08-17,278.58,281.055,278.58,280.69,272.07,124124
2021-08-18,280.16,280.8,276.655,276.79,268.29,88895
2021-08-19,276.4,277.57,275.33,275.96,267.49,81488
2021-08-20,276.615,281.1,275.96,279.34,270.76,110878
2021-08-23,280.42,282.26,278.49,278.49,269.94,151007
2021-08-24,278.75,281.6,277.88,279.46,270.88,62261
2021-08-25,279.13,282.57,278.18,280.9,272.28,139831
2021-08-26,280.48,282.99,280.05,281.21,272.58,74386
2021-08-27,281.83,285.75,281.72,285.11,276.36,104419
2021-08-30,285.48,288.075,285.11,285.32,276.56,115422
2021-08-31,284.72,288.34,283.515,286.75,277.95,91549
2021-09-01,286.86,289.205,284.045,288.38,279.53,44289
2021-09-02,289.74,290.57,287.87,290.45,281.53,112753
2021-09-03,290.675,292.06,289.72,291.46,282.51,43773
2021-09-07,290.65,290.65,287.0,288.03,279.19,40866
2021-09-08,287.86,288.905,286.56,288.03,279.19,47583
2021-09-09,290.99,294.39,290.99,292.19,283.22,62584
2021-09-10,293.07,293.92,290.79,292.25,283.28,39639
2021-09-13,294.98,295.15,291.03,292.51,283.53,44628
2021-09-14,292.42,293.01,290.06,291.87,282.91,87537
2021-09-15,291.59,295.02,289.78,293.64,284.62,82216
2021-09-16,293.565,293.565,290.73,292.08,283.11,58109
2021-09-17,291.41,292.7,288.89,289.22,280.34,48684
2021-09-20,284.69,288.38,284.4,288.06,279.22,96558
2021-09-21,289.5,291.77,289.32,290.89,281.96,35542
2021-09-22,293.955,299.85,292.41,299.11,289.93,75079
2021-09-23,300.07,302.215,297.365,298.31,289.15,94780
2021-09-24,298.45,300.59,298.15,299.1,289.92,31825
2021-09-27,299.62,299.75,291.24,294.03,285.0,76844
2021-09-28,292.6,294.635,287.86,289.05,280.17,71923
2021-09-29,290.03,292.92,289.62,291.14,282.2,44987
2021-09-30,291.35,292.14,285.84,285.84,277.06,88551
2021-10-01,286.92,292.79,286.17,291.11,282.17,120069
2021-10-04,289.91,291.07,283.63,285.35,276.59,60762
2021-10-05,288.73,293.13,288.16,292.105,283.14,42325
2021-10-06,291.595,291.6,286.74,290.86,281.93,84827
2021-10-07,292.88,295.61,291.89,293.19,284.19,67383
2021-10-08,294.02,295.88,292.15,294.64,285.59,40019
2021-10-11,294.47,297.05,294.47,295.18,286.12,47382
2021-10-12,296.75,300.6,294.535,298.77,289.6,46221
2021-10-13,299.8,300.75,296.64,300.69,291.46,50128
2021-10-14,303.1,308.57,303.1,308.47,299.0,62060
2021-10-15,309.485,311.715,308.79,309.36,299.86,61541
2021-10-18,307.97,310.45,304.57,305.74,296.35,68185
2021-10-19,308.09,309.46,305.61,309.46,299.96,83816
2021-10-20,310.405,313.88,309.17,313.88,304.24,35726
2021-10-21,314.22,319.92,312.4,319.7,309.88,60519
2021-10-22,319.995,321.805,317.33,320.89,311.04,45386
