date,open,high,low,close,adj_close,volume
2021-06-09,300.02,301.675,297.39,297.39,262.48,45666
2021-06-10,299.9,301.1,298.33,298.77,263.7,25993
2021-06-11,300.06,302.13,299.32,300.33,265.07,35939
2021-06-14,299.85,299.85,297.445,299.16,264.04,28028
2021-06-15,301.58,302.22,298.75,300.97,265.64,35416
2021-06-16,302.74,304.7,299.45,299.99,264.77,28343
2021-06-17,298.86,299.6,295.4,299.1,263.99,46954
2021-06-18,296.31,297.755,292.56,292.95,258.56,85003
2021-06-21,296.22,298.04,294.74,296.55,261.74,37326
2021-06-22,298.19,299.3,297.11,298.12,263.12,39948
2021-06-23,297.51,297.94,290.68,290.77,256.64,43785
2021-06-24,292.505,293.495,289.53,290.085,256.03,57713
2021-06-25,290.855,291.49,288.52,288.52,254.65,40949
2021-06-28,290.55,290.55,287.16,288.96,255.04,51415
2021-06-29,291.2,291.2,286.96,288.09,254.27,60257
2021-06-30,286.95,288.4,286.38,287.65,255.21,45594
2021-07-01,289.65,290.235,287.69,288.8,256.23,33241
2021-07-02,288.85,291.52,287.74,290.8,258.01,22847
2021-07-06,291.765,291.765,285.51,286.89,254.54,30757
2021-07-07,288.435,291.045,287.925,290.61,257.84,34384
2021-07-08,287.25,289.04,284.23,286.99,254.63,42950
2021-07-09,289.38,291.8,289.38,291.52,258.64,32244
2021-07-12,291.77,293.41,291.02,291.02,258.2,42793
2021-07-13,291.25,291.25,288.06,288.9,256.32,29479
2021-07-14,290.44,291.27,287.91,288.36,255.84,24626
2021-07-15,288.85,290.025,287.575,288.085,255.6,38950
2021-07-16,288.25,289.01,284.34,285.58,253.37,58054
2021-07-19,282.67,283.68,279.035,282.05,250.24,74894
2021-07-20,282.96,289.69,282.24,286.07,253.81,60815
2021-07-21,286.46,287.95,285.94,286.79,254.45,41358
2021-07-22,287.82,289.71,286.76,288.54,256.0,45349
2021-07-23,289.85,290.44,287.23,290.19,257.46,47126
2021-07-26,290.91,290.91,287.97,288.795,256.23,19552
2021-07-27,286.91,291.28,285.2,288.68,256.13,44940
2021-07-28,287.77,289.25,286.67,287.97,255.5,39089
2021-07-29,289.93,290.79,288.15,289.625,256.96,16989
2021-07-30,291.81,291.9,289.84,291.03,258.21,21166
2021-08-02,293.395,293.395,288.475,288.71,256.15,31753
2021-08-03,289.26,291.01,288.28,290.61,257.84,22528
2021-08-04,288.94,290.67,287.58,287.72,255.27,40347
2021-08-05,289.79,291.97,288.32,288.75,256.19,47079
