date,open,high,low,close,adj_close,volume
2021-06-09,211.83,212.36,210.4,210.91,177.79,39234
2021-06-10,210.555,216.6,210.555,214.73,181.01,53496
2021-06-11,213.08,215.05,212.82,214.575,180.88,26626
2021-06-14,213.325,214.13,212.52,214.1,180.48,28829
2021-06-15,213.18,213.18,210.485,210.98,177.85,20419
2021-06-16,211.1,212.35,209.63,209.63,176.71,54080
2021-06-17,209.78,210.41,208.035,210.05,177.07,40923
2021-06-18,210.0,210.34,205.93,205.93,173.59,47276
2021-06-21,206.61,212.87,206.61,212.13,178.82,42051
2021-06-22,211.63,212.235,210.285,211.69,178.45,30070
2021-06-23,210.65,213.18,210.65,212.66,179.27,62927
2021-06-24,211.97,212.58,210.7,212.05,178.75,52046
2021-06-25,211.95,213.99,211.9,213.94,180.35,45019
2021-06-28,213.34,213.34,210.88,212.36,179.01,29653
2021-06-29,211.23,212.57,210.01,210.31,178.62,44682
2021-06-30,211.0,211.81,207.99,208.68,177.24,52151
2021-07-01,209.33,212.33,208.57,210.42,178.72,25266
2021-07-02,212.26,212.445,210.97,211.42,179.57,29524
2021-07-06,210.88,213.86,209.55,213.41,181.26,25527
2021-07-07,212.35,216.09,212.35,215.77,183.26,29713
2021-07-08,214.27,217.66,214.035,217.24,184.51,47932
2021-07-09,217.95,221.045,217.5,220.84,187.57,35427
2021-07-12,220.37,224.27,220.37,224.06,190.3,20849
2021-07-13,223.28,223.65,220.58,221.35,188.0,21049
2021-07-14,221.61,224.27,221.61,224.09,190.33,14480
2021-07-15,223.4,225.305,223.26,224.92,191.03,42947
2021-07-16,225.655,227.035,225.41,225.82,191.8,28096
2021-07-19,224.195,225.16,221.33,223.1,189.49,54606
2021-07-20,224.53,229.44,224.53,228.9,194.41,29574
2021-07-21,228.93,230.4,227.94,228.2,193.82,21137
2021-07-22,226.4,227.115,224.03,224.44,190.63,65712
2021-07-23,224.91,226.91,224.185,226.81,192.64,47887
2021-07-26,227.455,227.455,225.335,226.15,192.08,10862
2021-07-27,225.365,229.17,225.365,228.33,193.93,15482
2021-07-28,228.34,229.4,227.28,227.56,193.28,22100
2021-07-29,228.38,232.09,228.38,230.04,195.38,39250
2021-07-30,230.975,232.66,227.75,227.75,193.44,44767
2021-08-02,229.49,231.58,227.66,228.79,194.32,35298
2021-08-03,229.235,229.235,226.35,228.81,194.34,15861
2021-08-04,228.71,229.56,227.285,227.9,193.56,32111
2021-08-05,229.49,229.805,226.77,229.15,194.63,24228
2021-08-06,229.445,229.745,228.32,228.89,194.4,12424
2021-08-09,228.0,228.58,226.37,227.53,193.25,22001
2021-08-10,226.73,226.73,222.745,222.78,189.22,35780
2021-08-11,223.62,224.1,221.6,222.085,188.62,42688
2021-08-12,222.94,223.635,221.84,222.22,188.74,34400
2021-08-13,223.28,225.09,222.36,224.43,190.62,24888
2021-08-16,223.79,226.57,223.79,225.075,191.16,26573
2021-08-17,223.55,225.29,222.42,224.655,190.81,19285
2021-08-18,223.11,224.69,221.85,222.87,189.29,9211
2021-08-19,221.53,224.54,220.88,223.86,190.13,19106
2021-08-20,222.145,225.68,222.145,224.81,190.94,11824
2021-08-23,225.12,225.535,222.3,223.15,189.53,10267
2021-08-24,222.625,222.85,220.43,221.91,188.48,21155
2021-08-25,221.635,224.285,221.61,222.23,188.75,9676
2021-08-26,224.185,224.84,222.625,224.205,190.43,22922
2021-08-27,225.9,226.48,224.97,225.615,191.62,9140
2021-08-30,225.49,228.36,225.49,228.07,193.71,20782
2021-08-31,227.05,229.67,227.05,229.6,195.01,20120
2021-09-01,229.58,232.57,228.36,232.57,197.53,24459
2021-09-02,232.34,233.18,230.49,233.03,197.92,63739
2021-09-03,230.95,233.46,230.06,232.89,197.8,24430
2021-09-07,231.145,231.145,226.455,227.47,193.2,34899
2021-09-08,226.795,231.73,226.61,230.46,195.74,24504
2021-09-09,228.895,229.76,225.99,226.0,191.95,25629
2021-09-10,226.295,226.295,223.43,223.51,189.84,27231
2021-09-13,225.64,227.12,223.2,223.71,190.01,42627
2021-09-14,224.205,225.405,222.905,224.23,190.45,22701
2021-09-15,223.855,226.25,223.855,224.65,190.8,39166
2021-09-16,224.98,225.13,222.37,223.53,189.85,73816
2021-09-17,223.11,223.6,219.3,219.94,186.8,38423
2021-09-20,218.1,220.76,217.43,220.61,187.37,30540
2021-09-21,222.165,223.725,220.96,221.67,188.27,24813
2021-09-22,223.45,224.55,223.02,223.51,189.84,24141
2021-09-23,225.5,229.12,225.5,227.29,193.05,29279
2021-09-24,225.98,229.945,225.98,226.35,192.25,23719
2021-09-27,226.9,228.21,221.53,221.77,188.36,22481
2021-09-28,220.1,222.81,218.8,221.97,188.53,21361
2021-09-29,225.22,227.11,225.055,225.055,191.15,16026
2021-09-30,225.64,226.13,221.52,221.6,188.21,20665
2021-10-01,222.33,223.82,219.27,222.72,190.53,9148
2021-10-04,222.36,225.46,222.36,224.72,192.24,34889
2021-10-05,225.9,225.9,222.665,224.65,192.18,30824
2021-10-06,223.53,226.835,220.09,226.34,193.63,28911
2021-10-07,227.46,228.3,225.42,225.73,193.11,13299
2021-10-08,225.74,226.27,223.79,223.79,191.45,5942
2021-10-11,224.67,224.825,222.52,223.95,191.58,9334
2021-10-12,224.1,227.23,223.555,226.51,193.77,15022
2021-10-13,225.685,228.365,224.555,228.245,195.26,43399
2021-10-14,229.26,232.67,229.26,232.46,198.86,32349
2021-10-15,233.53,234.0,229.18,230.795,197.44,52263
2021-10-18,229.3,231.22,228.635,229.88,196.66,29557
2021-10-19,229.65,230.94,227.39,228.53,195.5,34449
2021-10-20,229.35,233.06,229.26,232.76,199.12,34661
2021-10-21,232.61,232.95,231.16,232.03,198.5,31353
2021-10-22,233.945,234.265,232.28,232.7,199.07,14422
2021-10-26,232.49,235.56,231.52,234.37,200.5,15178
2021-10-27,234.96,238.36,233.685,236.44,202.27,50943
2021-10-28,237.03,241.545,236.575,239.24,204.66,76587
2021-10-29,238.465,239.79,236.22,236.57,202.38,45094
2021-11-01,236.305,236.305,231.02,234.96,201.0,56160
2021-11-02,236.02,237.1,233.92,235.43,201.4,64223
2021-11-03,236.05,236.94,234.51,236.61,202.41,54174
2021-11-04,236.02,237.535,231.6,233.645,199.88,15388
2021-11-05,234.77,238.55,234.65,237.89,203.51,43636
2021-11-08,239.55,239.55,236.52,238.09,203.68,48837
2021-11-09,237.885,240.2,237.885,240.2,205.48,18233
2021-11-10,240.66,241.055,240.01,240.28,205.55,16008
2021-11-11,240.18,240.92,238.9,240.92,206.1,34394
2021-11-12,241.06,242.12,240.18,240.98,206.15,11776
2021-11-15,240.855,245.36,240.38,245.29,209.84,12386
2021-11-16,244.94,245.315,241.545,241.78,206.84,21506
2021-11-17,239.0,243.99,235.24,243.85,208.61,34842
2021-11-18,242.83,246.33,242.83,246.28,210.69,41587
