date,open,high,low,close,adj_close,volume
2021-06-09,118.16,118.16,114.99,115.0,92.07,90259
2021-06-10,115.895,116.62,111.735,112.56,90.11,226531
2021-06-11,112.6,115.01,112.51,114.4,91.59,134960
2021-06-14,114.45,114.62,112.81,114.0,91.27,77695
2021-06-15,113.92,114.36,112.42,113.26,90.68,81246
2021-06-16,111.76,111.825,108.71,109.885,88.52,195070
2021-06-17,109.475,110.29,107.765,109.5,88.21,107355
2021-06-18,107.96,108.7,106.72,107.645,86.72,122145
2021-06-21,108.44,110.5,108.3,108.61,87.49,75532
2021-06-22,108.92,111.51,108.37,111.04,89.45,106766
2021-06-23,111.93,112.02,110.5,111.24,89.61,65693
2021-06-24,112.34,112.43,111.02,111.405,89.74,72234
2021-06-25,112.41,113.56,112.24,113.055,91.07,98891
2021-06-28,113.66,115.33,112.895,114.84,92.51,103916
2021-06-29,115.27,116.82,114.68,114.97,92.62,75821
2021-06-30,115.01,116.18,114.86,114.96,92.61,66902
2021-07-01,115.5,116.785,114.83,116.4,93.77,69446
2021-07-02,116.49,116.56,114.965,115.63,93.15,81888
2021-07-06,115.455,115.455,110.42,110.52,89.03,201067
2021-07-07,110.535,111.31,109.59,109.72,88.39,106942
2021-07-08,108.25,108.92,107.22,108.1,87.08,116269
2021-07-09,109.59,111.11,109.19,110.84,89.29,98873
2021-07-12,110.62,111.96,110.28,111.24,89.61,75208
2021-07-13,111.0,111.55,109.34,109.87,88.51,91452
2021-07-14,110.15,110.93,109.56,109.85,88.49,67670
2021-07-15,109.515,113.05,109.515,111.99,90.22,126735
2021-07-16,112.54,113.56,110.55,110.55,89.06,90661
2021-07-19,108.945,109.31,107.22,108.39,87.32,86863
2021-07-20,109.3,111.47,108.36,110.63,89.12,76389
2021-07-21,111.08,111.68,110.08,110.8,89.26,86293
2021-07-22,110.98,110.98,108.77,109.97,88.59,48185
2021-07-23,111.35,113.6,111.29,113.25,91.23,90758
2021-07-26,113.38,115.53,113.38,114.85,92.52,181574
2021-07-27,114.375,114.705,113.2,114.37,92.13,70999
2021-07-28,114.18,114.18,112.1,113.1,91.11,65140
2021-07-29,113.72,114.79,113.22,114.26,92.04,68077
2021-07-30,113.425,114.75,112.205,112.36,90.51,82163
2021-08-02,112.75,113.38,112.35,112.43,90.57,67298
2021-08-03,113.07,115.12,112.99,114.62,92.33,47811
2021-08-04,114.155,114.55,113.03,113.295,91.27,66284
2021-08-05,114.2,116.365,114.2,115.38,92.95,140835
2021-08-06,115.39,116.28,114.83,114.845,92.52,63847
2021-08-09,114.635,114.635,111.61,112.49,90.62,68715
2021-08-10,112.395,115.03,112.14,115.03,92.66,55833
2021-08-11,115.47,119.11,115.37,118.07,95.11,166791
2021-08-12,118.83,119.255,117.25,118.1,95.14,44632
2021-08-13,117.595,117.595,113.7,113.73,91.62,96014
2021-08-16,113.24,115.9,112.34,115.35,92.92,72642
2021-08-17,113.5,113.755,109.73,110.7,89.18,114934
2021-08-18,110.815,114.07,110.06,110.1,88.69,131371
2021-08-19,108.95,110.71,108.795,109.69,88.36,73784
2021-08-20,109.69,113.49,109.51,112.57,90.68,88079
2021-08-23,113.25,114.53,112.06,112.11,90.31,170499
2021-08-24,117.59,123.96,116.5,121.53,97.9,503894
2021-08-25,122.21,124.78,120.17,121.87,98.18,123649
2021-08-26,121.35,121.41,117.96,118.13,95.16,159157
2021-08-27,118.09,118.85,117.26,117.48,94.64,74096
2021-08-30,117.94,119.38,117.62,118.32,95.32,104622
2021-08-31,118.975,119.06,116.21,116.47,93.82,135055
2021-09-01,115.65,117.31,114.23,116.76,94.06,172210
2021-09-02,117.0,117.37,115.83,116.22,93.62,73990
2021-09-03,115.42,115.8,113.87,113.99,91.83,128940
2021-09-07,113.99,114.32,111.23,111.5,89.82,133958
2021-09-08,110.85,111.43,109.95,111.005,89.42,199761
2021-09-09,110.54,113.01,110.29,112.34,90.5,120486
2021-09-10,112.93,113.66,111.22,111.3,89.66,72723
2021-09-13,111.755,112.76,110.36,112.08,90.86,87414
2021-09-14,112.39,112.43,110.06,110.16,89.3,79065
2021-09-15,109.91,109.91,108.75,109.23,88.55,67758
2021-09-16,109.15,110.09,108.85,109.58,88.83,70560
2021-09-17,109.415,111.1,109.21,109.62,88.87,77339
2021-09-20,107.7,109.27,105.33,106.64,86.45,70476
2021-09-21,107.19,108.12,106.0,106.9,86.66,86771
2021-09-22,107.79,108.5,106.56,106.83,86.6,50299
2021-09-23,107.48,107.91,106.13,106.13,86.04,84172
2021-09-24,106.1,106.12,104.235,104.75,84.92,98005
2021-09-27,105.75,110.835,105.72,110.16,89.3,202467
2021-09-28,111.155,111.75,107.44,109.38,88.67,142866
2021-09-29,109.78,110.29,108.255,109.45,88.73,84685
2021-09-30,108.3,108.515,105.37,105.73,85.71,228060
2021-10-01,106.52,106.8,103.45,105.32,85.38,60229
2021-10-04,104.91,106.86,104.91,105.58,85.59,81251
2021-10-05,106.06,107.71,105.745,106.32,86.19,92960
2021-10-06,105.76,106.76,104.8,105.74,85.72,108184
2021-10-07,107.765,109.22,107.38,107.53,87.17,102069
2021-10-08,108.28,110.31,107.1,107.24,86.94,48250
2021-10-11,107.34,109.83,107.28,108.87,88.26,86600
2021-10-12,109.475,110.53,108.87,109.35,88.65,58426
2021-10-13,109.46,111.4,108.125,110.78,89.81,71331
2021-10-14,111.13,113.05,110.31,112.63,91.31,95002
2021-10-15,113.715,114.67,113.19,113.61,92.1,146207
2021-10-18,113.51,116.38,113.51,115.6,93.71,114790
2021-10-19,116.45,116.61,113.915,113.92,92.35,81491
2021-10-20,114.73,115.38,114.03,114.48,92.81,77347
2021-10-21,114.5,117.65,114.47,117.63,95.36,64630
2021-10-22,117.59,118.5,116.95,118.38,95.97,73696
2021-10-26,121.49,123.6,121.2,121.24,98.29,270535
2021-10-27,121.4,122.14,118.67,118.72,96.24,48337
2021-10-28,119.57,121.42,119.57,121.18,98.24,67009
2021-10-29,120.62,123.46,120.58,122.22,99.08,63439
2021-11-01,123.43,124.2,122.7,123.88,100.43,55459
2021-11-02,123.39,124.61,123.02,123.76,100.33,86042
2021-11-03,124.175,125.97,123.81,125.135,101.44,65031
2021-11-04,125.89,128.8,125.66,128.65,104.29,83713
2021-11-05,129.875,130.5,128.38,129.06,104.62,76835
2021-11-08,128.81,130.36,128.405,130.06,105.44,112618
2021-11-09,129.66,133.26,129.66,132.925,107.76,79891
2021-11-10,132.67,133.37,131.165,131.24,106.39,67075
2021-11-11,131.74,133.53,131.37,132.85,107.7,79015
2021-11-12,133.27,136.74,133.27,135.64,109.96,91976
2021-11-15,136.36,136.75,131.81,132.36,107.3,134789
2021-11-16,132.77,135.57,132.45,134.95,109.4,64814
2021-11-17,134.3,135.24,132.27,132.83,107.68,82579
2021-11-18,134.755,136.015,133.85,135.59,109.92,90389
2021-11-19,135.775,137.53,135.08,136.24,110.45,75841
2021-11-22,138.4,141.97,137.825,138.1,111.95,590930
2021-11-23,116.63,121.42,115.005,121.0,98.09,480368
2021-11-24,120.17,121.86,115.96,116.68,94.59,224143
2021-11-26,114.775,116.22,113.97,114.85,93.11,90430
2021-11-29,115.85,115.89,110.32,110.93,89.93,205231
2021-11-30,110.01,111.34,106.37,106.77,86.56,222088
2021-12-01,108.205,108.26,102.34,102.34,82.96,199877
2021-12-02,104.09,105.8,102.67,103.88,84.21,262336
2021-12-03,104.69,106.03,103.67,105.79,85.76,218897
2021-12-06,107.23,108.91,103.835,104.68,84.86,209147
2021-12-07,106.66,108.13,106.38,106.68,86.48,110420
2021-12-08,106.22,107.24,105.77,106.94,86.69,106713
2021-12-09,106.71,107.195,103.89,104.37,84.61,161766
2021-12-10,104.665,104.665,102.19,103.82,84.16,125830
2021-12-13,103.07,103.39,98.73,100.23,81.8,172472
2021-12-14,99.245,102.915,99.01,101.35,82.72,140426
2021-12-15,100.89,102.6,100.39,102.485,83.65,100488
