date,open,high,low,close,adj_close,volume
2021-06-09,34.8,35.03,34.77,34.795,27.2,53895
2021-06-10,35.17,35.43,34.4,34.43,26.91,47268
2021-06-11,34.52,34.775,34.52,34.775,27.18,42035
2021-06-14,34.82,34.82,33.89,33.93,26.52,98452
2021-06-15,33.93,34.43,33.815,34.265,26.78,89544
2021-06-16,33.83,34.0,33.39,33.84,26.45,85525
2021-06-17,33.72,33.72,32.11,32.235,25.2,121230
2021-06-18,31.605,31.905,31.37,31.44,24.57,108395
2021-06-21,31.84,32.425,31.84,32.41,25.33,54056
2021-06-22,32.34,32.34,31.95,32.19,25.16,46436
2021-06-23,32.54,32.54,32.12,32.12,25.11,27550
2021-06-24,32.4,32.6,32.06,32.52,25.42,29593
2021-06-25,32.61,33.37,32.61,33.165,25.92,43403
2021-06-28,33.02,33.02,32.375,32.53,25.43,376250
2021-06-29,32.66,32.66,31.76,31.905,25.15,62157
2021-06-30,31.82,32.22,31.79,31.98,25.21,79216
2021-07-01,32.17,32.315,31.955,32.245,25.42,33704
2021-07-02,32.34,32.34,31.75,31.96,25.2,37728
2021-07-06,31.87,31.87,31.015,31.575,24.89,83398
2021-07-07,31.295,32.215,31.295,32.13,25.33,61252
2021-07-08,31.4,31.665,30.925,31.07,24.5,88907
2021-07-09,31.845,32.15,31.62,32.15,25.35,138189
2021-07-12,31.91,32.79,31.715,32.26,25.43,71111
2021-07-13,32.17,32.17,30.57,30.71,24.21,127411
2021-07-14,30.765,30.89,30.06,30.24,23.84,123900
2021-07-15,30.04,30.375,29.855,30.19,23.8,105900
2021-07-16,30.23,30.23,29.2,29.41,23.19,97563
2021-07-19,28.7,28.77,28.315,28.57,22.52,184777
2021-07-20,28.59,29.4,28.4,29.315,23.11,48031
2021-07-21,29.68,30.23,29.57,29.92,23.59,48501
2021-07-22,29.95,29.95,29.285,29.44,23.21,49563
2021-07-23,29.55,29.72,29.1,29.3,23.1,58404
2021-07-26,29.38,30.015,29.38,29.85,23.53,80222
2021-07-27,29.38,29.83,29.225,29.43,23.2,126211
2021-07-28,29.64,29.665,28.9,29.195,23.02,54702
2021-07-29,29.4,29.8,29.065,29.795,23.49,82617
2021-07-30,29.58,29.94,29.45,29.56,23.3,119155
2021-08-02,30.07,30.51,29.61,29.8,23.49,91224
2021-08-03,29.93,30.895,29.49,30.685,24.19,189240
2021-08-04,30.42,31.17,30.35,30.615,24.14,82436
2021-08-05,30.87,31.045,30.74,31.045,24.48,85987
2021-08-06,31.62,31.85,31.39,31.66,24.96,60389
2021-08-09,31.58,32.555,31.44,32.38,25.53,70025
2021-08-10,32.36,33.25,32.23,32.795,25.86,58096
