date,open,high,low,close,adj_close,volume
2021-06-09,60.07,60.7,59.905,59.915,51.36,245323
2021-06-10,59.99,60.47,59.795,60.235,51.64,130953
2021-06-11,60.27,60.725,59.93,60.67,52.01,157231
2021-06-14,60.55,60.775,60.085,60.31,51.7,110000
2021-06-15,60.345,60.69,60.17,60.49,51.86,98559
2021-06-16,60.69,60.715,59.48,59.7,51.18,117933
2021-06-17,59.62,59.945,59.22,59.51,51.02,144608
2021-06-18,59.02,59.14,57.93,58.07,49.78,130363
2021-06-21,58.475,58.67,57.975,58.52,50.17,137540
2021-06-22,58.5,58.87,58.495,58.625,50.26,97076
2021-06-23,58.53,59.04,58.035,58.535,50.18,203974
2021-06-24,58.67,59.585,58.4,59.095,50.66,224514
2021-06-25,58.9,60.185,58.9,60.11,51.53,237492
2021-06-28,60.19,60.56,59.82,59.99,51.43,147251
2021-06-29,59.84,60.08,58.7,58.84,50.44,160847
2021-06-30,59.18,59.34,58.72,59.11,50.67,81979
2021-07-01,59.16,60.285,58.93,60.05,51.48,158698
2021-07-02,59.96,60.16,59.655,59.885,51.34,201134
2021-07-06,59.81,59.82,58.64,59.775,51.24,163782
2021-07-07,59.82,60.33,59.55,60.18,51.59,179564
2021-07-08,59.99,60.32,59.79,60.28,51.68,254344
2021-07-09,60.54,60.68,59.93,60.29,51.68,128871
2021-07-12,59.94,60.41,59.85,60.37,51.75,87742
2021-07-13,60.41,60.545,59.71,60.0,51.44,89174
2021-07-14,59.96,60.72,59.87,60.495,51.86,87488
2021-07-15,60.44,61.545,60.44,61.525,52.74,108895
2021-07-16,61.645,62.35,61.48,62.015,53.16,192493
2021-07-19,61.86,62.32,60.55,61.435,52.67,198876
2021-07-20,61.72,62.63,61.72,61.97,53.12,132882
2021-07-21,62.01,62.18,61.03,61.045,52.33,70487
2021-07-22,60.97,61.49,60.88,61.23,52.49,103411
2021-07-23,61.295,62.1,61.295,62.1,53.24,70918
2021-07-26,62.0,62.13,61.395,61.98,53.13,103865
2021-07-27,61.85,63.395,61.67,63.235,54.21,106677
2021-07-28,62.97,63.2,61.73,62.29,53.4,48200
2021-07-29,62.17,62.72,61.94,62.34,53.44,49247
2021-07-30,62.43,62.855,61.705,61.78,52.96,86807
2021-08-02,62.05,62.8,61.82,62.65,53.71,99140
2021-08-03,62.82,63.66,62.42,63.23,54.2,86258
2021-08-04,62.985,63.28,62.42,63.27,54.24,61125
2021-08-05,62.71,63.24,62.56,63.215,54.57,60967
2021-08-06,63.1,63.715,62.83,63.31,54.65,67369
2021-08-09,63.42,63.42,62.92,63.245,54.59,43495
2021-08-10,62.94,63.225,62.77,62.94,54.33,47675
2021-08-11,63.175,63.47,62.97,63.2,54.55,44666
2021-08-12,63.18,63.45,62.93,62.99,54.37,28483
2021-08-13,62.97,63.62,62.97,63.46,54.78,21155
2021-08-16,63.56,64.31,63.525,63.88,55.14,25676
