date,open,high,low,close,adj_close,volume
2021-06-09,379.84,381.7,379.39,379.95,359.97,54970
2021-06-10,380.08,383.25,379.65,383.12,362.97,48295
2021-06-11,383.405,383.405,380.57,381.86,361.78,52507
2021-06-14,380.34,383.88,379.09,383.75,363.57,62655
2021-06-15,383.64,384.42,381.62,384.03,363.83,87433
2021-06-16,384.4,386.38,377.14,379.385,359.43,107029
2021-06-17,379.5,386.41,379.26,384.77,364.53,94026
2021-06-18,383.755,383.83,380.41,380.64,360.62,81065
2021-06-21,381.62,387.635,380.72,386.79,366.45,85388
2021-06-22,387.0,392.43,386.57,392.15,371.52,70235
2021-06-23,393.265,393.39,390.65,392.0,371.38,128213
2021-06-24,393.27,395.2,391.86,391.89,371.28,36042
2021-06-25,393.21,394.395,391.73,394.34,373.6,39913
2021-06-28,394.9,397.42,393.29,396.61,375.75,88769
2021-06-29,396.51,399.41,395.515,398.75,377.78,79726
2021-06-30,398.13,400.42,395.29,395.77,374.95,105753
2021-07-01,396.12,397.69,393.95,394.36,373.62,69586
2021-07-02,396.38,400.77,396.38,398.77,377.8,60046
2021-07-06,399.26,401.38,397.21,399.015,378.03,71580
2021-07-07,400.24,406.08,399.84,404.78,383.49,86189
2021-07-08,403.67,408.34,403.465,406.84,385.44,102842
2021-07-09,409.0,413.77,407.7,412.31,390.62,91875
2021-07-12,414.315,414.315,404.69,407.865,386.41,92441
2021-07-13,405.25,409.25,405.25,407.15,385.74,84631
2021-07-14,408.5,410.44,407.26,409.93,388.37,77053
2021-07-15,410.16,412.15,407.95,411.94,390.27,77913
2021-07-16,412.33,413.35,409.765,410.35,388.77,82220
2021-07-19,410.62,415.195,410.62,413.93,392.16,86992
2021-07-20,414.29,417.92,412.92,416.27,394.38,73313
2021-07-21,415.92,415.92,412.25,414.88,393.06,65926
2021-07-22,416.22,418.52,414.01,417.42,395.47,45500
2021-07-23,418.49,423.91,417.235,423.39,401.12,71890
2021-07-26,422.825,424.34,420.44,423.34,401.07,38438
2021-07-27,422.91,424.55,421.95,424.4,402.08,56073
2021-07-28,423.47,424.76,420.69,422.18,399.97,44998
2021-07-29,421.24,425.75,420.56,425.31,403.7,41644
2021-07-30,426.39,431.37,426.28,429.86,408.01,133665
2021-08-02,430.38,430.52,425.66,429.03,407.23,63854
2021-08-03,429.41,436.49,429.41,435.21,413.09,55380
2021-08-04,435.57,437.73,432.92,435.2,413.08,59511
2021-08-05,438.38,443.44,438.38,443.16,420.64,54066
2021-08-06,443.2,443.2,439.0,439.93,417.57,50371
2021-08-09,441.0,442.73,439.36,440.55,418.16,66357
2021-08-10,441.595,443.72,440.89,443.04,420.52,78125
2021-08-11,445.15,447.7,441.88,444.43,421.84,86272
2021-08-12,442.69,446.57,442.69,445.39,422.75,48751
2021-08-13,446.06,448.29,444.69,447.9,425.14,76514
2021-08-16,449.21,453.15,447.21,452.94,429.92,49607
2021-08-17,451.57,453.68,449.72,452.45,429.46,97973
2021-08-18,451.18,455.17,446.0,446.09,423.42,76010
2021-08-19,442.43,455.25,442.43,454.34,431.25,74332
2021-08-20,454.525,460.58,453.69,458.96,435.64,58548
2021-08-23,457.79,458.89,454.65,454.875,431.76,63345
2021-08-24,454.29,454.29,450.52,451.8,428.84,65034
2021-08-25,449.51,452.75,447.73,451.34,428.4,68836
2021-08-26,450.615,452.0,446.78,449.35,426.51,78872
2021-08-27,449.32,451.5,446.97,450.45,427.56,47831
2021-08-30,451.16,456.55,451.16,456.04,432.86,36889
2021-08-31,456.13,456.36,452.58,455.52,432.37,61200
2021-09-01,455.91,456.61,452.085,456.33,433.14,50626
2021-09-02,459.185,461.42,458.49,461.07,437.64,52600
2021-09-03,460.44,463.54,459.64,462.56,439.05,71435
2021-09-07,463.0,463.02,457.63,459.58,436.22,63009
2021-09-08,459.19,465.82,458.98,465.82,442.15,48283
2021-09-09,467.165,469.675,465.24,465.94,442.26,48015
2021-09-10,466.75,468.21,463.25,465.14,441.5,42445
2021-09-13,467.49,468.18,458.4,459.75,436.39,74367
2021-09-14,459.95,460.49,457.57,458.27,434.98,53756
2021-09-15,458.39,462.105,456.39,460.82,437.4,82845
2021-09-16,460.46,463.68,456.605,463.32,439.77,59094
2021-09-17,461.73,462.05,457.11,459.75,436.39,118535
2021-09-20,456.5,460.745,446.74,451.22,428.29,116241
2021-09-21,451.5,456.62,450.41,452.11,429.13,63424
2021-09-22,453.795,454.0,449.84,452.59,429.59,63944
2021-09-23,453.09,455.435,451.1,452.23,429.25,63895
2021-09-24,456.0,468.57,456.0,467.93,444.15,120029
2021-09-27,465.91,470.46,457.325,460.59,437.18,93324
2021-09-28,456.44,456.44,445.85,447.31,424.58,125835
2021-09-29,449.0,455.75,449.0,451.79,428.83,85851
2021-09-30,454.02,454.75,449.33,449.38,426.54,70869
2021-10-01,449.08,451.08,440.99,447.93,425.17,50554
2021-10-04,447.71,448.75,436.39,440.03,417.67,69652
2021-10-05,440.84,448.86,440.84,446.15,423.48,65696
2021-10-06,443.445,449.695,442.5,449.38,426.54,69606
2021-10-07,456.88,459.335,452.18,452.74,429.73,73416
2021-10-08,455.33,455.71,450.28,451.79,428.83,48204
2021-10-11,450.87,453.45,449.63,449.72,426.86,36727
2021-10-12,448.86,452.75,445.83,446.875,424.16,67931
2021-10-13,448.99,449.285,444.07,445.41,422.77,76196
2021-10-14,447.125,451.32,447.0,450.73,427.82,88103
2021-10-15,453.27,453.27,449.26,452.42,429.43,35438
2021-10-18,450.06,462.23,448.75,462.015,438.54,45065
2021-10-19,463.125,467.16,460.51,467.16,443.42,45141
2021-10-20,468.16,472.43,467.84,469.84,445.96,60595
2021-10-21,469.795,477.45,469.44,477.31,453.05,55930
2021-10-22,479.31,484.58,479.31,481.94,457.45,47903
2021-10-25,482.275,491.88,479.7,490.3,465.38,76930
2021-10-26,482.13,487.96,481.92,485.65,460.97,77002
2021-10-27,483.91,491.49,483.77,489.09,464.23,76200
2021-10-28,487.24,491.35,487.24,490.34,466.17,74869
2021-10-29,487.51,494.07,486.99,491.42,467.2,56142
2021-11-01,494.46,494.75,487.31,491.83,467.59,75934
2021-11-02,493.785,499.315,493.13,496.48,472.01,79306
2021-11-03,501.34,502.89,495.77,502.32,477.56,70987
2021-11-04,507.25,520.19,506.485,515.57,490.16,55786
2021-11-05,514.38,517.74,508.83,513.2,487.91,61006
2021-11-08,512.57,512.57,501.01,503.56,478.74,98604
2021-11-09,505.77,509.085,504.255,508.65,483.58,66880
2021-11-10,508.58,510.17,503.91,505.46,480.55,71422
2021-11-11,506.245,512.45,506.245,512.23,486.98,32450
2021-11-12,514.25,519.53,513.23,517.18,491.69,35493
2021-11-15,518.53,522.66,518.175,519.89,494.27,44318
2021-11-16,519.83,527.95,519.73,526.72,500.76,44000
2021-11-17,528.24,530.34,524.505,526.37,500.43,74287
2021-11-18,527.76,530.53,522.735,529.59,503.49,80010
2021-11-19,532.825,535.11,528.14,533.99,507.67,55232
