date,open,high,low,close,adj_close,volume
2021-06-09,124.31,124.36,122.52,122.52,30.63,32736
2021-06-10,122.62,124.04,121.79,123.97,30.99,42415
2021-06-11,124.14,125.66,123.88,124.85,31.21,27834
2021-06-14,125.15,125.665,123.69,125.65,31.41,32158
2021-06-15,125.93,125.93,124.8,125.59,31.4,27882
2021-06-16,125.63,126.15,124.26,125.58,31.4,42062
2021-06-17,125.82,128.36,125.655,128.13,32.03,39053
2021-06-18,126.41,128.83,125.75,128.12,32.03,50525
2021-06-21,129.89,132.25,129.155,131.77,32.94,50532
2021-06-22,132.07,132.17,130.81,131.58,32.9,31431
2021-06-23,131.25,132.525,130.9,131.68,32.92,27025
2021-06-24,132.375,132.73,131.2,131.39,32.85,30319
2021-06-25,132.015,133.445,131.53,133.28,33.32,33959
2021-06-28,133.19,133.81,132.63,133.61,33.4,145870
2021-06-29,133.58,134.66,132.83,133.32,33.33,141155
2021-06-30,132.9,132.98,131.67,131.9,32.98,27328
2021-07-01,132.29,135.05,132.29,134.39,33.6,37364
2021-07-02,134.895,135.94,134.36,135.19,33.8,28744
2021-07-06,135.55,136.6,134.15,136.6,34.15,74860
2021-07-07,137.29,138.91,137.23,138.76,34.69,98508
2021-07-08,137.44,139.11,136.35,136.78,34.2,113098
2021-07-09,137.36,138.665,136.23,138.44,34.61,47202
2021-07-12,138.71,140.61,138.59,139.16,34.79,39648
2021-07-13,138.41,138.74,137.91,138.34,34.59,30596
2021-07-14,139.69,140.07,139.14,139.52,34.88,48635
2021-07-15,139.4,139.91,137.78,139.425,34.86,66282
2021-07-16,139.77,141.29,139.5,140.145,35.04,56346
2021-07-19,139.21,140.47,138.68,139.7,34.92,94570
2021-07-20,140.1,144.4,140.005,143.53,35.88,69279
2021-07-21,143.21,144.48,143.08,144.35,36.09,48886
2021-07-22,144.57,145.72,143.75,145.53,36.38,34432
2021-07-23,145.715,147.55,145.715,146.68,36.67,63204
2021-07-26,146.21,146.47,145.06,145.99,36.5,58382
2021-07-27,145.985,146.77,144.035,146.07,36.52,47611
2021-07-28,146.42,146.42,144.73,145.61,36.4,32121
2021-07-29,145.93,147.87,145.9,146.69,36.67,23044
2021-07-30,146.48,147.2,145.225,146.99,36.75,28322
2021-08-02,147.29,148.23,145.55,145.99,36.5,33442
2021-08-03,146.68,148.78,146.45,148.06,37.02,40536
2021-08-04,147.63,149.02,147.18,148.34,37.09,49294
2021-08-05,148.31,148.64,146.85,148.18,37.05,47550
2021-08-06,147.8,147.8,145.715,145.95,36.49,66645
