date,open,high,low,close,adj_close,volume
2021-06-09,98.04,98.39,97.54,97.8,30.46,132386
2021-06-10,98.105,98.27,96.62,96.67,30.11,344669
2021-06-11,97.11,97.46,96.86,97.185,30.27,139141
2021-06-14,97.4,97.69,96.59,97.305,30.31,73539
2021-06-15,98.12,98.57,97.4,98.42,30.66,120920
2021-06-16,98.54,98.54,96.92,97.25,30.29,107142
2021-06-17,97.3,97.45,95.665,96.24,29.98,118637
2021-06-18,95.41,95.67,94.56,94.77,29.52,157645
2021-06-21,95.38,96.35,95.33,95.805,29.84,104432
2021-06-22,95.865,95.885,95.18,95.28,29.68,91553
2021-06-23,95.19,95.28,94.55,94.61,29.47,150629
2021-06-24,94.9,95.305,94.31,95.135,29.63,220113
2021-06-25,95.255,96.38,95.255,95.9,29.87,98790
2021-06-28,96.07,96.23,94.975,95.375,29.71,76656
2021-06-29,32.23,32.4,31.36,31.545,29.48,874224
2021-06-30,31.95,32.13,31.6,32.08,29.98,486164
2021-07-01,32.27,32.44,32.09,32.29,30.17,297755
2021-07-02,32.35,32.79,32.245,32.585,30.45,254006
2021-07-06,32.51,32.51,31.975,32.39,30.27,310651
2021-07-07,32.38,33.025,32.29,32.97,30.81,213087
2021-07-08,32.09,32.12,30.84,30.945,28.92,1015768
2021-07-09,31.72,31.94,31.61,31.815,29.73,536693
2021-07-12,31.87,31.995,31.52,31.74,29.66,367300
2021-07-13,31.78,31.91,31.66,31.7,29.62,385142
2021-07-14,31.9,31.96,31.575,31.64,29.57,358032
2021-07-15,31.47,31.95,31.47,31.83,29.74,335636
2021-07-16,31.82,31.965,31.41,31.495,29.43,293489
2021-07-19,31.04,31.16,30.645,30.785,28.77,526926
2021-07-20,30.86,31.425,30.86,31.18,29.14,418414
2021-07-21,31.33,31.7,31.33,31.54,29.47,349075
2021-07-22,32.78,33.27,32.605,32.685,30.54,648872
2021-07-23,32.39,32.855,32.39,32.805,30.65,529421
2021-07-26,32.86,32.97,32.51,32.91,30.75,487838
2021-07-27,32.73,32.99,32.32,32.375,30.25,339554
2021-07-28,32.25,32.44,31.855,31.895,29.8,442269
2021-07-29,32.15,32.29,32.03,32.1,30.0,256993
2021-07-30,32.125,32.345,32.05,32.34,30.22,297065
2021-08-02,32.48,32.61,31.97,32.09,29.99,217127
2021-08-03,32.195,32.535,32.04,32.415,30.29,111996
2021-08-04,32.25,32.37,31.7,31.925,29.83,206787
2021-08-05,32.25,32.275,31.97,32.15,30.04,214757
2021-08-06,32.14,32.465,32.14,32.295,30.18,107520
2021-08-09,32.255,32.475,32.16,32.4,30.28,151957
2021-08-10,32.6,33.2,32.575,32.96,30.8,410591
2021-08-11,33.03,33.995,33.03,33.99,31.76,485284
2021-08-12,33.96,34.165,33.62,34.13,31.89,172451
2021-08-13,34.27,34.275,33.7,33.875,31.65,151201
2021-08-16,33.77,33.89,33.465,33.87,31.65,187172
2021-08-17,33.78,33.84,33.26,33.745,31.53,259641
2021-08-18,33.66,34.21,33.65,33.77,31.56,286633
2021-08-19,33.6,33.92,33.395,33.6,31.4,261021
2021-08-20,33.76,33.855,33.61,33.73,31.52,233320
2021-08-23,33.87,34.32,33.77,33.86,31.64,275023
2021-08-24,33.87,33.96,33.32,33.35,31.16,346391
2021-08-25,33.44,33.555,33.275,33.46,31.27,232800
2021-08-26,33.49,33.635,33.11,33.28,31.1,150305
2021-08-27,33.29,33.535,33.29,33.45,31.26,213803
2021-08-30,33.31,33.335,33.035,33.09,31.01,144251
2021-08-31,33.12,33.2,32.34,32.525,30.48,384218
2021-09-01,32.58,32.83,32.235,32.545,30.5,368822
2021-09-02,32.68,32.77,32.425,32.545,30.5,488676
2021-09-03,32.51,32.55,31.94,32.0,29.99,307583
2021-09-07,31.88,31.99,31.47,31.51,29.53,481478
2021-09-08,31.44,31.76,31.275,31.66,29.67,457445
2021-09-09,31.69,31.69,31.215,31.35,29.38,286548
2021-09-10,31.3,31.49,30.92,30.955,29.01,295134
2021-09-13,31.23,31.27,30.66,30.91,28.96,417782
2021-09-14,30.92,30.92,30.43,30.51,28.59,525464
2021-09-15,30.56,31.005,30.55,30.86,28.92,394440
2021-09-16,30.91,31.05,30.745,30.91,28.96,425857
2021-09-17,30.83,30.99,30.215,30.265,28.36,495888
2021-09-20,29.9,29.98,29.485,29.78,27.91,354938
2021-09-21,30.04,30.32,29.625,29.72,27.85,237127
2021-09-22,29.86,30.15,29.835,29.85,27.97,256580
2021-09-23,29.94,30.405,29.94,30.2,28.3,397705
2021-09-24,30.15,30.68,30.09,30.415,28.5,377570
2021-09-27,30.31,30.82,30.31,30.57,28.65,276796
2021-09-28,30.59,30.635,30.18,30.525,28.6,748540
2021-09-29,30.48,30.615,30.24,30.36,28.45,729933
2021-09-30,30.5,30.53,29.74,29.74,27.87,375202
2021-10-01,29.88,30.545,29.825,30.345,28.43,337204
2021-10-04,30.37,30.84,30.3,30.49,28.57,561734
2021-10-05,30.46,31.65,30.46,31.42,29.44,464582
2021-10-06,31.195,32.59,31.195,32.54,30.49,543605
2021-10-07,32.8,32.83,32.125,32.18,30.15,318760
2021-10-08,32.2,32.795,32.2,32.71,30.65,351552
2021-10-11,32.71,32.985,32.5,32.5,30.45,267836
2021-10-12,32.47,32.47,32.05,32.165,30.14,235483
2021-10-13,32.25,32.7,32.0,32.575,30.52,209008
2021-10-14,32.8,33.43,32.8,33.42,31.32,366278
2021-10-15,33.66,34.42,33.63,34.15,32.0,421875
2021-10-18,34.01,34.34,33.8,34.23,32.07,625471
2021-10-19,34.43,34.43,33.955,34.11,31.96,536526
2021-10-20,34.15,34.54,33.875,34.43,32.26,603218
2021-10-21,35.32,35.88,34.965,35.0,32.8,551173
2021-10-22,35.125,35.645,34.77,35.405,33.18,699625
2021-10-25,35.575,36.055,35.36,35.72,33.47,302426
2021-10-26,35.79,35.995,35.61,35.685,33.44,372125
2021-10-27,35.995,36.275,35.72,35.865,33.61,381750
2021-10-28,35.96,36.295,35.94,36.24,33.96,517797
2021-10-29,36.06,36.435,35.95,36.155,33.88,166084
2021-11-01,36.11,36.19,35.455,35.68,33.43,201571
2021-11-02,35.71,35.81,35.42,35.665,33.42,253644
2021-11-03,35.71,35.73,35.29,35.67,33.42,287380
2021-11-04,35.55,35.745,35.29,35.43,33.2,270809
2021-11-05,35.76,35.91,35.39,35.39,33.16,285685
2021-11-08,35.55,35.76,35.3,35.475,33.24,331775
2021-11-09,35.4,35.595,35.15,35.54,33.3,281514
2021-11-10,35.56,35.765,35.34,35.47,33.24,157189
2021-11-11,35.41,35.48,34.955,35.1,32.89,196247
2021-11-12,35.205,35.52,35.065,35.22,33.0,247442
2021-11-15,35.35,35.44,35.17,35.2,32.98,232573
2021-11-16,35.4,35.53,35.11,35.13,32.92,189935
2021-11-17,35.18,35.61,35.03,35.52,33.28,294249
2021-11-18,35.51,36.39,35.48,36.23,33.95,332202
2021-11-19,36.24,36.305,35.8,36.09,33.82,311921
2021-11-22,36.22,36.51,36.03,36.05,33.78,283842
2021-11-23,36.03,36.56,35.91,36.48,34.18,511320
2021-11-24,36.34,36.485,36.11,36.23,33.95,339811
2021-11-26,35.745,35.785,34.775,35.64,33.4,304342
2021-11-29,35.95,36.245,35.595,35.595,33.44,316358
2021-11-30,35.19,35.72,34.61,34.65,32.55,428247
2021-12-01,35.29,35.62,34.42,34.42,32.34,548739
2021-12-02,34.5,35.72,34.43,35.59,33.44,420328
2021-12-03,35.89,36.47,35.48,35.86,33.69,431405
2021-12-06,36.25,37.01,36.21,36.755,34.53,315900
2021-12-07,36.94,37.34,36.86,37.08,34.84,241148
2021-12-08,37.14,37.29,36.58,36.93,34.7,262841
2021-12-09,36.83,37.04,36.545,36.595,34.38,316498
2021-12-10,36.95,36.98,36.54,36.72,34.5,279840
2021-12-13,36.71,36.91,35.97,36.01,33.83,516731
2021-12-14,35.82,36.29,35.71,35.94,33.77,343225
2021-12-15,36.15,36.53,35.9,36.46,34.25,672079
2021-12-16,36.68,36.9,36.49,36.58,34.37,341131
2021-12-17,36.45,36.55,35.655,35.68,33.52,547266
2021-12-20,35.19,35.375,34.95,35.31,33.17,367374
2021-12-21,35.61,36.105,35.61,35.96,33.78,453495
2021-12-22,35.89,36.09,35.83,36.06,33.88,157742
2021-12-23,36.28,36.92,36.28,36.77,34.55,317492
2021-12-27,36.89,37.265,36.84,37.19,34.94,284549
2021-12-28,37.225,37.6,37.21,37.4,35.14,138306
2021-12-29,37.5,37.745,37.32,37.575,35.3,138569
2021-12-30,37.37,37.67,37.245,37.32,35.06,271826
2021-12-31,37.26,37.81,37.205,37.6,35.33,138205
2022-01-03,37.635,37.73,36.85,37.07,34.83,254630
2022-01-04,37.26,38.005,37.22,37.62,35.34,176885
2022-01-05,37.71,37.91,37.405,37.44,35.18,198707
2022-01-06,37.47,37.865,37.275,37.725,35.44,258255
2022-01-07,37.65,37.77,37.33,37.5,35.23,235276
2022-01-10,37.47,37.57,36.295,36.54,34.33,397742
2022-01-11,36.59,36.59,35.475,36.28,34.09,458577
2022-01-12,36.43,36.735,36.26,36.63,34.41,443813
2022-01-13,36.73,36.975,36.58,36.78,34.56,255021
2022-01-14,36.48,36.73,36.22,36.41,34.21,700518
2022-01-18,36.03,36.085,35.075,35.27,33.14,935289
2022-01-19,35.285,35.545,34.975,35.24,33.11,1416177
2022-01-20,34.92,36.1,34.92,35.19,33.06,718287
2022-01-21,35.07,35.07,33.42,34.1,32.04,1384111
2022-01-24,34.45,34.5,33.4,34.35,32.27,631036
2022-01-25,33.625,33.995,33.16,33.7,31.66,480825
2022-01-26,33.92,34.82,33.36,33.61,31.58,741724
2022-01-27,33.9,34.14,33.4,33.555,31.53,558346
2022-01-28,33.53,34.46,33.225,34.43,32.35,450290
2022-01-31,34.21,34.36,33.94,34.23,32.16,427219
2022-02-01,34.25,34.765,34.25,34.71,32.61,357989
2022-02-02,34.71,35.28,34.68,35.2,33.07,256939
2022-02-03,34.95,35.29,34.55,34.62,32.53,481051
2022-02-04,34.11,34.545,33.95,34.29,32.22,359907
2022-02-07,34.42,34.42,33.5,33.66,31.62,656430
2022-02-08,33.82,34.5,33.735,34.1,32.04,268992
2022-02-09,34.21,34.815,34.18,34.73,32.63,341270
2022-02-10,34.02,34.645,33.81,34.0,31.94,333978
2022-02-11,34.01,34.18,33.11,33.35,31.33,435808
2022-02-14,33.37,34.035,33.37,33.925,31.87,759559
2022-02-15,34.31,34.965,34.31,34.53,32.44,596189
2022-02-16,34.51,35.255,34.49,35.18,33.05,706518
2022-02-17,34.89,35.415,34.89,35.1,32.98,429568
2022-02-18,35.06,35.385,34.615,34.66,32.56,564546
2022-02-22,34.86,35.095,34.075,34.24,32.17,799354
2022-02-23,34.325,34.49,33.345,33.41,31.39,417146
2022-02-24,33.345,33.645,32.73,33.6,31.57,475110
2022-02-25,33.65,34.49,33.595,34.315,32.34,401412
2022-02-28,33.76,34.07,33.475,33.93,31.97,744711
2022-03-01,33.84,34.24,33.175,33.35,31.43,421735
2022-03-02,33.56,34.75,33.375,34.61,32.61,652238
2022-03-03,34.78,35.895,34.78,35.29,33.25,630877
2022-03-04,35.04,37.48,34.935,37.43,35.27,1198639
2022-03-07,37.16,38.625,36.96,37.01,34.87,928582
2022-03-08,36.7,37.26,34.945,34.98,32.96,917627
2022-03-09,35.69,35.7,34.27,34.6,32.6,1435498
2022-03-10,34.28,35.135,33.89,34.89,32.88,995933
2022-03-11,35.29,35.585,34.64,34.68,32.68,1437532
2022-03-14,34.83,34.99,34.02,34.24,32.26,587111
2022-03-15,34.64,34.785,33.985,34.355,32.37,1645081
2022-03-16,34.56,35.62,34.45,35.62,33.57,1258035
2022-03-17,35.98,36.325,35.34,36.31,34.22,847164
2022-03-18,36.1,36.34,35.94,36.3,34.21,640106
2022-03-21,36.08,37.08,36.08,36.85,34.72,619018
2022-03-22,36.87,37.04,36.49,36.81,34.69,797524
2022-03-23,36.9,36.9,36.335,36.38,34.28,845286
2022-03-24,36.55,37.03,36.345,36.69,34.57,404917
2022-03-25,36.78,36.94,36.455,36.925,34.79,374021
2022-03-28,36.885,37.56,36.625,37.52,35.36,523807
2022-03-29,37.74,37.84,37.2,37.7,35.53,733222
2022-03-30,37.72,37.99,37.42,37.8,35.62,440517
2022-03-31,37.8,38.045,37.48,37.49,35.33,607103
2022-04-01,37.77,37.77,35.24,35.5,33.45,937882
2022-04-04,35.47,35.66,34.85,35.63,33.57,347391
2022-04-05,35.58,36.725,35.225,35.265,33.23,574419
2022-04-06,34.96,35.275,34.455,34.66,32.66,649711
2022-04-07,34.485,34.88,33.91,34.74,32.74,443341
2022-04-08,34.48,34.68,33.92,34.34,32.36,384235
2022-04-11,34.12,34.83,34.08,34.25,32.27,352615
2022-04-12,34.42,34.88,34.2,34.42,32.43,398200
2022-04-13,34.46,35.0,34.455,34.89,32.88,336270
2022-04-14,35.025,35.19,34.89,35.065,33.04,468210
2022-04-18,34.7,35.18,34.59,34.76,32.75,401749
2022-04-19,34.81,35.32,34.73,35.315,33.28,602822
2022-04-20,35.49,35.82,35.2,35.23,33.2,545525
2022-04-21,37.55,38.15,36.005,36.32,34.22,764779
