date,open,high,low,close,adj_close,volume
2021-06-09,355.78,355.78,349.3,349.4,327.18,103628
2021-06-10,351.65,354.4,340.84,341.47,319.75,60382
2021-06-11,344.4,346.425,338.67,341.33,319.62,61072
2021-06-14,341.77,342.06,331.87,335.48,314.14,106524
2021-06-15,336.69,339.02,336.14,337.87,316.38,69583
2021-06-16,338.1,339.94,335.42,336.465,315.06,77608
2021-06-17,336.56,336.755,322.0,328.635,307.73,184821
2021-06-18,324.01,331.83,323.51,329.25,308.31,130153
2021-06-21,333.28,338.65,332.89,337.82,316.33,98530
2021-06-22,338.94,342.63,336.76,342.3,320.53,74483
2021-06-23,343.17,349.17,341.63,347.86,325.73,192587
2021-06-24,349.81,354.74,346.53,350.52,328.22,131498
2021-06-25,353.65,355.79,347.93,349.45,327.22,110625
2021-06-28,349.28,350.2,345.22,349.76,327.51,67584
2021-06-29,352.3,352.3,348.16,348.89,327.54,60068
2021-06-30,348.87,353.3,348.82,352.665,331.09,92209
2021-07-01,354.95,356.15,351.92,354.51,332.82,96328
2021-07-02,353.42,353.42,351.515,352.4,330.84,69528
2021-07-06,352.535,352.875,344.3,349.43,328.05,122428
2021-07-07,350.01,352.52,348.22,351.7,330.18,59577
2021-07-08,344.3,347.27,339.77,343.36,322.35,74256
2021-07-09,349.51,350.67,347.58,349.45,328.07,51682
2021-07-12,347.835,354.745,346.34,354.26,332.58,74014
2021-07-13,355.485,355.485,350.61,350.72,329.26,45648
2021-07-14,352.97,353.245,344.6,345.54,324.4,84744
2021-07-15,342.81,347.63,342.81,345.99,324.82,100500
2021-07-16,348.045,348.255,342.01,342.515,321.56,56733
2021-07-19,335.0,337.27,328.93,334.89,314.4,172664
2021-07-20,337.12,349.205,335.12,348.12,326.82,97044
2021-07-21,351.98,354.5,351.18,353.13,331.52,116645
2021-07-22,353.16,354.07,351.14,351.14,329.65,44173
2021-07-23,353.93,355.56,351.83,354.83,333.12,32064
2021-07-26,355.74,356.025,351.19,355.66,333.9,65093
2021-07-27,353.01,357.4,350.97,353.74,332.09,32570
2021-07-28,354.6,356.64,351.3,353.67,332.03,65481
2021-07-29,358.96,361.87,356.27,360.04,338.01,62372
2021-07-30,359.09,361.78,357.71,361.54,339.42,60542
2021-08-02,363.435,367.36,355.27,355.66,333.9,54214
2021-08-03,356.17,366.7,354.56,365.63,343.26,49951
2021-08-04,364.05,366.47,360.59,360.59,338.53,34924
2021-08-05,363.29,364.89,361.44,364.405,342.11,44930
2021-08-06,366.62,368.57,365.6,367.04,344.58,25699
2021-08-09,364.54,370.77,363.59,369.34,346.74,37287
2021-08-10,370.56,377.36,370.04,376.61,353.56,52194
2021-08-11,377.18,386.31,375.8,386.02,362.4,132674
2021-08-12,385.86,388.2,383.74,385.625,362.03,46638
2021-08-13,386.605,386.605,382.97,383.9,360.41,42434
2021-08-16,380.995,383.3,378.755,382.76,359.34,55356
2021-08-17,381.24,382.26,374.28,376.2,353.18,46736
2021-08-18,374.1,375.8,371.59,371.59,348.85,50930
2021-08-19,367.645,367.82,354.965,359.045,337.07,218760
2021-08-20,363.95,366.505,344.89,351.37,329.87,227824
2021-08-23,354.905,363.195,352.56,362.79,340.59,109978
2021-08-24,364.985,372.93,364.985,367.99,345.47,96545
2021-08-25,368.38,379.25,368.38,376.625,353.58,59639
2021-08-26,375.11,382.505,375.11,379.8,356.56,55911
2021-08-27,380.525,382.725,378.33,379.43,356.21,44598
2021-08-30,381.01,383.63,376.9,380.95,357.64,68948
2021-08-31,380.41,380.92,373.925,378.005,354.87,105853
2021-09-01,378.58,378.58,369.21,376.87,353.81,193258
2021-09-02,378.27,384.82,377.98,384.75,361.21,68159
2021-09-03,384.54,392.98,384.165,389.37,365.54,69253
2021-09-07,384.65,385.89,370.51,371.89,349.13,212824
2021-09-08,372.095,372.41,362.22,370.245,347.59,111067
2021-09-09,368.295,370.81,363.12,364.64,342.33,126880
2021-09-10,367.36,368.41,362.86,362.96,340.75,74891
2021-09-13,366.045,366.53,357.01,361.57,339.45,90118
2021-09-14,362.515,362.53,355.1,355.9,334.12,60307
2021-09-15,355.6,360.745,354.29,359.92,337.9,50409
2021-09-16,360.345,361.31,353.36,355.34,333.6,95378
2021-09-17,351.59,353.69,348.16,349.08,327.72,115789
2021-09-20,340.47,342.0,334.81,339.71,318.92,69264
2021-09-21,342.43,342.43,333.89,336.99,316.37,59635
2021-09-22,341.41,345.135,340.59,340.71,319.86,38059
2021-09-23,345.18,352.295,344.96,351.56,330.05,78502
2021-09-24,349.635,353.28,348.82,349.48,328.1,59995
2021-09-27,349.34,355.72,349.26,352.51,330.94,69038
2021-09-28,351.18,356.47,351.18,353.98,332.32,153472
2021-09-29,354.03,354.31,350.87,350.87,330.38,61372
2021-09-30,351.85,351.85,335.02,335.02,315.46,93997
2021-10-01,337.86,344.41,333.77,342.015,322.04,59368
2021-10-04,341.96,342.46,337.23,338.5,318.73,47457
2021-10-05,334.95,341.01,333.41,338.27,318.52,83608
2021-10-06,335.79,338.44,329.76,338.33,318.57,101500
2021-10-07,341.19,347.73,341.19,344.11,324.01,72544
2021-10-08,343.56,345.025,341.425,343.04,323.01,71242
2021-10-11,343.3,343.79,332.49,332.58,313.16,49124
2021-10-12,333.59,333.925,329.92,330.73,311.42,84687
2021-10-13,332.145,332.81,327.49,329.07,309.85,101560
2021-10-14,321.24,332.615,320.94,329.66,310.41,179895
2021-10-15,332.0,335.81,331.8,332.775,313.34,77917
2021-10-18,329.97,333.285,329.31,331.87,312.49,97768
2021-10-19,334.9,343.78,334.7,343.1,323.06,72474
2021-10-20,343.82,346.015,342.5,343.9,323.82,58276
2021-10-21,343.315,344.495,341.15,343.02,322.99,48432
2021-10-22,345.94,345.94,339.685,340.65,320.76,45660
2021-10-26,353.63,353.71,341.075,341.075,321.16,115261
2021-10-27,342.51,346.01,338.14,338.14,318.39,95891
2021-10-28,339.705,349.76,338.265,349.76,329.33,141944
2021-10-29,348.44,349.07,340.77,342.46,322.46,59171
2021-11-01,346.72,365.49,346.72,358.68,337.73,93220
2021-11-02,359.6,359.6,350.9,355.39,334.64,50963
2021-11-03,346.62,347.0,335.5,343.05,323.02,104518
2021-11-04,344.47,350.78,344.39,350.78,330.3,39168
2021-11-05,352.74,358.535,352.16,354.94,334.21,61681
2021-11-08,358.81,365.33,358.675,360.88,339.81,48117
2021-11-09,361.18,361.26,352.33,355.805,335.03,48246
2021-11-10,352.78,355.59,350.14,352.58,331.99,48522
2021-11-11,352.85,358.55,352.26,356.01,335.22,31832
2021-11-12,357.205,359.02,353.75,358.86,337.9,27887
2021-11-15,361.0,363.49,359.97,361.12,340.03,39395
2021-11-16,358.99,366.075,358.75,362.08,340.94,52210
2021-11-17,360.1,360.1,349.33,353.61,332.96,140681
2021-11-18,365.17,365.46,357.01,357.215,336.35,86281
2021-11-19,354.5,354.5,345.53,346.135,325.92,85379
2021-11-22,348.515,354.45,343.5,349.09,328.7,84162
2021-11-23,349.45,352.86,344.96,349.87,329.44,73358
2021-11-24,360.25,374.54,359.0,368.03,346.54,255909
2021-11-26,355.0,361.24,349.02,359.32,338.34,100733
2021-11-29,367.0,367.0,346.51,348.05,327.72,106480
2021-11-30,346.29,351.8,341.845,345.68,325.49,96137
2021-12-01,353.55,353.725,341.45,341.45,321.51,74904
2021-12-02,345.92,354.08,343.93,350.425,329.96,151534
2021-12-03,351.75,352.55,345.265,349.37,328.97,53690
2021-12-06,352.69,357.84,350.97,354.47,333.77,79066
2021-12-07,359.75,366.305,359.4,361.58,340.46,85468
2021-12-08,363.1,363.6,357.82,361.22,340.13,46589
2021-12-09,360.06,364.2,358.43,361.91,340.78,25091
2021-12-10,362.41,363.74,357.42,358.36,337.43,56691
2021-12-13,358.36,360.54,349.385,351.51,330.98,52257
2021-12-14,349.5,354.2,346.115,348.66,328.3,93944
2021-12-15,349.2,349.78,338.47,343.82,323.74,103108
2021-12-16,348.0,351.39,347.41,348.3,327.96,78712
2021-12-17,349.79,350.36,342.19,346.99,326.73,94182
2021-12-20,343.03,343.07,336.415,338.83,319.04,92051
2021-12-21,342.505,352.35,342.16,349.785,329.36,61219
2021-12-22,349.85,351.32,343.68,347.12,326.85,76642
2021-12-23,346.45,351.315,346.45,349.375,328.97,50146
2021-12-27,350.47,351.29,348.56,350.81,330.32,46658
2021-12-28,350.64,353.0,349.0,349.74,329.32,35858
2021-12-29,348.93,349.31,345.58,345.58,325.4,72278
2021-12-30,345.58,347.8,341.87,342.18,323.18,135569
2021-12-31,341.44,343.93,341.17,342.825,323.79,45616
2022-01-03,344.58,350.21,344.15,350.03,330.59,81478
2022-01-04,352.71,372.32,352.71,371.34,350.72,122018
2022-01-05,375.32,386.52,371.86,371.96,351.31,175483
2022-01-06,374.45,378.325,368.24,376.78,355.86,80599
2022-01-07,377.01,381.95,376.92,378.66,357.63,130902
2022-01-10,381.99,385.695,374.14,379.77,358.68,94392
2022-01-11,382.285,382.285,376.02,380.72,359.58,74268
2022-01-12,382.72,382.72,372.75,376.255,355.36,65328
2022-01-13,379.78,384.09,378.75,380.39,359.27,76938
2022-01-14,376.65,380.0,373.68,379.79,358.7,77782
2022-01-18,380.36,387.71,379.62,384.0,362.68,156102
2022-01-19,387.5,387.5,374.61,375.78,354.91,127951
2022-01-20,375.2,380.0,365.99,366.91,346.54,152757
2022-01-21,367.65,371.05,360.1,365.09,344.82,80658
2022-01-24,355.085,357.67,347.205,353.14,333.53,34885
2022-01-25,359.02,369.975,350.95,368.28,347.83,177552
2022-01-26,369.72,380.51,366.91,372.81,352.11,165492
2022-01-27,376.05,382.59,370.59,376.16,355.27,109647
2022-01-28,372.725,377.14,365.37,373.9,353.14,206291
2022-01-31,373.01,376.72,367.58,376.19,355.3,130808
2022-02-01,375.35,378.95,371.09,377.93,356.94,143594
2022-02-02,377.89,379.295,366.87,374.2,353.42,108096
2022-02-03,371.83,376.805,370.07,370.85,350.26,66863
2022-02-04,368.46,372.79,364.04,369.55,349.03,76576
2022-02-07,371.285,374.44,368.7,372.26,351.59,88665
2022-02-08,375.95,391.95,375.105,389.78,368.14,176887
2022-02-09,393.32,399.59,393.14,395.405,373.45,154116
2022-02-10,392.975,399.14,390.29,393.01,371.19,83980
2022-02-11,393.81,399.645,387.48,392.42,370.63,158868
2022-02-14,396.26,397.22,384.27,387.25,365.75,164730
2022-02-15,389.55,395.94,389.55,393.355,371.51,186512
2022-02-16,392.11,393.79,385.53,390.3,368.63,213240
2022-02-17,387.6,390.56,379.51,380.68,359.54,221644
2022-02-18,377.02,392.54,366.54,369.36,348.85,241247
2022-02-22,366.44,370.08,352.21,353.86,334.21,184215
2022-02-23,354.05,354.05,337.36,337.6,318.85,199093
2022-02-24,328.58,343.57,327.115,342.76,323.73,346033
2022-02-25,342.9,348.21,338.31,346.81,327.55,281415
2022-02-28,346.425,362.27,346.33,359.94,339.95,218988
2022-03-01,361.055,361.87,350.71,358.54,338.63,130687
2022-03-02,360.39,380.82,360.39,376.0,355.12,143854
2022-03-03,378.31,386.09,375.745,381.95,360.74,193504
2022-03-04,377.535,390.5,374.81,390.01,368.35,183500
2022-03-07,393.1,405.27,368.05,369.07,348.58,335737
2022-03-09,370.06,373.87,364.78,368.84,348.36,119782
2022-03-10,365.275,379.59,365.275,378.245,357.24,110093
2022-03-11,383.74,392.22,383.19,389.4,367.78,122169
2022-03-14,393.24,399.49,386.84,394.01,372.13,199542
2022-03-15,393.02,393.02,382.035,388.34,366.78,155291
2022-03-16,391.44,400.755,382.31,388.18,366.62,171472
2022-03-17,388.0,407.1,387.87,406.27,383.71,179838
2022-03-18,408.44,414.87,404.35,413.14,390.2,122170
2022-03-21,415.025,426.56,415.0,422.39,398.94,169637
2022-03-22,425.22,436.07,423.44,427.73,403.98,153702
2022-03-23,422.955,435.0,422.955,431.58,407.61,270339
2022-03-24,431.895,435.48,426.18,431.74,407.77,112005
2022-03-25,432.48,436.9,428.19,436.68,412.43,85438
2022-03-28,436.83,436.83,427.395,432.61,408.59,96155
2022-03-29,422.95,423.84,409.49,412.86,389.93,272878
2022-03-30,414.16,424.425,413.57,415.42,393.35,117355
2022-03-31,413.835,420.39,413.835,415.46,393.39,110595
2022-04-01,417.36,421.58,413.97,416.795,394.65,79487
2022-04-04,418.12,418.6,408.15,417.7,395.51,65994
2022-04-05,418.94,420.5,411.35,413.77,391.79,85587
2022-04-06,411.045,414.515,406.43,411.24,389.39,77420
2022-04-07,408.44,412.42,402.01,409.56,387.8,172326
2022-04-08,411.52,419.87,407.81,418.14,395.93,114050
2022-04-11,420.37,425.5,417.81,418.51,396.28,90485
2022-04-12,423.0,427.18,417.78,419.86,397.56,66079
2022-04-13,423.17,427.95,422.295,427.71,404.99,102984
2022-04-14,429.97,439.145,427.965,436.89,413.68,100235
2022-04-18,433.94,445.2,433.94,438.1,414.83,94946
2022-04-19,439.515,440.195,434.75,437.72,414.47,61145
2022-04-20,444.08,445.93,436.59,437.19,413.97,128857
2022-04-21,440.19,440.19,423.59,424.43,401.88,127111
2022-04-22,419.56,420.66,401.72,403.635,382.19,160960
2022-04-25,390.9,391.105,372.48,385.48,365.0,430490
2022-04-26,382.915,390.57,380.34,381.73,361.45,150415
2022-04-27,382.84,389.79,375.85,385.71,365.22,147748
2022-04-28,386.815,389.465,375.22,384.82,364.38,102364
2022-04-29,386.63,389.54,376.29,376.82,356.8,87772
2022-05-02,376.83,382.4,371.865,381.22,360.97,104470
2022-05-03,386.475,390.49,383.845,389.45,368.76,158774
2022-05-04,391.085,398.36,385.0,396.57,375.5,120914
2022-05-05,393.99,395.87,379.44,382.73,362.4,63091
2022-05-06,380.27,382.28,372.15,377.49,357.44,84649
2022-05-09,372.01,374.545,362.49,364.34,344.99,172612
2022-05-10,368.84,370.56,360.56,364.77,345.39,63336
2022-05-11,366.765,374.23,362.715,364.03,344.69,105097
2022-05-12,362.26,367.43,354.31,363.03,343.75,170811
2022-05-13,367.295,369.83,363.225,366.46,346.99,128005
2022-05-16,368.06,382.145,366.88,374.41,354.52,150879
2022-05-17,382.31,385.95,377.53,384.46,364.04,66419
2022-05-18,383.13,384.005,367.42,369.085,349.48,91790
2022-05-19,363.89,370.175,356.45,363.95,344.62,173950
2022-05-20,339.64,343.69,307.83,313.12,296.49,546547
2022-05-23,317.61,337.23,316.64,335.455,317.64,291467
2022-05-24,332.48,337.925,327.375,337.0,319.1,125890
2022-05-25,337.705,345.71,336.545,342.9,324.68,157479
2022-05-26,344.165,348.9,340.42,347.62,329.15,66412
2022-05-27,353.22,360.59,353.22,360.57,341.42,157627
2022-05-31,360.55,361.8,354.99,357.96,338.94,106599
2022-06-01,361.795,362.355,348.69,352.18,333.47,93110
2022-06-02,354.0,361.4,351.265,361.035,341.86,84303
2022-06-03,358.87,363.22,357.8,361.03,341.85,45718
