date,open,high,low,close,adj_close,volume
2021-06-09,69.245,69.48,68.485,68.83,52.4,97417
2021-06-10,69.79,70.08,67.97,68.0,51.77,117207
2021-06-11,68.67,68.99,67.86,67.99,51.76,66381
2021-06-14,67.9,68.14,66.64,66.945,50.96,102146
2021-06-15,67.01,67.38,66.46,67.2,51.16,91422
2021-06-16,67.12,67.12,65.23,65.59,49.93,183456
2021-06-17,65.6,65.64,62.355,63.54,48.37,179187
2021-06-18,62.31,62.995,61.885,61.93,47.14,211984
2021-06-21,63.18,63.93,62.79,63.07,48.01,172576
2021-06-22,63.4,63.8,62.78,63.53,48.36,130078
2021-06-23,63.95,64.23,63.115,63.135,48.06,158306
2021-06-24,63.82,63.82,62.76,63.12,48.05,137448
2021-06-25,63.25,63.855,63.19,63.28,48.17,99882
2021-06-28,63.3,63.3,62.175,62.86,47.85,100955
2021-06-29,63.25,63.74,62.605,62.955,47.92,124715
2021-06-30,62.86,63.61,62.83,63.315,48.2,96723
2021-07-01,64.28,64.39,63.445,63.49,48.33,162951
2021-07-02,63.395,63.74,62.8,63.515,48.35,117058
2021-07-06,63.32,63.36,61.42,61.93,47.14,71249
2021-07-07,61.65,62.47,61.1,62.235,47.38,128537
2021-07-08,61.01,62.015,60.67,61.38,46.73,96157
2021-07-09,62.33,63.66,62.13,63.07,48.01,170820
2021-07-12,62.59,63.59,61.99,63.17,48.09,213784
2021-07-13,63.37,63.68,62.33,62.71,47.74,141036
2021-07-14,62.93,63.645,62.185,62.32,47.44,59193
2021-07-15,61.71,62.67,61.69,61.89,47.11,100884
2021-07-16,61.36,61.695,59.81,60.01,45.68,265528
2021-07-19,57.9,58.45,57.09,57.76,43.97,210093
2021-07-20,58.14,59.19,57.68,58.62,44.62,237020
2021-07-21,59.56,60.02,59.055,59.71,45.45,264015
2021-07-22,58.58,60.87,58.0,60.475,46.04,316395
2021-07-23,60.87,61.25,59.8,60.07,45.73,223893
2021-07-26,60.4,62.03,60.3,62.0,47.2,147216
2021-07-27,61.41,62.38,60.87,61.96,47.17,50307
2021-07-28,61.92,62.26,61.12,61.91,47.13,94173
2021-07-29,62.51,62.895,62.07,62.625,47.67,137811
2021-07-30,62.34,63.2,61.665,62.16,47.32,93388
2021-08-02,62.45,63.52,61.21,61.22,46.6,82134
2021-08-03,60.965,62.27,60.245,62.18,47.33,296334
2021-08-04,61.63,62.15,61.0,61.0,46.44,89187
2021-08-05,61.435,61.73,60.9,60.98,46.42,61814
2021-08-06,61.7,62.365,61.655,61.99,47.19,78306
