date,open,high,low,close,adj_close,volume
2021-06-09,56.92,57.135,56.85,56.92,44.94,36390
2021-06-10,57.015,57.63,56.87,57.49,45.39,44727
2021-06-11,57.5,58.08,57.5,57.97,45.77,39102
2021-06-14,58.33,58.94,58.21,58.72,46.36,83764
2021-06-15,58.71,59.09,58.41,58.59,46.26,119483
2021-06-16,58.99,59.175,57.8,57.8,45.64,66520
2021-06-17,57.895,57.98,56.96,56.99,45.0,70312
2021-06-18,56.47,57.23,55.575,55.575,43.88,217280
2021-06-21,56.24,56.275,55.46,56.09,44.29,82911
2021-06-22,55.88,56.29,55.63,55.66,43.95,98261
2021-06-23,55.685,55.685,54.69,55.01,43.44,57241
2021-06-24,55.19,55.41,54.83,55.3,43.66,66641
2021-06-25,55.315,57.01,55.21,57.005,45.01,203504
2021-06-28,57.075,57.69,56.53,57.66,45.53,126426
2021-06-29,57.7,58.32,57.3,57.46,45.37,117521
2021-06-30,57.8,58.065,57.46,57.85,45.68,56002
2021-07-01,57.5,58.025,57.09,57.875,45.7,102308
2021-07-02,57.225,57.295,56.71,57.02,45.54,57279
2021-07-06,57.01,57.39,56.63,57.36,45.82,85904
2021-07-07,57.085,57.67,57.04,57.66,46.05,39321
2021-07-08,57.31,57.7,57.225,57.515,45.94,95846
2021-07-09,57.99,58.35,57.64,58.29,46.56,63442
2021-07-12,58.105,58.28,57.78,58.2,46.49,48458
2021-07-13,57.82,57.85,56.94,57.34,45.8,134057
2021-07-14,57.01,57.44,56.53,57.21,45.7,100579
2021-07-15,57.0,57.705,56.805,57.7,46.09,71465
2021-07-16,57.9,58.65,57.76,57.93,46.27,71119
2021-07-19,57.69,57.69,55.365,56.18,44.87,105285
2021-07-20,56.21,57.2,56.2,56.88,45.43,53960
2021-07-21,57.08,57.54,56.17,56.17,44.86,41484
2021-07-22,56.2,56.25,55.68,55.905,44.65,49850
2021-07-23,55.83,56.35,55.59,56.23,44.91,69261
2021-07-26,56.13,56.52,54.855,55.48,44.31,176099
2021-07-27,55.29,57.2,55.005,57.11,45.62,96358
2021-07-28,57.21,57.52,56.35,56.87,45.42,88824
2021-07-29,57.14,57.54,56.67,57.2,45.69,77751
2021-07-30,56.91,57.22,54.14,54.505,43.53,158851
2021-08-02,54.76,55.93,54.71,55.095,44.01,68680
2021-08-03,55.175,55.48,54.725,55.41,44.26,46103
2021-08-04,54.81,54.925,54.305,54.88,43.83,44973
2021-08-05,54.88,55.52,54.69,55.23,44.11,45970
2021-08-06,55.27,55.43,55.0,55.07,43.99,45835
2021-08-09,55.32,55.58,55.1,55.44,44.28,145516
2021-08-10,55.35,56.26,55.22,55.89,44.64,46937
2021-08-11,55.88,57.2,55.88,57.12,45.62,92640
2021-08-12,56.9,57.325,56.75,57.11,45.62,39729
2021-08-13,57.22,57.22,56.85,57.01,45.54,100705
2021-08-16,57.1,57.94,56.85,57.3,45.77,29131
2021-08-17,56.93,57.59,56.895,57.59,46.0,91255
2021-08-18,57.62,58.65,57.46,58.65,46.85,72344
2021-08-19,58.6,59.305,57.97,58.17,46.46,71167
2021-08-20,57.88,59.63,57.88,59.58,47.59,67474
2021-08-23,59.745,59.745,58.95,59.17,47.26,49918
2021-08-24,59.1,59.15,58.63,58.92,47.06,32112
2021-08-25,58.76,58.78,58.26,58.35,46.61,64801
2021-08-26,58.22,58.22,57.44,57.67,46.06,95014
2021-08-27,57.64,57.935,57.29,57.53,45.95,32484
2021-08-30,57.27,57.7,57.24,57.54,45.96,44863
2021-08-31,57.48,57.95,57.315,57.84,46.2,37493
2021-09-01,58.26,58.61,57.745,58.22,46.5,62256
2021-09-02,58.49,59.14,58.445,59.14,47.24,32505
2021-09-03,58.94,59.08,58.515,58.67,46.86,25523
2021-09-07,58.51,58.945,57.98,58.64,46.84,58340
2021-09-08,58.73,59.69,58.73,59.1,47.21,63651
2021-09-09,58.65,58.82,58.505,58.73,46.91,62724
2021-09-10,58.56,58.72,58.045,58.165,46.46,77119
2021-09-13,58.685,59.575,58.685,59.07,47.18,55389
2021-09-14,59.17,59.17,58.29,58.52,46.74,39570
2021-09-15,58.31,59.3,58.24,59.03,47.15,42447
2021-09-16,58.95,58.96,57.5,57.5,45.93,34700
2021-09-17,57.61,58.495,57.58,57.76,46.13,50027
2021-09-20,57.14,58.185,57.04,57.59,46.0,101838
2021-09-21,57.89,58.225,57.68,57.75,46.13,36625
2021-09-22,57.94,58.805,57.91,58.38,46.63,53001
2021-09-23,58.87,58.87,57.6,57.6,46.01,49648
2021-09-24,57.76,57.82,57.43,57.58,45.99,43774
2021-09-27,57.78,58.655,57.62,57.63,46.03,68983
2021-09-28,57.75,58.01,56.865,57.12,45.62,60655
2021-09-29,56.53,57.0,56.25,56.41,45.59,48971
2021-09-30,56.35,56.43,55.45,55.45,44.81,44933
2021-10-01,55.72,55.755,55.0,55.005,44.45,37409
2021-10-04,55.4,56.365,55.3,56.27,45.47,63435
2021-10-05,56.11,56.565,55.58,55.675,44.99,39487
2021-10-06,55.27,56.64,55.115,56.6,45.74,49983
2021-10-07,56.62,57.98,56.49,57.12,46.16,96962
2021-10-08,57.28,57.47,56.97,57.14,46.18,43035
2021-10-11,57.12,57.12,55.955,56.1,45.33,61758
2021-10-12,55.81,56.01,55.36,55.52,44.87,66221
2021-10-13,55.6,56.55,55.44,56.42,45.59,58643
2021-10-14,56.475,56.71,56.375,56.64,45.77,64016
2021-10-15,56.865,57.57,56.77,57.36,46.35,151828
2021-10-18,56.82,57.54,56.6,57.19,46.22,110234
2021-10-19,57.58,57.89,57.17,57.54,46.5,49581
2021-10-20,58.04,58.97,58.04,58.95,47.64,42733
2021-10-21,58.85,59.325,58.76,59.32,47.94,37953
2021-10-22,59.36,60.485,59.34,60.465,48.86,41321
2021-10-25,60.415,61.36,60.27,61.1,49.38,71443
2021-10-26,61.14,61.875,61.015,61.49,49.69,65458
2021-10-27,61.68,62.265,61.625,62.21,50.27,127863
2021-10-28,62.42,62.79,62.13,62.79,50.74,326799
2021-10-29,62.54,63.015,62.54,62.93,50.85,672716
2021-11-01,62.77,63.37,62.74,63.29,51.14,203837
2021-11-02,63.22,63.64,62.635,63.51,51.32,719607
2021-11-03,61.9,62.8,61.385,62.78,50.73,576083
2021-11-04,62.41,63.12,62.04,63.03,50.93,497707
2021-11-05,63.46,64.2,63.2,64.05,51.76,765283
2021-11-08,63.9,64.14,63.16,64.06,51.77,733981
