date,open,high,low,close,adj_close,volume
2021-06-09,391.01,392.22,385.96,385.96,360.65,35356
2021-06-10,382.16,385.265,380.88,384.68,359.45,38041
2021-06-11,385.35,385.35,382.33,383.88,358.71,25407
2021-06-14,382.575,384.01,379.86,383.53,358.38,65897
2021-06-15,384.54,386.025,381.01,385.11,359.86,103015
2021-06-16,386.465,387.24,378.34,378.355,353.54,93408
2021-06-17,378.77,379.09,375.82,377.67,352.9,51859
2021-06-18,372.45,373.24,368.4,369.06,344.86,79139
2021-06-21,370.915,377.37,369.985,376.47,351.78,84436
2021-06-22,376.88,379.77,374.5,379.03,354.17,86653
2021-06-23,376.885,379.34,376.695,378.14,353.34,71765
2021-06-24,379.35,380.815,378.065,378.56,353.73,34944
2021-06-25,378.89,382.69,378.65,380.67,355.71,69912
2021-06-28,380.59,381.47,376.72,381.02,356.03,51730
2021-06-29,383.21,383.29,380.725,381.37,356.36,78647
2021-06-30,380.95,382.53,379.53,381.72,356.69,48780
2021-07-01,382.485,385.08,382.485,383.2,358.07,417226
2021-07-02,382.42,387.32,382.195,387.32,361.92,168860
2021-07-06,385.52,387.4,381.92,385.22,359.96,105284
2021-07-07,384.29,388.28,381.56,387.5,362.09,49537
2021-07-08,384.9,385.4,379.87,383.96,358.78,42506
2021-07-09,387.6,390.22,387.495,388.41,362.94,180666
2021-07-12,387.02,396.35,386.135,396.0,370.03,119667
2021-07-13,396.93,402.04,396.93,398.07,371.97,90477
2021-07-14,400.02,400.21,394.305,395.15,369.24,65413
2021-07-15,392.71,398.195,391.375,396.12,370.14,69356
2021-07-16,397.025,397.41,392.82,393.47,367.67,43349
2021-07-19,390.73,391.99,382.6,384.39,359.18,78057
2021-07-20,385.9,393.44,385.9,390.0,364.42,111687
2021-07-21,397.25,397.25,381.74,383.665,358.51,82469
2021-07-22,385.25,387.52,380.41,384.42,359.21,51755
2021-07-23,385.69,387.3,381.46,382.29,357.22,48901
2021-07-26,381.5,381.5,373.67,378.1,353.31,45982
2021-07-27,376.75,383.28,376.28,383.13,358.01,77759
2021-07-28,380.315,381.27,376.66,380.065,355.14,27068
2021-07-29,382.455,385.24,379.68,384.84,359.6,37798
2021-07-30,383.96,386.39,382.72,384.3,359.1,55984
2021-08-02,385.545,391.27,384.705,390.3,364.71,51243
2021-08-03,391.83,395.69,388.925,395.52,369.58,45782
2021-08-04,394.1,397.83,393.69,395.81,369.85,49961
2021-08-05,390.74,391.11,374.96,376.6,351.9,106443
2021-08-06,378.835,381.3,376.16,379.66,354.76,54544
2021-08-09,379.8,381.3,376.18,376.24,351.57,46182
2021-08-10,375.84,378.77,375.41,377.48,352.73,31651
2021-08-11,377.6,378.15,366.38,367.48,343.38,153311
2021-08-12,367.48,369.575,366.175,367.66,343.55,156372
2021-08-13,368.64,369.77,364.13,367.47,343.37,59400
2021-08-16,366.905,376.31,365.425,376.31,351.63,62123
2021-08-17,376.575,380.685,375.405,380.27,355.33,58108
2021-08-18,378.86,378.86,371.235,371.235,346.89,54431
2021-08-19,369.33,376.08,369.33,375.65,351.02,70465
2021-08-20,376.61,379.51,376.49,378.12,353.32,42312
2021-08-23,378.225,378.84,376.86,377.35,352.6,29980
2021-08-24,377.5,378.665,374.62,377.07,352.34,19773
2021-08-25,375.81,377.37,372.865,373.22,348.75,34055
2021-08-26,372.965,373.39,369.63,370.095,345.83,71729
2021-08-27,370.535,374.18,368.81,372.47,348.04,31496
2021-08-30,372.17,372.715,370.0,370.59,346.29,35214
2021-08-31,368.965,377.85,368.66,375.47,350.85,89579
2021-09-01,374.13,374.13,365.19,369.1,344.9,117650
2021-09-02,370.91,383.1,370.585,382.955,357.84,68271
2021-09-03,382.0,382.0,377.08,378.92,354.07,33780
