date,open,high,low,close,adj_close,volume
2021-06-09,98.09,98.17,97.48,97.925,88.57,76002
2021-06-10,98.605,98.85,97.46,97.59,88.27,66431
2021-06-11,97.73,98.08,96.595,97.0,87.74,122181
2021-06-14,96.81,97.4,96.19,97.4,88.1,101859
2021-06-15,97.61,98.61,97.21,98.6,89.18,144699
2021-06-16,98.31,98.96,97.615,98.23,88.85,124053
2021-06-17,98.22,98.22,93.885,94.025,85.05,132147
2021-06-18,92.52,93.25,92.08,92.23,83.42,100963
2021-06-21,93.01,95.06,93.01,94.93,85.86,74860
2021-06-22,94.605,95.46,93.98,94.78,85.73,49381
2021-06-23,94.99,96.025,94.48,94.49,85.47,105204
2021-06-24,95.18,95.41,94.15,95.36,86.25,86195
2021-06-25,95.76,96.44,95.57,96.015,86.85,86454
2021-06-28,96.25,96.25,94.74,94.99,85.92,59574
2021-06-29,95.765,96.45,94.455,94.71,85.67,157910
2021-06-30,94.57,96.415,94.54,96.23,87.04,91464
2021-07-01,97.03,97.49,96.745,96.94,87.68,77268
2021-07-02,96.54,97.69,96.35,97.45,88.14,32971
2021-07-06,97.22,97.22,94.8,95.705,86.57,76463
2021-07-07,95.4,97.225,95.4,97.055,87.79,91721
2021-07-08,95.76,96.56,94.83,96.03,86.86,76063
2021-07-09,97.3,98.105,97.3,97.62,88.3,91291
2021-07-12,97.51,98.78,96.82,98.57,89.16,92498
2021-07-13,98.42,98.46,97.68,97.765,88.43,50095
2021-07-14,98.1,98.86,97.91,98.06,88.7,96688
2021-07-15,97.75,98.85,97.68,98.5,89.09,59249
2021-07-16,99.02,99.02,97.09,97.28,87.99,95625
2021-07-19,95.69,95.97,93.34,93.77,84.82,184481
2021-07-20,94.025,97.34,94.01,97.125,87.85,122563
2021-07-21,97.6,98.53,97.46,98.28,88.89,73622
2021-07-22,98.34,98.34,97.29,97.43,88.13,37261
2021-07-23,97.725,98.65,97.345,98.5,89.09,63326
2021-07-26,98.48,99.11,97.82,98.34,88.95,49605
2021-07-27,97.76,99.07,97.2,98.35,88.96,41552
2021-07-28,98.16,98.9,97.07,98.44,89.04,64221
2021-07-29,99.41,100.2,98.6,99.99,90.44,85194
2021-07-30,99.94,101.005,99.51,100.9,91.26,105191
2021-08-02,101.445,102.415,99.645,99.73,90.21,65927
2021-08-03,100.14,101.27,99.205,101.04,91.39,106445
2021-08-04,98.87,101.65,98.37,100.22,90.65,101023
2021-08-05,101.67,102.06,100.75,101.06,91.41,70164
2021-08-06,101.86,102.26,101.01,101.45,91.76,120354
2021-08-09,101.28,101.42,100.745,101.19,91.53,65873
2021-08-10,101.57,103.205,101.22,103.08,93.24,67954
2021-08-11,103.25,104.35,102.915,104.26,94.3,71660
2021-08-12,103.43,104.23,103.09,104.125,94.64,70671
2021-08-13,103.82,104.17,103.34,103.71,94.26,49433
2021-08-16,103.12,103.78,102.59,103.595,94.16,66884
2021-08-17,102.97,103.35,101.7,102.75,93.39,50236
2021-08-18,102.09,102.945,101.555,101.57,92.32,36589
2021-08-19,100.33,101.94,99.79,101.24,92.02,118405
2021-08-20,101.24,102.22,101.17,101.71,92.44,34003
2021-08-23,102.49,103.42,102.38,102.6,93.25,76305
2021-08-24,103.12,104.0,103.12,103.43,94.01,48233
2021-08-25,103.12,104.59,102.925,104.2,94.71,51627
2021-08-26,103.88,104.54,103.88,104.15,94.66,40635
2021-08-27,104.49,104.985,104.49,104.76,95.22,36518
2021-08-30,104.94,105.91,104.47,105.27,95.68,86903
2021-08-31,105.4,105.545,104.535,105.45,95.84,437176
2021-09-01,105.72,105.72,103.74,104.0,94.53,210409
2021-09-02,104.615,105.69,104.46,105.68,96.05,33467
2021-09-03,105.555,105.99,105.185,105.37,95.77,85394
2021-09-07,105.02,105.02,103.64,103.71,94.26,64969
2021-09-08,103.2,103.64,102.54,103.06,93.67,70212
2021-09-09,102.565,102.91,99.925,100.01,90.9,176901
2021-09-10,101.065,101.42,99.92,100.03,90.92,100157
2021-09-13,101.23,101.24,98.435,99.18,90.15,125762
2021-09-14,99.66,99.66,97.31,97.66,88.76,125826
2021-09-15,97.785,99.535,97.23,99.34,90.29,91547
2021-09-16,99.44,99.44,98.23,98.75,89.75,60389
2021-09-17,97.19,98.08,96.01,96.47,87.68,72091
2021-09-20,94.695,94.71,93.27,94.71,86.08,79275
2021-09-21,95.255,95.32,93.65,93.72,85.18,61360
2021-09-22,94.87,96.17,94.66,95.475,86.78,93028
2021-09-23,96.21,97.755,96.21,96.96,88.13,112025
2021-09-24,96.52,97.36,96.18,96.26,87.49,77458
2021-09-27,96.57,97.62,96.56,96.72,87.91,61645
2021-09-28,96.47,96.9,95.56,95.69,86.97,68662
2021-09-29,95.97,96.175,95.355,95.63,86.92,68220
2021-09-30,96.3,96.31,94.17,94.17,85.59,147222
2021-10-01,95.09,95.63,93.59,95.12,86.46,94223
2021-10-04,94.885,95.46,93.28,93.62,85.09,120913
2021-10-05,93.8,95.97,93.69,95.49,86.79,103152
2021-10-06,94.88,95.89,93.885,95.7,86.98,134595
2021-10-07,97.29,99.15,97.15,97.33,88.46,200056
2021-10-08,96.925,97.41,96.02,96.67,87.86,61239
2021-10-11,93.05,95.74,92.91,94.16,85.58,213442
2021-10-12,94.9,95.02,92.11,92.35,83.94,134350
2021-10-13,92.68,92.68,90.38,91.86,83.49,212129
2021-10-14,93.22,95.09,93.02,94.71,86.08,169453
2021-10-15,95.51,96.5,95.19,95.745,87.02,105381
2021-10-18,95.18,95.81,94.74,95.755,87.03,90980
2021-10-19,96.53,96.53,95.73,96.41,87.63,63720
2021-10-20,97.12,97.68,96.415,97.27,88.41,65376
2021-10-21,96.74,96.78,95.8,96.68,87.87,49744
2021-10-22,97.21,97.55,96.35,96.64,87.84,44961
2021-10-25,96.54,97.21,96.035,96.53,87.74,45218
2021-10-26,97.05,98.37,96.65,97.1,88.25,115140
2021-10-27,97.1,98.0,96.13,96.16,87.4,81683
2021-10-28,96.81,97.77,96.81,97.51,88.63,62151
2021-10-29,97.25,97.87,96.51,97.01,88.17,73650
2021-11-01,97.9,98.42,97.235,97.89,88.97,94264
2021-11-02,97.98,100.47,97.67,100.17,91.05,154456
2021-11-03,95.01,99.0,95.01,95.29,86.61,232058
2021-11-04,96.19,97.49,95.96,97.17,88.32,248585
2021-11-05,97.9,98.67,97.34,97.93,89.01,59193
2021-11-08,99.03,99.44,97.535,97.73,88.83,47563
2021-11-09,97.96,98.5,96.84,97.52,88.64,121693
2021-11-10,96.95,97.41,96.56,97.03,88.66,80259
2021-11-11,97.445,97.6,96.74,97.3,88.91,128912
2021-11-12,97.61,97.69,96.96,97.43,89.03,65097
2021-11-15,97.31,97.54,96.035,96.38,88.07,73802
2021-11-16,96.76,97.24,95.97,96.21,87.91,100532
2021-11-17,96.55,96.55,94.15,94.17,86.05,296595
2021-11-18,94.49,95.485,93.64,94.565,86.41,340418
2021-11-19,94.71,94.74,93.345,93.345,85.29,128323
2021-11-22,94.15,95.96,93.95,94.43,86.28,185721
2021-11-23,94.53,95.015,94.055,94.45,86.3,172252
2021-11-24,94.54,95.15,94.09,94.24,86.11,73073
2021-11-26,91.595,91.73,89.91,90.37,82.57,135867
2021-11-29,91.51,92.17,90.235,90.84,83.0,135772
2021-11-30,90.01,90.68,87.61,87.82,80.24,226528
2021-12-01,89.93,90.445,86.72,86.72,79.24,145781
2021-12-02,87.8,91.04,87.67,90.44,82.64,205098
2021-12-03,90.785,91.39,89.33,90.29,82.5,124027
2021-12-06,91.53,92.12,90.25,90.955,83.11,119720
2021-12-07,91.81,92.9,91.66,92.23,84.27,125767
2021-12-08,92.52,92.83,92.03,92.51,84.53,118140
2021-12-09,92.07,92.74,91.85,91.985,84.05,115546
2021-12-10,92.7,92.955,91.92,92.63,84.64,129265
2021-12-13,92.825,92.99,91.915,92.37,84.4,67506
2021-12-14,91.81,92.73,90.84,91.37,83.49,116252
2021-12-15,91.81,92.87,91.31,92.72,84.72,65287
2021-12-16,94.0,94.82,93.23,93.86,85.76,94054
2021-12-17,93.41,93.42,90.43,90.67,82.85,107796
2021-12-20,89.555,89.81,88.555,89.45,81.73,107478
2021-12-21,90.26,91.21,90.165,91.0,83.15,199536
2021-12-22,91.04,91.32,89.56,89.87,82.12,170894
2021-12-23,90.17,91.7,90.17,91.25,83.38,91850
2021-12-27,91.58,92.275,91.4,92.15,84.2,87152
2021-12-28,92.555,93.095,92.5,92.92,84.9,38219
2021-12-29,92.75,93.22,92.35,92.97,84.95,53486
2021-12-30,93.32,93.655,92.53,92.64,84.65,45494
2021-12-31,92.57,93.4,92.28,92.98,84.96,39339
2022-01-03,93.28,93.42,91.075,91.75,83.84,76177
2022-01-04,93.185,96.26,92.595,95.84,87.57,184627
2022-01-05,97.13,97.99,95.595,95.595,87.35,183327
2022-01-06,95.895,96.86,95.34,96.39,88.07,159775
2022-01-07,96.55,96.97,95.625,95.68,87.43,160954
2022-01-10,95.36,95.52,94.24,95.25,87.03,95061
2022-01-11,95.87,96.54,94.67,96.38,88.07,77200
2022-01-12,97.07,97.565,96.29,96.91,88.55,115780
2022-01-13,97.37,98.29,97.02,97.25,88.86,112127
2022-01-14,96.45,97.56,95.71,97.52,89.11,148729
2022-01-18,96.78,97.1,95.67,96.31,88.0,118954
2022-01-19,96.46,96.86,94.87,94.895,86.71,92653
2022-01-20,95.15,96.25,93.46,93.62,85.54,113794
2022-01-21,93.755,94.71,92.81,93.21,85.17,126463
2022-01-24,92.01,93.39,89.73,93.08,85.05,188843
2022-01-25,91.29,92.02,89.855,91.21,83.34,193805
2022-01-26,92.21,92.82,89.94,90.54,82.73,217953
2022-01-27,91.43,92.73,89.96,90.63,82.81,135141
2022-01-28,90.18,90.765,88.68,90.7,82.88,180854
2022-01-31,90.58,92.08,89.93,91.97,84.04,186943
2022-02-01,92.05,92.54,91.14,92.49,84.51,221551
2022-02-02,94.49,97.73,94.49,97.61,89.19,311750
2022-02-03,96.61,98.47,96.3,96.595,88.26,203923
2022-02-04,96.575,97.13,94.13,95.39,87.16,401167
