date,open,high,low,close,adj_close,volume
2021-06-09,323.33,323.91,322.08,322.08,305.65,2875
2021-06-10,320.49,325.23,320.49,324.84,308.27,3412
2021-06-11,325.22,328.23,325.22,328.23,311.49,3871
2021-06-14,329.025,329.985,326.15,327.49,310.79,12386
2021-06-15,327.29,332.085,326.99,328.08,311.35,8963
2021-06-16,330.08,331.16,325.0,326.35,309.71,13877
2021-06-17,326.93,329.815,325.83,328.825,312.05,7180
2021-06-18,327.64,328.89,325.25,325.735,309.12,14205
2021-06-21,327.505,331.94,326.3,329.43,312.63,11205
2021-06-22,330.57,332.0,330.43,331.02,314.14,5694
2021-06-23,329.56,330.115,327.89,328.58,311.82,4626
2021-06-24,328.81,331.56,328.75,331.15,314.26,8138
2021-06-25,330.665,333.45,330.665,332.38,315.43,8690
2021-06-28,336.36,337.56,332.95,337.1,319.91,12411
2021-06-29,331.02,339.35,326.22,336.705,319.53,25336
2021-06-30,335.81,340.44,335.55,336.16,319.01,18438
2021-07-01,336.95,339.35,335.93,335.93,318.8,6720
2021-07-02,337.41,339.5,337.41,338.52,321.25,5948
2021-07-06,339.875,342.3,337.695,341.3,323.89,12459
2021-07-07,341.875,341.875,338.265,339.96,322.62,9557
2021-07-08,338.855,343.06,338.855,340.83,323.45,8316
2021-07-09,341.26,343.35,340.77,343.35,325.84,7364
2021-07-12,342.895,342.895,337.275,339.41,322.1,7646
2021-07-13,338.4,338.4,334.87,335.86,318.73,8408
2021-07-14,336.16,337.12,335.195,336.065,318.92,5565
2021-07-15,336.48,339.94,336.48,339.94,322.6,8869
2021-07-16,339.81,343.45,339.81,341.52,324.1,12774
2021-07-19,340.58,340.61,333.11,337.02,319.83,16045
2021-07-20,340.58,343.78,339.55,339.86,322.53,16349
2021-07-21,342.195,342.195,340.32,340.32,322.96,3370
2021-07-22,340.34,341.63,339.34,340.77,323.39,10057
2021-07-23,344.83,345.96,343.335,345.05,327.45,5996
2021-07-26,345.01,345.01,340.8,342.64,325.16,8148
2021-07-27,343.17,344.785,341.745,344.08,326.53,2982
2021-07-28,342.65,345.84,342.6,345.1,327.5,3457
2021-07-29,346.9,349.7,345.16,349.52,331.69,6910
2021-07-30,349.51,357.635,349.51,357.635,339.39,14859
2021-08-02,358.29,360.33,356.0,359.98,341.62,10046
2021-08-03,360.145,360.145,353.28,357.6,339.36,14221
2021-08-04,359.96,361.92,358.415,359.19,340.87,6322
2021-08-05,361.34,362.44,356.85,359.25,340.93,14399
2021-08-06,358.89,362.19,356.7,362.19,343.72,5576
2021-08-09,363.31,363.99,361.79,363.02,344.51,6852
2021-08-10,362.46,363.495,359.99,362.04,343.58,4403
2021-08-11,363.865,364.455,362.7,364.14,345.57,8690
2021-08-12,364.555,364.555,361.84,362.84,344.33,5682
2021-08-13,363.4,368.32,363.4,368.32,349.53,4465
2021-08-16,370.0,373.72,367.97,373.53,354.48,7800
2021-08-17,373.34,376.21,373.34,374.51,355.41,11686
2021-08-18,373.07,374.56,361.54,361.54,343.1,6093
2021-08-19,360.03,365.46,359.63,365.35,346.72,6582
2021-08-20,367.9,369.15,367.16,369.15,350.32,5099
2021-08-23,369.8,371.065,366.82,367.455,348.71,12878
2021-08-24,366.58,369.895,366.575,368.0,349.23,11059
2021-08-25,374.19,376.2,370.47,376.145,356.96,16578
2021-08-26,374.74,375.45,373.45,374.02,354.94,15842
2021-08-27,373.75,378.38,373.75,376.72,357.51,7532
2021-08-30,376.84,382.26,376.13,381.05,362.4,6430
2021-08-31,381.76,383.07,378.675,380.37,361.76,12138
2021-09-01,379.9,388.62,379.9,386.24,367.34,8300
2021-09-02,388.055,389.265,384.14,386.8,367.87,12156
2021-09-03,386.68,387.945,386.15,386.47,367.56,4018
2021-09-07,381.255,385.83,381.255,382.14,363.44,10178
2021-09-08,383.52,390.685,382.57,384.855,366.02,15203
2021-09-09,384.985,385.905,383.425,383.79,365.01,6079
2021-09-10,385.14,386.73,383.415,384.835,366.0,3499
2021-09-13,385.315,387.31,379.83,382.51,363.79,10903
2021-09-14,383.07,388.18,382.16,383.905,365.12,15679
2021-09-15,383.675,384.64,381.07,383.495,364.73,8711
2021-09-16,385.78,385.88,381.91,381.91,363.22,18021
2021-09-17,382.875,383.79,374.87,378.31,359.8,18409
2021-09-20,371.24,376.695,369.64,374.09,355.79,7838
2021-09-21,375.96,376.74,370.635,371.44,353.26,9362
2021-09-22,375.32,375.77,370.02,373.86,355.57,5882
2021-09-23,375.05,375.64,373.015,373.62,355.34,10142
2021-09-24,372.99,375.73,372.13,372.33,354.11,31766
2021-09-27,369.42,373.085,368.635,369.99,351.89,21573
2021-09-28,380.0,387.0,376.18,383.17,364.42,27093
2021-09-29,391.33,397.38,390.82,394.36,375.06,16056
2021-09-30,399.68,399.83,395.07,395.54,376.19,13326
2021-10-01,396.67,396.67,389.42,394.27,374.98,11222
2021-10-04,395.86,398.375,389.31,396.77,377.36,16582
2021-10-05,399.88,404.25,396.05,396.48,377.08,13549
2021-10-06,395.92,395.92,392.57,394.48,375.18,12221
2021-10-07,399.25,401.39,396.0,401.39,381.75,17524
2021-10-08,401.47,402.62,396.87,401.15,381.52,11374
2021-10-11,400.26,408.5,400.26,405.63,385.78,5364
2021-10-12,407.21,413.78,405.17,411.215,391.09,10741
2021-10-13,412.54,414.22,408.06,409.77,389.72,10395
2021-10-14,414.185,415.36,413.64,414.08,393.82,5409
2021-10-15,416.355,416.96,414.62,414.77,394.47,5468
