date,open,high,low,close,adj_close,volume
2021-06-09,28.41,28.855,28.33,28.605,25.77,220289
2021-06-10,28.78,28.895,28.46,28.64,25.8,130057
2021-06-11,28.71,28.72,28.41,28.59,25.75,129135
2021-06-14,28.61,28.61,28.185,28.46,25.64,111526
2021-06-15,28.485,28.55,27.905,27.985,25.21,98371
2021-06-16,27.87,28.1,27.53,27.77,25.02,109547
2021-06-17,27.715,27.825,27.335,27.525,24.8,88402
2021-06-18,27.34,27.43,26.67,26.82,24.16,182352
2021-06-21,27.09,27.385,27.05,27.365,24.65,176515
2021-06-22,27.28,27.28,26.955,27.11,24.42,114197
2021-06-23,27.12,27.43,27.05,27.235,24.53,289531
2021-06-24,27.365,27.59,27.28,27.365,24.65,147156
2021-06-25,27.25,27.35,26.81,26.99,24.31,118853
2021-06-28,27.09,27.135,26.725,27.05,24.37,168997
2021-06-29,27.06,27.51,27.04,27.4,24.68,124939
2021-06-30,27.35,27.465,27.11,27.21,24.51,79026
2021-07-01,27.3,27.49,27.16,27.185,24.49,86145
2021-07-02,27.22,27.405,27.135,27.185,24.49,97642
2021-07-06,27.36,27.92,27.23,27.735,24.98,181698
2021-07-07,27.78,28.08,27.545,27.82,25.06,150572
2021-07-08,27.62,27.675,27.135,27.17,24.48,67738
2021-07-09,27.28,27.72,27.265,27.655,24.91,100617
2021-07-12,27.54,27.695,27.275,27.28,24.57,70636
2021-07-13,27.38,27.505,27.155,27.19,24.49,71356
2021-07-14,27.37,27.76,26.1,26.9,24.23,257793
2021-07-15,26.3,26.37,25.425,25.855,23.29,312177
2021-07-16,26.02,26.33,25.985,25.995,23.42,201877
2021-07-19,25.9,26.245,25.86,26.045,23.46,78693
2021-07-20,26.08,26.15,25.75,25.795,23.24,134909
2021-07-21,25.8,25.8,25.4,25.605,23.07,95873
2021-07-22,25.71,25.915,25.45,25.72,23.17,114855
2021-07-23,25.9,25.9,25.5,25.775,23.22,83940
2021-07-26,25.8,25.925,25.63,25.675,23.13,57781
2021-07-27,25.68,25.68,25.27,25.48,22.95,87862
2021-07-28,25.05,25.68,24.9,25.27,22.76,186560
2021-07-29,25.04,25.325,24.6,24.615,22.17,155190
2021-07-30,24.655,24.9,24.545,24.825,22.36,121307
2021-08-02,24.85,24.85,24.595,24.6,22.16,58367
2021-08-03,24.77,24.945,24.4,24.48,22.05,97253
2021-08-04,24.445,24.51,24.01,24.22,21.82,110817
2021-08-05,24.26,24.4,23.675,23.985,21.61,373201
2021-08-06,23.905,24.23,23.865,23.985,21.61,146055
2021-08-09,24.01,24.26,23.8,23.9,21.53,55252
2021-08-10,23.93,24.33,23.82,24.145,21.75,101832
2021-08-11,25.76,26.58,25.76,26.25,23.65,505326
2021-08-12,25.96,26.71,25.955,26.09,23.5,354885
2021-08-13,26.09,26.42,25.95,26.29,23.68,175682
2021-08-16,26.24,26.24,25.82,25.89,23.32,114405
2021-08-17,25.71,26.035,25.7,25.97,23.39,157581
2021-08-18,25.76,25.87,25.66,25.715,23.17,109304
2021-08-19,25.67,26.025,25.53,25.81,23.25,188266
2021-08-20,25.67,25.835,25.54,25.76,23.32,261340
2021-08-23,25.67,26.15,25.67,25.985,23.52,147224
2021-08-24,26.0,26.49,25.885,26.46,23.95,69345
2021-08-25,26.77,26.845,26.345,26.69,24.16,76145
2021-08-26,26.575,26.995,26.56,26.715,24.18,77530
2021-08-27,26.73,26.84,26.435,26.765,24.23,34842
2021-08-30,26.85,26.89,26.625,26.79,24.25,37407
2021-08-31,26.71,26.915,26.48,26.57,24.05,88881
2021-09-01,26.75,26.81,26.31,26.74,24.21,70253
2021-09-02,26.69,27.16,26.62,27.15,24.58,103082
2021-09-03,27.06,27.455,27.01,27.29,24.7,104338
2021-09-07,27.155,27.17,26.895,27.145,24.57,113516
2021-09-08,27.04,27.515,26.94,27.415,24.82,240260
