date,open,high,low,close,adj_close,volume
2021-06-09,96.8,96.8,95.34,95.435,78.09,17581
2021-06-10,95.66,96.48,95.47,96.24,78.74,25305
2021-06-11,96.495,97.62,96.1,97.425,79.71,21072
2021-06-14,97.055,97.055,94.975,95.39,78.05,30296
2021-06-15,94.985,95.295,94.5,95.13,77.84,22312
2021-06-16,94.74,94.74,93.63,94.0,76.91,65333
2021-06-17,93.92,94.08,90.89,91.87,75.17,65511
2021-06-18,91.235,91.92,90.63,91.02,74.47,45207
2021-06-21,91.185,92.69,90.81,92.11,75.37,43455
2021-06-22,92.155,93.18,91.05,92.965,76.07,40907
2021-06-23,92.93,93.34,92.59,92.73,75.87,40119
2021-06-24,93.37,93.765,92.915,93.14,76.21,33195
2021-06-25,93.135,93.66,92.84,93.515,76.52,46578
2021-06-28,93.97,94.49,93.38,93.58,76.57,38216
2021-06-29,94.21,94.575,93.545,93.98,76.9,44989
2021-06-30,94.27,94.57,93.71,94.57,77.38,49704
2021-07-01,95.02,95.63,94.94,95.33,78.0,20817
2021-07-02,95.63,96.79,95.61,96.69,79.11,23098
2021-07-06,96.35,96.65,94.61,95.69,78.29,26159
2021-07-07,95.99,97.1,95.755,96.94,79.32,14001
2021-07-08,96.305,97.18,95.62,96.81,79.21,30732
2021-07-09,97.53,98.21,97.525,97.94,80.14,17731
2021-07-12,97.59,98.215,97.28,98.14,80.3,15061
2021-07-13,98.11,98.29,97.275,97.57,79.83,30907
2021-07-14,97.64,98.41,97.37,97.84,80.05,29459
2021-07-15,97.72,97.72,94.53,94.79,77.56,73832
2021-07-16,94.38,94.805,93.73,94.09,76.99,21107
2021-07-19,92.9,93.0,90.82,91.76,75.08,36899
2021-07-20,92.32,94.335,92.32,93.985,76.9,20764
2021-07-21,94.97,95.115,93.875,94.2,77.08,16206
2021-07-22,94.07,94.07,92.9,93.21,76.27,25350
2021-07-23,93.33,93.33,91.76,92.44,75.64,48154
2021-07-26,98.0,104.85,97.24,103.71,84.86,144794
2021-07-27,102.69,103.4,100.4,101.425,82.99,48901
2021-07-28,101.52,102.67,99.75,99.83,81.68,116139
2021-07-29,100.12,100.745,99.53,100.53,82.26,50237
2021-07-30,99.475,101.48,99.21,99.42,81.9,48653
2021-08-02,99.81,101.51,99.51,99.61,82.06,40820
2021-08-03,100.18,100.87,98.88,100.35,82.67,61998
2021-08-04,100.29,100.78,99.17,99.61,82.06,21866
2021-08-05,99.625,99.665,98.49,99.08,81.62,18583
2021-08-06,99.87,99.87,97.775,97.99,80.72,14879
2021-08-09,98.18,98.94,98.095,98.2,80.9,21735
2021-08-10,98.24,98.92,98.09,98.66,81.27,16714
2021-08-11,97.73,99.05,97.73,98.71,81.32,23751
2021-08-12,98.55,99.34,98.45,99.11,81.65,34114
2021-08-13,99.325,100.26,99.325,100.26,82.59,17139
2021-08-16,99.58,100.69,99.525,100.01,82.39,14844
2021-08-17,99.09,99.12,96.28,97.2,80.07,20150
2021-08-18,97.11,97.115,95.91,95.91,79.01,22142
2021-08-19,95.4,97.25,94.42,94.755,78.06,21190
2021-08-20,95.195,96.19,94.98,95.86,78.97,19273
2021-08-23,96.39,97.55,96.185,97.21,80.08,11073
2021-08-24,97.31,98.445,97.065,97.65,80.44,18632
2021-08-25,97.805,98.8,97.805,98.45,81.1,12731
2021-08-26,98.31,98.85,97.795,98.01,80.74,21524
2021-08-27,97.65,98.85,97.57,98.39,81.05,13228
2021-08-30,99.14,99.5,98.33,98.36,81.03,11045
2021-08-31,98.52,98.73,97.77,98.33,81.0,33632
2021-09-01,98.33,99.76,98.055,98.83,81.41,23869
2021-09-02,99.22,99.3,98.58,98.92,81.49,6314
2021-09-03,98.92,99.38,98.66,99.31,81.81,8108
2021-09-07,99.79,100.89,99.49,100.22,82.56,22447
2021-09-08,100.18,100.47,97.93,98.13,80.84,30934
2021-09-09,98.51,99.0,97.73,98.05,80.77,15790
2021-09-10,97.845,98.985,97.8,98.07,80.79,22415
2021-09-13,97.805,98.62,97.2,97.52,80.34,19894
2021-09-14,97.23,97.7,96.785,97.49,80.31,14862
2021-09-15,96.975,98.63,96.88,98.59,81.22,17268
2021-09-16,97.96,98.93,97.89,98.74,81.34,22151
2021-09-17,98.39,98.63,96.53,97.52,80.34,25177
2021-09-20,96.29,97.28,94.91,95.6,78.75,29010
2021-09-21,96.11,96.19,92.92,93.025,76.63,54066
2021-09-22,92.92,94.355,91.59,94.35,77.72,26107
