date,open,high,low,close,adj_close,volume
2021-06-09,66.635,68.14,65.17,65.17,15.85,169988
2021-06-10,65.725,66.085,64.68,65.53,15.94,53714
2021-06-11,65.7,66.02,64.83,65.47,15.93,64583
2021-06-14,65.78,65.78,64.33,64.52,15.7,65571
2021-06-15,64.69,65.27,64.27,64.76,15.76,48350
2021-06-16,64.59,65.62,64.075,65.52,15.94,65764
2021-06-17,65.43,66.37,64.62,65.0,15.81,91895
2021-06-18,64.18,64.615,63.12,63.25,15.39,59710
2021-06-21,63.91,64.19,63.1,64.06,15.58,46036
2021-06-22,63.75,64.6,63.56,64.15,15.61,35940
2021-06-23,64.33,65.38,64.28,65.07,15.83,52352
2021-06-24,65.305,65.62,64.81,65.57,15.95,34740
2021-06-25,65.825,66.89,65.67,66.62,16.21,30743
2021-06-28,66.81,66.81,64.99,65.37,15.9,57309
2021-06-29,65.925,66.38,65.7,66.21,16.11,37437
2021-06-30,65.77,66.065,65.26,65.71,15.99,64785
2021-07-01,66.33,67.025,65.82,66.25,16.12,50969
2021-07-02,66.04,66.2,65.21,65.58,15.95,54176
2021-07-06,65.34,65.34,63.705,64.54,15.7,30687
2021-07-07,65.08,65.08,63.75,64.37,15.66,25137
2021-07-08,63.005,64.0,62.58,63.41,15.43,37868
2021-07-09,64.34,65.51,64.01,65.335,15.9,60099
2021-07-12,65.09,65.725,64.81,64.93,15.8,50757
2021-07-13,64.35,64.56,63.67,64.38,15.66,27549
2021-07-14,64.88,65.13,63.43,63.82,15.53,31964
2021-07-15,63.68,64.36,63.34,63.81,15.52,22853
2021-07-16,63.62,64.0,62.94,63.0,15.33,33084
2021-07-19,62.13,63.15,61.66,61.99,15.08,39956
2021-07-20,62.68,63.8,62.68,62.86,15.29,27906
2021-07-21,62.365,63.495,61.565,63.205,15.38,35357
2021-07-22,62.73,63.07,61.195,61.29,14.91,111849
2021-07-23,61.32,61.61,60.81,60.83,14.8,29864
2021-07-26,60.63,61.27,60.29,60.64,14.75,40283
2021-07-27,60.385,60.71,59.775,60.48,14.71,48805
2021-07-28,60.47,62.03,60.19,61.65,15.0,31252
2021-07-29,61.36,62.455,61.13,62.36,15.17,24559
2021-07-30,62.6,63.275,61.64,61.84,15.04,20571
2021-08-02,62.19,63.19,62.19,62.89,15.3,37014
2021-08-03,62.775,62.775,61.04,61.29,14.91,19305
2021-08-04,61.0,62.41,60.52,61.95,15.07,24750
2021-08-05,62.44,62.76,61.98,62.46,15.2,18814
2021-08-06,62.65,63.56,62.31,63.54,15.46,21224
2021-08-09,63.19,64.21,63.05,63.85,15.53,14284
2021-08-10,63.825,64.165,62.97,63.81,15.52,53660
2021-08-11,63.8,64.235,63.295,63.9,15.55,28077
2021-08-12,63.94,63.94,63.07,63.49,15.45,29040
2021-08-13,62.815,63.49,62.505,63.2,15.38,15418
2021-08-16,61.85,62.64,61.72,62.58,15.22,20110
2021-08-17,61.86,62.0,61.1,61.71,15.01,15012
2021-08-18,61.54,62.51,61.27,61.71,15.01,24532
2021-08-19,61.07,61.615,60.315,60.875,14.81,20027
2021-08-20,60.63,62.03,60.37,61.98,15.08,18846
2021-08-23,62.56,62.645,62.1,62.38,15.18,21573
2021-08-24,62.19,63.19,62.19,63.06,15.34,19781
2021-08-25,63.51,64.15,63.09,64.04,15.58,20590
2021-08-26,63.91,64.04,63.73,63.77,15.51,19038
2021-08-27,64.34,65.29,64.33,65.26,15.88,27902
2021-08-30,65.0,65.0,64.355,64.46,15.68,26187
2021-08-31,64.355,64.8,64.15,64.69,15.76,23786
2021-09-01,64.83,65.67,64.26,65.37,15.93,32907
2021-09-02,65.16,65.16,64.23,64.62,15.75,24431
2021-09-03,64.79,65.29,64.5,64.505,15.72,17965
2021-09-07,64.64,65.1,64.42,64.64,15.75,33444
2021-09-08,64.6,64.6,62.95,63.055,15.36,24914
2021-09-09,62.975,64.01,62.8,63.17,15.39,23005
2021-09-10,63.05,63.21,62.55,62.86,15.32,22453
2021-09-13,62.85,63.1,61.94,62.18,15.15,34801
2021-09-14,62.15,62.27,61.08,61.42,14.97,26137
2021-09-15,61.14,62.3,61.14,61.65,15.02,26675
