date,open,high,low,close,adj_close,volume
2021-06-09,144.66,147.35,144.66,147.1,128.63,34179
2021-06-10,147.61,148.03,147.075,147.75,129.2,60355
2021-06-11,148.25,148.28,145.68,147.81,129.25,49535
2021-06-14,147.49,147.885,146.62,147.8,129.24,36147
2021-06-15,148.09,148.09,146.4,147.13,128.66,54968
2021-06-16,147.34,148.14,146.645,147.31,128.82,46612
2021-06-17,147.87,148.03,144.74,145.73,127.43,41596
2021-06-18,143.69,145.53,143.69,144.98,126.78,41754
2021-06-21,146.24,148.56,145.97,148.45,129.81,32276
2021-06-22,148.64,149.73,147.575,149.16,130.43,35629
2021-06-23,148.89,150.03,148.39,148.51,129.86,33203
2021-06-24,148.01,148.99,147.29,148.42,130.46,34530
2021-06-25,148.75,149.92,148.58,148.79,130.79,18968
2021-06-28,149.0,149.26,147.86,148.89,130.88,30465
2021-06-29,149.06,149.96,148.22,148.73,130.73,23203
2021-06-30,148.155,149.56,147.58,149.44,131.36,42478
2021-07-01,149.88,150.14,149.295,149.355,131.28,40943
2021-07-02,148.715,150.03,148.63,150.0,131.85,41976
2021-07-06,149.72,149.785,147.31,147.93,130.03,42122
2021-07-07,147.97,149.04,146.8,148.72,130.73,27096
2021-07-08,147.07,147.865,146.385,147.79,129.91,38098
2021-07-09,149.47,149.615,147.08,147.71,129.84,68206
2021-07-12,147.13,149.03,147.04,148.6,130.62,63912
2021-07-13,148.24,148.24,144.59,145.37,127.78,101849
2021-07-14,145.155,145.555,144.2,144.79,127.27,99335
2021-07-15,144.455,145.64,143.365,143.99,126.57,62089
2021-07-16,144.27,144.83,142.78,143.42,126.07,58398
2021-07-19,141.095,142.695,139.67,140.03,123.09,80741
2021-07-20,140.905,144.34,140.84,143.79,126.39,41428
2021-07-21,144.44,145.28,143.78,144.97,127.43,24849
2021-07-22,144.98,146.495,144.19,145.98,128.32,24536
2021-07-23,146.59,148.43,145.855,148.36,130.41,24699
2021-07-26,148.33,149.2,147.91,148.73,130.73,29855
2021-07-27,148.28,149.23,147.39,149.21,131.16,34054
2021-07-28,149.375,149.375,147.63,148.48,130.52,34988
2021-07-29,148.945,150.07,148.785,149.2,131.15,28240
2021-07-30,149.9,150.74,148.99,150.67,132.44,26535
2021-08-02,151.45,151.96,149.47,149.58,131.48,44497
2021-08-03,149.465,150.45,148.59,149.99,131.84,37676
2021-08-04,149.02,149.89,147.77,147.77,129.89,88267
2021-08-05,148.68,149.73,147.775,148.12,130.2,73201
2021-08-06,148.27,151.54,147.5,151.205,132.91,125628
2021-08-09,151.86,153.79,150.7,153.67,135.08,85973
2021-08-10,153.975,156.485,153.92,156.39,137.47,88889
2021-08-11,156.54,157.03,155.94,156.8,137.83,74005
2021-08-12,156.435,156.51,155.33,156.15,137.26,25198
2021-08-13,156.04,157.06,155.6,156.75,137.78,37698
2021-08-16,155.66,156.24,154.8,155.59,136.76,108730
2021-08-17,154.78,155.68,153.42,154.89,136.15,58852
2021-08-18,153.87,154.415,151.44,151.47,133.14,48815
2021-08-19,150.17,151.245,149.29,149.35,131.28,101167
2021-08-20,148.48,150.0,148.48,149.72,131.61,49300
2021-08-23,150.06,150.5,149.225,150.195,132.02,66990
2021-08-24,150.405,152.06,150.405,151.31,133.0,73466
2021-08-25,150.33,152.38,150.27,151.67,133.32,27956
2021-08-26,150.49,151.7,150.37,150.99,132.72,30767
2021-08-27,151.34,152.405,150.56,151.81,133.44,27464
2021-08-30,152.08,152.08,151.035,151.2,132.91,18324
2021-08-31,150.33,151.81,149.95,151.48,133.15,22874
2021-09-01,151.33,151.525,150.14,150.43,132.23,21774
2021-09-02,150.95,151.9,150.49,151.4,133.08,31352
2021-09-03,150.65,152.24,149.98,150.95,132.69,36825
2021-09-07,150.335,150.64,148.44,150.095,131.93,45188
2021-09-08,149.09,151.11,148.91,150.99,132.72,22811
2021-09-09,150.41,152.24,150.3,150.89,132.63,39309
2021-09-10,150.71,150.71,147.42,147.545,129.69,75587
2021-09-13,148.635,148.83,145.89,147.61,129.75,45772
2021-09-14,146.56,147.24,143.29,143.74,126.35,44397
2021-09-15,143.88,145.13,143.59,144.34,126.88,33360
2021-09-16,143.26,144.88,142.96,143.12,125.8,28538
2021-09-17,141.935,142.025,134.69,135.185,118.83,167132
