date,open,high,low,close,adj_close,volume
2021-06-09,260.69,261.19,259.06,259.21,206.11,36984
2021-06-10,259.76,262.52,259.75,261.19,207.69,20517
2021-06-11,260.99,262.185,257.3,258.43,205.49,31877
2021-06-14,258.21,260.17,257.26,259.88,206.64,29163
2021-06-15,260.18,262.11,259.44,260.64,207.25,43518
2021-06-16,260.34,260.59,258.145,259.15,206.06,34519
2021-06-17,259.68,260.65,257.88,260.3,206.98,33749
2021-06-18,259.625,261.275,259.58,259.98,206.72,33553
2021-06-21,261.07,266.13,260.51,265.18,210.86,43092
2021-06-22,266.23,267.72,265.36,267.32,212.56,34514
2021-06-23,266.175,266.775,263.69,263.79,209.75,77011
2021-06-24,264.24,266.26,263.15,265.01,210.72,60703
2021-06-25,266.11,269.74,265.41,267.19,212.46,38631
2021-06-28,267.42,270.34,266.57,270.28,214.91,68127
2021-06-29,271.535,276.79,270.82,275.98,219.45,61704
2021-06-30,276.42,276.45,272.27,275.8,219.3,43950
2021-07-01,275.98,278.46,275.91,277.94,221.01,30677
2021-07-02,277.91,278.73,277.0,277.94,221.01,16861
2021-07-06,277.875,278.98,275.18,278.44,221.4,39598
2021-07-07,278.78,281.19,277.6,281.19,223.59,28867
2021-07-08,279.15,280.23,275.76,277.26,220.46,30822
2021-07-09,279.36,281.24,277.84,281.18,223.58,29380
2021-07-12,281.13,284.06,280.7,281.45,223.8,47070
2021-07-13,280.495,281.91,279.15,279.66,222.37,28526
2021-07-14,279.675,280.69,274.71,277.19,220.41,33325
2021-07-15,276.01,277.71,275.155,276.99,220.25,35279
2021-07-16,277.19,278.61,275.12,276.67,220.0,64193
2021-07-19,274.41,276.915,271.58,274.87,218.56,38454
2021-07-20,274.92,279.33,274.92,276.66,219.99,33715
2021-07-21,277.75,277.75,273.83,277.545,220.69,31677
2021-07-22,276.15,281.26,275.87,281.11,223.53,43585
2021-07-23,282.66,285.74,282.56,283.85,225.7,48122
2021-07-26,285.57,285.57,281.0,281.45,223.8,24116
2021-07-27,279.895,283.22,279.85,283.22,225.2,32160
2021-07-28,282.415,284.28,279.97,283.6,225.51,34214
2021-07-29,285.75,296.1,284.275,294.69,234.32,84677
2021-07-30,298.285,298.7,295.29,296.35,235.64,32240
2021-08-02,296.73,299.605,294.94,297.7,236.72,59777
2021-08-03,298.77,300.06,295.0,300.02,238.56,57113
2021-08-04,300.35,304.33,299.44,300.0,238.55,62122
2021-08-05,301.755,303.025,296.35,298.77,237.57,30110
2021-08-06,298.495,300.65,295.63,298.3,237.19,44791
2021-08-09,298.37,301.17,298.37,301.02,239.36,14081
2021-08-10,300.515,303.96,299.955,301.54,239.77,36684
2021-08-11,302.02,302.13,299.85,300.04,238.58,11840
2021-08-12,300.43,301.2,298.12,300.45,238.9,79602
2021-08-13,300.73,303.01,298.68,302.05,240.18,56811
2021-08-16,302.51,307.53,302.51,306.04,243.35,70214
2021-08-17,305.47,306.78,304.525,305.51,242.93,15242
2021-08-18,304.92,306.45,300.255,300.505,238.95,20560
2021-08-19,298.24,303.295,298.24,302.47,240.51,15375
2021-08-20,306.09,307.27,305.61,306.15,243.44,30172
2021-08-23,306.24,306.24,303.61,303.61,241.42,16823
2021-08-24,303.51,303.51,298.85,302.35,240.42,40214
2021-08-25,302.335,304.44,300.98,304.24,241.92,11270
2021-08-26,303.04,303.04,301.0,301.71,239.91,31155
2021-08-27,301.13,302.335,300.0,300.25,238.75,21572
2021-08-30,300.26,304.06,300.09,303.115,241.02,19911
2021-08-31,302.88,307.18,302.69,303.27,241.15,48801
2021-09-01,300.96,305.08,299.445,305.08,242.59,38532
2021-09-02,306.34,309.21,306.34,308.44,245.26,27830
2021-09-03,307.68,307.68,303.11,306.65,243.83,47719
2021-09-07,303.765,304.01,298.04,303.47,241.31,77581
2021-09-08,304.22,307.39,301.965,307.11,244.2,58731
2021-09-09,307.97,309.51,302.69,303.07,240.99,45015
2021-09-10,305.0,305.0,300.82,301.04,239.37,42031
2021-09-13,301.5,301.5,295.77,297.5,236.56,41390
2021-09-14,299.95,300.02,296.475,296.78,235.99,32166
2021-09-15,296.28,300.73,295.99,299.615,238.24,84231
2021-09-16,298.9,299.64,296.615,296.825,236.02,41185
2021-09-17,294.85,297.48,294.74,295.85,235.25,29908
2021-09-20,292.47,297.23,291.58,293.83,233.64,47645
2021-09-21,295.64,296.45,293.65,294.02,233.79,34109
2021-09-22,295.47,295.93,290.67,291.47,231.76,40321
