date,open,high,low,close,adj_close,volume
2021-06-09,335.75,336.76,330.04,330.16,327.59,420756
2021-06-10,330.44,333.92,328.58,332.45,329.86,446354
2021-06-11,332.58,332.77,328.95,331.25,328.67,333249
2021-06-14,331.42,336.735,329.82,336.68,334.06,383645
2021-06-15,337.21,339.89,335.09,336.94,334.32,504103
2021-06-16,336.94,337.54,328.8,330.76,328.18,693522
2021-06-17,330.3,337.94,330.28,336.4,333.78,582381
2021-06-18,334.35,336.025,329.135,329.475,326.91,561861
2021-06-21,331.06,332.89,327.65,332.45,329.86,408757
2021-06-22,332.61,339.88,332.61,339.17,336.53,448788
2021-06-23,339.12,343.38,338.25,340.54,337.89,505374
2021-06-24,341.89,344.89,341.83,343.12,340.45,417317
2021-06-25,342.41,343.71,339.73,341.18,338.52,381116
2021-06-28,342.46,358.1,341.82,355.76,352.99,984260
2021-06-29,356.45,356.71,349.05,351.845,349.11,582206
2021-06-30,351.81,352.8,347.21,347.775,345.07,473253
2021-07-01,346.52,354.6,346.52,354.51,351.75,625998
2021-07-02,355.08,356.38,352.7,354.66,351.9,294853
2021-07-06,356.75,358.62,349.21,352.75,350.0,424961
2021-07-07,355.145,356.48,350.03,350.445,347.72,357021
2021-07-08,345.69,348.26,342.58,345.69,343.0,472549
2021-07-09,345.64,350.67,345.5,350.38,347.65,543132
2021-07-12,350.89,354.11,349.66,353.0,350.25,351934
2021-07-13,351.8,355.24,348.86,351.77,349.03,312830
2021-07-14,354.69,355.03,346.73,347.47,344.76,584714
2021-07-15,349.12,349.12,340.3,344.29,341.61,525702
2021-07-16,344.92,345.92,340.14,341.1,338.44,493051
2021-07-19,337.57,339.76,334.57,336.74,334.12,614490
2021-07-20,338.56,343.41,334.55,341.83,339.17,438839
2021-07-21,341.66,346.5,341.32,346.27,343.57,295991
2021-07-22,346.68,351.495,345.25,351.01,348.28,630431
2021-07-23,360.72,375.275,357.25,369.825,366.95,1215773
2021-07-26,369.5,374.415,368.38,372.5,369.6,717871
2021-07-27,371.9,373.095,364.65,367.78,364.92,424474
2021-07-28,374.49,377.45,367.15,373.38,370.47,1077626
2021-07-29,361.05,365.38,356.75,358.39,355.6,1179542
2021-07-30,353.99,360.665,353.01,356.39,353.62,511221
2021-08-02,358.15,359.29,350.76,351.92,349.18,1272849
2021-08-03,352.74,353.74,347.74,351.22,348.49,323461
2021-08-04,352.6,360.45,351.52,359.05,356.25,420161
2021-08-05,359.71,363.89,357.0,363.07,360.24,294193
2021-08-06,361.395,365.06,361.395,363.425,360.6,273731
2021-08-09,363.58,365.63,360.77,361.54,358.72,236232
2021-08-10,361.83,364.02,359.05,361.18,358.37,185310
2021-08-11,362.15,362.15,357.85,359.93,357.13,246066
2021-08-12,358.9,362.99,357.14,362.72,359.9,188515
2021-08-13,362.865,364.64,361.51,363.2,360.37,165289
2021-08-16,362.86,366.94,357.5,366.61,363.76,348593
2021-08-17,362.99,364.63,355.17,358.5,355.71,308989
2021-08-18,356.07,359.85,355.21,355.445,352.68,299468
2021-08-19,351.78,357.48,351.72,355.22,352.45,410339
2021-08-20,353.9,359.97,353.57,359.31,356.51,255339
2021-08-23,359.46,365.69,359.17,363.16,360.33,281540
2021-08-24,363.87,367.905,361.9,365.4,362.55,226368
2021-08-25,365.6,370.825,365.48,368.4,365.53,323722
2021-08-26,368.17,369.35,364.14,364.47,361.63,220534
2021-08-27,365.42,373.66,364.13,372.59,369.69,310144
2021-08-30,372.34,381.445,370.89,380.56,377.6,285178
2021-08-31,379.92,382.635,378.87,379.45,376.5,356978
2021-09-01,379.36,384.25,378.89,382.12,379.14,334371
2021-09-02,381.29,381.395,374.12,375.22,372.3,499453
2021-09-03,374.67,377.12,373.13,376.25,373.32,209498
2021-09-07,376.03,382.93,373.21,382.2,379.22,377675
2021-09-08,380.1,380.77,374.86,377.59,374.65,821246
2021-09-09,377.675,379.78,376.565,377.92,374.98,296697
2021-09-10,381.285,383.76,378.405,378.94,375.99,299623
2021-09-13,381.68,381.68,374.405,376.51,373.58,454832
2021-09-14,377.535,378.54,375.2,376.57,373.64,306427
2021-09-15,377.0,377.475,367.75,373.89,370.98,910534
2021-09-16,373.09,373.51,369.755,373.08,370.18,564424
2021-09-17,371.0,371.06,361.605,364.69,361.85,851343
2021-09-20,359.46,361.0,350.0,355.69,352.92,743416
2021-09-21,358.56,360.03,355.49,357.15,354.37,360877
2021-09-22,346.96,349.79,340.705,343.15,340.48,2061537
2021-09-23,345.265,349.575,343.04,345.925,343.23,799507
2021-09-24,343.17,354.335,342.57,353.01,350.26,614044
2021-09-27,349.91,355.11,347.16,353.54,350.79,502167
2021-09-28,347.62,349.32,338.92,340.66,338.01,928941
2021-09-29,342.98,345.15,338.905,339.62,336.98,444599
2021-09-30,340.67,342.72,338.315,339.25,336.61,416327
2021-10-01,341.795,344.94,338.68,342.78,340.11,457339
2021-10-04,335.32,335.835,322.72,326.43,323.89,1758192
2021-10-05,328.8,335.135,326.305,332.9,330.31,780249
2021-10-06,329.15,334.36,325.89,333.59,330.99,824482
2021-10-07,337.16,338.77,329.045,329.09,326.53,2207019
2021-10-08,331.405,333.27,328.8,329.95,327.38,611990
2021-10-11,327.315,330.44,325.33,325.38,322.85,660001
2021-10-12,322.575,324.32,317.46,323.79,321.27,1117865
2021-10-13,326.78,326.87,322.735,324.58,322.05,366104
2021-10-14,328.66,329.88,327.26,328.48,325.92,344472
2021-10-15,328.695,329.02,322.52,324.87,322.34,826675
2021-10-18,328.77,335.87,327.68,335.34,332.73,572870
2021-10-19,340.0,342.38,337.315,340.04,337.39,455743
2021-10-20,343.675,343.94,339.51,340.78,338.13,510068
2021-10-21,340.205,342.3,337.81,341.89,339.23,370900
2021-10-22,326.24,329.6,321.13,324.69,322.16,1533819
2021-10-25,320.3,329.52,319.84,328.895,326.33,1070351
2021-10-26,328.62,330.17,309.77,315.67,313.21,2703914
2021-10-27,313.82,319.195,312.065,312.265,309.83,1137583
2021-10-28,312.99,325.38,308.16,317.005,314.54,1948399
2021-10-29,320.44,325.85,319.66,323.44,320.92,759475
2021-11-01,326.24,333.38,326.13,329.995,327.43,1066598
2021-11-02,331.505,334.77,323.87,328.15,325.59,865596
2021-11-03,327.49,332.14,323.24,331.69,329.11,590737
2021-11-04,333.85,337.23,332.69,335.96,333.34,718822
2021-11-05,340.605,346.69,339.68,341.13,338.47,820997
2021-11-08,344.67,344.67,338.35,338.35,335.72,638361
2021-11-09,339.87,341.26,334.59,335.37,332.76,641194
2021-11-10,332.23,333.02,325.55,327.68,325.13,965631
2021-11-11,329.82,332.33,327.02,327.66,325.11,433048
2021-11-12,329.94,341.77,329.91,340.99,338.33,654757
2021-11-15,344.55,353.61,343.25,347.73,345.02,721473
2021-11-16,343.56,346.5,340.94,342.675,340.01,495320
2021-11-17,343.91,347.01,340.12,340.79,338.14,474815
2021-11-18,339.32,342.39,336.22,338.76,336.12,458434
2021-11-19,342.2,352.02,339.97,345.22,342.53,699695
2021-11-22,349.23,353.8,340.57,341.11,338.45,758387
2021-11-23,338.71,341.2,333.5,337.4,334.77,458175
2021-11-24,336.105,341.68,332.85,341.23,338.57,338654
2021-11-26,335.7,337.36,331.92,333.39,330.79,311612
2021-11-29,336.86,340.65,335.33,337.87,335.24,448076
2021-11-30,335.18,335.67,323.51,324.41,321.88,536526
2021-12-01,330.375,330.375,310.49,310.5,308.08,1282179
2021-12-02,311.16,314.52,307.21,310.59,308.17,939903
2021-12-03,313.62,313.64,299.52,307.02,304.63,977791
2021-12-06,308.0,319.95,306.34,317.82,315.35,739406
2021-12-07,321.655,326.51,321.12,322.94,320.43,643488
2021-12-08,324.82,332.71,323.32,330.66,328.09,508172
2021-12-09,329.3,336.07,328.12,329.8,327.23,567569
2021-12-10,332.61,334.96,326.53,329.75,327.18,348215
2021-12-13,330.95,340.99,329.75,334.32,331.72,784517
2021-12-14,328.035,335.63,327.92,333.9,331.3,498065
2021-12-15,332.76,342.1,325.8,341.65,338.99,724721
2021-12-16,339.36,344.335,333.85,334.6,331.99,798374
2021-12-17,332.795,337.02,330.98,333.95,331.35,806933
2021-12-20,329.75,329.75,322.6,325.62,323.08,643815
2021-12-21,326.28,336.0,323.82,334.36,331.76,421340
2021-12-22,333.09,334.46,328.32,330.54,327.97,766449
2021-12-23,330.26,336.62,328.46,335.27,332.66,297758
2021-12-27,338.78,347.84,338.1,346.19,343.49,503928
2021-12-28,346.815,352.61,345.23,346.44,343.74,506912
2021-12-29,346.6,349.41,341.68,343.05,340.38,303528
2021-12-30,344.34,347.18,343.27,344.5,341.82,272281
2021-12-31,343.02,343.4,336.27,336.29,333.67,313604
2022-01-03,338.55,341.05,337.31,338.57,335.93,489162
2022-01-04,339.45,343.02,331.9,336.5,333.88,497473
2022-01-05,333.02,335.635,323.875,324.24,321.72,741128
2022-01-06,322.8,339.11,322.72,332.48,329.89,979548
2022-01-07,332.7,336.98,328.89,331.66,329.08,566021
2022-01-10,325.29,328.33,315.5,327.93,325.38,939143
2022-01-11,326.81,334.61,325.56,334.46,331.86,661832
2022-01-12,335.3,336.25,330.03,333.1,330.51,415489
2022-01-13,334.99,335.53,325.78,326.77,324.23,444775
2022-01-14,321.79,332.67,321.57,331.81,329.23,502653
2022-01-18,323.29,324.02,317.88,318.13,315.65,773845
2022-01-19,319.76,327.04,319.34,319.57,317.08,549554
2022-01-20,323.46,327.77,316.01,316.67,314.2,457726
2022-01-21,315.05,318.31,303.04,303.04,300.68,1074193
2022-01-24,297.99,309.46,289.1,308.9,306.49,1775210
2022-01-25,300.015,306.11,297.6,300.0,297.66,1019229
2022-01-26,307.24,307.51,290.91,294.36,292.07,1692509
2022-01-27,297.885,301.675,294.29,294.68,292.39,912376
2022-01-28,295.64,301.83,293.08,301.54,299.19,780854
2022-01-31,300.68,313.69,299.39,313.27,310.83,799068
2022-02-01,314.44,319.64,312.34,318.96,316.48,661512
