date,open,high,low,close,adj_close,volume
2021-06-09,87.87,88.9,87.81,88.11,79.04,43553
2021-06-10,88.35,88.85,88.06,88.81,79.66,25545
2021-06-11,88.8,88.98,88.12,88.86,79.71,23526
2021-06-14,88.45,89.21,88.43,89.19,80.0,36853
2021-06-15,89.28,89.525,88.655,88.77,79.63,70875
2021-06-16,88.91,88.96,87.44,87.59,78.57,76565
2021-06-17,87.525,87.8,86.7,87.54,78.52,42417
2021-06-18,87.725,87.725,86.1,86.15,77.28,65374
2021-06-21,86.47,87.26,86.47,87.12,78.15,54803
2021-06-22,87.18,87.85,87.02,87.285,78.3,43134
2021-06-23,86.75,86.79,86.09,86.14,77.27,194595
2021-06-24,86.3,86.39,85.6,86.32,77.43,50023
2021-06-25,86.32,87.44,86.04,87.27,78.28,95647
2021-06-28,87.64,88.68,87.64,88.16,79.08,53970
2021-06-29,88.15,88.66,87.38,87.58,78.56,63778
2021-06-30,87.75,88.47,87.58,88.32,79.22,55931
2021-07-01,88.25,88.86,86.7,87.965,78.91,121959
2021-07-02,88.44,89.185,88.2,88.58,79.46,48855
2021-07-06,88.62,88.62,87.44,88.04,78.97,54514
2021-07-07,87.86,88.75,87.73,88.17,79.09,45972
2021-07-08,87.82,88.6,86.94,87.08,78.11,55003
2021-07-09,87.12,87.25,86.415,87.09,78.43,51774
2021-07-12,86.94,86.94,85.865,86.67,78.05,45132
2021-07-13,86.73,86.77,85.55,85.64,77.12,24115
2021-07-14,85.83,86.44,85.35,86.19,77.62,34534
2021-07-15,86.38,87.09,85.855,87.06,78.4,29608
2021-07-16,87.13,87.945,87.04,87.9,79.16,32156
2021-07-19,87.7,88.635,87.35,88.59,79.78,84153
2021-07-20,88.72,89.53,87.62,87.7,78.98,57007
2021-07-21,87.42,87.42,85.555,85.555,77.04,37969
2021-07-22,85.4,85.4,84.42,84.67,76.25,42083
2021-07-23,84.905,85.955,84.56,85.7,77.17,83602
2021-07-26,85.535,85.73,85.05,85.37,76.88,31102
2021-07-27,85.29,86.49,85.125,85.71,77.18,33306
2021-07-28,85.71,85.71,84.28,84.68,76.26,20137
2021-07-29,84.695,84.91,84.09,84.25,75.87,30822
2021-07-30,84.47,85.03,84.09,84.18,75.81,31244
2021-08-02,84.2,84.69,83.87,84.07,75.71,23498
2021-08-03,84.25,84.94,83.735,83.77,75.44,31879
2021-08-04,83.76,83.76,82.79,83.16,74.89,40390
2021-08-05,83.27,83.58,82.955,83.35,75.06,69738
2021-08-06,83.4,83.91,83.1,83.45,75.15,25657
2021-08-09,83.92,83.93,83.25,83.7,75.37,19718
2021-08-10,83.9,84.32,83.635,84.235,75.86,52230
2021-08-11,84.25,85.89,84.25,85.45,76.95,76752
2021-08-12,85.09,85.81,85.09,85.72,77.19,28949
2021-08-13,86.05,86.83,85.96,86.7,78.08,39084
2021-08-16,86.66,87.43,86.48,87.42,78.72,29099
2021-08-17,87.26,88.025,87.08,87.83,79.09,30940
2021-08-18,87.4,87.82,86.325,86.37,77.78,19907
2021-08-19,86.25,87.56,86.25,87.44,78.74,39247
2021-08-20,86.94,87.91,86.94,87.53,78.82,33257
2021-08-23,87.32,87.32,86.43,86.71,78.08,30571
2021-08-24,86.34,86.385,85.54,85.89,77.35,47695
2021-08-25,85.51,85.87,84.96,85.57,77.06,22554
2021-08-26,85.46,85.46,84.38,84.94,76.49,29469
2021-08-27,84.87,85.62,84.87,85.23,76.75,23333
2021-08-30,85.05,85.79,85.05,85.44,76.94,19559
2021-08-31,85.05,86.38,85.05,86.36,77.77,53694
2021-09-01,86.545,87.62,86.39,87.41,78.71,44537
2021-09-02,87.41,88.065,87.41,88.055,79.3,19969
2021-09-03,87.74,88.39,87.58,88.065,79.3,18574
2021-09-07,87.57,87.67,86.71,86.98,78.33,21781
2021-09-08,87.185,88.5,87.185,88.31,79.52,53118
2021-09-09,87.99,88.33,86.75,86.78,78.15,45145
2021-09-10,86.91,86.91,85.52,85.56,77.05,54857
2021-09-13,86.01,86.51,85.13,85.17,76.7,27009
2021-09-14,85.17,85.24,84.825,85.07,76.61,25309
2021-09-15,85.06,85.8,84.69,85.32,76.83,27666
2021-09-16,85.73,86.52,84.97,86.13,77.56,39296
2021-09-17,85.89,86.77,85.77,86.305,77.72,38720
2021-09-20,85.8,86.55,85.11,85.62,77.1,63519
2021-09-21,86.27,86.56,85.37,85.49,76.99,41594
2021-09-22,86.05,86.23,85.11,85.295,76.81,28836
2021-09-23,85.45,85.925,84.71,84.74,76.31,17248
2021-09-24,85.01,85.09,84.36,84.55,76.14,28343
2021-09-27,84.64,85.33,84.25,84.335,75.95,53183
2021-09-28,84.47,84.525,82.73,83.16,74.89,64136
