date,open,high,low,close,adj_close,volume
2021-06-09,253.85,255.52,253.21,253.455,243.24,371318
2021-06-10,253.97,257.44,253.77,257.23,246.86,529041
2021-06-11,257.89,258.48,256.62,257.85,247.46,339173
2021-06-14,257.9,259.86,256.83,259.86,249.39,377552
2021-06-15,259.82,259.96,257.71,258.285,247.88,269216
2021-06-16,259.335,260.57,254.455,257.46,247.08,482282
2021-06-17,256.03,261.73,256.03,260.88,250.37,651565
2021-06-18,259.7,262.22,258.865,259.275,248.83,720287
2021-06-21,259.93,263.49,257.96,262.83,252.24,574237
2021-06-22,262.42,265.77,262.42,265.34,254.65,384397
2021-06-23,265.93,266.78,264.44,265.2,254.51,418496
2021-06-24,266.15,267.85,265.53,266.73,255.98,440838
2021-06-25,266.45,267.175,264.77,265.07,254.39,348756
2021-06-28,265.91,268.88,265.91,268.85,258.01,426883
2021-06-29,268.72,271.6,268.03,271.45,260.51,505907
2021-06-30,270.55,271.32,269.67,271.17,260.24,435959
2021-07-01,269.79,271.77,269.66,271.77,260.82,339249
2021-07-02,272.84,277.99,272.55,277.58,266.39,454580
2021-07-06,278.0,279.28,274.37,277.64,266.45,641735
2021-07-07,279.46,280.69,278.11,280.02,268.73,596696
2021-07-08,276.79,278.72,274.91,277.25,266.08,511015
2021-07-09,275.65,277.97,275.34,277.88,266.68,414450
2021-07-12,279.25,279.63,276.59,277.28,266.1,352236
2021-07-13,277.61,282.78,277.52,281.09,269.76,353214
2021-07-14,282.42,283.575,280.57,282.61,271.22,455754
2021-07-15,282.11,282.3,279.85,281.07,269.74,418143
2021-07-16,282.07,284.07,279.54,280.68,269.37,492396
2021-07-19,279.12,280.245,275.265,277.13,265.96,686574
2021-07-20,278.07,280.96,276.3,279.23,267.98,537683
2021-07-21,278.91,281.48,278.29,281.43,270.09,320768
2021-07-22,283.945,286.41,283.5,286.14,274.61,390285
2021-07-23,287.88,289.98,286.62,289.56,277.89,492700
2021-07-26,289.02,289.69,286.69,289.115,277.46,699260
2021-07-27,289.26,289.545,282.955,286.66,275.11,951783
2021-07-28,288.97,290.15,283.95,286.23,274.69,920757
2021-07-29,286.32,288.575,286.08,286.455,274.91,492462
2021-07-30,285.09,286.58,283.91,285.05,273.56,548060
2021-08-02,286.34,286.76,283.77,284.8,273.32,369799
2021-08-03,285.5,287.15,284.24,287.1,275.53,427161
2021-08-04,285.83,287.57,284.69,286.47,274.92,541945
2021-08-05,286.99,289.6,286.16,289.5,277.83,373685
2021-08-06,288.73,289.48,287.66,289.42,277.76,325911
2021-08-09,289.8,291.55,287.81,288.47,276.84,337401
2021-08-10,288.78,289.22,285.235,286.48,274.93,312344
2021-08-11,287.215,288.48,285.86,286.965,275.4,277623
2021-08-12,286.68,289.95,286.41,289.735,278.06,296765
2021-08-13,289.36,292.89,289.31,292.88,281.08,411124
2021-08-16,293.0,294.8,290.02,294.8,282.92,454723
2021-08-17,292.39,293.38,291.09,293.22,281.4,438854
2021-08-18,291.84,294.78,290.28,290.835,279.65,512310
2021-08-19,288.76,297.455,288.73,296.84,285.42,661617
