date,open,high,low,close,adj_close,volume
2021-06-09,72.32,72.89,72.07,72.45,63.53,177529
2021-06-10,72.375,73.55,72.19,73.5,64.45,230561
2021-06-11,73.53,73.59,72.925,73.5,64.45,119438
2021-06-14,73.595,73.93,73.025,73.28,64.26,262322
2021-06-15,73.425,74.05,73.065,73.375,64.34,328600
2021-06-16,74.0,74.58,73.11,73.28,64.26,386812
2021-06-17,73.34,74.965,73.03,74.58,65.4,345065
2021-06-18,74.445,74.915,73.05,73.215,64.2,488629
2021-06-21,73.755,74.52,72.68,74.33,65.18,284279
2021-06-22,74.2,74.72,74.09,74.1,64.98,114057
2021-06-23,74.25,74.25,73.02,73.32,64.29,219728
2021-06-24,73.36,73.415,72.595,72.855,63.88,254052
2021-06-25,73.27,73.945,73.25,73.89,64.79,218336
2021-06-28,74.79,75.82,74.68,75.16,65.91,203249
2021-06-29,75.15,75.645,74.03,74.08,64.96,260171
2021-06-30,74.02,74.44,73.075,73.28,64.26,307952
2021-07-01,73.34,74.47,73.1,74.19,65.05,581509
2021-07-02,74.295,74.425,73.77,74.255,65.11,102637
2021-07-06,74.525,75.15,74.04,75.13,65.88,166838
2021-07-07,75.27,75.59,74.86,75.34,66.06,160140
2021-07-08,74.64,76.01,74.46,75.13,65.88,255295
2021-07-09,75.12,75.39,74.29,75.01,65.77,143629
2021-07-12,75.25,75.48,74.39,75.08,65.84,144030
2021-07-13,74.975,75.76,74.64,74.85,65.63,150276
2021-07-14,75.045,76.16,74.65,75.7,66.38,192876
2021-07-15,75.595,76.875,75.2,76.84,67.38,269332
2021-07-16,76.925,78.34,76.925,77.905,68.31,368305
2021-07-19,77.48,78.36,76.03,76.94,67.47,423744
2021-07-20,77.01,77.69,76.86,77.18,67.68,209935
2021-07-21,77.09,77.25,75.805,75.86,66.52,233815
2021-07-22,76.02,76.64,75.9,76.06,66.69,196426
2021-07-23,76.5,77.39,75.92,77.215,67.71,146630
2021-07-26,76.72,77.1,76.44,76.92,67.45,112971
2021-07-27,76.89,77.96,76.15,77.87,68.28,117103
2021-07-28,77.965,78.31,77.23,77.86,68.27,140586
2021-07-29,77.955,78.395,77.655,78.19,68.56,104055
2021-07-30,78.05,78.83,77.76,77.89,68.3,105100
2021-08-02,78.38,78.9,78.14,78.835,69.13,118477
2021-08-03,78.8,79.83,78.38,79.43,69.65,162061
2021-08-04,79.4,80.0,78.775,79.915,70.08,164567
2021-08-05,79.79,80.605,79.54,80.495,70.58,99066
2021-08-06,80.36,81.0,80.07,80.565,70.65,112616
2021-08-09,80.92,81.11,80.12,80.575,70.65,170228
2021-08-10,80.63,80.8,80.26,80.5,70.59,137592
