date,open,high,low,close,adj_close,volume
2021-06-09,70.02,70.74,70.0,70.0,60.55,97724
2021-06-10,70.27,71.19,70.04,71.14,61.54,137356
2021-06-11,70.96,70.96,69.93,70.315,60.82,115799
2021-06-14,69.39,70.18,69.125,69.825,60.4,178780
2021-06-15,70.04,70.08,68.79,69.08,59.75,140451
2021-06-16,69.01,69.67,67.9,68.435,59.2,206993
2021-06-17,66.72,67.04,63.405,63.68,55.08,486248
2021-06-18,63.51,63.86,62.54,62.62,54.17,184566
2021-06-21,63.25,63.735,62.32,63.41,54.85,175041
2021-06-22,63.285,63.71,62.785,62.95,54.45,132660
2021-06-23,63.42,63.87,62.62,62.66,54.2,198261
2021-06-24,63.0,63.21,62.27,62.32,53.91,122979
2021-06-25,62.91,63.11,62.545,62.65,54.19,164365
2021-06-28,62.71,63.01,62.15,62.64,54.18,154783
2021-06-29,61.85,62.85,61.65,62.56,54.11,179735
2021-06-30,62.81,63.765,62.67,63.37,54.82,126080
2021-07-01,64.03,64.05,62.76,62.82,54.34,210190
2021-07-02,63.73,64.06,63.03,63.355,54.8,104814
2021-07-06,64.415,64.415,63.205,63.885,55.26,158546
2021-07-07,64.04,64.29,63.25,63.64,55.05,113152
2021-07-08,63.92,64.27,62.24,62.745,54.27,135356
2021-07-09,63.23,64.215,63.22,63.97,55.33,127676
2021-07-12,63.53,64.1,63.03,63.19,54.66,123847
2021-07-13,63.3,64.375,63.19,63.37,54.82,118696
2021-07-14,64.39,64.7,63.29,63.36,54.81,188623
2021-07-15,63.41,63.8,63.085,63.45,54.88,106904
2021-07-16,63.2,63.21,61.375,61.725,53.39,134739
2021-07-19,61.08,61.425,59.935,60.66,52.47,185680
2021-07-20,60.96,61.81,60.01,60.435,52.28,132794
2021-07-21,59.76,60.655,59.68,60.38,52.23,140038
2021-07-22,60.6,60.6,59.23,60.23,52.1,132587
2021-07-23,59.5,60.205,59.04,60.09,51.98,182932
2021-07-26,60.06,61.27,59.99,60.38,52.23,126495
2021-07-27,60.4,61.41,59.86,61.32,53.04,129265
2021-07-28,61.22,61.96,61.04,61.9,53.54,107935
2021-07-29,62.965,63.45,62.515,62.71,54.24,113412
2021-07-30,62.42,63.27,62.38,62.83,54.35,105963
2021-08-02,62.685,62.7,61.91,61.98,53.61,83817
2021-08-03,62.2,63.08,62.18,62.61,54.16,128935
2021-08-04,63.08,63.45,61.835,61.88,53.53,151539
2021-08-05,61.87,61.87,61.14,61.245,52.98,90204
2021-08-06,60.22,60.43,59.23,59.81,51.74,170319
2021-08-09,59.14,59.69,58.825,58.85,50.91,167377
2021-08-10,58.76,59.055,57.96,58.04,50.21,172533
2021-08-11,58.73,59.89,58.73,59.26,51.26,260925
2021-08-12,58.935,58.94,58.0,58.335,50.46,124183
2021-08-13,59.055,59.14,58.49,58.81,50.87,143089
2021-08-16,58.835,59.265,58.575,58.87,50.92,121878
2021-08-17,58.7,59.165,58.385,58.84,50.9,100914
2021-08-18,58.83,58.83,56.885,56.9,49.22,119636
2021-08-19,56.775,57.08,56.39,56.53,48.9,107043
2021-08-20,56.33,56.95,56.175,56.33,48.73,99799
2021-08-23,57.15,58.165,56.765,57.79,49.99,97591
2021-08-24,58.04,58.04,57.43,57.46,49.7,54782
2021-08-25,57.01,57.15,56.53,56.9,49.22,75529
2021-08-26,56.52,57.12,56.52,56.61,48.97,61387
2021-08-27,56.64,58.23,56.33,58.21,50.35,74860
2021-08-30,58.46,58.5,57.285,57.51,49.75,138722
2021-08-31,57.82,58.02,57.5,57.98,50.15,89861
2021-09-01,58.18,58.335,57.655,57.88,50.07,149990
2021-09-02,57.98,58.72,57.93,58.72,50.79,143857
2021-09-03,59.58,60.115,59.105,59.69,51.63,163090
2021-09-07,59.01,59.36,58.06,58.29,50.42,110832
2021-09-08,57.74,58.1,57.31,57.57,50.27,115116
2021-09-09,57.78,57.78,56.95,57.32,50.05,87839
2021-09-10,57.195,57.56,56.92,56.98,49.76,134033
2021-09-13,57.04,57.68,56.915,57.04,49.81,101698
2021-09-14,57.2,57.6,56.76,57.21,49.96,113487
2021-09-15,56.92,57.89,56.92,57.72,50.4,59819
2021-09-16,56.86,56.86,54.87,55.43,48.4,128278
2021-09-17,54.95,55.3,54.55,55.22,48.22,160119
2021-09-20,54.8,54.9,53.535,54.01,47.16,229359
