date,open,high,low,close,adj_close,volume
2021-06-09,275.02,275.95,273.64,273.715,246.38,22610
2021-06-10,275.06,275.86,269.54,269.98,243.02,55932
2021-06-11,271.22,272.27,270.105,271.46,244.35,77158
2021-06-14,272.17,272.665,270.75,271.37,244.27,36233
2021-06-15,272.3,274.55,270.93,273.13,245.85,71657
2021-06-16,272.13,273.39,270.61,271.36,244.26,59497
2021-06-17,271.525,271.585,264.38,266.9,240.24,94433
2021-06-18,262.83,264.51,261.32,261.32,235.22,82293
2021-06-21,263.945,266.62,263.825,265.02,238.55,78004
2021-06-22,265.165,266.9,263.89,264.05,237.68,61365
2021-06-23,264.18,265.61,262.9,263.24,236.95,65291
2021-06-24,264.33,265.62,262.905,265.0,238.53,61055
2021-06-25,265.59,267.73,265.32,265.79,239.25,73373
2021-06-28,266.255,266.485,263.035,263.535,237.22,47000
2021-06-29,264.685,264.76,261.17,261.995,235.83,87100
2021-06-30,262.77,265.685,262.77,265.42,238.91,70608
2021-07-01,266.98,269.29,266.46,269.29,242.4,40266
2021-07-02,269.36,271.74,268.65,270.88,243.83,91155
2021-07-06,270.31,270.79,265.46,269.33,242.43,61214
2021-07-07,269.2,274.435,269.2,273.34,246.04,65926
2021-07-08,265.7,266.83,253.14,253.87,228.52,411701
2021-07-09,263.83,265.235,260.03,263.58,237.26,109894
2021-07-12,261.68,262.87,259.815,261.64,235.51,58737
2021-07-13,261.95,262.68,261.14,261.24,235.15,46238
2021-07-14,262.37,263.66,261.47,261.66,235.53,65986
2021-07-15,260.82,264.22,260.34,263.51,237.19,93399
2021-07-16,263.82,263.88,260.48,260.48,234.47,60798
2021-07-19,255.37,255.81,252.25,253.66,228.33,75818
2021-07-20,255.21,258.49,254.95,256.94,231.28,34055
2021-07-21,258.765,261.525,258.365,260.86,234.81,80569
2021-07-22,265.89,266.165,263.15,263.92,237.56,65854
2021-07-23,264.69,266.41,263.96,265.26,238.77,53193
2021-07-26,266.44,266.44,263.43,265.15,238.67,58848
2021-07-27,263.825,266.77,262.05,263.13,236.85,56208
2021-07-28,262.92,262.92,253.87,256.9,231.24,147937
2021-07-29,259.405,260.17,255.91,256.04,230.47,69025
2021-07-30,255.43,257.815,255.23,257.74,232.0,60877
2021-08-02,258.55,260.45,255.45,256.22,230.63,40801
2021-08-03,257.01,260.34,256.18,258.6,232.77,34067
2021-08-04,257.02,257.91,252.735,253.64,228.31,48671
2021-08-05,255.68,256.3,252.755,254.385,228.98,68413
2021-08-06,254.335,257.235,254.335,256.01,231.43,53720
2021-08-09,255.65,256.52,254.87,255.5,230.97,33295
2021-08-10,256.33,260.32,256.32,259.1,234.23,45023
2021-08-11,259.49,266.21,259.49,265.79,240.27,54567
2021-08-12,265.53,269.135,265.53,269.06,243.23,49424
2021-08-13,269.02,269.31,267.17,268.98,243.16,45861
2021-08-16,268.88,270.2,267.06,269.78,243.88,51550
2021-08-17,268.435,268.435,263.92,266.7,241.1,34187
2021-08-18,265.96,269.71,265.35,265.775,240.26,44618
2021-08-19,263.25,266.66,260.535,262.22,237.05,83257
2021-08-20,262.15,263.7,261.52,262.27,237.09,35582
2021-08-23,263.935,266.5,262.58,263.58,238.28,39379
2021-08-24,264.24,264.24,259.0,259.23,234.34,99109
2021-08-25,259.59,262.0,258.9,261.37,236.28,86442
2021-08-26,262.435,263.185,257.47,259.62,234.7,59372
2021-08-27,260.09,261.94,260.03,260.66,235.64,34030
2021-08-30,260.42,260.42,257.68,258.16,233.38,58700
2021-08-31,258.945,258.945,252.1,253.48,229.15,140510
2021-09-01,253.09,254.93,250.89,252.145,227.94,56377
2021-09-02,252.875,254.64,252.5,253.72,229.36,42154
2021-09-03,252.64,253.55,249.48,250.305,226.28,88502
2021-09-07,249.905,251.21,247.46,248.17,224.35,110925
2021-09-08,247.84,250.59,247.01,249.59,225.63,48249
2021-09-09,248.75,249.76,246.75,247.52,223.76,65487
