date,open,high,low,close,adj_close,volume
2021-06-09,55.85,56.12,54.83,54.83,41.61,87242
2021-06-10,55.56,55.68,54.09,54.805,41.59,148453
2021-06-11,55.05,55.26,54.82,55.065,41.78,68306
2021-06-14,55.69,56.185,54.87,55.44,42.07,176762
2021-06-15,55.81,56.14,55.21,55.955,42.46,155114
2021-06-16,55.92,57.165,55.79,57.0,43.25,125231
2021-06-17,56.87,57.21,53.39,54.16,41.1,141861
2021-06-18,53.43,54.095,53.02,53.02,40.23,123405
2021-06-21,53.565,55.72,53.5,55.59,42.18,101295
2021-06-22,55.3,55.52,54.73,55.48,42.1,56913
2021-06-23,56.06,56.06,55.23,55.23,41.91,42501
2021-06-24,55.515,55.915,54.9,55.91,42.43,132271
2021-06-25,56.16,56.545,55.69,56.545,42.91,73450
2021-06-28,56.14,56.14,54.68,55.45,42.08,69126
2021-06-29,55.61,55.9,55.17,55.17,41.86,111561
2021-06-30,55.41,56.4,55.39,55.655,42.23,97190
2021-07-01,56.8,57.03,55.91,56.93,43.2,99126
2021-07-02,56.55,57.495,56.55,57.405,43.56,58125
2021-07-06,57.39,57.39,55.98,56.48,42.86,101873
2021-07-07,56.46,56.75,55.34,55.385,42.03,65092
2021-07-08,54.545,56.085,54.27,55.33,41.99,100355
2021-07-09,56.27,57.53,55.78,57.53,43.66,94787
2021-07-12,56.66,57.37,56.55,56.92,43.19,59464
2021-07-13,56.615,56.815,55.87,55.91,42.43,56063
2021-07-14,56.19,56.53,54.555,54.88,41.64,64224
2021-07-15,54.47,54.78,53.92,54.475,41.34,66024
2021-07-16,54.785,54.785,53.23,53.32,40.46,36476
2021-07-19,51.35,51.745,49.78,50.205,38.1,111038
2021-07-20,50.68,52.82,50.33,52.38,39.75,88622
2021-07-21,53.355,54.425,53.33,53.46,40.57,67790
2021-07-22,53.465,53.465,52.53,53.08,40.28,45938
2021-07-23,52.82,53.045,52.095,52.94,40.17,52339
2021-07-26,53.0,54.085,53.0,53.81,40.83,68368
2021-07-27,53.2,53.21,52.22,52.895,40.14,62490
2021-07-28,53.04,53.82,52.335,53.37,40.5,67200
2021-07-29,53.9,54.24,53.52,53.815,40.84,29617
2021-07-30,53.34,53.91,51.66,51.98,40.14,79781
2021-08-02,52.02,53.22,51.29,51.32,39.63,93362
2021-08-03,51.31,51.62,50.135,51.46,39.74,144822
2021-08-04,50.805,53.08,50.345,51.71,39.93,176777
2021-08-05,51.81,52.9,51.81,52.21,40.32,53768
2021-08-06,52.74,52.89,52.18,52.55,40.58,57662
2021-08-09,51.87,52.285,51.51,51.73,39.95,58143
2021-08-10,52.05,52.8,51.88,52.7,40.7,60760
2021-08-11,52.825,52.95,52.19,52.83,40.8,54663
2021-08-12,53.06,53.39,52.62,53.375,41.22,46339
2021-08-13,53.01,53.475,52.39,52.45,40.5,32772
2021-08-16,51.95,52.55,51.525,51.73,39.95,60229
2021-08-17,51.39,52.065,50.46,51.265,39.59,54710
2021-08-18,50.95,51.65,50.47,50.53,39.02,63535
2021-08-19,49.695,50.28,48.565,49.245,38.03,58749
2021-08-20,48.89,50.435,48.89,50.42,38.94,51156
2021-08-23,51.625,52.085,51.25,51.97,40.13,66392
2021-08-24,52.24,53.165,52.24,52.94,40.88,45988
2021-08-25,52.92,54.015,52.705,53.47,41.29,37287
2021-08-26,53.28,53.545,52.55,52.55,40.58,47774
2021-08-27,53.11,54.23,53.11,53.83,41.57,28143
2021-08-30,54.0,54.04,53.04,53.05,40.97,32832
2021-08-31,52.685,52.96,52.465,52.52,40.56,50020
2021-09-01,52.575,52.63,52.05,52.07,40.21,38906
2021-09-02,52.855,53.36,52.73,53.28,41.15,43057
2021-09-03,53.29,53.67,52.85,53.18,41.07,39455
2021-09-07,52.79,53.4,52.34,52.47,40.52,46237
2021-09-08,52.72,53.25,52.22,52.36,40.43,49594
2021-09-09,52.17,53.05,51.75,52.41,40.47,68350
2021-09-10,53.03,53.03,52.4,52.48,40.53,32098
2021-09-13,53.28,53.97,53.07,53.4,41.24,66456
2021-09-14,53.76,53.84,52.71,53.06,40.98,76796
2021-09-15,53.57,55.71,53.57,55.7,43.01,107134
2021-09-16,55.58,56.07,55.05,55.575,42.92,52491
2021-09-17,55.49,55.94,54.96,55.2,42.63,71793
2021-09-20,53.61,53.67,52.115,52.97,40.91,64589
2021-09-21,53.92,53.92,52.85,53.31,41.17,81542
2021-09-22,54.18,55.36,54.16,54.85,42.36,54583
2021-09-23,55.89,57.66,55.45,57.46,44.37,108426
2021-09-24,57.09,57.71,56.885,57.46,44.37,92316
2021-09-27,58.53,59.67,58.365,58.84,45.44,123227
2021-09-28,59.62,59.78,58.08,58.29,45.01,80584
2021-09-29,58.525,59.445,58.03,58.805,45.41,68514
2021-09-30,59.02,59.02,57.93,58.01,44.8,56698
2021-10-01,58.31,59.69,57.81,59.45,45.91,60566
2021-10-04,60.0,61.445,59.865,60.08,46.4,96884
2021-10-05,60.67,61.57,59.92,60.23,46.51,90160
2021-10-06,59.6,60.26,58.56,60.085,46.4,78129
2021-10-07,60.49,61.19,60.28,60.78,46.94,61507
2021-10-08,61.34,61.89,61.04,61.64,47.6,48303
2021-10-11,62.31,62.74,61.62,61.945,47.84,46636
2021-10-12,61.98,63.5,61.83,62.95,48.61,83119
2021-10-13,62.16,63.41,61.78,63.27,48.86,35084
2021-10-14,64.04,64.72,63.85,64.53,49.83,85800
2021-10-15,65.01,65.66,64.96,65.115,50.28,60736
2021-10-18,65.57,66.225,64.72,65.16,50.32,43442
2021-10-19,65.035,65.75,64.855,65.14,50.3,36578
2021-10-20,65.15,65.91,64.76,65.14,50.3,87923
2021-10-21,64.875,65.2,63.67,64.32,49.67,104227
2021-10-22,64.405,64.92,63.67,64.8,50.04,47978
2021-10-26,66.0,66.77,65.79,65.85,50.85,70964
