date,open,high,low,close,adj_close,volume
2021-06-09,530.99,530.99,526.36,527.905,35.19,23209
2021-06-10,528.89,530.46,526.32,527.55,35.17,29088
2021-06-11,529.65,535.38,529.65,534.77,35.65,41985
2021-06-14,532.115,533.27,527.12,532.6,35.51,35065
2021-06-15,533.22,535.95,529.79,534.69,35.65,27973
2021-06-16,534.21,536.185,531.64,534.22,35.61,55245
2021-06-17,535.49,538.06,531.15,537.71,35.85,59213
2021-06-18,537.22,539.0,532.17,536.92,35.79,45728
2021-06-21,539.74,549.14,539.74,546.97,36.46,28987
2021-06-22,547.19,554.115,545.71,551.775,36.78,25465
2021-06-23,552.01,554.03,547.225,550.04,36.67,33233
2021-06-24,548.32,551.83,547.775,549.51,36.63,34764
2021-06-25,551.92,559.9,551.92,557.25,37.15,26739
2021-06-28,558.08,563.01,554.475,561.52,37.43,18151
2021-06-29,561.63,567.45,561.015,564.86,37.66,31777
2021-06-30,568.44,568.44,565.295,566.37,37.76,23943
2021-07-01,567.695,576.61,567.18,575.395,38.36,29973
2021-07-02,574.79,582.18,574.79,581.37,38.76,18552
2021-07-06,579.09,582.405,576.3,580.17,38.68,51183
2021-07-07,580.7,585.86,578.09,584.7,38.98,38151
2021-07-08,584.0,585.07,576.295,581.73,38.78,20760
2021-07-09,585.39,592.09,585.39,591.24,39.42,25147
2021-07-12,591.24,592.37,586.16,591.69,39.45,23949
2021-07-13,592.27,593.63,587.99,589.355,39.29,26114
2021-07-14,590.94,595.73,590.94,595.65,39.71,16853
2021-07-15,595.635,597.595,593.29,597.43,39.83,17398
2021-07-16,596.765,601.845,596.49,601.23,40.08,31438
2021-07-19,600.01,602.27,590.91,594.21,39.61,22853
2021-07-20,597.68,612.51,597.68,607.47,40.5,35128
2021-07-21,606.12,607.76,602.49,604.59,40.31,19735
2021-07-22,605.43,610.15,605.43,608.92,40.59,21749
2021-07-23,613.22,620.905,611.695,620.78,41.39,14915
2021-07-26,619.69,621.43,615.39,619.51,41.3,30328
2021-07-27,616.24,620.49,611.755,616.78,41.12,23989
2021-07-28,618.4,619.55,609.46,610.14,40.68,30163
2021-07-29,590.0,597.86,579.65,596.905,39.79,45840
2021-07-30,597.02,605.98,597.02,604.3,40.29,28475
2021-08-02,604.55,605.4,597.76,601.11,40.07,27387
2021-08-03,605.06,617.2,605.06,612.68,40.85,25052
2021-08-04,608.34,608.48,602.83,605.76,40.38,17637
2021-08-05,608.29,609.9,601.83,604.98,40.33,14035
2021-08-06,604.97,608.14,600.19,603.21,40.21,15550
2021-08-09,600.95,601.29,596.23,598.35,39.89,27102
2021-08-10,593.7,602.89,593.7,600.51,40.03,29359
2021-08-11,603.35,608.355,601.115,601.115,40.07,29235
2021-08-12,601.415,601.84,594.69,597.03,39.8,22334
2021-08-13,595.51,599.36,593.98,593.98,39.6,17305
2021-08-16,594.68,603.71,594.68,603.67,40.24,23041
2021-08-17,603.045,603.045,591.325,600.01,40.0,34123
2021-08-18,598.42,604.56,598.42,599.03,39.94,28781
2021-08-19,600.45,602.81,596.925,602.46,40.16,17901
2021-08-20,605.76,608.01,603.11,606.39,40.43,15943
2021-08-23,605.395,606.86,602.19,602.23,40.15,17798
2021-08-24,601.495,603.99,598.395,599.74,39.98,23214
2021-08-25,603.025,608.13,601.075,607.14,40.48,19842
2021-08-26,605.655,606.365,600.21,600.33,40.02,24314
2021-08-27,595.095,598.775,591.76,591.99,39.47,26355
2021-08-30,593.96,599.6,593.255,596.89,39.79,21803
2021-08-31,594.315,594.315,590.53,593.92,39.59,15976
2021-09-01,595.065,599.24,589.44,592.6,39.51,29848
2021-09-02,594.25,595.56,574.62,578.71,38.58,80727
2021-09-03,577.875,585.87,574.16,584.97,39.0,33583
2021-09-07,581.5,585.735,579.35,580.72,38.71,19462
2021-09-08,580.275,591.42,579.52,591.42,39.43,33778
2021-09-09,593.78,595.24,590.505,592.27,39.48,34039
