date,open,high,low,close,adj_close,volume
2021-06-09,80.86,81.175,80.33,80.75,74.57,120525
2021-06-10,81.25,81.44,79.8,80.5,74.34,111240
2021-06-11,80.99,80.99,79.71,80.58,74.41,90134
2021-06-14,80.405,80.79,80.145,80.79,74.6,67097
2021-06-15,80.8,81.245,80.44,80.97,74.77,72848
2021-06-16,80.72,81.27,80.32,80.62,74.45,143022
2021-06-17,80.9,81.125,79.445,80.46,74.3,147373
2021-06-18,79.83,80.1,78.955,79.555,73.46,174283
2021-06-21,80.27,81.09,79.72,81.02,74.82,116680
2021-06-22,81.04,81.8,80.86,81.37,75.14,65014
2021-06-23,81.55,81.635,80.755,80.84,74.65,46205
2021-06-24,81.06,81.7,80.72,81.34,75.11,60700
2021-06-25,81.53,81.86,81.29,81.71,75.45,108904
2021-06-28,81.575,81.75,80.74,81.7,75.44,94776
2021-06-29,81.75,82.44,81.62,82.1,75.81,75132
2021-06-30,82.1,82.225,81.25,81.79,75.53,113928
2021-07-01,82.085,82.31,81.72,82.1,75.81,94250
2021-07-02,82.18,82.93,81.91,82.61,76.28,56329
2021-07-06,82.28,82.57,81.72,82.265,75.97,80613
2021-07-07,82.32,84.625,82.32,84.055,77.62,59368
2021-07-08,83.08,83.93,82.77,83.08,76.72,68482
2021-07-09,83.77,83.93,83.23,83.805,77.39,64204
2021-07-12,83.47,83.84,83.28,83.81,77.39,109183
2021-07-13,84.11,84.32,83.315,83.53,77.13,91045
2021-07-14,83.475,84.98,83.475,84.76,78.27,166021
2021-07-15,84.76,85.4,84.6,85.25,78.72,98294
2021-07-16,85.22,85.54,84.88,84.94,78.44,127059
2021-07-19,84.01,84.385,83.05,84.09,77.65,102105
2021-07-20,84.47,86.29,84.395,86.14,79.54,89208
2021-07-21,86.465,86.89,86.16,86.83,80.18,78440
2021-07-22,86.99,87.63,86.63,87.32,80.63,105772
2021-07-23,87.96,88.815,87.72,88.555,81.77,70707
2021-07-26,89.54,90.0,86.85,89.115,82.29,196247
2021-07-27,88.885,89.11,87.53,88.23,81.47,102581
2021-07-28,88.22,88.4,87.28,87.94,81.21,107527
2021-07-29,88.47,88.92,87.94,88.865,82.06,120489
2021-07-30,88.77,89.78,88.75,89.54,82.68,65752
2021-08-02,89.85,90.59,89.82,89.91,83.02,144591
2021-08-03,90.31,91.81,90.11,91.25,84.26,99364
2021-08-04,91.175,91.63,90.57,90.81,83.86,81670
2021-08-05,91.22,91.405,90.05,90.74,83.79,105820
2021-08-06,91.1,91.25,89.97,90.145,83.24,146107
2021-08-09,89.93,89.975,88.97,89.71,82.84,159560
2021-08-10,89.865,90.535,89.46,89.9,83.02,156934
2021-08-11,89.935,90.53,89.83,90.41,83.49,72806
2021-08-12,90.25,90.32,89.59,90.18,83.27,80454
2021-08-13,90.25,91.02,90.1,90.65,83.71,50813
2021-08-16,90.66,92.1,90.485,91.91,84.87,63627
2021-08-17,91.59,91.65,90.18,90.76,83.81,95119
2021-08-18,90.47,91.71,90.34,90.515,83.58,105420
2021-08-19,89.51,90.89,89.43,90.21,83.52,68823
2021-08-20,89.96,90.41,89.48,90.025,83.35,141154
2021-08-23,90.68,90.93,89.86,89.91,83.25,85684
2021-08-24,90.105,90.75,89.73,90.36,83.66,68996
