date,open,high,low,close,adj_close,volume
2021-06-09,38.98,39.84,38.98,39.805,30.81,910796
2021-06-10,39.975,40.72,39.965,40.69,31.49,896433
2021-06-11,40.66,40.66,39.955,40.15,31.07,611384
2021-06-14,40.02,40.065,39.38,39.61,30.66,777075
2021-06-15,39.68,39.835,39.39,39.57,30.62,790389
2021-06-16,39.64,39.83,39.285,39.3,30.42,692594
2021-06-17,39.24,39.59,39.08,39.49,30.56,828665
2021-06-18,39.33,39.425,38.7,38.82,30.04,1007391
2021-06-21,38.93,39.475,38.91,39.405,30.5,502158
2021-06-22,39.37,39.685,39.27,39.615,30.66,483555
2021-06-23,39.64,39.65,38.98,39.06,30.23,635991
2021-06-24,39.14,39.33,39.09,39.19,30.33,434448
2021-06-25,39.13,39.4,38.9,38.95,30.14,513969
2021-06-28,39.07,39.205,38.905,39.105,30.26,423122
2021-06-29,39.15,39.28,38.99,39.1,30.26,499276
2021-06-30,39.15,39.26,38.82,39.16,30.31,492303
2021-07-01,39.16,39.63,39.12,39.57,30.62,417297
2021-07-02,39.47,39.83,39.38,39.72,30.74,377580
2021-07-06,39.47,39.635,39.045,39.28,30.4,479228
2021-07-07,39.22,39.36,38.97,39.35,30.45,692562
2021-07-08,39.02,39.31,38.94,39.25,30.38,438483
2021-07-09,39.52,40.09,39.47,39.61,30.66,569647
2021-07-12,39.66,40.25,39.625,39.76,30.77,625044
2021-07-13,39.79,39.79,39.535,39.66,30.69,328113
2021-07-14,39.72,40.015,39.665,39.97,30.93,493168
2021-07-15,39.93,40.19,39.86,40.08,31.02,449000
2021-07-16,40.14,40.35,39.93,40.34,31.22,672619
2021-07-19,40.18,40.3,39.685,40.16,31.08,835895
2021-07-20,40.275,41.705,40.275,41.055,31.77,1923714
2021-07-21,41.17,41.21,40.52,41.02,31.75,1054571
2021-07-22,41.04,41.545,40.9,41.48,32.1,557306
2021-07-23,41.46,41.82,41.44,41.7,32.27,586318
2021-07-26,41.63,41.94,41.4,41.82,32.37,743950
2021-07-27,41.83,42.2,41.59,42.1,32.58,1186181
2021-07-28,42.3,43.735,42.3,43.45,33.63,1663152
2021-07-29,43.25,43.27,42.635,42.82,33.44,733904
2021-07-30,42.84,43.18,42.7,42.82,33.44,799907
2021-08-02,43.37,44.14,43.265,43.96,34.33,2940437
2021-08-03,44.18,45.81,44.09,45.805,35.77,1322374
2021-08-04,45.59,45.8,45.015,45.19,35.29,1684861
2021-08-05,44.98,45.12,44.705,45.055,35.19,646088
2021-08-06,45.05,45.115,44.635,45.06,35.19,717224
2021-08-09,45.22,46.03,45.2,46.005,35.93,869489
2021-08-10,46.06,48.565,45.91,48.195,37.64,2865469
2021-08-11,47.81,48.07,46.28,46.3,36.16,1436224
2021-08-12,46.46,47.395,46.37,47.24,36.89,787237
2021-08-13,47.38,48.5,47.32,48.49,37.87,1147298
2021-08-16,48.32,48.965,47.56,48.91,38.2,886681
2021-08-17,48.78,50.49,48.73,50.44,39.39,2618730
2021-08-18,50.19,51.85,49.18,49.28,38.49,1720441
2021-08-19,48.53,49.945,48.31,48.8,38.11,1449808
2021-08-20,48.98,49.71,48.685,48.72,38.05,547386
2021-08-23,50.4,51.345,49.63,49.91,38.98,1515168
2021-08-24,49.97,49.97,48.245,48.375,37.78,868171
2021-08-25,48.09,48.09,46.95,47.495,37.09,1100699
2021-08-26,47.74,48.155,47.305,47.38,37.0,444199
2021-08-27,47.37,47.43,46.53,46.595,36.39,1185670
2021-08-30,46.19,47.15,46.19,46.76,36.52,526850
2021-08-31,46.75,47.13,45.95,46.065,35.97,730291
2021-09-01,46.17,46.17,45.43,46.04,35.95,600741
2021-09-02,46.48,46.87,46.13,46.82,36.56,630550
2021-09-03,46.88,47.03,46.35,46.84,36.58,410084
2021-09-07,46.88,47.5,46.55,46.74,36.5,484688
2021-09-08,46.63,46.75,46.25,46.51,36.32,378237
2021-09-09,46.5,46.71,45.855,46.02,35.94,461239
2021-09-10,46.305,46.31,45.515,45.6,35.61,394029
2021-09-13,45.64,45.69,44.2,44.57,34.81,569020
2021-09-14,44.7,45.25,44.55,44.7,34.91,476975
2021-09-15,44.57,45.35,44.48,44.75,34.95,671927
2021-09-16,44.88,44.94,44.035,44.49,34.74,698212
2021-09-17,44.16,44.44,43.41,43.9,34.28,621258
2021-09-20,43.39,44.645,43.39,44.2,34.52,788137
2021-09-21,44.3,44.715,43.855,43.9,34.28,417683
2021-09-22,43.97,44.385,43.855,43.95,34.32,585560
2021-09-23,44.21,44.715,44.155,44.18,34.5,560803
2021-09-24,44.13,44.39,43.81,43.94,34.31,370088
2021-09-27,43.92,44.125,43.515,43.55,34.01,439631
2021-09-28,43.07,43.28,42.445,43.015,33.59,777656
2021-09-29,43.29,43.685,43.08,43.51,33.98,456250
2021-09-30,43.78,44.03,42.985,43.02,33.6,569464
2021-10-01,42.52,43.09,41.73,42.9,33.5,750840
2021-10-04,42.92,43.345,42.22,42.4,33.11,642845
2021-10-05,42.51,42.76,42.29,42.3,33.03,454882
2021-10-06,42.1,42.155,41.7,42.02,32.82,697382
2021-10-07,42.4,42.96,42.22,42.74,33.38,404578
2021-10-08,42.72,42.895,42.34,42.45,33.15,511605
2021-10-11,42.44,42.605,42.015,42.08,32.86,285890
2021-10-12,42.195,42.195,41.67,41.85,32.68,439164
2021-10-13,41.76,41.87,40.94,41.41,32.34,902095
2021-10-14,41.59,41.945,41.52,41.65,32.53,386218
2021-10-15,41.9,42.005,41.38,41.49,32.4,1075802
2021-10-18,41.41,41.7,41.05,41.305,32.26,330427
2021-10-19,41.59,42.19,41.59,42.1,32.88,297970
2021-10-20,42.18,43.1,42.13,42.81,33.43,395481
2021-10-21,42.99,43.085,42.44,42.865,33.48,636619
2021-10-22,42.85,43.185,42.65,43.15,33.7,511768
2021-10-26,43.27,43.76,42.96,43.555,34.01,458416
2021-10-27,43.37,43.45,42.68,42.98,33.57,483841
2021-10-28,43.0,43.665,42.96,43.17,33.71,380411
